unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358458080, P, 3, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358458204, 3, 33, 575, 67, 371, 240, 47, 2
1758358458204, 0, 23, 575, 68, 364, 243, 48, 5
1758358458204, 0, 21, 577, 69, 362, 248, 51, 4
1758358458204, 0, 18, 569, 67, 364, 249, 50, 2
1758358458204, 3, 11, 574, 69, 361, 240, 55, 3
1758358458204, 4, 10, 577, 66, 365, 240, 49, 4
1758358458204, 5, 2, 575, 70, 359, 241, 49, 4
1758358458204, 3, 0, 575, 68, 360, 241, 48, 2
1758358458204, 0, 0, 583, 69, 373, 240, 53, 2
1758358458204, 3, 0, 579, 67, 362, 240, 49, 1
1758358458204, 0, 0, 582, 68, 364, 239, 53, 4
1758358458204, 6, 0, 584, 67, 364, 240, 50, 11
1758358458204, 4, 0, 579, 68, 361, 240, 54, 3
1758358458204, 0, 12, 579, 68, 363, 242, 51, 4
1758358458204, 3, 6, 581, 66, 362, 244, 49, 3
1758358458204, 13, 5, 587, 69, 361, 241, 53, 4
1758358458204, 4, 19, 587, 68, 363, 244, 53, 1
1758358458204, 7, 12, 582, 69, 359, 245, 52, 4
1758358458204, 8, 13, 581, 69, 363, 241, 52, 3
1758358458204, 3, 30, 585, 73, 360, 244, 51, 3
1758358458204, 5, 19, 584, 68, 359, 244, 53, 4
1758358458204, 3, 20, 583, 67, 360, 245, 53, 4
1758358458204, 4, 20, 588, 68, 371, 247, 49, 4
1758358458204, 7, 17, 587, 68, 365, 245, 53, 3
1758358458204, 4, 27, 587, 65, 363, 244, 49, 2
1758358458204, 0, 11, 586, 65, 359, 243, 55, 4
1758358458204, 3, 2, 594, 68, 360, 242, 52, 4
1758358458204, 3, 0, 595, 69, 359, 246, 52, 5
1758358458204, 4, 7, 584, 67, 363, 243, 53, 2
1758358458204, 3, 0, 587, 68, 367, 243, 59, 11
1758358458204, 3, 0, 583, 68, 361, 243, 55, 2
1758358458204, 5, 0, 584, 75, 363, 246, 58, 3
1758358458204, 2, 0, 584, 69, 364, 245, 56, 4
1758358458204, 3, 0, 600, 77, 362, 244, 54, 3
1758358458204, 1, 3, 589, 69, 360, 243, 54, 2
1758358458204, 5, 17, 590, 68, 361, 243, 52, 2
