unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358494097, P, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358494243, 4, 10, 501, 83, 359, 256, 108, 5
1758358494243, 0, 11, 508, 84, 352, 257, 97, 2
1758358494243, 2, 12, 504, 84, 352, 258, 98, 3
1758358494243, 3, 16, 504, 84, 351, 255, 96, 2
1758358494243, 4, 18, 501, 83, 363, 253, 97, 4
1758358494243, 0, 20, 501, 81, 350, 253, 98, 7
1758358494243, 12, 36, 507, 83, 352, 257, 97, 3
1758358494243, 7, 18, 511, 82, 352, 255, 103, 4
1758358494243, 0, 11, 504, 81, 352, 255, 95, 3
1758358494243, 7, 23, 503, 84, 354, 253, 101, 4
1758358494243, 4, 18, 503, 87, 354, 254, 104, 2
1758358494243, 4, 0, 504, 81, 354, 253, 95, 4
1758358494243, 2, 0, 499, 83, 352, 254, 95, 4
1758358494243, 0, 0, 502, 82, 355, 253, 97, 3
1758358494243, 5, 0, 500, 93, 350, 256, 95, 3
1758358494243, 4, 0, 499, 81, 352, 255, 105, 3
1758358494243, 1, 0, 505, 82, 357, 255, 98, 1
1758358494243, 0, 2, 499, 82, 352, 257, 96, 4
1758358494243, 5, 19, 502, 80, 354, 256, 95, 1
1758358494243, 2, 7, 503, 79, 355, 255, 99, 2
1758358494243, 2, 9, 506, 83, 357, 263, 104, 3
1758358494243, 12, 11, 504, 83, 353, 255, 98, 5
1758358494243, 5, 13, 504, 82, 354, 254, 98, 4
1758358494243, 2, 33, 507, 81, 352, 255, 98, 6
1758358494243, 0, 35, 506, 91, 355, 255, 96, 3
1758358494243, 3, 23, 504, 83, 355, 255, 99, 3
1758358494243, 3, 20, 504, 81, 355, 255, 98, 2
1758358494243, 9, 15, 506, 91, 356, 257, 100, 11
1758358494243, 9, 10, 505, 81, 354, 255, 101, 4
1758358494243, 3, 24, 507, 82, 363, 259, 97, 3
1758358494243, 2, 18, 506, 81, 355, 256, 104, 4
1758358494243, 6, 0, 507, 80, 352, 256, 97, 3
1758358494243, 9, 0, 507, 80, 353, 253, 100, 2
1758358494243, 7, 0, 504, 82, 352, 266, 98, 4
1758358494243, 3, 0, 509, 82, 354, 256, 102, 4
1758358494243, 3, 0, 511, 83, 351, 258, 110, 2
1758358494243, 3, 0, 508, 82, 352, 253, 96, 11
1758358494243, 0, 17, 502, 92, 352, 259, 101, 4
1758358494243, 4, 7, 505, 81, 354, 253, 96, 4
1758358494243, 9, 20, 504, 83, 355, 254, 99, 1
1758358494243, 3, 10, 503, 81, 359, 255, 98, 2
1758358494243, 2, 10, 516, 81, 363, 257, 99, 2
1758358494243, 3, 12, 509, 83, 353, 257, 99, 2
1758358494243, 4, 19, 501, 83, 351, 256, 97, 3
1758358494243, 0, 33, 506, 82, 363, 256, 100, 3
1758358494243, 3, 23, 506, 82, 355, 255, 102, 3
1758358494243, 6, 19, 500, 81, 360, 256, 100, 4
1758358494243, 6, 30, 505, 82, 353, 257, 97, 3
1758358494243, 1, 13, 499, 83, 359, 257, 99, 5
1758358494243, 8, 9, 509, 83, 358, 258, 102, 2
1758358494243, 0, 0, 504, 85, 357, 255, 102, 3
1758358494243, 3, 0, 499, 83, 356, 258, 100, 4
1758358494243, 8, 0, 507, 83, 354, 269, 100, 2
1758358494243, 0, 0, 505, 92, 358, 257, 103, 6
1758358494243, 13, 6, 503, 81, 357, 257, 101, 2
1758358494243, 4, 1, 506, 82, 358, 259, 100, 13
1758358494243, 4, 0, 507, 81, 367, 254, 104, 3
1758358494243, 7, 3, 505, 82, 358, 256, 102, 3
1758358494243, 7, 4, 507, 84, 357, 254, 102, 5
1758358494243, 1, 5, 504, 84, 353, 251, 100, 5
1758358494243, 3, 10, 505, 81, 356, 259, 103, 3
1758358494243, 5, 11, 507, 83, 359, 255, 104, 4
1758358494243, 19, 13, 506, 82, 355, 256, 102, 3
1758358494243, 6, 18, 507, 82, 352, 253, 102, 2
1758358494243, 5, 33, 503, 83, 359, 257, 106, 3
1758358494243, 10, 22, 504, 83, 353, 256, 104, 3
1758358494243, 4, 20, 500, 83, 353, 260, 104, 2
1758358494243, 5, 16, 519, 81, 355, 252, 102, 4
1758358494243, 1, 10, 500, 82, 357, 251, 106, 2
1758358494243, 1, 11, 507, 82, 361, 256, 101, 4
1758358494243, 7, 0, 500, 83, 357, 252, 102, 2
1758358494243, 10, 0, 501, 91, 353, 253, 105, 3
1758358494243, 8, 0, 505, 81, 356, 252, 100, 4
1758358494243, 1, 0, 504, 82, 356, 260, 110, 1
1758358494243, 2, 0, 503, 83, 355, 261, 100, 8
1758358494243, 17, 14, 504, 82, 353, 256, 99, 3
1758358494243, 1, 2, 506, 83, 365, 253, 104, 7
1758358494243, 5, 4, 499, 83, 353, 254, 103, 4
1758358494243, 2, 4, 500, 81, 355, 253, 101, 5
1758358494243, 4, 6, 499, 82, 359, 259, 99, 4
1758358494243, 3, 8, 511, 83, 354, 254, 106, 4
1758358494243, 4, 11, 509, 83, 356, 254, 99, 3
1758358494243, 1, 14, 500, 83, 357, 253, 100, 3
1758358494243, 1, 18, 505, 83, 357, 252, 102, 3
1758358494243, 2, 30, 501, 82, 361, 254, 99, 2
1758358494243, 4, 22, 504, 84, 356, 261, 111, 12
1758358494243, 6, 19, 506, 83, 355, 254, 104, 4
1758358494243, 1, 29, 499, 82, 354, 250, 101, 4
1758358494243, 0, 13, 499, 83, 357, 250, 99, 1
1758358494243, 0, 9, 499, 81, 353, 252, 100, 3
1758358494243, 3, 0, 511, 83, 357, 252, 104, 4
1758358494243, 1, 0, 499, 84, 352, 253, 101, 4
1758358494243, 0, 0, 500, 83, 354, 251, 101, 3
1758358494243, 4, 8, 504, 83, 354, 253, 102, 3
1758358494243, 5, 12, 503, 83, 359, 253, 104, 7
1758358494243, 3, 1, 505, 82, 355, 255, 101, 1
1758358494243, 5, 1, 503, 83, 359, 252, 102, 3
1758358494243, 1, 3, 500, 91, 355, 251, 106, 3
1758358494243, 12, 4, 499, 82, 352, 251, 105, 3
1758358494243, 4, 6, 500, 84, 355, 251, 101, 3
1758358494243, 5, 9, 504, 84, 355, 248, 101, 2
1758358494243, 4, 26, 504, 84, 352, 258, 102, 3
1758358494243, 7, 16, 507, 87, 352, 256, 104, 3
1758358494243, 6, 19, 509, 84, 355, 253, 107, 4
1758358494243, 0, 18, 500, 89, 355, 251, 105, 4
1758358494243, 6, 21, 499, 82, 352, 255, 103, 3
1758358494243, 3, 19, 502, 83, 355, 252, 102, 3
1758358494243, 4, 30, 505, 85, 351, 258, 101, 4
1758358494243, 5, 13, 498, 81, 352, 255, 99, 2
1758358494243, 3, 8, 505, 81, 352, 255, 99, 2
1758358494243, 0, 0, 499, 84, 353, 251, 103, 2
1758358494243, 0, 0, 501, 82, 352, 255, 103, 1
1758358494243, 7, 0, 503, 89, 352, 254, 108, 2
1758358494243, 4, 0, 501, 84, 352, 253, 103, 3
1758358494243, 2, 0, 503, 82, 355, 251, 101, 3
1758358494243, 13, 13, 500, 84, 352, 255, 102, 3
1758358494243, 7, 3, 499, 82, 358, 251, 104, 2
1758358494243, 3, 2, 504, 82, 363, 249, 104, 3
1758358494243, 2, 4, 499, 81, 355, 260, 100, 3
1758358494243, 7, 21, 502, 82, 355, 253, 104, 4
1758358494243, 0, 12, 501, 84, 359, 251, 107, 2
