unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358506096, P, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358506234, 4, 0, 803, 93, 369, 216, 237, 3
1758358506234, 1, 0, 804, 90, 365, 216, 229, 8
1758358506234, 3, 0, 803, 90, 369, 219, 230, 3
1758358506234, 1, 0, 799, 89, 364, 217, 231, 2
1758358506234, 2, 0, 800, 91, 365, 215, 231, 3
1758358506234, 4, 0, 803, 91, 377, 216, 240, 6
1758358506234, 6, 16, 798, 90, 368, 218, 241, 4
1758358506234, 5, 6, 803, 89, 368, 214, 235, 4
1758358506234, 2, 5, 807, 90, 367, 219, 237, 2
1758358506234, 2, 9, 794, 91, 367, 215, 233, 3
1758358506234, 11, 11, 795, 90, 368, 216, 229, 4
1758358506234, 5, 13, 802, 91, 368, 215, 231, 2
1758358506234, 6, 34, 795, 92, 367, 219, 237, 4
1758358506234, 7, 21, 795, 92, 368, 221, 228, 4
1758358506234, 3, 27, 799, 91, 375, 220, 230, 3
1758358506234, 3, 25, 807, 93, 369, 218, 235, 4
1758358506234, 8, 16, 806, 90, 369, 217, 232, 3
1758358506234, 4, 11, 801, 90, 365, 216, 235, 2
1758358506234, 9, 8, 800, 91, 368, 217, 233, 11
1758358506234, 7, 0, 800, 94, 365, 217, 228, 3
1758358506234, 5, 0, 807, 92, 369, 217, 227, 3
1758358506234, 4, 0, 807, 92, 365, 219, 219, 2
1758358506234, 10, 0, 796, 92, 365, 220, 224, 2
1758358506234, 4, 11, 803, 91, 365, 218, 223, 4
1758358506234, 4, 16, 804, 90, 364, 219, 223, 10
1758358506234, 14, 3, 807, 92, 365, 221, 227, 5
1758358506234, 2, 17, 800, 95, 367, 218, 226, 2
1758358506234, 3, 6, 807, 89, 372, 222, 224, 6
1758358506234, 3, 6, 800, 93, 367, 220, 222, 2
1758358506234, 6, 9, 811, 93, 367, 217, 227, 4
1758358506234, 7, 11, 804, 92, 364, 222, 230, 14
1758358506234, 5, 14, 816, 92, 369, 220, 229, 6
1758358506234, 3, 35, 800, 92, 365, 222, 227, 5
1758358506234, 8, 22, 801, 98, 363, 221, 225, 3
1758358506234, 4, 22, 811, 92, 363, 219, 225, 2
1758358506234, 14, 19, 807, 91, 367, 217, 229, 2
1758358506234, 4, 16, 807, 90, 366, 221, 225, 6
1758358506234, 5, 10, 799, 93, 365, 220, 225, 3
1758358506234, 1, 8, 800, 91, 362, 215, 232, 3
1758358506234, 6, 0, 811, 92, 371, 218, 235, 3
1758358506234, 3, 0, 803, 91, 366, 216, 234, 4
1758358506234, 17, 0, 809, 92, 368, 216, 235, 3
1758358506234, 3, 0, 812, 92, 365, 217, 238, 3
1758358506234, 0, 0, 801, 92, 364, 218, 231, 1
1758358506234, 3, 0, 808, 90, 364, 219, 233, 10
1758358506234, 5, 0, 803, 93, 367, 220, 230, 3
1758358506234, 1, 3, 808, 93, 371, 217, 236, 2
1758358506234, 7, 4, 812, 88, 367, 219, 234, 3
1758358506234, 2, 5, 812, 89, 363, 218, 231, 2
1758358506234, 6, 10, 808, 90, 367, 217, 233, 4
1758358506234, 3, 11, 813, 92, 367, 219, 236, 2
1758358506234, 7, 14, 806, 91, 367, 216, 239, 3
1758358506234, 7, 19, 807, 91, 377, 216, 235, 3
1758358506234, 6, 19, 806, 92, 365, 220, 235, 3
1758358506234, 9, 21, 808, 90, 366, 221, 236, 4
1758358506234, 6, 20, 815, 92, 369, 217, 239, 3
1758358506234, 2, 15, 801, 92, 377, 221, 236, 3
1758358506234, 3, 9, 811, 91, 369, 222, 235, 7
1758358506234, 2, 7, 804, 93, 371, 218, 238, 4
1758358506234, 4, 0, 803, 93, 367, 218, 242, 1
1758358506234, 0, 0, 807, 91, 365, 217, 231, 3
1758358506234, 5, 7, 807, 95, 367, 230, 234, 4
1758358506234, 7, 0, 804, 91, 365, 221, 244, 3
1758358506234, 4, 11, 813, 93, 366, 218, 240, 5
1758358506234, 0, 1, 803, 92, 366, 225, 238, 3
1758358506234, 3, 1, 803, 98, 364, 220, 237, 3
1758358506234, 3, 2, 813, 93, 364, 220, 234, 1
1758358506234, 9, 4, 801, 92, 366, 221, 236, 4
1758358506234, 2, 6, 807, 94, 365, 221, 240, 2
1758358506234, 2, 10, 807, 93, 365, 220, 241, 4
1758358506234, 7, 11, 810, 91, 372, 221, 238, 4
1758358506234, 4, 14, 807, 94, 367, 221, 232, 5
1758358506234, 13, 20, 803, 93, 367, 222, 233, 3
1758358506234, 3, 19, 803, 93, 366, 225, 230, 3
1758358506234, 5, 20, 811, 93, 369, 226, 233, 4
1758358506234, 13, 20, 806, 94, 364, 221, 231, 1
1758358506234, 5, 15, 811, 93, 367, 231, 236, 7
1758358506234, 7, 10, 808, 94, 363, 224, 235, 5
