unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358738260, P, 2, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358738391, 2, 12, 787, 160, 416, 209, 111, 3
1758358738391, 4, 5, 796, 167, 416, 211, 112, 3
1758358738391, 0, 8, 791, 160, 419, 210, 110, 3
1758358738391, 0, 0, 797, 160, 416, 211, 109, 3
1758358738391, 7, 1, 783, 167, 416, 213, 115, 3
1758358738391, 4, 0, 792, 160, 416, 215, 111, 3
1758358738391, 0, 0, 785, 162, 419, 210, 113, 1
1758358738391, 2, 7, 791, 160, 416, 212, 114, 2
1758358738391, 2, 0, 792, 165, 419, 212, 111, 8
1758358738391, 0, 1, 791, 161, 416, 212, 110, 4
1758358738391, 5, 4, 788, 162, 419, 214, 110, 3
1758358738391, 8, 22, 788, 162, 417, 212, 113, 3
1758358738391, 4, 13, 785, 162, 417, 215, 118, 2
1758358738391, 12, 15, 800, 160, 413, 215, 114, 3
1758358738391, 6, 32, 790, 162, 419, 215, 112, 4
1758358738391, 5, 25, 783, 160, 422, 214, 111, 4
1758358738391, 1, 24, 787, 159, 421, 211, 119, 4
1758358738391, 7, 27, 784, 160, 421, 211, 111, 3
1758358738391, 4, 26, 791, 163, 417, 219, 112, 10
1758358738391, 5, 20, 784, 165, 422, 213, 111, 3
1758358738391, 6, 14, 784, 160, 420, 218, 112, 2
1758358738391, 5, 6, 795, 165, 418, 215, 107, 2
1758358738391, 1, 0, 785, 160, 419, 212, 116, 3
1758358738391, 6, 0, 784, 163, 420, 211, 108, 5
1758358738391, 2, 0, 784, 158, 416, 211, 113, 4
1758358738391, 6, 0, 780, 163, 417, 213, 111, 9
1758358738391, 5, 3, 784, 160, 419, 214, 111, 3
1758358738391, 4, 0, 787, 161, 416, 213, 111, 2
1758358738391, 3, 0, 784, 159, 419, 212, 109, 4
1758358738391, 1, 1, 789, 162, 427, 212, 113, 2
1758358738391, 2, 4, 787, 160, 422, 211, 110, 3
1758358738391, 4, 6, 784, 163, 421, 211, 115, 5
1758358738391, 5, 10, 795, 159, 416, 214, 113, 2
1758358738391, 6, 15, 780, 161, 416, 214, 112, 4
1758358738391, 2, 16, 784, 160, 421, 216, 112, 11
1758358738391, 2, 23, 784, 161, 416, 211, 113, 4
1758358738391, 6, 23, 791, 161, 420, 208, 114, 4
1758358738391, 7, 27, 791, 160, 419, 213, 120, 4
1758358738391, 7, 26, 779, 161, 418, 213, 112, 5
1758358738391, 5, 19, 792, 162, 418, 218, 112, 2
1758358738391, 2, 10, 780, 160, 420, 209, 116, 3
1758358738391, 5, 21, 780, 162, 416, 218, 108, 3
1758358738391, 0, 0, 780, 162, 419, 214, 114, 2
1758358738391, 1, 0, 783, 160, 419, 208, 112, 3
1758358738391, 5, 0, 785, 161, 418, 215, 110, 3
1758358738391, 5, 0, 792, 159, 419, 213, 111, 2
1758358738391, 6, 0, 785, 162, 416, 209, 114, 2
1758358738391, 1, 0, 780, 160, 421, 212, 110, 2
1758358738391, 4, 13, 775, 162, 427, 218, 113, 12
1758358738391, 6, 3, 785, 161, 416, 212, 110, 5
1758358738391, 1, 5, 774, 165, 419, 209, 112, 1
1758358738391, 3, 6, 783, 161, 416, 210, 112, 3
1758358738391, 0, 16, 779, 161, 420, 214, 111, 3
1758358738391, 4, 15, 774, 160, 417, 214, 112, 3
1758358738391, 0, 17, 774, 161, 417, 208, 113, 3
1758358738391, 1, 26, 782, 158, 416, 209, 116, 4
1758358738391, 2, 24, 783, 162, 419, 209, 115, 1
1758358738391, 3, 27, 790, 160, 416, 207, 114, 3
1758358738391, 4, 25, 776, 160, 414, 211, 110, 4
1758358738391, 3, 19, 776, 159, 423, 208, 112, 9
1758358738391, 3, 9, 779, 160, 419, 213, 121, 2
1758358738391, 3, 6, 773, 160, 421, 209, 112, 3
1758358738391, 2, 0, 781, 158, 417, 206, 113, 8
1758358738391, 7, 0, 776, 162, 417, 208, 115, 2
1758358738391, 6, 0, 775, 158, 421, 206, 109, 2
1758358738391, 4, 0, 774, 160, 423, 209, 110, 1
1758358738391, 6, 0, 775, 158, 419, 209, 113, 2
1758358738391, 3, 0, 769, 162, 415, 207, 112, 2
1758358738391, 4, 0, 775, 161, 425, 206, 109, 10
1758358738391, 1, 1, 771, 159, 418, 210, 110, 1
1758358738391, 0, 6, 771, 161, 421, 208, 109, 4
1758358738391, 11, 6, 767, 161, 413, 208, 108, 1
1758358738391, 1, 11, 779, 160, 416, 211, 112, 4
1758358738391, 5, 15, 783, 160, 413, 210, 111, 6
1758358738391, 7, 17, 776, 161, 415, 211, 112, 4
1758358738391, 5, 25, 779, 162, 423, 207, 114, 5
1758358738391, 7, 23, 772, 161, 415, 209, 122, 3
1758358738391, 3, 27, 775, 161, 414, 214, 111, 3
1758358738391, 0, 26, 768, 162, 414, 209, 114, 4
1758358738391, 2, 18, 769, 164, 415, 205, 117, 4
1758358738391, 4, 25, 774, 160, 413, 209, 111, 5
1758358738391, 0, 8, 769, 161, 416, 209, 116, 3
1758358738391, 3, 0, 775, 160, 413, 207, 114, 2
1758358738391, 3, 0, 775, 160, 411, 208, 114, 4
1758358738391, 6, 0, 780, 169, 416, 206, 116, 3
1758358738391, 4, 0, 769, 161, 418, 206, 115, 3
1758358738391, 6, 0, 769, 160, 419, 209, 115, 4
1758358738391, 10, 0, 774, 160, 419, 209, 112, 4
1758358738391, 4, 0, 769, 163, 417, 207, 112, 6
1758358738391, 8, 16, 764, 159, 415, 210, 116, 2
1758358738391, 6, 6, 765, 160, 415, 209, 114, 6
