unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758358977286, P, 1, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758358977372, 5, 16, 1423, 276, 155, 238, 45, 3
1758358977372, 4, 25, 1415, 273, 155, 241, 44, 2
1758358977372, 0, 23, 1411, 279, 156, 239, 52, 2
1758358977372, 10, 26, 1422, 282, 157, 235, 42, 10
1758358977372, 3, 24, 1416, 286, 156, 245, 42, 4
1758358977372, 9, 17, 1416, 286, 156, 236, 42, 3
1758358977372, 13, 11, 1423, 275, 158, 241, 44, 7
1758358977372, 5, 7, 1423, 275, 152, 248, 44, 2
1758358977372, 7, 0, 1415, 277, 152, 246, 52, 3
1758358977372, 0, 0, 1423, 278, 156, 247, 41, 3
1758358977372, 3, 0, 1420, 278, 157, 245, 45, 3
1758358977372, 12, 0, 1416, 276, 156, 248, 42, 3
1758358977372, 2, 0, 1420, 273, 154, 245, 42, 2
1758358977372, 0, 0, 1412, 275, 154, 243, 42, 4
1758358977372, 9, 12, 1407, 276, 158, 241, 44, 3
1758358977372, 0, 0, 1403, 279, 158, 241, 40, 2
1758358977372, 11, 19, 1403, 279, 157, 244, 40, 2
1758358977372, 0, 21, 1406, 277, 156, 241, 42, 3
1758358977372, 5, 13, 1406, 275, 168, 241, 42, 3
1758358977372, 6, 14, 1399, 277, 155, 245, 42, 2
1758358977372, 8, 17, 1415, 278, 156, 245, 41, 2
1758358977372, 5, 39, 1415, 277, 155, 246, 41, 3
1758358977372, 6, 25, 1415, 279, 156, 238, 40, 4
1758358977372, 3, 26, 1408, 278, 153, 240, 42, 2
1758358977372, 0, 24, 1404, 275, 156, 247, 44, 3
1758358977372, 0, 32, 1401, 275, 156, 245, 43, 6
1758358977372, 5, 12, 1399, 285, 154, 243, 43, 3
1758358977372, 0, 23, 1408, 277, 155, 246, 43, 7
1758358977372, 4, 0, 1415, 274, 156, 250, 43, 2
1758358977372, 4, 0, 1399, 278, 155, 244, 51, 2
1758358977372, 2, 0, 1415, 277, 153, 244, 41, 2
1758358977372, 3, 0, 1401, 277, 152, 243, 43, 3
1758358977372, 5, 0, 1411, 275, 154, 242, 41, 2
1758358977372, 15, 0, 1399, 276, 158, 244, 43, 2
1758358977372, 15, 0, 1404, 275, 158, 251, 43, 1
1758358977372, 3, 0, 1404, 278, 155, 246, 41, 2
1758358977372, 3, 17, 1406, 275, 159, 242, 41, 3
1758358977372, 0, 6, 1415, 279, 157, 244, 43, 1
1758358977372, 5, 11, 1411, 276, 164, 245, 42, 3
1758358977372, 0, 13, 1401, 277, 165, 248, 44, 3
1758358977372, 5, 30, 1406, 277, 159, 243, 43, 4
1758358977372, 7, 25, 1411, 275, 152, 249, 43, 3
1758358977372, 3, 39, 1411, 275, 158, 240, 43, 2
1758358977372, 5, 29, 1401, 278, 152, 247, 43, 2
1758358977372, 4, 25, 1411, 279, 153, 242, 43, 3
1758358977372, 4, 17, 1422, 279, 152, 242, 42, 9
1758358977372, 7, 24, 1406, 281, 161, 249, 43, 3
1758358977372, 10, 16, 1414, 279, 152, 246, 43, 1
1758358977372, 5, 0, 1411, 281, 152, 242, 43, 3
1758358977372, 2, 0, 1407, 279, 152, 243, 41, 4
1758358977372, 3, 0, 1398, 277, 157, 243, 44, 5
1758358977372, 3, 0, 1415, 279, 152, 247, 43, 3
1758358977372, 0, 0, 1414, 277, 151, 239, 43, 3
1758358977372, 6, 0, 1399, 275, 152, 239, 42, 1
