unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758359013295, P, 4, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758359013439, 4, 25, 979, 296, 230, 291, 55, 3
1758359013439, 5, 27, 976, 294, 235, 293, 53, 3
1758359013439, 0, 31, 972, 293, 230, 289, 55, 3
1758359013439, 9, 30, 983, 297, 230, 291, 54, 6
1758359013439, 6, 24, 979, 294, 225, 294, 56, 3
1758359013439, 8, 14, 980, 295, 233, 285, 58, 0
1758359013439, 0, 26, 974, 292, 232, 294, 59, 3
1758359013439, 1, 16, 976, 291, 236, 295, 60, 3
1758359013439, 3, 0, 976, 293, 234, 289, 57, 3
1758359013439, 0, 0, 979, 292, 233, 293, 57, 2
1758359013439, 3, 0, 979, 291, 233, 286, 58, 2
1758359013439, 1, 0, 980, 292, 231, 290, 59, 3
1758359013439, 0, 0, 984, 293, 234, 287, 58, 7
1758359013439, 9, 0, 984, 295, 233, 286, 57, 3
1758359013439, 0, 11, 983, 295, 233, 291, 56, 7
1758359013439, 4, 17, 983, 294, 229, 284, 57, 3
1758359013439, 2, 8, 991, 293, 227, 288, 56, 2
1758359013439, 9, 9, 983, 292, 234, 289, 58, 4
1758359013439, 9, 14, 993, 295, 229, 292, 58, 3
1758359013439, 18, 16, 1002, 303, 224, 288, 60, 2
1758359013439, 0, 23, 991, 294, 228, 285, 62, 4
1758359013439, 3, 26, 984, 291, 226, 286, 57, 3
1758359013439, 5, 30, 1003, 292, 227, 287, 60, 2
1758359013439, 1, 31, 991, 294, 224, 291, 58, 4
1758359013439, 0, 24, 1000, 295, 228, 291, 58, 2
1758359013439, 3, 14, 984, 298, 225, 288, 57, 4
1758359013439, 7, 10, 983, 295, 225, 299, 57, 3
1758359013439, 1, 0, 988, 291, 225, 292, 59, 4
1758359013439, 7, 0, 991, 294, 229, 300, 57, 4
1758359013439, 4, 0, 993, 292, 224, 297, 58, 3
1758359013439, 8, 0, 979, 295, 229, 297, 58, 3
1758359013439, 5, 0, 979, 290, 226, 297, 58, 3
1758359013439, 4, 0, 988, 291, 235, 294, 60, 3
1758359013439, 0, 0, 979, 293, 228, 299, 59, 3
1758359013439, 6, 0, 981, 294, 230, 296, 57, 3
1758359013439, 5, 1, 988, 294, 238, 295, 59, 6
1758359013439, 9, 3, 988, 293, 225, 299, 59, 3
1758359013439, 0, 8, 984, 295, 227, 304, 60, 4
1758359013439, 2, 20, 976, 295, 236, 310, 58, 3
1758359013439, 6, 17, 991, 294, 227, 294, 60, 4
1758359013439, 13, 25, 990, 291, 225, 297, 58, 3
1758359013439, 5, 26, 991, 294, 229, 300, 58, 3
1758359013439, 5, 31, 975, 294, 228, 299, 55, 4
1758359013439, 4, 30, 988, 306, 234, 302, 54, 2
1758359013439, 0, 23, 984, 293, 235, 295, 56, 6
1758359013439, 0, 15, 987, 295, 233, 296, 58, 3
1758359013439, 3, 9, 992, 293, 227, 296, 56, 3
1758359013439, 0, 0, 984, 295, 225, 295, 56, 2
1758359013439, 4, 0, 979, 294, 224, 295, 58, 3
1758359013439, 0, 0, 983, 299, 223, 293, 54, 2
1758359013439, 4, 0, 984, 291, 228, 296, 53, 3
1758359013439, 3, 0, 987, 293, 227, 292, 53, 3
1758359013439, 4, 0, 989, 291, 229, 291, 52, 12
1758359013439, 5, 0, 980, 291, 225, 293, 51, 4
1758359013439, 2, 0, 983, 295, 225, 310, 56, 2
1758359013439, 0, 15, 983, 295, 226, 296, 52, 3
1758359013439, 7, 14, 975, 302, 223, 295, 52, 3
1758359013439, 3, 9, 971, 296, 221, 289, 52, 3
1758359013439, 10, 13, 975, 299, 225, 299, 50, 3
1758359013439, 3, 30, 970, 297, 219, 297, 51, 2
1758359013439, 3, 38, 967, 299, 216, 293, 54, 3
1758359013439, 6, 27, 960, 297, 218, 298, 54, 3
1758359013439, 0, 31, 960, 300, 224, 299, 60, 4
