unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758359025299, P, 5, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758359025396, 6, 4, 1262, 177, 373, 158, 2, 13
1758359025396, 2, 7, 1263, 175, 371, 155, 3, 3
1758359025396, 1, 9, 1263, 176, 371, 159, 2, 3
1758359025396, 11, 12, 1263, 179, 368, 159, 2, 3
1758359025396, 10, 15, 1248, 177, 371, 159, 2, 3
1758359025396, 5, 17, 1259, 179, 370, 163, 2, 5
1758359025396, 4, 18, 1259, 175, 369, 159, 1, 3
1758359025396, 10, 17, 1259, 174, 371, 159, 1, 3
1758359025396, 5, 13, 1261, 175, 368, 163, 3, 5
1758359025396, 10, 11, 1256, 175, 367, 165, 0, 3
1758359025396, 1, 5, 1247, 173, 367, 163, 1, 4
1758359025396, 6, 0, 1256, 176, 369, 163, 0, 2
1758359025396, 3, 0, 1258, 175, 369, 163, 1, 3
1758359025396, 4, 0, 1249, 172, 363, 160, 4, 2
1758359025396, 5, 0, 1255, 175, 365, 160, 2, 6
1758359025396, 2, 0, 1248, 173, 377, 168, 8, 3
1758359025396, 0, 0, 1248, 172, 370, 158, 2, 3
1758359025396, 0, 0, 1248, 174, 369, 162, 1, 3
1758359025396, 10, 0, 1255, 173, 367, 159, 2, 4
1758359025396, 7, 3, 1248, 172, 375, 159, 0, 1
1758359025396, 2, 4, 1264, 174, 371, 160, 3, 3
1758359025396, 4, 8, 1255, 173, 368, 160, 2, 5
1758359025396, 3, 9, 1243, 173, 367, 160, 1, 4
1758359025396, 1, 28, 1239, 181, 366, 162, 2, 3
1758359025396, 4, 18, 1252, 173, 367, 162, 2, 3
1758359025396, 14, 18, 1255, 175, 368, 164, 2, 3
1758359025396, 8, 18, 1255, 171, 370, 166, 5, 4
1758359025396, 9, 16, 1240, 173, 371, 176, 2, 3
1758359025396, 4, 27, 1244, 172, 370, 167, 3, 3
1758359025396, 1, 12, 1238, 171, 377, 166, 3, 3
1758359025396, 9, 6, 1239, 173, 367, 172, 0, 3
1758359025396, 10, 15, 1255, 173, 369, 170, 2, 4
1758359025396, 4, 0, 1239, 173, 367, 168, 1, 2
1758359025396, 12, 0, 1255, 174, 365, 171, 0, 3
1758359025396, 7, 0, 1239, 172, 367, 168, 3, 3
1758359025396, 4, 0, 1252, 171, 369, 167, 1, 2
1758359025396, 1, 11, 1241, 173, 370, 170, 2, 3
1758359025396, 3, 1, 1239, 173, 368, 172, 2, 3
1758359025396, 0, 1, 1248, 173, 371, 171, 4, 3
1758359025396, 5, 19, 1246, 172, 369, 175, 1, 3
1758359025396, 0, 7, 1239, 176, 368, 169, 1, 4
1758359025396, 15, 8, 1248, 175, 368, 172, 2, 3
1758359025396, 3, 9, 1253, 173, 368, 179, 2, 4
1758359025396, 3, 12, 1247, 176, 368, 175, 11, 3
1758359025396, 0, 15, 1241, 175, 369, 173, 1, 4
1758359025396, 3, 17, 1255, 176, 368, 173, 2, 3
