unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758359153597, P, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758359153708, 4, 12, 460, 104, 502, 235, 2, 3
1758359153708, 8, 12, 463, 101, 503, 241, 2, 3
1758359153708, 4, 12, 457, 103, 504, 247, 5, 3
1758359153708, 2, 12, 457, 111, 503, 238, 2, 2
1758359153708, 7, 9, 464, 103, 501, 240, 2, 3
1758359153708, 4, 23, 459, 100, 496, 242, 3, 2
1758359153708, 4, 24, 462, 101, 495, 242, 1, 3
1758359153708, 6, 6, 463, 96, 507, 242, 3, 2
1758359153708, 4, 17, 467, 103, 504, 240, 1, 3
1758359153708, 3, 18, 462, 102, 496, 245, 1, 2
1758359153708, 8, 3, 459, 100, 501, 244, 2, 3
1758359153708, 0, 3, 462, 102, 499, 247, 1, 3
1758359153708, 1, 3, 462, 99, 499, 244, 2, 3
1758359153708, 8, 18, 455, 99, 501, 250, 2, 6
1758359153708, 2, 6, 469, 98, 497, 254, 1, 3
1758359153708, 0, 3, 459, 98, 503, 251, 2, 10
1758359153708, 0, 4, 460, 101, 497, 253, 4, 4
1758359153708, 9, 6, 455, 102, 496, 252, 2, 3
1758359153708, 0, 8, 458, 105, 504, 251, 3, 7
1758359153708, 8, 9, 460, 102, 499, 256, 3, 2
1758359153708, 2, 8, 459, 103, 501, 256, 5, 4
1758359153708, 5, 10, 461, 102, 505, 256, 1, 5
1758359153708, 6, 12, 456, 102, 502, 258, 5, 12
1758359153708, 4, 18, 458, 102, 500, 259, 2, 3
1758359153708, 8, 10, 459, 102, 503, 262, 4, 3
1758359153708, 8, 9, 454, 105, 500, 256, 2, 4
1758359153708, 2, 7, 456, 103, 502, 254, 1, 3
1758359153708, 14, 3, 456, 112, 501, 256, 2, 3
1758359153708, 0, 17, 455, 103, 499, 255, 2, 3
1758359153708, 4, 3, 456, 103, 496, 255, 1, 3
1758359153708, 1, 1, 456, 101, 505, 265, 1, 3
1758359153708, 2, 2, 455, 110, 501, 259, 2, 3
1758359153708, 2, 1, 456, 103, 498, 261, 2, 3
1758359153708, 2, 16, 461, 104, 505, 255, 2, 3
1758359153708, 0, 14, 458, 101, 499, 260, 2, 2
1758359153708, 0, 6, 461, 103, 499, 256, 0, 3
1758359153708, 0, 6, 457, 108, 504, 260, 1, 3
1758359153708, 5, 7, 459, 100, 499, 260, 1, 3
1758359153708, 2, 6, 454, 100, 503, 260, 2, 12
1758359153708, 4, 9, 455, 100, 496, 257, 2, 9
1758359153708, 2, 9, 458, 103, 507, 262, 1, 4
1758359153708, 7, 11, 447, 100, 510, 255, 2, 3
1758359153708, 5, 11, 447, 103, 507, 255, 1, 3
1758359153708, 8, 10, 451, 100, 504, 263, 2, 6
1758359153708, 4, 9, 453, 102, 509, 256, 1, 2
1758359153708, 4, 9, 452, 108, 506, 255, 2, 1
1758359153708, 1, 22, 448, 101, 502, 256, 2, 7
1758359153708, 0, 6, 448, 101, 502, 258, 2, 3
1758359153708, 2, 2, 445, 108, 499, 265, 1, 6
1758359153708, 6, 1, 446, 102, 502, 255, 11, 3
1758359153708, 0, 0, 451, 100, 497, 251, 9, 3
1758359153708, 1, 2, 448, 101, 499, 252, 1, 3
1758359153708, 5, 3, 446, 102, 500, 254, 2, 3
1758359153708, 0, 3, 448, 101, 501, 249, 1, 2
1758359153708, 3, 18, 446, 100, 499, 251, 3, 3
1758359153708, 8, 7, 451, 98, 501, 252, 3, 3
1758359153708, 3, 6, 448, 109, 500, 251, 1, 3
1758359153708, 3, 21, 455, 101, 494, 251, 2, 2
1758359153708, 5, 9, 448, 108, 502, 254, 1, 4
1758359153708, 6, 8, 453, 100, 496, 250, 2, 2
1758359153708, 9, 24, 445, 101, 495, 252, 2, 3
1758359153708, 6, 15, 446, 102, 498, 254, 1, 3
1758359153708, 19, 11, 451, 102, 496, 259, 2, 3
1758359153708, 7, 10, 452, 102, 497, 250, 1, 4
1758359153708, 16, 8, 455, 102, 496, 247, 3, 3
1758359153708, 0, 8, 452, 101, 494, 255, 3, 3
1758359153708, 4, 6, 451, 102, 500, 251, 3, 3
1758359153708, 9, 17, 454, 101, 498, 253, 1, 3
1758359153708, 1, 15, 448, 99, 496, 257, 2, 5
1758359153708, 14, 3, 451, 101, 501, 249, 9, 3
1758359153708, 1, 17, 454, 102, 500, 249, 2, 3
1758359153708, 2, 4, 450, 101, 507, 250, 1, 3
1758359153708, 0, 3, 455, 100, 496, 248, 2, 2
1758359153708, 2, 3, 448, 103, 495, 255, 1, 3
1758359153708, 0, 3, 453, 103, 495, 253, 1, 2
1758359153708, 0, 4, 450, 103, 495, 256, 1, 3
1758359153708, 7, 4, 455, 103, 483, 260, 2, 3
1758359153708, 4, 6, 454, 103, 499, 256, 2, 3
1758359153708, 7, 6, 455, 102, 495, 259, 2, 3
1758359153708, 4, 9, 448, 105, 492, 259, 1, 3
1758359153708, 8, 10, 448, 103, 491, 260, 2, 4
1758359153708, 9, 11, 449, 102, 491, 262, 2, 3
1758359153708, 10, 12, 459, 103, 489, 259, 2, 3
1758359153708, 0, 25, 452, 99, 488, 253, 3, 3
1758359153708, 5, 11, 449, 101, 488, 257, 1, 3
1758359153708, 6, 22, 448, 111, 485, 257, 4, 3
1758359153708, 8, 23, 448, 103, 487, 254, 5, 3
1758359153708, 0, 22, 451, 102, 491, 252, 3, 4
1758359153708, 7, 4, 450, 103, 487, 250, 1, 3
1758359153708, 5, 2, 451, 101, 483, 255, 1, 3
1758359153708, 8, 2, 450, 101, 484, 253, 1, 3
1758359153708, 0, 3, 455, 104, 485, 252, 3, 3
1758359153708, 5, 3, 455, 102, 487, 253, 1, 3
1758359153708, 3, 3, 448, 103, 490, 248, 3, 3
1758359153708, 0, 3, 451, 102, 487, 256, 1, 3
1758359153708, 6, 3, 443, 102, 487, 252, 2, 4
1758359153708, 0, 20, 448, 101, 484, 248, 1, 7
