unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758359165600, P, -2, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758359165807, 3, 0, 803, 135, 379, 172, 9, 3
1758359165807, 16, 0, 798, 133, 379, 175, 8, 5
1758359165807, 8, 2, 795, 139, 379, 175, 7, 1
1758359165807, 6, 0, 795, 134, 376, 174, 6, 3
1758359165807, 1, 0, 799, 135, 378, 171, 3, 3
1758359165807, 2, 1, 795, 135, 375, 170, 9, 6
1758359165807, 5, 11, 798, 134, 377, 174, 9, 5
1758359165807, 10, 13, 799, 139, 378, 173, 9, 2
1758359165807, 1, 22, 807, 137, 386, 172, 12, 3
1758359165807, 3, 21, 795, 133, 385, 172, 9, 3
1758359165807, 7, 31, 800, 134, 389, 175, 16, 3
1758359165807, 3, 48, 816, 140, 388, 173, 7, 3
1758359165807, 5, 52, 795, 136, 391, 173, 8, 3
1758359165807, 4, 51, 806, 132, 390, 174, 16, 4
1758359165807, 8, 25, 800, 134, 380, 171, 7, 3
1758359165807, 11, 12, 792, 135, 382, 170, 7, 3
1758359165807, 7, 6, 799, 133, 385, 172, 16, 3
1758359165807, 4, 0, 800, 133, 389, 173, 7, 2
1758359165807, 4, 0, 796, 133, 396, 173, 8, 10
1758359165807, 7, 0, 800, 133, 386, 178, 8, 3
1758359165807, 3, 0, 799, 133, 393, 172, 8, 2
1758359165807, 9, 0, 802, 132, 391, 175, 7, 3
1758359165807, 2, 0, 799, 134, 391, 174, 9, 3
1758359165807, 9, 6, 795, 130, 387, 174, 8, 3
1758359165807, 2, 13, 800, 137, 391, 174, 9, 5
1758359165807, 5, 4, 799, 135, 392, 176, 6, 3
1758359165807, 10, 5, 806, 134, 399, 187, 7, 3
1758359165807, 0, 11, 800, 133, 391, 173, 8, 2
1758359165807, 2, 16, 813, 135, 388, 176, 7, 4
1758359165807, 2, 21, 800, 132, 387, 176, 10, 3
1758359165807, 3, 31, 810, 132, 389, 176, 10, 4
1758359165807, 5, 33, 812, 131, 385, 178, 8, 3
1758359165807, 12, 36, 804, 141, 389, 176, 7, 1
1758359165807, 4, 33, 808, 134, 389, 176, 9, 3
1758359165807, 0, 23, 800, 143, 389, 180, 8, 4
1758359165807, 5, 12, 811, 138, 391, 185, 9, 3
1758359165807, 6, 6, 800, 134, 388, 182, 7, 9
1758359165807, 1, 0, 807, 135, 389, 185, 8, 3
1758359165807, 2, 0, 807, 134, 391, 182, 6, 3
1758359165807, 1, 0, 800, 134, 399, 177, 10, 2
1758359165807, 2, 0, 800, 135, 387, 184, 6, 1
1758359165807, 1, 0, 807, 134, 395, 180, 9, 2
1758359165807, 8, 0, 801, 132, 391, 177, 11, 3
1758359165807, 0, 8, 807, 143, 388, 179, 12, 6
1758359165807, 0, 0, 807, 135, 384, 179, 10, 3
1758359165807, 7, 2, 800, 132, 388, 181, 14, 1
1758359165807, 3, 4, 811, 133, 387, 179, 8, 4
1758359165807, 13, 12, 803, 133, 388, 180, 18, 3
1758359165807, 3, 17, 800, 137, 386, 183, 7, 3
1758359165807, 4, 23, 800, 134, 390, 182, 8, 6
1758359165807, 4, 32, 796, 135, 391, 179, 8, 4
