unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414555597, Q, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414555772, 7, 4, 2439, 371, 523, 624, 743, 3
1758414555772, 3, 4, 2460, 378, 526, 626, 737, 3
1758414555772, 3, 4, 2439, 376, 525, 631, 739, 3
1758414555772, 3, 7, 2460, 376, 527, 636, 739, 3
1758414555772, 4, 14, 2460, 376, 535, 627, 744, 4
1758414555772, 4, 24, 2460, 376, 539, 627, 741, 2
1758414555772, 2, 20, 2448, 373, 539, 627, 742, 4
1758414555772, 1, 16, 2456, 373, 541, 623, 746, 3
1758414555772, 3, 9, 2462, 374, 539, 637, 747, 4
1758414555772, 3, 8, 2462, 381, 544, 632, 747, 3
1758414555772, 0, 0, 2442, 371, 537, 635, 747, 3
1758414555772, 2, 0, 2456, 373, 535, 631, 744, 3
1758414555772, 4, 0, 2462, 375, 545, 636, 750, 2
1758414555772, 4, 0, 2439, 379, 551, 628, 751, 2
1758414555772, 5, 0, 2456, 376, 543, 635, 750, 1
1758414555772, 5, 2, 2456, 376, 544, 638, 751, 3
1758414555772, 5, 4, 2456, 376, 547, 632, 751, 3
1758414555772, 7, 4, 2456, 375, 548, 640, 750, 3
1758414555772, 2, 4, 2456, 377, 551, 632, 751, 8
1758414555772, 3, 4, 2460, 385, 547, 636, 751, 2
1758414555772, 10, 5, 2439, 377, 546, 639, 744, 1
1758414555772, 4, 6, 2463, 378, 547, 639, 755, 3
1758414555772, 13, 5, 2448, 378, 551, 640, 751, 2
1758414555772, 8, 7, 2456, 381, 551, 633, 755, 2
1758414555772, 5, 15, 2460, 388, 560, 641, 755, 3
1758414555772, 3, 21, 2431, 377, 553, 639, 752, 10
1758414555772, 4, 35, 2463, 379, 555, 642, 757, 3
1758414555772, 4, 19, 2463, 378, 552, 637, 752, 3
1758414555772, 7, 25, 2463, 378, 556, 647, 753, 1
1758414555772, 1, 11, 2448, 381, 557, 635, 755, 11
1758414555772, 0, 0, 2471, 382, 555, 640, 756, 2
1758414555772, 3, 9, 2460, 384, 559, 655, 751, 2
1758414555772, 5, 0, 2463, 377, 560, 643, 753, 2
1758414555772, 6, 0, 2443, 384, 559, 641, 759, 2
1758414555772, 6, 2, 2462, 383, 559, 641, 752, 4
