unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414591603, Q, 2, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414591704, 5, 7, 590, 139, 328, 208, 311, 3
1758414591704, 0, 5, 599, 137, 332, 206, 312, 2
1758414591704, 12, 6, 595, 138, 333, 210, 313, 4
1758414591704, 4, 8, 589, 139, 329, 209, 315, 2
1758414591704, 4, 27, 603, 139, 331, 208, 317, 2
1758414591704, 10, 20, 588, 137, 332, 211, 311, 2
1758414591704, 6, 18, 591, 146, 328, 207, 311, 4
1758414591704, 0, 13, 589, 137, 327, 208, 316, 3
1758414591704, 6, 9, 589, 136, 327, 204, 317, 2
1758414591704, 0, 6, 595, 137, 327, 216, 316, 3
1758414591704, 1, 0, 590, 138, 333, 209, 315, 3
1758414591704, 5, 0, 592, 136, 331, 218, 318, 4
1758414591704, 6, 0, 603, 137, 327, 209, 318, 3
1758414591704, 1, 0, 592, 139, 327, 206, 313, 3
1758414591704, 4, 0, 592, 136, 327, 209, 314, 3
1758414591704, 13, 3, 599, 139, 327, 208, 312, 3
1758414591704, 1, 4, 595, 136, 335, 210, 312, 1
1758414591704, 7, 5, 592, 142, 330, 212, 312, 12
1758414591704, 0, 5, 591, 136, 333, 209, 315, 5
1758414591704, 8, 6, 592, 140, 330, 209, 312, 3
1758414591704, 5, 5, 602, 135, 335, 209, 317, 4
1758414591704, 7, 7, 594, 137, 331, 208, 315, 2
1758414591704, 3, 5, 599, 136, 335, 211, 314, 2
1758414591704, 8, 8, 593, 137, 334, 210, 313, 3
1758414591704, 8, 16, 591, 137, 331, 210, 315, 3
1758414591704, 3, 18, 592, 141, 343, 213, 314, 6
1758414591704, 3, 17, 596, 140, 335, 208, 311, 2
1758414591704, 6, 14, 592, 139, 335, 215, 316, 2
1758414591704, 7, 8, 600, 140, 332, 214, 312, 2
1758414591704, 2, 17, 598, 136, 332, 214, 315, 2
1758414591704, 2, 0, 596, 137, 329, 211, 322, 3
1758414591704, 3, 0, 596, 137, 335, 210, 312, 2
1758414591704, 3, 0, 599, 137, 333, 209, 317, 3
1758414591704, 8, 1, 604, 138, 332, 215, 314, 3
1758414591704, 4, 0, 591, 140, 330, 209, 315, 3
1758414591704, 9, 2, 597, 137, 331, 210, 314, 1
1758414591704, 1, 4, 599, 138, 335, 213, 314, 2
1758414591704, 7, 4, 596, 143, 336, 211, 317, 6
1758414591704, 0, 4, 599, 140, 332, 212, 313, 4
1758414591704, 4, 6, 593, 140, 334, 208, 316, 0
1758414591704, 12, 20, 593, 137, 341, 210, 309, 3
1758414591704, 9, 7, 598, 137, 332, 210, 315, 2
1758414591704, 0, 6, 598, 139, 329, 210, 312, 2
1758414591704, 2, 8, 592, 137, 333, 207, 311, 3
1758414591704, 5, 31, 604, 139, 336, 213, 313, 3
1758414591704, 13, 21, 593, 139, 331, 209, 312, 1
1758414591704, 7, 17, 591, 145, 330, 211, 317, 2
1758414591704, 3, 13, 593, 147, 334, 209, 314, 4
1758414591704, 6, 8, 595, 136, 335, 220, 317, 2
1758414591704, 14, 6, 601, 136, 333, 205, 311, 3
1758414591704, 7, 0, 604, 136, 332, 213, 312, 2
1758414591704, 4, 10, 597, 140, 342, 209, 311, 2
1758414591704, 1, 0, 607, 139, 335, 210, 322, 3
1758414591704, 7, 1, 603, 140, 332, 213, 314, 2
1758414591704, 8, 0, 600, 139, 334, 209, 309, 2
1758414591704, 0, 3, 594, 140, 335, 210, 311, 2
1758414591704, 10, 19, 603, 141, 331, 210, 312, 3
1758414591704, 4, 21, 599, 140, 335, 214, 315, 3
1758414591704, 6, 22, 600, 139, 334, 212, 314, 4
1758414591704, 0, 9, 595, 140, 341, 211, 309, 3
1758414591704, 4, 5, 600, 138, 336, 211, 312, 2
1758414591704, 0, 5, 597, 140, 333, 210, 314, 2
1758414591704, 2, 5, 595, 140, 334, 208, 312, 3
1758414591704, 3, 7, 600, 140, 332, 220, 318, 3
1758414591704, 1, 16, 595, 139, 331, 209, 311, 2
1758414591704, 8, 19, 600, 138, 333, 210, 315, 1
1758414591704, 14, 18, 606, 141, 328, 209, 316, 3
1758414591704, 7, 27, 600, 136, 337, 207, 311, 4
1758414591704, 0, 9, 600, 137, 334, 210, 313, 2
1758414591704, 8, 7, 600, 136, 335, 209, 316, 2
1758414591704, 7, 0, 607, 140, 333, 204, 315, 3
1758414591704, 5, 0, 595, 140, 332, 215, 311, 2
1758414591704, 3, 9, 600, 138, 331, 205, 315, 3
1758414591704, 8, 0, 599, 139, 334, 215, 311, 3
1758414591704, 7, 9, 602, 137, 329, 208, 316, 2
1758414591704, 9, 6, 610, 139, 331, 205, 316, 5
1758414591704, 8, 4, 597, 141, 328, 209, 317, 2
1758414591704, 7, 19, 599, 141, 331, 215, 318, 2
1758414591704, 4, 22, 599, 140, 329, 208, 317, 2
1758414591704, 0, 8, 603, 137, 336, 211, 314, 2
1758414591704, 5, 4, 605, 140, 332, 205, 316, 7
1758414591704, 0, 5, 604, 139, 329, 208, 318, 2
1758414591704, 3, 6, 603, 140, 328, 207, 318, 3
1758414591704, 6, 8, 608, 140, 332, 209, 318, 2
1758414591704, 1, 17, 608, 139, 333, 210, 316, 3
1758414591704, 8, 33, 600, 136, 332, 209, 319, 3
1758414591704, 7, 20, 607, 150, 329, 211, 316, 4
1758414591704, 11, 26, 599, 139, 327, 210, 319, 3
1758414591704, 6, 10, 606, 141, 331, 210, 323, 4
1758414591704, 4, 6, 600, 139, 325, 207, 315, 2
1758414591704, 2, 0, 599, 139, 331, 207, 312, 2
1758414591704, 1, 0, 599, 139, 339, 213, 315, 2
1758414591704, 11, 12, 604, 140, 333, 208, 320, 2
1758414591704, 4, 2, 608, 140, 329, 208, 323, 3
1758414591704, 4, 10, 600, 139, 332, 208, 311, 1
1758414591704, 5, 20, 605, 138, 331, 208, 321, 2
1758414591704, 8, 23, 602, 140, 331, 208, 324, 3
1758414591704, 6, 21, 605, 137, 327, 208, 315, 4
1758414591706, 8, 9, 606, 141, 331, 210, 316, 2
1758414591706, 4, 5, 606, 140, 332, 209, 318, 3
1758414591706, 2, 4, 604, 140, 333, 208, 317, 3
1758414591706, 6, 4, 601, 138, 331, 209, 311, 1
1758414591708, 4, 6, 600, 138, 332, 208, 317, 2
1758414591708, 13, 7, 605, 139, 338, 208, 319, 3
1758414591708, 15, 23, 614, 139, 335, 210, 323, 3
1758414591709, 2, 18, 600, 136, 334, 211, 314, 0
1758414591711, 6, 24, 607, 139, 337, 207, 313, 3
1758414591711, 3, 29, 598, 145, 332, 206, 316, 5
1758414591724, 2, 11, 607, 138, 329, 208, 313, 6
1758414591724, 6, 6, 602, 140, 329, 211, 325, 4
1758414591724, 3, 0, 596, 138, 334, 208, 313, 2
1758414591724, 5, 0, 601, 138, 329, 210, 313, 2
1758414591724, 1, 0, 604, 140, 328, 208, 318, 3
1758414591724, 2, 13, 607, 138, 329, 215, 313, 3
1758414591724, 3, 7, 600, 138, 332, 207, 316, 2
1758414591724, 6, 5, 605, 138, 327, 215, 316, 4
1758414591724, 7, 6, 604, 136, 329, 211, 314, 5
1758414591724, 5, 5, 600, 138, 329, 217, 315, 4
1758414591724, 2, 6, 600, 145, 336, 213, 312, 2
1758414591724, 0, 4, 608, 138, 337, 209, 321, 3
1758414591724, 0, 6, 604, 138, 332, 211, 316, 3
1758414591736, 2, 6, 608, 137, 335, 210, 314, 3
1758414591736, 6, 5, 599, 139, 331, 220, 320, 3
1758414591736, 2, 6, 612, 139, 332, 212, 320, 3
1758414591736, 4, 17, 599, 139, 327, 212, 319, 2
1758414591736, 3, 19, 599, 138, 335, 210, 318, 2
1758414591736, 6, 17, 599, 139, 333, 211, 314, 3
1758414591736, 4, 12, 611, 142, 343, 212, 317, 3
1758414591736, 4, 10, 607, 148, 331, 209, 317, 3
1758414591736, 5, 5, 599, 139, 328, 213, 314, 3
1758414591736, 8, 0, 600, 138, 329, 211, 314, 3
1758414591736, 5, 0, 613, 140, 340, 208, 317, 2
1758414591736, 2, 0, 607, 138, 337, 210, 316, 3
1758414591749, 11, 0, 605, 137, 331, 211, 311, 1
1758414591749, 6, 0, 608, 140, 335, 205, 315, 2
1758414591749, 8, 4, 607, 139, 342, 207, 312, 3
1758414591749, 7, 4, 608, 141, 333, 208, 317, 3
1758414591749, 1, 4, 605, 137, 341, 209, 316, 2
1758414591749, 3, 18, 600, 139, 332, 213, 314, 3
1758414591749, 3, 6, 604, 139, 330, 208, 313, 6
1758414591749, 0, 20, 604, 141, 329, 211, 308, 2
1758414591749, 2, 6, 605, 138, 334, 211, 308, 3
1758414591749, 2, 6, 599, 138, 333, 212, 308, 2
1758414591749, 2, 9, 599, 141, 340, 210, 309, 2
1758414591749, 6, 17, 607, 138, 334, 210, 310, 3
1758414591762, 4, 19, 600, 138, 331, 209, 307, 4
1758414591762, 8, 17, 600, 145, 332, 214, 308, 2
1758414591762, 1, 12, 600, 147, 332, 207, 308, 1
1758414591762, 0, 8, 599, 139, 328, 215, 314, 2
1758414591762, 0, 6, 600, 139, 328, 211, 317, 3
1758414591762, 3, 0, 612, 136, 329, 220, 307, 2
1758414591762, 6, 7, 599, 138, 332, 211, 307, 1
1758414591762, 6, 14, 609, 139, 330, 209, 310, 2
1758414591762, 3, 0, 604, 137, 330, 211, 310, 2
1758414591762, 4, 1, 599, 137, 333, 209, 309, 2
1758414591762, 5, 4, 600, 138, 329, 211, 308, 3
1758414591762, 5, 4, 613, 137, 330, 209, 305, 3
1758414591762, 4, 5, 599, 137, 333, 212, 309, 3
1758414591762, 1, 5, 608, 139, 328, 207, 309, 1
1758414591776, 6, 20, 600, 137, 330, 212, 306, 2
1758414591776, 3, 7, 599, 136, 332, 211, 309, 3
1758414591776, 2, 5, 612, 138, 331, 211, 307, 3
1758414591776, 3, 6, 605, 138, 331, 212, 308, 3
1758414591776, 2, 8, 599, 140, 330, 213, 307, 10
1758414591776, 3, 28, 606, 139, 331, 210, 310, 3
1758414591776, 4, 34, 601, 141, 333, 211, 307, 2
1758414591776, 2, 20, 602, 141, 334, 211, 308, 1
1758414591776, 6, 12, 605, 138, 332, 208, 312, 11
1758414591776, 8, 8, 600, 145, 332, 208, 313, 4
1758414591776, 2, 6, 600, 137, 334, 210, 311, 2
1758414591776, 5, 13, 604, 141, 334, 209, 311, 3
1758414591776, 9, 0, 603, 138, 332, 210, 311, 11
1758414591776, 6, 0, 605, 142, 333, 210, 307, 2
1758414591789, 5, 0, 600, 142, 331, 214, 307, 3
1758414591789, 1, 12, 600, 139, 332, 211, 314, 4
1758414591789, 4, 6, 604, 141, 328, 211, 313, 2
1758414591789, 16, 5, 597, 145, 331, 211, 310, 3
1758414591789, 0, 4, 598, 138, 327, 210, 312, 4
1758414591789, 0, 5, 600, 139, 329, 212, 315, 8
1758414591789, 2, 4, 597, 141, 330, 208, 312, 2
1758414591789, 4, 5, 600, 139, 329, 214, 311, 2
1758414591789, 1, 6, 600, 143, 332, 211, 312, 2
1758414591789, 3, 6, 605, 140, 328, 213, 310, 2
1758414591789, 5, 8, 607, 137, 335, 210, 318, 3
1758414591789, 2, 17, 604, 138, 330, 209, 311, 3
1758414591803, 11, 34, 606, 138, 332, 209, 310, 2
1758414591803, 10, 20, 602, 139, 331, 207, 312, 12
1758414591803, 3, 12, 604, 141, 334, 216, 322, 3
1758414591803, 0, 9, 599, 139, 329, 211, 314, 6
1758414591803, 4, 16, 599, 135, 331, 212, 310, 3
1758414591803, 5, 0, 599, 140, 329, 216, 313, 4
1758414591803, 2, 8, 606, 137, 331, 212, 311, 1
1758414591803, 3, 0, 608, 139, 331, 214, 311, 5
1758414591803, 0, 0, 599, 138, 332, 208, 312, 4
1758414591803, 6, 0, 600, 142, 330, 211, 316, 2
1758414591803, 6, 2, 603, 137, 334, 209, 315, 2
1758414591803, 2, 4, 603, 139, 327, 211, 315, 11
1758414591803, 0, 4, 594, 139, 329, 212, 311, 2
1758414591803, 0, 6, 603, 140, 332, 209, 317, 4
1758414591815, 2, 5, 600, 139, 331, 211, 315, 1
1758414591815, 5, 4, 597, 138, 331, 213, 310, 5
1758414591815, 5, 6, 599, 138, 330, 213, 312, 2
