unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414876691, Q, 4, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414876774, 3, 34, 607, 132, 365, 275, 731, 2
1758414876774, 2, 18, 614, 134, 376, 271, 731, 5
1758414876774, 4, 12, 610, 130, 367, 271, 725, 2
1758414876774, 1, 10, 608, 131, 364, 267, 723, 1
1758414876774, 1, 3, 615, 128, 369, 269, 724, 4
1758414876774, 3, 8, 619, 132, 365, 272, 728, 3
1758414876774, 4, 12, 615, 131, 363, 271, 720, 3
1758414876774, 5, 17, 608, 131, 369, 267, 728, 3
1758414876774, 5, 0, 613, 129, 368, 266, 723, 3
1758414876774, 8, 11, 608, 130, 369, 271, 724, 2
1758414876774, 7, 5, 616, 131, 367, 268, 729, 2
1758414876774, 5, 4, 613, 130, 367, 268, 731, 3
1758414876774, 3, 4, 608, 132, 369, 270, 734, 1
1758414876774, 4, 5, 612, 137, 370, 271, 721, 3
1758414876774, 2, 5, 608, 131, 368, 268, 725, 3
1758414876774, 3, 18, 608, 129, 368, 270, 731, 3
1758414876774, 2, 6, 616, 131, 374, 265, 723, 1
1758414876774, 5, 7, 615, 131, 369, 267, 728, 3
1758414876774, 6, 12, 611, 129, 368, 265, 730, 8
1758414876774, 5, 18, 615, 129, 367, 275, 729, 2
1758414876774, 10, 19, 608, 130, 365, 271, 721, 1
1758414876774, 3, 17, 609, 128, 368, 275, 726, 1
1758414876774, 5, 12, 612, 131, 370, 267, 724, 3
1758414876774, 1, 8, 608, 130, 365, 267, 732, 4
1758414876774, 2, 3, 613, 132, 368, 269, 723, 4
1758414876774, 3, 0, 612, 141, 365, 271, 729, 3
1758414876774, 4, 0, 608, 131, 365, 276, 731, 3
1758414876774, 0, 0, 607, 130, 365, 269, 732, 2
1758414876774, 3, 0, 615, 130, 364, 271, 723, 2
1758414876774, 5, 0, 608, 130, 365, 272, 723, 4
1758414876774, 4, 3, 608, 129, 368, 266, 727, 3
1758414876774, 0, 5, 608, 128, 369, 270, 731, 2
1758414876774, 3, 5, 615, 129, 366, 269, 731, 2
1758414876774, 9, 4, 608, 128, 367, 269, 728, 7
1758414876774, 1, 6, 608, 130, 368, 269, 735, 2
1758414876774, 11, 5, 608, 130, 371, 270, 732, 3
1758414876774, 5, 5, 607, 131, 364, 271, 720, 3
1758414876774, 8, 7, 607, 131, 365, 271, 734, 3
1758414876774, 3, 12, 615, 141, 378, 270, 730, 3
1758414876774, 6, 19, 615, 132, 368, 270, 726, 3
1758414876774, 2, 19, 616, 131, 368, 272, 723, 2
1758414876774, 3, 17, 613, 130, 366, 265, 732, 4
1758414876774, 0, 12, 608, 131, 371, 272, 731, 2
1758414876774, 8, 9, 608, 133, 365, 271, 728, 1
1758414876774, 6, 18, 609, 130, 366, 273, 728, 9
1758414876774, 4, 0, 607, 131, 370, 271, 733, 3
1758414876774, 5, 11, 619, 134, 373, 278, 729, 3
1758414876774, 6, 2, 608, 131, 366, 272, 734, 2
1758414876774, 4, 0, 608, 132, 368, 269, 723, 3
1758414876774, 4, 0, 609, 129, 368, 268, 728, 2
1758414876774, 0, 3, 615, 130, 369, 278, 723, 3
1758414876774, 3, 4, 609, 138, 366, 266, 733, 3
1758414876774, 3, 4, 614, 130, 371, 269, 733, 4
1758414876774, 6, 5, 615, 128, 369, 268, 734, 1
1758414876774, 6, 18, 623, 129, 368, 268, 732, 4
1758414876774, 6, 7, 619, 131, 367, 276, 731, 12
1758414876774, 6, 5, 611, 132, 367, 271, 723, 2
1758414876774, 4, 7, 623, 132, 373, 279, 725, 2
1758414876774, 6, 12, 611, 130, 368, 276, 730, 3
1758414876774, 0, 19, 611, 132, 369, 268, 723, 1
1758414876774, 5, 19, 607, 131, 363, 270, 723, 1
1758414876774, 0, 16, 608, 129, 371, 269, 725, 2
1758414876774, 4, 12, 614, 131, 370, 269, 735, 0
1758414876774, 5, 24, 608, 128, 368, 266, 729, 3
1758414876774, 9, 21, 615, 129, 372, 271, 731, 2
1758414876774, 0, 16, 609, 136, 371, 269, 728, 2
1758414876774, 3, 0, 618, 131, 372, 267, 723, 3
1758414876774, 6, 0, 612, 131, 368, 274, 728, 2
1758414876774, 2, 0, 615, 132, 366, 269, 728, 3
1758414876774, 8, 0, 610, 131, 373, 275, 725, 7
1758414876774, 8, 18, 618, 132, 368, 271, 731, 4
1758414876774, 4, 6, 613, 131, 370, 269, 722, 4
1758414876774, 1, 6, 611, 133, 371, 266, 731, 6
1758414876774, 7, 5, 613, 132, 372, 269, 723, 1
1758414876774, 2, 5, 615, 132, 373, 267, 733, 7
1758414876774, 0, 5, 614, 128, 371, 267, 732, 7
1758414876774, 2, 6, 612, 129, 372, 269, 728, 3
1758414876774, 0, 22, 612, 135, 372, 270, 733, 3
1758414876774, 7, 13, 614, 130, 372, 268, 732, 3
1758414876774, 6, 20, 614, 131, 373, 264, 731, 11
1758414876774, 7, 19, 608, 130, 376, 268, 731, 3
1758414876774, 8, 17, 621, 131, 375, 268, 733, 3
1758414876774, 3, 12, 607, 132, 373, 267, 735, 5
1758414876776, 7, 10, 608, 129, 368, 272, 730, 4
1758414876776, 7, 4, 611, 131, 367, 268, 723, 3
1758414876777, 0, 0, 615, 129, 370, 267, 723, 2
1758414876779, 3, 0, 613, 131, 370, 267, 725, 2
1758414876788, 1, 4, 612, 131, 367, 268, 728, 3
1758414876788, 2, 0, 613, 128, 379, 268, 723, 2
1758414876788, 4, 0, 615, 129, 371, 267, 736, 2
1758414876788, 11, 4, 611, 132, 367, 268, 731, 3
1758414876788, 2, 4, 603, 130, 369, 267, 728, 3
1758414876788, 5, 4, 608, 130, 371, 270, 723, 4
1758414876788, 3, 4, 610, 139, 373, 266, 731, 3
1758414876788, 0, 4, 611, 129, 368, 274, 731, 2
1758414876788, 7, 5, 608, 131, 372, 267, 725, 0
1758414876788, 5, 18, 607, 130, 367, 268, 731, 3
1758414876799, 5, 9, 608, 132, 368, 268, 735, 3
1758414876799, 1, 12, 608, 130, 368, 271, 723, 3
1758414876799, 5, 33, 611, 131, 370, 277, 726, 4
1758414876799, 4, 36, 608, 129, 368, 270, 728, 4
1758414876799, 0, 20, 611, 128, 365, 271, 723, 1
1758414876799, 3, 12, 612, 133, 371, 272, 730, 1
1758414876799, 13, 9, 609, 129, 368, 271, 727, 2
1758414876799, 0, 5, 608, 133, 369, 271, 728, 3
1758414876799, 2, 0, 615, 130, 370, 261, 727, 2
1758414876799, 5, 0, 611, 128, 370, 270, 737, 1
1758414876799, 3, 0, 615, 130, 371, 270, 721, 4
1758414876812, 4, 11, 610, 131, 371, 267, 723, 3
1758414876812, 7, 0, 612, 131, 371, 267, 727, 2
1758414876812, 1, 3, 613, 132, 371, 268, 724, 4
1758414876812, 15, 3, 604, 130, 373, 268, 723, 8
1758414876812, 7, 3, 617, 130, 367, 268, 730, 2
1758414876812, 0, 5, 609, 130, 368, 280, 723, 11
1758414876812, 3, 14, 611, 133, 368, 270, 728, 2
1758414876812, 2, 6, 616, 130, 371, 268, 731, 3
1758414876812, 4, 20, 606, 131, 368, 270, 721, 4
1758414876812, 10, 9, 611, 130, 373, 269, 730, 3
1758414876812, 5, 12, 612, 129, 370, 267, 724, 3
1758414876812, 2, 18, 610, 131, 381, 277, 722, 1
1758414876812, 6, 34, 608, 131, 368, 271, 729, 3
1758414876825, 10, 31, 612, 129, 369, 271, 725, 4
1758414876825, 2, 14, 619, 132, 371, 271, 728, 2
1758414876825, 0, 9, 614, 132, 373, 266, 731, 2
1758414876825, 2, 4, 607, 130, 370, 267, 728, 3
1758414876825, 4, 0, 611, 131, 371, 278, 733, 3
1758414876825, 4, 0, 612, 131, 371, 263, 728, 2
1758414876825, 3, 0, 615, 130, 371, 267, 723, 3
1758414876825, 6, 0, 622, 134, 369, 267, 729, 2
1758414876825, 4, 0, 615, 132, 368, 269, 723, 1
1758414876825, 6, 3, 615, 130, 369, 267, 736, 3
1758414876825, 5, 4, 614, 127, 372, 267, 735, 4
1758414876825, 7, 15, 615, 130, 368, 267, 727, 2
1758414876825, 7, 6, 611, 131, 366, 263, 728, 8
1758414876838, 3, 4, 613, 132, 381, 271, 727, 2
1758414876838, 3, 5, 612, 127, 367, 271, 728, 2
1758414876838, 10, 5, 608, 130, 370, 266, 731, 3
1758414876838, 11, 6, 609, 132, 367, 277, 728, 3
1758414876838, 1, 12, 616, 131, 374, 271, 723, 6
1758414876838, 6, 19, 616, 131, 366, 268, 730, 2
1758414876838, 4, 33, 612, 130, 376, 270, 725, 10
1758414876838, 7, 20, 609, 131, 367, 271, 728, 4
1758414876838, 4, 13, 611, 131, 371, 270, 731, 2
1758414876838, 0, 9, 617, 130, 370, 266, 728, 3
1758414876838, 0, 5, 609, 130, 370, 269, 731, 3
1758414876838, 8, 0, 611, 129, 368, 270, 721, 7
1758414876838, 6, 0, 611, 129, 365, 269, 724, 1
1758414876851, 1, 0, 615, 131, 369, 269, 728, 3
1758414876851, 0, 0, 610, 131, 374, 275, 726, 2
1758414876851, 3, 0, 609, 133, 373, 269, 733, 3
1758414876851, 0, 2, 609, 135, 371, 268, 727, 6
1758414876851, 3, 4, 611, 129, 369, 275, 728, 4
1758414876851, 4, 5, 615, 133, 370, 275, 727, 2
1758414876851, 6, 5, 615, 130, 370, 277, 731, 0
1758414876851, 0, 21, 610, 131, 368, 271, 728, 2
1758414876851, 3, 8, 609, 134, 368, 267, 727, 2
1758414876851, 3, 20, 612, 129, 369, 267, 724, 2
1758414876851, 3, 24, 612, 131, 369, 270, 727, 4
1758414876851, 5, 14, 612, 132, 367, 271, 728, 2
1758414876851, 0, 19, 614, 131, 372, 267, 728, 0
1758414876864, 11, 19, 612, 132, 367, 269, 729, 4
1758414876864, 8, 17, 619, 131, 369, 268, 730, 1
1758414876864, 7, 12, 614, 130, 370, 273, 723, 2
1758414876864, 2, 9, 623, 132, 373, 269, 735, 3
1758414876864, 1, 16, 611, 129, 368, 270, 723, 0
1758414876864, 7, 0, 614, 129, 369, 267, 728, 3
1758414876864, 5, 0, 616, 131, 371, 271, 727, 2
1758414876864, 6, 2, 609, 131, 369, 266, 731, 4
1758414876864, 1, 0, 609, 131, 367, 269, 733, 3
