unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758414900698, Q, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758414900838, 2, 0, 537, 142, 362, 264, 848, 5
1758414900838, 6, 0, 539, 141, 363, 262, 844, 2
1758414900838, 4, 0, 539, 140, 366, 264, 854, 3
1758414900838, 4, 0, 539, 138, 362, 265, 843, 3
1758414900838, 8, 4, 539, 139, 366, 259, 843, 1
1758414900838, 1, 5, 536, 139, 364, 265, 851, 7
1758414900838, 4, 5, 543, 142, 366, 261, 852, 2
1758414900838, 2, 5, 541, 145, 361, 263, 848, 3
1758414900838, 0, 5, 536, 138, 364, 265, 843, 1
1758414900838, 3, 4, 536, 143, 363, 259, 851, 10
1758414900838, 2, 19, 535, 141, 362, 263, 848, 2
1758414900838, 10, 23, 535, 141, 367, 263, 846, 3
1758414900838, 0, 15, 540, 142, 363, 267, 843, 1
1758414900838, 4, 29, 536, 146, 363, 264, 844, 3
1758414900838, 10, 31, 536, 143, 367, 259, 847, 1
1758414900838, 9, 19, 543, 144, 367, 262, 855, 1
1758414900838, 0, 13, 535, 142, 364, 263, 859, 1
1758414900838, 6, 8, 543, 146, 362, 265, 851, 1
1758414900838, 0, 3, 542, 150, 371, 267, 847, 3
1758414900838, 1, 0, 535, 144, 367, 260, 843, 5
1758414900838, 1, 0, 542, 144, 363, 260, 843, 3
1758414900838, 9, 0, 541, 140, 367, 267, 848, 2
1758414900838, 1, 0, 544, 142, 363, 262, 851, 2
1758414900838, 3, 0, 548, 141, 375, 262, 851, 3
1758414900838, 3, 3, 535, 140, 364, 261, 854, 1
1758414900838, 0, 5, 547, 142, 367, 265, 848, 1
1758414900838, 7, 19, 540, 144, 369, 263, 847, 1
1758414900838, 1, 7, 536, 144, 366, 259, 852, 5
1758414900838, 8, 6, 535, 142, 365, 263, 848, 2
1758414900838, 11, 5, 535, 146, 364, 263, 843, 4
1758414900838, 11, 5, 535, 144, 363, 260, 848, 3
1758414900838, 7, 6, 539, 140, 363, 262, 848, 3
