unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415065993, Q, 0, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415066126, 2, 13, 977, 147, 405, 198, 592, 5
1758415066126, 3, 0, 976, 146, 409, 200, 598, 3
1758415066126, 5, 2, 976, 143, 407, 197, 594, 1
1758415066126, 2, 4, 976, 143, 410, 198, 597, 1
1758415066126, 4, 4, 976, 142, 410, 200, 596, 3
1758415066126, 5, 5, 981, 146, 407, 199, 591, 3
1758415066126, 5, 5, 980, 143, 411, 200, 589, 1
1758415066126, 15, 20, 976, 143, 411, 201, 592, 13
1758415066126, 7, 6, 979, 145, 408, 202, 587, 4
1758415066126, 2, 6, 975, 144, 403, 202, 583, 1
1758415066126, 2, 7, 984, 144, 410, 200, 591, 2
1758415066126, 4, 15, 975, 143, 408, 199, 590, 3
1758415066126, 3, 19, 965, 141, 409, 195, 591, 2
1758415066126, 2, 32, 972, 143, 411, 196, 587, 9
1758415066126, 6, 16, 975, 151, 411, 206, 583, 2
1758415066126, 0, 10, 972, 142, 410, 197, 590, 2
1758415066126, 5, 8, 964, 144, 416, 196, 581, 3
1758415066126, 7, 0, 967, 144, 408, 198, 578, 3
1758415066126, 5, 0, 968, 144, 408, 192, 583, 2
1758415066126, 5, 0, 975, 145, 408, 194, 582, 2
1758415066126, 6, 0, 967, 145, 410, 193, 583, 2
1758415066126, 4, 0, 971, 145, 408, 196, 573, 8
1758415066126, 1, 15, 966, 143, 410, 194, 583, 3
1758415066126, 2, 5, 961, 144, 405, 193, 587, 2
1758415066126, 7, 3, 967, 143, 409, 198, 579, 3
1758415066126, 1, 6, 967, 147, 406, 192, 571, 2
1758415066126, 5, 4, 967, 143, 414, 200, 581, 4
1758415066126, 3, 5, 959, 149, 407, 197, 575, 0
1758415066126, 0, 9, 951, 143, 409, 195, 583, 3
1758415066126, 3, 8, 971, 145, 411, 193, 579, 3
1758415066126, 9, 20, 972, 145, 412, 190, 575, 3
1758415066126, 11, 18, 955, 152, 421, 193, 573, 3
1758415066126, 3, 19, 959, 152, 410, 188, 573, 3
1758415066126, 2, 17, 963, 145, 409, 192, 575, 3
1758415066126, 4, 14, 959, 144, 411, 185, 579, 6
1758415066126, 7, 9, 951, 144, 412, 186, 572, 2
1758415066126, 4, 7, 953, 147, 415, 184, 576, 2
1758415066126, 5, 0, 961, 145, 407, 185, 576, 3
1758415066126, 11, 0, 961, 146, 408, 187, 564, 3
1758415066126, 2, 0, 956, 146, 411, 188, 571, 2
1758415066126, 3, 0, 951, 144, 407, 183, 566, 2
1758415066126, 4, 8, 952, 144, 408, 183, 564, 2
1758415066126, 13, 4, 959, 148, 406, 186, 571, 0
1758415066126, 2, 13, 951, 144, 408, 177, 562, 4
1758415066126, 2, 5, 955, 145, 411, 180, 557, 2
1758415066126, 2, 5, 952, 142, 408, 181, 563, 3
1758415066126, 1, 4, 960, 144, 410, 180, 559, 2
1758415066126, 2, 5, 958, 148, 406, 183, 555, 5
1758415066126, 0, 19, 964, 145, 407, 184, 563, 3
1758415066126, 5, 8, 952, 146, 413, 186, 566, 3
1758415066126, 3, 15, 952, 144, 413, 184, 559, 4
1758415066126, 4, 18, 947, 145, 413, 188, 562, 2
1758415066126, 9, 18, 943, 143, 414, 189, 562, 3
1758415066126, 8, 19, 958, 146, 421, 186, 553, 4
1758415066126, 4, 29, 957, 146, 411, 186, 563, 6
1758415066126, 7, 15, 944, 143, 411, 184, 559, 3
1758415066126, 7, 19, 950, 146, 409, 187, 557, 4
1758415066126, 3, 1, 950, 146, 407, 187, 558, 4
1758415066126, 9, 0, 952, 145, 413, 185, 559, 3
1758415066126, 5, 0, 951, 146, 407, 188, 552, 3
1758415066126, 3, 0, 944, 144, 410, 185, 555, 5
1758415066126, 5, 0, 941, 144, 413, 185, 547, 4
1758415066126, 7, 2, 947, 147, 417, 187, 548, 2
1758415066126, 7, 4, 943, 146, 415, 188, 545, 3
1758415066126, 7, 4, 935, 152, 407, 190, 544, 4
1758415066126, 13, 4, 939, 151, 415, 184, 547, 8
1758415066126, 7, 20, 935, 144, 412, 193, 547, 5
1758415066126, 8, 8, 936, 144, 412, 183, 544, 1
1758415066126, 0, 5, 948, 144, 414, 180, 539, 0
1758415066126, 2, 6, 940, 147, 413, 181, 544, 1
1758415066126, 1, 23, 940, 147, 409, 183, 540, 2
1758415066126, 11, 26, 935, 144, 408, 188, 539, 6
1758415066126, 3, 34, 942, 146, 410, 185, 535, 2
1758415066126, 10, 19, 943, 147, 417, 180, 547, 4
1758415066126, 2, 15, 939, 144, 409, 182, 543, 3
1758415066126, 3, 9, 946, 142, 412, 181, 535, 1
1758415066126, 6, 7, 935, 146, 409, 178, 543, 0
1758415066126, 6, 0, 942, 147, 414, 179, 536, 2
1758415066126, 9, 4, 942, 148, 414, 181, 548, 5
1758415066126, 13, 0, 943, 145, 415, 179, 539, 11
1758415066126, 8, 0, 943, 144, 411, 180, 535, 3
1758415066126, 5, 11, 952, 143, 412, 178, 539, 3
1758415066126, 1, 5, 954, 147, 411, 178, 539, 3
1758415066126, 4, 4, 943, 145, 417, 183, 543, 4
1758415066126, 5, 5, 939, 146, 421, 185, 544, 6
1758415066126, 2, 4, 948, 146, 415, 187, 544, 4
1758415066126, 3, 5, 943, 144, 415, 184, 532, 2
1758415066126, 6, 20, 951, 145, 409, 178, 535, 4
1758415066126, 4, 7, 943, 144, 412, 179, 536, 3
1758415066126, 3, 14, 940, 147, 413, 178, 537, 2
1758415066126, 2, 9, 942, 145, 415, 190, 544, 3
1758415066126, 2, 31, 946, 148, 409, 180, 547, 1
1758415066126, 4, 20, 942, 146, 415, 176, 541, 4
1758415066126, 5, 24, 943, 145, 410, 178, 531, 2
1758415066126, 2, 14, 943, 143, 415, 180, 541, 2
1758415066126, 3, 10, 936, 142, 413, 183, 549, 3
1758415066126, 7, 6, 943, 146, 411, 183, 544, 2
1758415066126, 12, 0, 936, 148, 412, 183, 541, 2
1758415066126, 1, 0, 940, 145, 415, 182, 541, 3
1758415066126, 3, 0, 942, 147, 412, 185, 533, 3
1758415066126, 2, 0, 947, 145, 421, 187, 537, 3
1758415066126, 2, 0, 943, 148, 415, 182, 539, 5
1758415066126, 6, 18, 937, 146, 411, 183, 539, 2
1758415066126, 5, 6, 943, 146, 416, 183, 543, 9
1758415066126, 4, 5, 935, 144, 412, 181, 535, 2
1758415066126, 4, 5, 947, 144, 415, 182, 535, 2
1758415066126, 1, 6, 943, 145, 414, 182, 535, 10
1758415066126, 5, 6, 936, 148, 416, 178, 541, 11
1758415066126, 4, 5, 947, 145, 415, 179, 529, 3
1758415066126, 1, 6, 947, 145, 411, 178, 535, 2
1758415066126, 4, 9, 944, 147, 415, 183, 538, 3
1758415066126, 6, 32, 947, 147, 414, 182, 544, 4
1758415066126, 1, 33, 939, 148, 415, 181, 539, 4
1758415066126, 3, 19, 944, 154, 413, 177, 533, 2
1758415066126, 3, 14, 944, 153, 412, 189, 539, 1
1758415066126, 1, 9, 948, 144, 414, 181, 539, 3
1758415066126, 2, 22, 948, 147, 414, 185, 544, 3
1758415066126, 6, 2, 947, 152, 420, 184, 536, 8
1758415066126, 2, 0, 951, 149, 411, 184, 549, 4
1758415066126, 5, 0, 951, 147, 414, 183, 544, 3
1758415066126, 0, 0, 941, 148, 415, 182, 537, 0
1758415066126, 3, 0, 943, 155, 409, 185, 543, 2
