unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415126015, Q, 5, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415126120, 7, 0, 608, 158, 351, 271, 596, 2
1758415126120, 6, 0, 609, 161, 351, 270, 596, 3
1758415126120, 5, 7, 616, 162, 347, 270, 593, 2
1758415126120, 4, 1, 610, 160, 347, 269, 595, 4
1758415126120, 2, 18, 616, 160, 347, 267, 594, 2
1758415126120, 4, 6, 607, 160, 347, 270, 596, 3
1758415126120, 8, 5, 607, 158, 348, 268, 598, 3
1758415126120, 2, 5, 615, 156, 347, 271, 591, 1
1758415126120, 12, 5, 608, 160, 351, 270, 596, 3
1758415126120, 6, 6, 607, 160, 348, 267, 593, 1
1758415126120, 11, 5, 608, 159, 347, 273, 591, 3
1758415126120, 5, 7, 612, 158, 352, 267, 599, 1
1758415126120, 4, 13, 615, 160, 351, 271, 595, 2
1758415126120, 4, 19, 613, 157, 358, 273, 594, 1
1758415126120, 3, 35, 610, 164, 347, 267, 596, 4
1758415126120, 2, 19, 607, 158, 348, 275, 591, 2
1758415126120, 4, 12, 615, 159, 351, 275, 591, 1
1758415126120, 7, 9, 603, 158, 347, 271, 597, 4
1758415126120, 3, 3, 609, 158, 347, 270, 602, 2
1758415126120, 0, 0, 615, 167, 348, 266, 593, 3
1758415126120, 0, 0, 607, 158, 347, 271, 598, 1
1758415126120, 3, 0, 609, 159, 345, 270, 600, 2
1758415126120, 4, 0, 619, 158, 353, 269, 603, 1
1758415126120, 3, 0, 608, 160, 350, 281, 599, 3
1758415126120, 3, 2, 611, 160, 351, 275, 600, 9
1758415126120, 0, 5, 613, 159, 351, 269, 591, 3
1758415126120, 13, 6, 608, 154, 346, 271, 608, 1
1758415126120, 4, 5, 613, 158, 345, 268, 607, 3
1758415126120, 1, 6, 608, 169, 344, 269, 593, 3
1758415126120, 2, 20, 621, 160, 348, 271, 604, 7
1758415126120, 8, 10, 608, 158, 348, 272, 591, 2
1758415126120, 3, 7, 611, 157, 355, 270, 597, 4
1758415126120, 8, 28, 608, 156, 347, 268, 601, 3
1758415126120, 7, 22, 608, 162, 347, 272, 595, 3
1758415126120, 5, 20, 610, 157, 347, 270, 605, 2
1758415126120, 7, 17, 606, 159, 348, 269, 603, 3
1758415126120, 6, 10, 610, 156, 350, 273, 609, 4
1758415126120, 7, 8, 614, 158, 352, 272, 608, 2
1758415126120, 0, 3, 608, 156, 346, 272, 596, 2
1758415126120, 3, 0, 611, 162, 348, 271, 595, 2
1758415126120, 7, 0, 603, 159, 347, 269, 602, 2
1758415126120, 4, 0, 611, 164, 350, 269, 605, 3
1758415126120, 3, 0, 611, 157, 351, 267, 601, 2
1758415126120, 8, 0, 608, 157, 353, 271, 595, 2
