unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415311873, Q, 1, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415311966, 4, 6, 1210, 155, 477, 244, 5, 4
1758415311966, 2, 22, 1212, 156, 480, 237, 4, 3
1758415311966, 7, 14, 1200, 159, 477, 245, 4, 3
1758415311966, 4, 17, 1200, 156, 480, 241, 9, 3
1758415311966, 0, 19, 1216, 156, 480, 241, 0, 3
1758415311966, 5, 19, 1200, 155, 477, 237, 2, 13
1758415311966, 3, 12, 1199, 155, 477, 241, 8, 5
1758415311966, 6, 9, 1207, 155, 479, 239, 0, 1
1758415311966, 0, 3, 1210, 155, 477, 240, 2, 2
1758415311966, 0, 0, 1206, 155, 475, 243, 4, 2
1758415311966, 4, 0, 1200, 157, 475, 249, 0, 1
1758415311966, 2, 9, 1208, 154, 479, 236, 0, 3
1758415311966, 2, 0, 1211, 156, 487, 238, 0, 3
1758415311966, 6, 14, 1207, 153, 480, 239, 0, 4
1758415311966, 3, 4, 1200, 153, 480, 241, 2, 1
1758415311966, 6, 19, 1200, 158, 492, 239, 0, 6
1758415311966, 6, 6, 1207, 156, 489, 242, 0, 4
1758415311966, 3, 5, 1211, 154, 482, 238, 3, 3
1758415311966, 0, 4, 1211, 154, 478, 237, 4, 4
1758415311966, 5, 6, 1204, 156, 479, 237, 0, 2
1758415311966, 5, 20, 1207, 154, 478, 238, 3, 2
1758415311966, 8, 9, 1200, 155, 475, 241, 7, 1
1758415311966, 3, 12, 1211, 152, 478, 235, 4, 2
1758415311966, 9, 31, 1200, 160, 478, 243, 0, 7
1758415311966, 11, 20, 1216, 157, 479, 235, 0, 6
1758415311966, 6, 16, 1195, 157, 478, 235, 1, 4
1758415311966, 8, 10, 1208, 156, 480, 236, 4, 3
1758415311966, 2, 8, 1204, 163, 482, 243, 2, 2
1758415311966, 2, 2, 1216, 158, 474, 239, 8, 4
1758415311966, 7, 0, 1199, 154, 474, 236, 3, 0
1758415311966, 4, 0, 1196, 154, 476, 238, 9, 0
1758415311966, 7, 1, 1199, 156, 475, 236, 1, 2
1758415311966, 4, 0, 1217, 155, 479, 241, 3, 3
1758415311966, 2, 0, 1210, 156, 478, 236, 5, 4
1758415311966, 3, 3, 1211, 155, 478, 243, 0, 2
1758415311966, 2, 18, 1200, 159, 478, 242, 0, 4
1758415311966, 7, 21, 1200, 155, 482, 239, 3, 1
1758415311966, 3, 6, 1207, 156, 475, 240, 0, 1
1758415311966, 3, 5, 1207, 156, 474, 239, 12, 3
1758415311966, 12, 6, 1216, 157, 477, 240, 1, 3
1758415311966, 5, 6, 1200, 154, 477, 237, 0, 3
1758415311966, 3, 6, 1199, 159, 477, 241, 2, 3
1758415311966, 2, 12, 1214, 156, 477, 238, 4, 3
1758415311966, 0, 17, 1216, 156, 473, 239, 3, 4
1758415311966, 6, 18, 1211, 156, 479, 237, 3, 4
1758415311966, 9, 15, 1207, 156, 477, 235, 1, 0
1758415311966, 5, 12, 1208, 155, 477, 239, 0, 6
1758415311966, 6, 9, 1216, 156, 481, 237, 1, 5
1758415311966, 7, 2, 1211, 156, 479, 237, 1, 2
1758415311966, 5, 0, 1207, 154, 478, 246, 1, 0
1758415311966, 4, 0, 1207, 158, 479, 246, 4, 3
1758415311966, 3, 0, 1207, 156, 486, 236, 6, 3
1758415311966, 2, 0, 1207, 156, 479, 237, 1, 3
1758415311966, 2, 1, 1216, 157, 477, 239, 7, 5
1758415311966, 7, 18, 1206, 158, 476, 236, 4, 2
1758415311966, 2, 5, 1200, 167, 478, 235, 4, 2
1758415311966, 3, 5, 1199, 156, 475, 246, 0, 4
1758415311966, 8, 4, 1208, 158, 475, 234, 1, 2
1758415311966, 2, 5, 1200, 165, 480, 242, 4, 4
1758415311966, 5, 5, 1200, 155, 475, 239, 0, 4
1758415311966, 4, 6, 1210, 157, 478, 240, 2, 2
1758415311966, 2, 7, 1204, 156, 476, 236, 4, 7
1758415311966, 3, 12, 1200, 156, 479, 243, 3, 3
1758415311966, 12, 16, 1210, 155, 475, 239, 1, 3
1758415311966, 2, 18, 1200, 156, 475, 239, 5, 2
1758415311966, 4, 30, 1200, 156, 474, 240, 4, 3
1758415311966, 2, 14, 1200, 156, 475, 238, 15, 1
1758415311966, 5, 9, 1210, 157, 479, 235, 11, 1
1758415311966, 3, 18, 1208, 158, 479, 240, 5, 1
1758415311966, 0, 0, 1207, 157, 487, 237, 8, 3
1758415311966, 5, 0, 1199, 157, 475, 238, 2, 3
1758415311966, 5, 0, 1201, 159, 476, 236, 2, 4
1758415311966, 7, 0, 1207, 166, 479, 237, 10, 3
1758415311966, 3, 2, 1216, 156, 479, 238, 3, 2
1758415311966, 0, 3, 1211, 154, 478, 238, 0, 5
1758415311966, 6, 4, 1216, 156, 481, 235, 0, 2
1758415311966, 1, 4, 1207, 156, 479, 239, 0, 2
1758415311966, 2, 5, 1207, 154, 487, 241, 3, 9
1758415311966, 0, 5, 1200, 158, 475, 238, 1, 3
1758415311966, 0, 7, 1210, 156, 478, 239, 3, 2
1758415311966, 7, 5, 1204, 156, 487, 238, 6, 3
1758415311966, 2, 7, 1216, 155, 479, 237, 4, 3
1758415311966, 3, 25, 1210, 156, 479, 237, 3, 2
1758415311966, 0, 33, 1204, 155, 479, 237, 5, 12
1758415311966, 7, 20, 1196, 158, 475, 242, 0, 3
1758415311966, 3, 19, 1208, 157, 479, 234, 0, 4
1758415311966, 5, 12, 1203, 158, 480, 233, 1, 3
1758415311966, 6, 24, 1200, 157, 483, 238, 0, 3
1758415311966, 4, 4, 1211, 156, 477, 239, 3, 3
1758415311966, 1, 0, 1210, 155, 484, 237, 0, 4
1758415311966, 1, 0, 1208, 156, 477, 238, 2, 1
1758415311966, 1, 1, 1201, 156, 480, 238, 10, 3
1758415311966, 4, 0, 1213, 158, 485, 239, 15, 3
1758415311966, 2, 1, 1212, 158, 475, 243, 0, 1
1758415311968, 4, 3, 1199, 158, 477, 237, 5, 1
1758415311969, 7, 3, 1206, 160, 481, 242, 0, 1
1758415311969, 6, 3, 1212, 157, 475, 231, 0, 4
1758415311972, 6, 4, 1199, 157, 475, 239, 8, 2
1758415311972, 6, 5, 1216, 157, 482, 235, 4, 3
1758415311986, 3, 6, 1204, 156, 476, 238, 1, 3
1758415311986, 5, 5, 1201, 155, 479, 243, 0, 3
1758415311986, 2, 7, 1208, 157, 477, 239, 1, 2
1758415311986, 3, 13, 1215, 156, 479, 241, 5, 4
1758415311986, 1, 30, 1199, 156, 479, 243, 3, 3
1758415311986, 10, 20, 1199, 156, 477, 238, 7, 4
1758415311986, 5, 15, 1208, 156, 477, 237, 4, 8
1758415311986, 5, 10, 1210, 159, 482, 241, 6, 1
1758415311986, 0, 9, 1199, 159, 485, 241, 3, 2
1758415311986, 0, 3, 1198, 157, 476, 239, 4, 3
1758415311986, 1, 0, 1211, 165, 479, 237, 0, 2
1758415311986, 0, 0, 1216, 156, 483, 237, 9, 1
1758415311986, 1, 15, 1212, 154, 479, 238, 0, 3
1758415311986, 3, 0, 1213, 157, 481, 240, 0, 5
1758415311986, 2, 2, 1215, 154, 479, 249, 2, 4
1758415311994, 4, 4, 1211, 158, 480, 243, 4, 3
1758415311994, 7, 4, 1199, 156, 477, 240, 0, 6
1758415311994, 7, 19, 1210, 155, 479, 239, 0, 0
1758415311995, 3, 6, 1208, 163, 479, 241, 7, 4
1758415311995, 3, 4, 1210, 155, 477, 239, 1, 4
1758415311995, 1, 6, 1199, 155, 475, 239, 4, 4
1758415311995, 3, 6, 1201, 156, 479, 238, 0, 3
1758415311995, 2, 7, 1199, 162, 484, 239, 2, 4
1758415312007, 4, 15, 1199, 156, 482, 243, 0, 4
1758415312007, 5, 32, 1200, 157, 475, 241, 10, 4
1758415312007, 9, 28, 1208, 157, 483, 240, 1, 0
1758415312007, 5, 17, 1199, 167, 476, 233, 5, 0
1758415312007, 2, 10, 1211, 157, 477, 237, 3, 3
1758415312007, 0, 7, 1208, 157, 479, 240, 1, 3
1758415312007, 9, 3, 1208, 161, 477, 238, 4, 3
1758415312007, 2, 0, 1204, 158, 475, 237, 2, 3
1758415312007, 1, 0, 1210, 156, 476, 240, 1, 2
1758415312007, 0, 1, 1210, 155, 475, 240, 2, 1
1758415312007, 3, 0, 1200, 157, 475, 238, 3, 2
1758415312007, 10, 1, 1216, 154, 475, 239, 6, 2
1758415312019, 2, 3, 1203, 156, 475, 238, 2, 2
1758415312019, 1, 3, 1208, 156, 477, 235, 6, 1
1758415312019, 5, 5, 1216, 155, 477, 244, 3, 4
1758415312019, 3, 5, 1212, 157, 475, 239, 0, 6
1758415312019, 3, 5, 1199, 156, 475, 240, 0, 6
1758415312019, 4, 6, 1199, 157, 476, 240, 0, 3
1758415312019, 3, 8, 1208, 163, 475, 240, 2, 3
1758415312019, 4, 8, 1215, 156, 485, 242, 3, 1
1758415312019, 7, 15, 1208, 157, 483, 238, 4, 1
1758415312019, 4, 17, 1199, 157, 477, 243, 1, 0
1758415312019, 3, 16, 1203, 152, 479, 237, 10, 2
1758415312019, 1, 15, 1211, 153, 477, 240, 3, 5
1758415312031, 8, 11, 1217, 157, 478, 241, 2, 3
1758415312031, 7, 8, 1201, 157, 477, 237, 0, 4
1758415312031, 2, 0, 1208, 154, 480, 247, 1, 0
1758415312031, 1, 0, 1212, 161, 479, 243, 1, 3
1758415312031, 4, 3, 1215, 156, 479, 238, 0, 1
1758415312031, 5, 1, 1216, 158, 473, 247, 1, 3
1758415312031, 4, 0, 1207, 158, 478, 237, 4, 2
1758415312031, 1, 16, 1206, 156, 491, 248, 2, 3
1758415312031, 3, 20, 1208, 158, 477, 240, 3, 3
1758415312031, 0, 6, 1214, 156, 477, 242, 0, 3
1758415312031, 0, 18, 1201, 155, 475, 241, 3, 3
1758415312031, 3, 7, 1222, 156, 478, 241, 3, 3
1758415312031, 6, 5, 1215, 155, 477, 250, 0, 2
1758415312044, 5, 5, 1211, 158, 480, 249, 3, 2
1758415312044, 7, 20, 1201, 159, 477, 242, 2, 1
1758415312044, 3, 15, 1208, 155, 477, 240, 1, 3
1758415312044, 7, 16, 1215, 158, 479, 240, 2, 2
1758415312044, 6, 17, 1215, 155, 477, 240, 9, 3
1758415312044, 10, 18, 1215, 157, 479, 240, 3, 2
1758415312044, 4, 14, 1207, 156, 485, 241, 3, 6
1758415312044, 3, 25, 1208, 162, 476, 241, 0, 2
1758415312044, 2, 10, 1211, 158, 475, 239, 2, 7
1758415312044, 6, 1, 1199, 158, 477, 238, 0, 5
1758415312044, 4, 0, 1200, 157, 479, 242, 0, 7
1758415312044, 2, 13, 1199, 165, 483, 240, 0, 5
1758415312056, 12, 1, 1211, 156, 479, 238, 5, 2
1758415312056, 7, 0, 1215, 154, 481, 238, 5, 3
1758415312056, 4, 1, 1199, 157, 475, 239, 2, 2
1758415312056, 0, 3, 1211, 158, 477, 239, 2, 3
1758415312056, 3, 17, 1208, 157, 478, 238, 0, 2
1758415312056, 4, 7, 1215, 158, 484, 240, 4, 4
1758415312056, 2, 5, 1212, 157, 473, 239, 8, 12
1758415312056, 13, 6, 1199, 157, 475, 242, 4, 3
1758415312056, 5, 6, 1208, 156, 479, 240, 10, 4
1758415312056, 8, 6, 1202, 156, 479, 240, 6, 2
1758415312056, 8, 8, 1199, 159, 475, 243, 1, 3
1758415312056, 5, 15, 1210, 156, 478, 241, 5, 3
1758415312069, 0, 19, 1211, 157, 483, 238, 2, 4
1758415312069, 4, 33, 1199, 159, 478, 238, 0, 5
1758415312069, 5, 16, 1215, 161, 478, 243, 7, 1
1758415312069, 5, 11, 1211, 154, 483, 239, 4, 2
1758415312069, 3, 7, 1199, 156, 478, 251, 2, 2
1758415312069, 4, 1, 1201, 158, 479, 240, 0, 4
1758415312069, 6, 10, 1211, 157, 474, 238, 1, 4
1758415312069, 8, 0, 1216, 156, 479, 241, 0, 0
1758415312069, 6, 0, 1201, 155, 475, 242, 2, 1
1758415312069, 4, 0, 1208, 157, 479, 238, 0, 3
1758415312069, 0, 2, 1211, 159, 486, 242, 4, 3
1758415312069, 4, 3, 1214, 155, 487, 243, 2, 1
1758415312069, 5, 11, 1215, 159, 476, 241, 5, 6
1758415312081, 7, 6, 1203, 158, 479, 245, 2, 1
1758415312081, 1, 4, 1212, 158, 475, 243, 5, 3
1758415312081, 0, 6, 1208, 155, 477, 237, 3, 3
1758415312081, 7, 5, 1211, 156, 482, 251, 3, 2
1758415312081, 3, 6, 1217, 159, 473, 240, 3, 4
1758415312081, 3, 8, 1220, 159, 483, 239, 2, 2
1758415312081, 6, 27, 1207, 159, 475, 240, 1, 3
1758415312081, 0, 19, 1214, 155, 478, 240, 5, 9
1758415312081, 7, 32, 1203, 155, 475, 238, 3, 3
1758415312081, 0, 17, 1199, 156, 477, 240, 8, 3
1758415312081, 6, 9, 1213, 157, 479, 239, 0, 3
1758415312081, 3, 5, 1215, 158, 482, 238, 4, 1
1758415312092, 3, 1, 1203, 158, 473, 241, 10, 5
1758415312092, 0, 0, 1219, 158, 473, 238, 1, 0
1758415312092, 4, 0, 1215, 157, 475, 239, 1, 2
1758415312092, 4, 0, 1215, 155, 477, 239, 0, 12
1758415312092, 0, 9, 1216, 158, 479, 240, 1, 3
1758415312092, 3, 4, 1216, 165, 487, 237, 5, 4
1758415312092, 7, 3, 1216, 157, 476, 238, 0, 4
1758415312092, 0, 4, 1200, 164, 479, 237, 2, 8
1758415312092, 1, 3, 1210, 166, 478, 239, 5, 6
1758415312092, 1, 4, 1210, 158, 479, 240, 0, 0
1758415312092, 1, 19, 1208, 159, 479, 237, 4, 5
1758415312092, 6, 7, 1216, 157, 490, 239, 0, 7
1758415312105, 3, 5, 1204, 157, 475, 239, 5, 7
1758415312105, 7, 17, 1211, 158, 475, 240, 1, 2
1758415312105, 10, 16, 1216, 157, 478, 239, 2, 2
1758415312105, 6, 31, 1199, 159, 483, 239, 0, 1
1758415312105, 9, 32, 1208, 158, 492, 242, 3, 3
1758415312105, 2, 15, 1207, 159, 477, 249, 6, 5
1758415312105, 3, 9, 1216, 159, 479, 236, 2, 3
1758415312105, 0, 22, 1201, 157, 479, 240, 4, 3
1758415312105, 0, 2, 1217, 158, 487, 240, 0, 2
1758415312105, 1, 7, 1212, 157, 483, 238, 3, 2
1758415312105, 7, 0, 1203, 163, 478, 239, 6, 3
1758415312105, 0, 13, 1207, 167, 477, 241, 3, 4
1758415312117, 4, 0, 1215, 154, 479, 239, 1, 1
1758415312117, 3, 3, 1214, 160, 477, 245, 4, 9
1758415312117, 5, 4, 1208, 155, 488, 247, 6, 3
1758415312117, 10, 4, 1214, 157, 476, 237, 2, 1
1758415312117, 2, 4, 1208, 159, 478, 239, 3, 2
1758415312117, 0, 16, 1200, 157, 477, 237, 3, 3
1758415312117, 3, 6, 1203, 159, 483, 239, 0, 2
1758415312117, 4, 6, 1208, 158, 483, 238, 0, 6
1758415312117, 3, 7, 1216, 159, 485, 240, 3, 3
1758415312117, 3, 8, 1203, 158, 483, 241, 0, 13
1758415312117, 7, 15, 1212, 157, 482, 243, 3, 3
1758415312117, 9, 32, 1212, 159, 483, 241, 1, 2
1758415312129, 6, 30, 1208, 158, 480, 240, 3, 2
1758415312129, 0, 15, 1215, 158, 476, 237, 5, 3
1758415312129, 5, 10, 1216, 156, 480, 238, 8, 2
1758415312129, 5, 6, 1228, 158, 478, 240, 0, 2
1758415312129, 5, 1, 1219, 161, 480, 240, 2, 2
1758415312129, 7, 0, 1215, 158, 482, 237, 4, 6
1758415312129, 0, 0, 1199, 159, 476, 241, 2, 4
1758415312129, 3, 0, 1208, 156, 476, 240, 3, 3
1758415312129, 3, 0, 1216, 156, 479, 239, 0, 2
1758415312129, 1, 3, 1217, 159, 476, 248, 0, 3
1758415312129, 3, 3, 1216, 158, 477, 240, 0, 5
1758415312129, 3, 15, 1213, 157, 486, 242, 1, 2
1758415312129, 15, 21, 1219, 158, 477, 236, 2, 7
1758415312142, 0, 7, 1223, 159, 476, 242, 2, 2
1758415312142, 5, 5, 1215, 157, 476, 244, 8, 5
1758415312142, 3, 5, 1215, 157, 478, 249, 3, 0
1758415312142, 6, 6, 1214, 158, 478, 237, 0, 3
1758415312142, 4, 25, 1208, 159, 477, 241, 3, 3
1758415312142, 8, 19, 1203, 157, 488, 237, 3, 3
1758415312142, 3, 17, 1215, 155, 479, 239, 4, 4
1758415312142, 7, 16, 1202, 155, 477, 238, 2, 3
1758415312142, 3, 26, 1210, 157, 479, 241, 0, 5
1758415312142, 7, 10, 1215, 156, 480, 243, 0, 3
1758415312142, 3, 6, 1203, 155, 479, 239, 1, 7
1758415312142, 2, 0, 1203, 159, 476, 240, 0, 3
1758415312142, 1, 0, 1199, 157, 478, 238, 2, 3
1758415312154, 0, 0, 1215, 156, 483, 240, 0, 2
1758415312154, 1, 0, 1212, 158, 478, 249, 0, 2
