unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415507395, Q, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415507451, 8, 13, 307, 96, 303, 179, 28, 3
1758415507451, 1, 2, 301, 98, 300, 187, 26, 2
1758415507451, 3, 1, 307, 97, 301, 178, 27, 1
1758415507451, 10, 3, 302, 100, 302, 177, 26, 3
1758415507451, 0, 4, 305, 97, 307, 178, 28, 2
1758415507451, 0, 6, 303, 99, 307, 182, 28, 3
1758415507451, 0, 4, 302, 97, 306, 177, 27, 3
1758415507451, 0, 18, 304, 97, 313, 175, 26, 3
1758415507451, 2, 19, 301, 96, 304, 180, 28, 2
1758415507451, 0, 7, 304, 96, 317, 177, 27, 3
1758415507451, 4, 7, 304, 96, 303, 176, 28, 2
1758415507451, 0, 8, 307, 98, 305, 178, 27, 3
1758415507451, 0, 27, 304, 97, 309, 179, 26, 3
1758415507451, 1, 15, 307, 97, 305, 176, 27, 2
1758415507451, 11, 14, 307, 95, 304, 177, 26, 2
1758415507451, 11, 23, 304, 97, 304, 177, 27, 2
1758415507451, 9, 25, 304, 98, 304, 177, 25, 3
1758415507451, 0, 24, 304, 96, 314, 178, 26, 3
1758415507451, 11, 12, 304, 97, 304, 183, 27, 12
1758415507451, 12, 2, 302, 96, 306, 178, 26, 3
1758415507451, 6, 2, 308, 94, 307, 177, 35, 3
1758415507451, 7, 0, 310, 94, 300, 176, 28, 3
1758415507451, 2, 0, 307, 95, 313, 176, 27, 2
1758415507451, 9, 3, 306, 99, 304, 176, 27, 3
1758415507451, 8, 4, 305, 93, 302, 176, 26, 5
1758415507451, 2, 4, 304, 97, 309, 176, 27, 3
1758415507451, 0, 20, 306, 95, 303, 177, 27, 2
1758415507451, 1, 7, 307, 94, 304, 180, 28, 4
1758415507451, 0, 6, 304, 95, 304, 179, 28, 3
1758415507451, 0, 5, 308, 95, 299, 180, 28, 4
1758415507451, 2, 5, 309, 96, 300, 180, 28, 2
1758415507451, 1, 8, 307, 96, 300, 188, 29, 3
1758415507451, 1, 13, 303, 96, 302, 178, 27, 3
1758415507451, 5, 13, 308, 96, 302, 176, 28, 2
1758415507451, 16, 13, 309, 97, 306, 178, 28, 10
1758415507451, 3, 25, 305, 97, 302, 179, 31, 2
1758415507451, 0, 11, 306, 96, 313, 177, 26, 3
1758415507451, 0, 22, 306, 96, 305, 184, 29, 3
1758415507451, 5, 5, 307, 95, 304, 185, 27, 2
1758415507451, 0, 2, 302, 95, 304, 177, 27, 4
1758415507451, 0, 3, 311, 96, 303, 178, 28, 2
1758415507451, 0, 0, 304, 108, 301, 176, 27, 3
1758415507451, 8, 1, 307, 99, 301, 176, 27, 3
1758415507451, 10, 4, 307, 98, 300, 176, 27, 3
1758415507451, 4, 4, 315, 100, 303, 180, 27, 4
1758415507451, 15, 5, 313, 99, 300, 181, 29, 2
1758415507451, 0, 5, 305, 100, 305, 177, 28, 4
1758415507451, 0, 5, 307, 100, 307, 180, 27, 4
1758415507451, 5, 5, 305, 98, 308, 176, 29, 2
1758415507451, 8, 6, 304, 100, 306, 178, 28, 4
1758415507451, 3, 6, 303, 99, 307, 178, 27, 3
1758415507451, 9, 8, 303, 101, 300, 183, 27, 2
1758415507451, 5, 27, 306, 109, 304, 178, 31, 3
1758415507451, 6, 15, 307, 102, 301, 176, 28, 2
1758415507451, 2, 14, 307, 100, 306, 177, 28, 3
1758415507451, 14, 24, 304, 101, 302, 181, 31, 4
1758415507451, 6, 10, 305, 100, 300, 178, 27, 2
1758415507451, 8, 7, 305, 101, 298, 177, 33, 2
1758415507451, 7, 4, 302, 100, 302, 177, 35, 5
1758415507451, 7, 1, 304, 101, 298, 181, 26, 3
1758415507451, 3, 2, 304, 102, 302, 178, 27, 3
1758415507451, 7, 15, 306, 101, 303, 187, 26, 8
1758415507451, 8, 3, 309, 101, 299, 176, 27, 3
1758415507451, 8, 4, 305, 97, 300, 178, 24, 2
1758415507451, 5, 5, 307, 100, 305, 178, 26, 3
1758415507451, 0, 5, 307, 100, 303, 177, 27, 7
1758415507451, 11, 5, 311, 102, 300, 177, 26, 1
1758415507451, 8, 13, 306, 101, 300, 176, 27, 2
1758415507451, 5, 6, 305, 101, 295, 179, 26, 3
1758415507451, 3, 6, 303, 102, 302, 179, 27, 3
1758415507451, 7, 6, 304, 109, 303, 176, 27, 3
1758415507451, 0, 14, 304, 101, 301, 179, 28, 2
1758415507451, 4, 14, 304, 106, 299, 178, 29, 2
1758415507451, 10, 28, 305, 100, 299, 177, 28, 3
1758415507451, 7, 14, 306, 101, 303, 179, 27, 4
1758415507451, 14, 10, 307, 102, 305, 178, 27, 14
1758415507451, 0, 8, 306, 103, 304, 182, 27, 3
1758415507451, 0, 6, 306, 101, 301, 178, 27, 3
1758415507451, 1, 3, 304, 105, 302, 179, 27, 3
1758415507451, 7, 1, 306, 101, 307, 176, 27, 8
1758415507451, 0, 2, 304, 101, 307, 176, 26, 2
1758415507451, 2, 0, 306, 101, 304, 177, 27, 2
1758415507451, 3, 17, 304, 100, 306, 180, 25, 3
1758415507451, 0, 5, 307, 101, 309, 179, 27, 3
1758415507451, 0, 5, 304, 102, 306, 178, 26, 13
1758415507451, 0, 9, 311, 102, 309, 178, 32, 3
