unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415567417, Q, 3, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415567563, 3, 17, 731, 159, 390, 255, 478, 9
1758415567563, 4, 19, 727, 166, 387, 263, 483, 1
1758415567563, 6, 17, 724, 156, 385, 257, 475, 3
1758415567563, 12, 15, 723, 159, 384, 260, 476, 4
1758415567563, 8, 11, 723, 155, 387, 257, 482, 2
1758415567563, 8, 7, 720, 158, 384, 259, 475, 3
1758415567563, 8, 15, 720, 156, 387, 260, 477, 2
1758415567563, 0, 0, 724, 165, 388, 255, 477, 8
1758415567563, 9, 0, 727, 156, 386, 259, 479, 2
1758415567563, 4, 0, 728, 159, 388, 256, 477, 2
1758415567563, 2, 0, 720, 158, 385, 257, 479, 2
1758415567563, 2, 2, 727, 158, 384, 256, 475, 4
1758415567563, 5, 3, 718, 157, 387, 258, 479, 3
1758415567563, 9, 5, 724, 157, 393, 261, 475, 6
1758415567563, 15, 4, 727, 158, 384, 260, 469, 2
1758415567563, 9, 5, 720, 158, 384, 259, 482, 7
1758415567563, 9, 6, 731, 160, 390, 259, 479, 8
1758415567563, 3, 17, 719, 156, 386, 257, 481, 3
1758415567563, 3, 7, 725, 160, 392, 256, 482, 4
1758415567563, 0, 8, 721, 163, 386, 257, 477, 3
1758415567563, 2, 31, 719, 158, 388, 255, 477, 4
1758415567563, 5, 20, 726, 158, 389, 257, 480, 6
1758415567563, 3, 18, 724, 157, 396, 263, 476, 4
1758415567563, 4, 15, 727, 158, 382, 256, 473, 2
1758415567563, 8, 10, 719, 159, 388, 259, 475, 2
1758415567563, 13, 7, 720, 161, 384, 256, 482, 3
1758415567563, 5, 1, 726, 157, 384, 253, 479, 4
1758415567563, 0, 0, 719, 157, 384, 259, 481, 4
1758415567563, 6, 0, 719, 158, 385, 258, 479, 1
1758415567563, 3, 0, 728, 157, 388, 255, 475, 3
1758415567563, 4, 10, 724, 157, 392, 256, 475, 2
1758415567563, 3, 3, 726, 160, 388, 259, 476, 0
1758415567563, 2, 11, 720, 158, 388, 254, 479, 2
1758415567563, 11, 4, 732, 158, 385, 258, 480, 3
