unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758415615429, Q, -2, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758415615617, 14, 4, 1503, 130, 333, 187, 8, 1
1758415615617, 7, 4, 1503, 134, 332, 183, 0, 3
1758415615617, 8, 5, 1502, 135, 332, 187, 0, 1
1758415615617, 6, 5, 1502, 131, 333, 188, 5, 1
1758415615617, 3, 5, 1511, 134, 331, 193, 0, 5
1758415615617, 5, 21, 1496, 140, 334, 186, 0, 3
1758415615617, 3, 8, 1510, 135, 331, 187, 0, 5
1758415615617, 5, 11, 1511, 134, 331, 186, 1, 3
1758415615617, 6, 18, 1519, 134, 334, 187, 7, 3
1758415615617, 4, 19, 1495, 131, 333, 185, 3, 3
1758415615617, 5, 17, 1511, 132, 334, 187, 0, 3
1758415615617, 11, 13, 1511, 132, 334, 185, 0, 4
1758415615617, 8, 9, 1502, 133, 332, 187, 4, 2
1758415615617, 5, 5, 1503, 133, 333, 186, 0, 4
1758415615617, 5, 0, 1502, 133, 331, 191, 0, 8
1758415615617, 4, 0, 1497, 136, 333, 186, 2, 3
1758415615617, 3, 1, 1496, 135, 335, 185, 5, 3
1758415615617, 0, 0, 1495, 139, 334, 192, 3, 3
1758415615617, 3, 0, 1495, 134, 331, 190, 0, 2
1758415615617, 6, 2, 1511, 139, 334, 188, 4, 3
1758415615617, 1, 3, 1504, 133, 333, 187, 1, 4
1758415615617, 3, 19, 1510, 143, 332, 184, 5, 0
1758415615617, 1, 7, 1511, 134, 335, 187, 4, 1
1758415615617, 10, 5, 1520, 132, 332, 190, 0, 0
1758415615617, 6, 4, 1511, 133, 346, 183, 2, 2
1758415615617, 4, 5, 1495, 135, 335, 186, 0, 6
1758415615617, 8, 7, 1502, 135, 339, 187, 0, 9
1758415615617, 4, 27, 1504, 134, 337, 186, 5, 3
1758415615617, 4, 21, 1495, 133, 336, 189, 3, 2
1758415615617, 4, 21, 1511, 134, 332, 188, 1, 6
1758415615617, 1, 32, 1515, 134, 335, 187, 4, 3
1758415615617, 3, 30, 1495, 135, 331, 188, 2, 2
1758415615617, 4, 27, 1499, 135, 331, 187, 4, 0
1758415615617, 11, 16, 1520, 134, 336, 190, 3, 3
1758415615617, 1, 0, 1504, 134, 334, 189, 13, 3
1758415615617, 5, 0, 1504, 136, 332, 188, 3, 10
1758415615617, 3, 7, 1504, 135, 331, 188, 2, 2
1758415615617, 4, 0, 1492, 136, 335, 188, 3, 2
1758415615617, 5, 0, 1511, 133, 333, 187, 2, 7
1758415615617, 5, 6, 1495, 130, 336, 189, 0, 4
