unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417231487, R, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417231547, 11, 11, 425, 84, 181, 403, 0, 3
1758417231547, 3, 23, 435, 86, 180, 403, 3, 3
1758417231547, 2, 13, 431, 86, 180, 404, 0, 3
1758417231547, 1, 3, 434, 86, 175, 409, 2, 3
1758417231547, 3, 3, 435, 89, 171, 410, 2, 2
1758417231547, 1, 3, 427, 90, 174, 406, 3, 3
1758417231547, 1, 0, 430, 97, 173, 411, 3, 5
1758417231547, 3, 2, 437, 89, 177, 412, 5, 2
1758417231547, 6, 3, 439, 89, 177, 414, 1, 2
1758417231547, 5, 3, 440, 94, 178, 409, 0, 3
1758417231547, 9, 5, 439, 89, 178, 413, 1, 3
1758417231547, 11, 5, 440, 88, 177, 408, 1, 3
1758417231547, 3, 4, 441, 89, 178, 413, 2, 3
1758417231547, 3, 18, 432, 86, 179, 409, 3, 2
1758417231547, 2, 22, 443, 87, 186, 414, 2, 2
1758417231547, 3, 8, 439, 86, 177, 409, 2, 2
1758417231547, 4, 24, 440, 88, 176, 414, 2, 3
1758417231547, 7, 29, 440, 84, 182, 414, 1, 3
1758417231547, 6, 15, 445, 86, 180, 411, 1, 0
1758417231547, 4, 12, 440, 85, 175, 411, 1, 2
1758417231547, 8, 12, 436, 86, 177, 423, 3, 2
1758417231547, 5, 23, 437, 89, 174, 415, 2, 4
1758417231547, 2, 7, 440, 86, 183, 415, 3, 6
1758417231547, 1, 16, 443, 87, 178, 415, 2, 2
1758417231547, 2, 17, 443, 85, 176, 413, 2, 2
1758417231547, 3, 4, 445, 86, 171, 425, 4, 1
1758417231547, 0, 1, 441, 84, 172, 413, 3, 3
1758417231547, 1, 1, 444, 85, 173, 418, 2, 2
1758417231547, 0, 3, 443, 97, 174, 411, 1, 3
1758417231547, 10, 5, 447, 87, 172, 412, 1, 3
1758417231547, 4, 5, 443, 84, 172, 404, 2, 11
1758417231547, 3, 4, 452, 87, 180, 402, 1, 3
1758417231547, 4, 5, 439, 85, 171, 407, 1, 3
1758417231547, 5, 5, 443, 86, 175, 404, 2, 3
1758417231547, 4, 5, 444, 85, 174, 404, 0, 3
1758417231547, 3, 6, 440, 86, 173, 397, 2, 2
1758417231547, 3, 8, 443, 86, 174, 402, 2, 3
1758417231547, 4, 27, 441, 84, 174, 400, 0, 2
1758417231547, 1, 14, 446, 87, 177, 398, 3, 3
1758417231547, 4, 13, 446, 84, 176, 401, 4, 3
1758417231547, 2, 9, 444, 87, 178, 397, 1, 1
1758417231547, 2, 23, 446, 89, 173, 403, 2, 4
1758417231547, 2, 6, 442, 85, 171, 398, 3, 4
1758417231547, 3, 1, 440, 83, 172, 395, 0, 7
1758417231547, 4, 0, 442, 84, 185, 389, 2, 2
1758417231547, 11, 5, 441, 94, 175, 386, 2, 3
1758417231547, 5, 0, 442, 86, 174, 392, 1, 3
1758417231547, 3, 12, 435, 89, 178, 389, 1, 6
1758417231547, 2, 4, 440, 85, 179, 392, 0, 3
1758417231547, 0, 4, 448, 83, 178, 393, 1, 2
1758417231547, 4, 5, 439, 84, 179, 388, 3, 3
1758417231547, 2, 5, 436, 87, 177, 384, 2, 3
1758417231547, 5, 4, 425, 86, 190, 387, 0, 4
1758417231547, 7, 5, 429, 85, 181, 382, 1, 3
1758417231547, 3, 5, 426, 85, 180, 385, 7, 2
1758417231547, 6, 19, 431, 86, 179, 383, 3, 2
1758417231547, 5, 25, 419, 84, 192, 381, 2, 2
1758417231547, 1, 18, 429, 86, 181, 371, 2, 3
1758417231551, 9, 29, 428, 87, 179, 379, 2, 9
1758417231551, 0, 28, 423, 84, 181, 376, 3, 7
1758417231551, 5, 12, 423, 86, 182, 372, 1, 3
1758417231551, 3, 9, 421, 85, 179, 374, 1, 3
1758417231551, 0, 5, 428, 84, 181, 364, 1, 4
1758417231551, 0, 2, 427, 83, 182, 369, 1, 3
1758417231552, 6, 15, 420, 85, 182, 361, 1, 4
1758417231553, 2, 17, 415, 85, 195, 357, 0, 2
1758417231557, 3, 1, 416, 87, 193, 366, 1, 2
1758417231557, 4, 3, 419, 84, 184, 377, 3, 3
1758417231557, 8, 18, 424, 82, 181, 373, 2, 3
1758417231571, 7, 6, 428, 83, 181, 373, 2, 10
1758417231571, 1, 5, 419, 82, 187, 375, 0, 2
1758417231571, 0, 16, 424, 83, 180, 372, 2, 3
1758417231571, 3, 6, 429, 86, 185, 371, 1, 3
1758417231571, 3, 6, 425, 83, 184, 378, 2, 2
1758417231571, 7, 5, 423, 83, 180, 375, 2, 2
1758417231571, 3, 5, 427, 82, 186, 375, 1, 2
1758417231571, 2, 9, 427, 85, 180, 367, 2, 3
1758417231571, 4, 14, 424, 86, 188, 369, 3, 11
1758417231571, 0, 14, 424, 83, 184, 371, 1, 2
1758417231571, 3, 27, 428, 82, 182, 371, 2, 3
1758417231571, 2, 12, 427, 86, 182, 367, 1, 3
1758417231571, 2, 8, 423, 86, 189, 368, 6, 6
1758417231571, 3, 4, 427, 83, 187, 360, 1, 7
1758417231571, 1, 1, 428, 94, 182, 365, 3, 2
1758417231584, 4, 0, 429, 85, 179, 367, 3, 4
1758417231584, 0, 3, 431, 85, 180, 365, 1, 3
1758417231584, 0, 14, 430, 84, 180, 363, 1, 3
1758417231584, 2, 4, 427, 94, 180, 355, 1, 1
1758417231584, 0, 4, 431, 86, 179, 355, 1, 2
1758417231584, 5, 4, 427, 86, 179, 350, 1, 6
1758417231584, 3, 5, 419, 86, 181, 355, 2, 4
1758417231584, 2, 4, 429, 85, 182, 359, 2, 4
1758417231584, 8, 4, 417, 84, 177, 357, 0, 1
1758417231584, 7, 4, 420, 84, 180, 361, 2, 2
1758417231584, 3, 5, 416, 85, 178, 361, 2, 3
1758417231584, 6, 7, 415, 83, 184, 360, 1, 3
1758417231598, 5, 10, 411, 85, 184, 364, 2, 2
1758417231598, 5, 14, 410, 86, 184, 360, 2, 4
1758417231598, 0, 15, 408, 92, 184, 361, 1, 1
1758417231598, 0, 13, 411, 84, 181, 354, 2, 4
1758417231598, 5, 10, 411, 83, 192, 355, 3, 2
1758417231598, 7, 7, 407, 84, 183, 356, 1, 12
1758417231598, 0, 4, 406, 83, 184, 349, 1, 3
1758417231598, 5, 1, 404, 89, 184, 359, 0, 3
1758417231598, 5, 0, 405, 84, 183, 351, 0, 3
1758417231598, 2, 1, 399, 84, 193, 345, 5, 3
1758417231598, 6, 0, 395, 84, 189, 359, 0, 4
1758417231598, 6, 1, 399, 83, 193, 361, 3, 2
1758417231598, 6, 2, 392, 84, 190, 351, 1, 3
1758417231598, 5, 3, 388, 85, 194, 352, 8, 4
1758417231598, 6, 11, 390, 86, 194, 345, 1, 3
1758417231611, 2, 5, 394, 84, 192, 350, 3, 3
1758417231611, 7, 5, 388, 85, 192, 353, 2, 3
1758417231611, 10, 3, 384, 85, 193, 355, 2, 1
1758417231611, 3, 4, 377, 86, 191, 349, 8, 2
1758417231611, 4, 7, 377, 85, 191, 354, 3, 3
1758417231611, 5, 11, 377, 86, 192, 353, 1, 2
1758417231611, 3, 17, 379, 83, 190, 354, 5, 3
1758417231611, 2, 18, 382, 84, 193, 352, 2, 1
1758417231611, 7, 30, 383, 82, 193, 353, 3, 4
1758417231611, 8, 13, 383, 84, 190, 353, 1, 3
1758417231611, 5, 8, 377, 82, 192, 364, 3, 3
1758417231611, 3, 16, 386, 84, 190, 357, 1, 3
1758417231625, 11, 0, 391, 83, 193, 359, 2, 1
1758417231625, 1, 0, 396, 84, 192, 361, 2, 3
1758417231625, 13, 1, 387, 85, 192, 359, 2, 2
1758417231625, 1, 0, 390, 84, 191, 362, 2, 7
1758417231625, 4, 0, 392, 83, 194, 361, 2, 2
1758417231625, 2, 3, 391, 84, 189, 361, 1, 2
1758417231625, 3, 3, 389, 94, 197, 357, 2, 4
1758417231625, 0, 3, 395, 83, 196, 360, 8, 2
1758417231625, 6, 5, 384, 86, 198, 363, 3, 3
1758417231625, 14, 18, 399, 85, 206, 363, 3, 3
1758417231625, 1, 6, 400, 87, 196, 362, 2, 2
1758417231625, 1, 6, 400, 84, 202, 359, 9, 3
1758417231625, 1, 7, 400, 85, 201, 361, 1, 3
1758417231625, 6, 11, 397, 86, 199, 360, 4, 2
1758417231625, 3, 17, 404, 84, 199, 368, 2, 10
1758417231639, 7, 18, 405, 86, 206, 364, 2, 1
1758417231639, 0, 15, 401, 82, 200, 364, 3, 3
1758417231639, 2, 15, 404, 85, 200, 370, 2, 2
1758417231639, 5, 10, 414, 92, 199, 363, 3, 1
1758417231639, 2, 10, 411, 94, 198, 368, 1, 1
1758417231639, 3, 0, 411, 88, 199, 368, 0, 2
1758417231639, 3, 0, 421, 87, 210, 365, 1, 2
