unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417255500, R, 1, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417255557, 3, 0, 351, 125, 384, 360, 2, 2
1758417255557, 7, 17, 354, 132, 381, 361, 8, 3
1758417255557, 8, 6, 349, 126, 379, 357, 1, 3
1758417255557, 3, 3, 350, 128, 383, 359, 0, 2
1758417255557, 5, 4, 349, 128, 389, 355, 0, 1
1758417255557, 9, 19, 349, 128, 380, 356, 3, 3
1758417255557, 4, 7, 351, 126, 380, 358, 0, 3
1758417255557, 7, 5, 351, 124, 380, 355, 2, 2
1758417255557, 3, 7, 353, 126, 381, 354, 8, 2
1758417255557, 2, 10, 348, 126, 380, 356, 1, 3
1758417255557, 6, 31, 350, 130, 380, 353, 3, 1
1758417255557, 6, 34, 353, 128, 383, 357, 0, 3
1758417255557, 3, 18, 351, 126, 385, 357, 0, 10
1758417255557, 2, 12, 359, 127, 379, 354, 4, 1
1758417255557, 5, 10, 348, 124, 380, 358, 0, 2
1758417255557, 5, 17, 347, 124, 375, 356, 11, 2
1758417255557, 6, 17, 350, 127, 380, 355, 0, 2
1758417255557, 2, 0, 351, 136, 378, 357, 0, 3
1758417255557, 3, 5, 351, 125, 383, 355, 0, 2
1758417255557, 1, 0, 349, 135, 375, 356, 2, 3
1758417255557, 7, 14, 348, 126, 379, 353, 3, 3
1758417255557, 7, 20, 350, 127, 381, 353, 8, 4
1758417255557, 2, 6, 348, 126, 376, 356, 3, 4
1758417255557, 11, 4, 350, 133, 376, 352, 7, 2
1758417255557, 10, 4, 351, 125, 381, 356, 1, 2
1758417255557, 4, 4, 348, 126, 379, 356, 6, 3
1758417255557, 10, 5, 352, 125, 381, 357, 2, 2
1758417255557, 7, 5, 355, 133, 377, 361, 0, 11
1758417255557, 7, 6, 350, 127, 376, 355, 1, 2
1758417255557, 3, 24, 349, 129, 381, 355, 3, 9
1758417255557, 4, 17, 345, 128, 380, 355, 10, 2
1758417255557, 4, 18, 348, 125, 375, 357, 1, 2
1758417255557, 0, 16, 347, 127, 387, 357, 0, 2
1758417255557, 3, 11, 348, 126, 378, 359, 11, 3
1758417255557, 7, 8, 346, 129, 378, 363, 1, 3
1758417255557, 4, 20, 347, 127, 380, 361, 2, 3
1758417255557, 5, 2, 344, 126, 375, 358, 1, 3
1758417255557, 0, 0, 351, 126, 376, 357, 1, 3
1758417255557, 2, 1, 345, 125, 378, 352, 9, 3
1758417255557, 3, 0, 343, 126, 378, 354, 3, 2
1758417255557, 5, 11, 345, 127, 387, 352, 2, 3
1758417255557, 0, 4, 345, 126, 379, 355, 0, 2
1758417255557, 10, 3, 349, 128, 374, 353, 2, 3
1758417255557, 2, 4, 345, 127, 379, 356, 1, 3
1758417255557, 6, 4, 352, 125, 374, 352, 10, 7
1758417255557, 2, 3, 349, 127, 374, 359, 2, 2
1758417255557, 5, 6, 347, 126, 375, 363, 3, 2
1758417255557, 5, 6, 350, 126, 385, 361, 3, 2
1758417255557, 6, 7, 355, 126, 378, 357, 1, 3
1758417255557, 4, 11, 349, 125, 383, 358, 2, 3
1758417255557, 2, 16, 345, 137, 376, 363, 0, 3
1758417255557, 2, 16, 348, 129, 377, 358, 1, 3
1758417255557, 0, 14, 347, 127, 376, 363, 2, 2
1758417255557, 4, 12, 348, 126, 375, 363, 3, 3
1758417255557, 3, 9, 349, 128, 373, 367, 11, 5
1758417255559, 6, 4, 353, 126, 374, 362, 0, 3
1758417255559, 6, 0, 343, 126, 377, 362, 1, 1
1758417255559, 8, 0, 343, 128, 376, 365, 2, 4
1758417255559, 4, 0, 345, 127, 387, 361, 3, 3
1758417255562, 2, 0, 346, 126, 377, 360, 2, 2
