unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417279511, R, 3, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417279599, 6, 23, 343, 126, 369, 399, 1, 1
1758417279599, 3, 14, 344, 125, 368, 400, 3, 3
1758417279599, 4, 17, 343, 123, 370, 403, 2, 1
1758417279599, 11, 16, 344, 123, 371, 399, 2, 4
1758417279599, 7, 23, 346, 132, 377, 402, 1, 1
1758417279599, 0, 11, 347, 124, 368, 396, 3, 3
1758417279599, 7, 9, 349, 124, 371, 399, 0, 2
1758417279599, 0, 3, 344, 127, 365, 405, 3, 3
1758417279599, 3, 0, 343, 125, 369, 399, 2, 3
1758417279599, 8, 0, 343, 122, 371, 397, 11, 3
1758417279599, 7, 1, 345, 122, 365, 396, 1, 3
1758417279599, 4, 0, 349, 129, 364, 395, 3, 3
1758417279599, 16, 2, 345, 122, 367, 397, 1, 2
1758417279599, 4, 3, 346, 122, 370, 398, 4, 1
1758417279599, 3, 4, 346, 124, 372, 399, 1, 3
1758417279599, 4, 5, 344, 121, 367, 400, 1, 5
1758417279599, 4, 5, 344, 122, 368, 397, 3, 4
1758417279599, 3, 5, 346, 123, 367, 407, 2, 2
1758417279599, 2, 5, 345, 121, 373, 400, 2, 5
1758417279599, 4, 5, 342, 121, 368, 401, 2, 1
1758417279599, 3, 7, 347, 121, 372, 397, 4, 3
1758417279599, 3, 12, 353, 126, 368, 400, 0, 2
1758417279599, 4, 16, 345, 122, 369, 397, 2, 3
1758417279599, 4, 16, 345, 124, 368, 403, 1, 2
1758417279599, 2, 14, 345, 122, 371, 396, 4, 3
1758417279599, 2, 11, 348, 122, 367, 401, 0, 2
1758417279599, 10, 8, 344, 130, 365, 403, 2, 3
1758417279599, 7, 2, 342, 124, 368, 400, 2, 4
1758417279599, 5, 0, 345, 121, 371, 401, 7, 3
1758417279599, 1, 0, 343, 122, 371, 400, 1, 1
1758417279599, 3, 1, 346, 122, 368, 403, 0, 2
1758417279599, 4, 0, 347, 124, 371, 400, 1, 3
1758417279599, 4, 2, 343, 124, 367, 399, 3, 3
1758417279599, 6, 3, 347, 121, 371, 401, 2, 3
1758417279599, 0, 3, 344, 121, 370, 405, 7, 3
1758417279599, 5, 15, 348, 123, 367, 400, 3, 2
1758417279599, 2, 6, 349, 123, 371, 397, 2, 3
1758417279599, 2, 5, 347, 123, 371, 405, 3, 3
1758417279599, 3, 4, 349, 126, 370, 405, 5, 5
1758417279599, 0, 21, 347, 123, 374, 401, 3, 3
1758417279599, 6, 9, 350, 124, 371, 403, 2, 6
1758417279599, 7, 13, 344, 127, 370, 400, 10, 3
1758417279599, 0, 15, 347, 131, 375, 400, 2, 3
1758417279599, 7, 16, 346, 121, 368, 406, 3, 2
1758417279599, 5, 14, 347, 124, 367, 400, 1, 3
1758417279599, 6, 9, 347, 122, 370, 399, 2, 4
1758417279599, 5, 23, 347, 124, 371, 400, 2, 2
1758417279599, 5, 5, 348, 123, 371, 400, 2, 2
1758417279599, 5, 0, 348, 124, 370, 399, 2, 0
1758417279599, 0, 0, 347, 123, 371, 400, 1, 2
1758417279599, 6, 1, 346, 123, 367, 400, 1, 3
1758417279599, 1, 0, 349, 121, 375, 400, 2, 3
1758417279599, 4, 2, 347, 127, 371, 397, 3, 3
1758417279599, 8, 3, 349, 122, 368, 403, 0, 4
1758417279599, 2, 4, 345, 126, 368, 397, 0, 3
1758417279599, 3, 17, 349, 121, 365, 400, 2, 2
1758417279599, 6, 6, 347, 122, 368, 400, 2, 3
1758417279599, 5, 6, 350, 123, 368, 403, 2, 2
1758417279599, 6, 4, 349, 122, 371, 397, 3, 2
1758417279599, 0, 5, 351, 122, 371, 397, 2, 2
1758417279599, 6, 7, 351, 122, 371, 407, 1, 3
1758417279599, 1, 14, 352, 122, 373, 400, 3, 8
1758417279599, 6, 14, 351, 131, 370, 397, 2, 3
1758417279599, 0, 16, 348, 123, 368, 402, 2, 3
1758417279599, 0, 14, 347, 122, 371, 403, 2, 8
1758417279599, 1, 10, 345, 121, 371, 396, 2, 3
1758417279599, 5, 24, 349, 123, 368, 400, 1, 4
1758417279599, 7, 17, 350, 121, 377, 398, 2, 3
1758417279599, 4, 1, 349, 121, 367, 405, 1, 3
1758417279599, 11, 0, 346, 127, 370, 395, 2, 3
1758417279599, 9, 2, 345, 122, 368, 402, 1, 2
1758417279599, 4, 0, 344, 123, 368, 396, 2, 3
1758417279599, 2, 14, 347, 131, 368, 396, 1, 5
1758417279599, 1, 17, 348, 121, 370, 396, 2, 4
1758417279599, 3, 6, 349, 123, 371, 397, 1, 1
