unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417303519, R, 5, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417303672, 4, 6, 473, 102, 271, 552, 1, 3
1758417303672, 12, 7, 469, 102, 265, 541, 1, 3
1758417303672, 3, 14, 481, 113, 270, 549, 2, 2
1758417303672, 3, 28, 480, 103, 277, 547, 1, 2
1758417303672, 4, 18, 472, 105, 271, 552, 2, 11
1758417303672, 11, 14, 475, 106, 269, 552, 5, 2
1758417303672, 0, 10, 472, 105, 276, 563, 1, 4
1758417303672, 7, 8, 472, 105, 266, 570, 1, 4
1758417303672, 2, 2, 473, 107, 264, 563, 3, 3
1758417303672, 2, 0, 480, 102, 264, 567, 2, 2
1758417303672, 3, 0, 479, 102, 261, 563, 3, 3
1758417303672, 0, 16, 473, 102, 263, 556, 2, 3
1758417303672, 12, 0, 477, 103, 260, 551, 3, 2
1758417303672, 1, 1, 478, 101, 264, 571, 2, 3
1758417303672, 3, 3, 487, 102, 260, 559, 0, 2
1758417303672, 3, 2, 477, 103, 258, 573, 1, 4
1758417303672, 3, 16, 471, 103, 255, 576, 5, 2
1758417303672, 1, 5, 491, 104, 258, 576, 2, 3
1758417303672, 2, 5, 473, 103, 256, 580, 2, 2
1758417303672, 4, 5, 469, 101, 254, 579, 2, 2
1758417303672, 2, 5, 470, 103, 258, 582, 1, 3
1758417303672, 4, 6, 469, 103, 260, 581, 6, 3
1758417303672, 4, 15, 472, 105, 259, 587, 3, 3
1758417303672, 5, 16, 469, 107, 262, 587, 1, 3
1758417303672, 9, 16, 471, 105, 256, 583, 2, 7
1758417303672, 3, 13, 472, 107, 256, 590, 1, 3
1758417303672, 2, 9, 467, 109, 254, 585, 4, 1
1758417303672, 3, 7, 469, 108, 256, 579, 2, 3
1758417303672, 5, 2, 467, 107, 257, 584, 0, 3
1758417303672, 7, 0, 465, 106, 255, 579, 1, 3
1758417303672, 2, 0, 468, 106, 257, 580, 1, 3
1758417303672, 4, 0, 468, 107, 258, 588, 2, 3
1758417303672, 4, 0, 468, 106, 253, 583, 1, 3
1758417303672, 2, 14, 468, 105, 259, 589, 2, 2
1758417303672, 2, 5, 464, 106, 254, 595, 0, 2
1758417303672, 4, 5, 480, 105, 253, 596, 2, 2
1758417303672, 6, 4, 475, 106, 250, 589, 4, 3
1758417303672, 6, 5, 473, 113, 248, 596, 1, 2
1758417303672, 1, 4, 468, 107, 251, 598, 1, 8
1758417303672, 2, 5, 464, 108, 247, 598, 2, 3
1758417303672, 6, 5, 462, 108, 252, 599, 2, 3
1758417303672, 0, 7, 464, 109, 252, 608, 1, 3
1758417303672, 0, 13, 468, 108, 258, 607, 4, 3
1758417303672, 3, 15, 467, 107, 256, 602, 3, 4
1758417303672, 5, 14, 463, 108, 255, 604, 1, 3
1758417303672, 5, 16, 464, 106, 256, 599, 1, 3
1758417303672, 2, 9, 469, 108, 260, 599, 1, 2
1758417303672, 6, 6, 464, 107, 253, 601, 2, 3
1758417303672, 5, 17, 463, 106, 254, 601, 0, 3
