unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417739596, R, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417739786, 2, 24, 459, 84, 320, 168, 2, 1
1758417739786, 1, 7, 453, 91, 314, 163, 0, 4
1758417739786, 1, 2, 453, 86, 314, 166, 4, 4
1758417739786, 0, 0, 451, 86, 315, 163, 1, 3
1758417739786, 0, 17, 443, 87, 313, 166, 0, 4
1758417739786, 13, 0, 451, 84, 320, 162, 0, 8
1758417739786, 6, 1, 448, 87, 311, 163, 1, 2
1758417739786, 0, 4, 451, 83, 314, 163, 0, 3
1758417739786, 6, 4, 453, 85, 312, 160, 0, 2
1758417739786, 6, 4, 452, 86, 314, 163, 3, 2
1758417739786, 1, 5, 459, 85, 316, 158, 1, 3
1758417739786, 6, 5, 463, 84, 313, 157, 2, 10
1758417739786, 2, 20, 460, 96, 315, 160, 3, 3
1758417739786, 7, 7, 462, 86, 316, 153, 1, 3
1758417739786, 10, 19, 469, 85, 317, 157, 1, 2
1758417739786, 9, 12, 467, 86, 316, 165, 2, 2
1758417739786, 2, 15, 471, 86, 316, 157, 2, 5
1758417739786, 1, 30, 470, 86, 315, 154, 1, 2
1758417739786, 12, 16, 471, 84, 315, 158, 3, 3
1758417739786, 3, 11, 465, 84, 313, 157, 0, 3
1758417739786, 7, 8, 470, 85, 324, 156, 0, 4
1758417739786, 5, 4, 474, 83, 315, 154, 3, 4
1758417739786, 10, 15, 472, 85, 315, 153, 2, 2
1758417739786, 0, 16, 478, 96, 316, 164, 1, 1
1758417739786, 7, 19, 477, 88, 323, 149, 4, 2
1758417739786, 9, 1, 476, 88, 313, 151, 1, 1
1758417739786, 0, 1, 471, 86, 313, 153, 3, 3
1758417739786, 0, 14, 477, 86, 317, 149, 4, 3
1758417739786, 6, 6, 477, 87, 316, 143, 0, 2
1758417739786, 2, 4, 482, 87, 316, 147, 2, 4
1758417739786, 22, 4, 486, 88, 316, 140, 2, 4
1758417739786, 0, 20, 483, 87, 315, 144, 1, 2
1758417739786, 8, 7, 483, 88, 316, 147, 12, 3
1758417739786, 5, 6, 487, 87, 316, 146, 1, 2
1758417739786, 4, 7, 482, 87, 317, 143, 1, 3
1758417739786, 4, 11, 481, 88, 315, 145, 1, 8
1758417739786, 7, 15, 487, 88, 320, 143, 1, 4
1758417739786, 16, 16, 492, 89, 319, 141, 5, 2
1758417739786, 8, 14, 486, 89, 318, 137, 3, 6
1758417739786, 6, 11, 491, 91, 313, 139, 4, 2
1758417739786, 0, 24, 493, 88, 318, 142, 0, 2
1758417739786, 0, 6, 491, 88, 315, 139, 2, 2
1758417739786, 3, 0, 493, 88, 319, 141, 3, 3
1758417739786, 0, 0, 489, 89, 317, 139, 5, 2
1758417739786, 0, 1, 491, 90, 316, 148, 1, 1
1758417739786, 5, 0, 493, 90, 317, 143, 1, 12
1758417739786, 0, 1, 503, 89, 315, 143, 4, 5
1758417739786, 0, 4, 489, 100, 315, 143, 4, 1
1758417739786, 4, 4, 497, 90, 319, 147, 1, 2
1758417739786, 6, 5, 502, 88, 316, 146, 2, 3
1758417739786, 6, 5, 503, 92, 321, 144, 4, 3
1758417739786, 2, 4, 492, 90, 316, 147, 4, 3
1758417739786, 7, 5, 496, 93, 316, 149, 2, 4
1758417739786, 8, 6, 493, 94, 316, 149, 3, 4
1758417739786, 6, 7, 503, 92, 318, 149, 3, 5
1758417739786, 7, 24, 499, 91, 317, 157, 1, 11
1758417739786, 4, 18, 498, 93, 319, 152, 2, 3
1758417739786, 11, 17, 507, 92, 315, 151, 7, 0
1758417739786, 23, 15, 499, 94, 318, 153, 1, 1
1758417739786, 0, 10, 499, 92, 315, 155, 1, 3
1758417739786, 0, 24, 497, 94, 319, 156, 1, 4
1758417739786, 4, 7, 507, 91, 315, 152, 3, 1
1758417739786, 5, 0, 498, 91, 314, 151, 0, 3
1758417739786, 3, 0, 499, 94, 316, 155, 0, 2
1758417739786, 0, 1, 499, 91, 311, 151, 1, 3
1758417739786, 1, 0, 504, 93, 314, 155, 4, 2
1758417739786, 3, 0, 505, 92, 320, 150, 0, 4
1758417739786, 0, 4, 499, 91, 312, 154, 4, 3
1758417739786, 0, 4, 505, 91, 312, 152, 0, 3
1758417739786, 2, 5, 507, 93, 315, 153, 1, 4
1758417739786, 2, 5, 511, 91, 310, 155, 1, 3
1758417739786, 3, 5, 504, 93, 313, 155, 3, 0
1758417739786, 4, 19, 504, 99, 317, 154, 1, 2
1758417739786, 2, 18, 505, 92, 314, 156, 3, 4
1758417739786, 2, 8, 510, 92, 317, 155, 1, 2
1758417739786, 6, 18, 508, 94, 313, 155, 1, 4
1758417739786, 13, 18, 513, 97, 313, 157, 2, 1
1758417739786, 13, 19, 506, 99, 311, 156, 3, 3
1758417739786, 0, 16, 517, 97, 311, 158, 4, 3
1758417739786, 0, 12, 503, 96, 313, 154, 0, 5
1758417739786, 5, 9, 509, 99, 316, 161, 3, 2
1758417739786, 0, 3, 512, 96, 315, 157, 4, 2
1758417739786, 0, 0, 507, 97, 312, 159, 3, 2
1758417739786, 3, 0, 511, 95, 314, 157, 0, 11
1758417739786, 2, 0, 507, 96, 315, 158, 2, 4
1758417739786, 0, 0, 511, 95, 312, 157, 1, 3
1758417739786, 13, 0, 513, 97, 312, 159, 0, 1
1758417739786, 6, 3, 512, 96, 312, 169, 1, 2
