unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417763604, R, 0, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417763750, 2, 9, 399, 149, 316, 275, 0, 3
1758417763750, 8, 7, 408, 153, 318, 278, 2, 3
1758417763750, 3, 3, 405, 150, 316, 271, 1, 6
1758417763750, 0, 0, 403, 148, 319, 271, 2, 3
1758417763750, 1, 0, 403, 148, 318, 271, 1, 2
1758417763750, 3, 2, 403, 151, 319, 267, 1, 4
1758417763750, 4, 0, 402, 149, 318, 270, 2, 4
1758417763750, 4, 3, 407, 150, 322, 269, 3, 0
1758417763750, 3, 3, 398, 150, 319, 273, 2, 2
1758417763750, 11, 4, 403, 147, 319, 272, 1, 4
1758417763750, 3, 4, 397, 153, 319, 272, 1, 2
1758417763750, 6, 5, 399, 158, 313, 270, 1, 4
1758417763750, 19, 5, 403, 151, 319, 267, 3, 4
1758417763750, 8, 5, 402, 150, 318, 273, 1, 4
1758417763750, 7, 6, 400, 153, 317, 273, 1, 3
1758417763750, 6, 7, 403, 150, 320, 273, 1, 2
1758417763750, 4, 12, 411, 151, 317, 271, 3, 2
1758417763750, 3, 14, 401, 154, 319, 269, 0, 3
1758417763750, 3, 14, 401, 151, 317, 268, 1, 4
1758417763750, 6, 12, 399, 149, 315, 269, 0, 2
1758417763750, 0, 9, 409, 151, 320, 273, 2, 2
1758417763750, 0, 21, 400, 157, 319, 267, 0, 4
1758417763750, 4, 18, 404, 149, 318, 271, 1, 2
1758417763750, 12, 3, 399, 152, 317, 271, 2, 2
1758417763750, 0, 0, 403, 150, 325, 267, 1, 3
1758417763750, 0, 17, 406, 151, 317, 271, 2, 5
1758417763750, 5, 0, 405, 151, 318, 273, 2, 11
1758417763750, 5, 3, 400, 150, 320, 271, 2, 6
1758417763750, 8, 3, 400, 150, 321, 268, 0, 2
1758417763750, 5, 5, 403, 149, 320, 273, 3, 3
1758417763750, 5, 9, 402, 149, 323, 272, 4, 1
1758417763750, 15, 5, 406, 151, 319, 278, 0, 2
1758417763750, 0, 5, 407, 149, 315, 271, 1, 4
1758417763750, 8, 5, 405, 150, 317, 271, 0, 2
1758417763750, 0, 13, 403, 150, 320, 269, 1, 1
1758417763750, 3, 22, 404, 150, 318, 271, 1, 3
1758417763750, 5, 14, 398, 149, 322, 269, 1, 2
1758417763750, 5, 14, 407, 150, 320, 267, 3, 3
1758417763750, 2, 16, 400, 148, 318, 274, 2, 4
1758417763750, 0, 13, 400, 149, 320, 273, 2, 2
1758417763750, 5, 11, 399, 151, 321, 267, 1, 11
1758417763750, 8, 8, 402, 152, 323, 269, 4, 2
1758417763750, 15, 13, 403, 150, 319, 273, 3, 3
1758417763750, 3, 15, 404, 158, 325, 270, 1, 1
1758417763750, 12, 13, 401, 154, 321, 270, 1, 2
1758417763750, 4, 18, 406, 149, 331, 271, 1, 2
1758417763750, 7, 0, 402, 150, 320, 267, 7, 2
1758417763750, 6, 3, 398, 151, 320, 269, 2, 8
1758417763750, 8, 3, 399, 149, 320, 273, 2, 2
1758417763750, 0, 4, 403, 149, 317, 271, 2, 3
1758417763750, 5, 6, 415, 150, 318, 273, 2, 2
1758417763750, 10, 5, 403, 150, 322, 269, 2, 3
1758417763750, 12, 20, 403, 150, 319, 269, 0, 3
1758417763750, 2, 7, 403, 149, 319, 270, 1, 3
1758417763750, 5, 6, 413, 149, 317, 273, 2, 2
1758417763750, 3, 7, 403, 149, 318, 275, 4, 3
1758417763750, 5, 12, 405, 151, 326, 270, 1, 2
1758417763750, 3, 13, 404, 151, 323, 269, 2, 4
1758417763750, 6, 26, 403, 152, 320, 275, 2, 4
1758417763750, 2, 28, 400, 149, 323, 274, 0, 3
1758417763750, 2, 26, 400, 153, 317, 277, 4, 4
1758417763750, 5, 25, 407, 150, 316, 275, 0, 1
1758417763750, 0, 5, 407, 149, 318, 272, 6, 2
1758417763750, 1, 1, 412, 149, 318, 274, 1, 5
1758417763750, 15, 0, 406, 148, 321, 274, 1, 2
1758417763750, 2, 2, 405, 149, 319, 272, 1, 2
1758417763750, 4, 0, 407, 149, 315, 273, 1, 3
1758417763750, 0, 3, 405, 148, 319, 272, 2, 3
1758417763750, 4, 4, 403, 151, 322, 275, 2, 3
1758417763750, 11, 4, 403, 148, 329, 273, 0, 6
1758417763750, 8, 4, 416, 150, 316, 272, 1, 2
1758417763750, 6, 5, 407, 150, 319, 268, 1, 6
1758417763750, 8, 5, 405, 151, 317, 279, 9, 3
1758417763750, 11, 5, 408, 150, 319, 275, 0, 3
1758417763750, 0, 19, 410, 147, 319, 279, 2, 2
1758417763750, 4, 8, 408, 150, 320, 283, 2, 3
1758417763750, 7, 13, 408, 148, 322, 270, 0, 3
1758417763750, 3, 15, 409, 148, 318, 271, 2, 3
1758417763750, 1, 15, 410, 151, 320, 272, 1, 5
1758417763750, 2, 11, 405, 150, 317, 273, 1, 2
1758417763750, 6, 8, 416, 150, 329, 274, 3, 2
1758417763750, 7, 6, 410, 155, 319, 272, 0, 3
1758417763750, 4, 2, 405, 150, 317, 277, 2, 2
1758417763750, 5, 7, 408, 151, 315, 273, 1, 4
1758417763750, 5, 0, 409, 150, 321, 275, 1, 3
1758417763750, 5, 1, 404, 148, 321, 273, 2, 2
1758417763750, 2, 8, 409, 150, 321, 275, 2, 3
1758417763750, 2, 19, 407, 149, 317, 283, 1, 3
1758417763750, 6, 5, 405, 150, 326, 272, 2, 2
1758417763750, 0, 7, 407, 149, 321, 274, 1, 3
1758417763750, 4, 5, 408, 149, 320, 276, 7, 2
1758417763750, 8, 5, 407, 150, 319, 271, 2, 4
1758417763750, 7, 5, 411, 150, 319, 271, 1, 3
1758417763750, 6, 5, 405, 149, 318, 270, 2, 3
1758417763750, 3, 5, 413, 151, 317, 280, 2, 3
1758417763750, 0, 7, 410, 150, 318, 275, 1, 11
1758417763750, 5, 13, 411, 150, 317, 275, 2, 3
1758417763750, 13, 27, 407, 149, 319, 271, 3, 3
1758417763750, 4, 17, 405, 146, 317, 273, 3, 3
1758417763750, 6, 12, 409, 148, 319, 275, 3, 3
1758417763750, 2, 9, 408, 154, 319, 274, 1, 3
