unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417835637, R, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417835742, 6, 7, 396, 171, 322, 307, 10, 2
1758417835742, 0, 14, 397, 165, 319, 308, 3, 3
1758417835742, 4, 15, 402, 163, 323, 308, 2, 2
1758417835742, 1, 13, 392, 162, 320, 305, 2, 3
1758417835742, 0, 11, 396, 162, 320, 301, 0, 1
1758417835742, 1, 9, 399, 164, 319, 310, 4, 2
1758417835742, 1, 6, 397, 164, 319, 311, 0, 3
1758417835742, 3, 1, 396, 162, 321, 309, 4, 2
1758417835742, 1, 14, 397, 163, 322, 309, 2, 3
1758417835742, 4, 3, 395, 163, 324, 305, 1, 2
1758417835742, 0, 0, 396, 161, 322, 307, 10, 2
1758417835742, 2, 0, 398, 161, 321, 310, 2, 3
1758417835742, 4, 3, 399, 162, 323, 305, 2, 2
1758417835742, 8, 3, 399, 163, 318, 307, 3, 8
1758417835742, 0, 19, 392, 162, 320, 307, 10, 3
1758417835742, 6, 7, 394, 165, 321, 304, 1, 2
1758417835742, 3, 21, 392, 165, 321, 311, 0, 3
1758417835742, 8, 7, 395, 164, 323, 308, 2, 3
1758417835742, 2, 5, 398, 163, 324, 307, 2, 4
1758417835742, 3, 6, 394, 171, 320, 305, 1, 2
1758417835742, 1, 22, 395, 162, 320, 304, 1, 3
1758417835742, 5, 15, 393, 162, 322, 305, 2, 4
1758417835742, 6, 14, 397, 163, 321, 306, 0, 3
1758417835742, 7, 13, 395, 161, 325, 306, 1, 4
1758417835742, 7, 22, 396, 166, 323, 304, 2, 7
1758417835742, 2, 9, 399, 161, 324, 304, 7, 3
1758417835742, 10, 6, 393, 162, 331, 303, 3, 8
1758417835742, 8, 1, 391, 164, 320, 306, 3, 4
1758417835742, 0, 0, 397, 161, 320, 305, 1, 2
1758417835742, 1, 1, 398, 163, 320, 305, 11, 3
1758417835742, 3, 0, 398, 163, 320, 305, 1, 3
1758417835742, 2, 14, 393, 171, 320, 305, 2, 3
1758417835742, 4, 5, 391, 165, 323, 302, 2, 3
1758417835742, 0, 20, 393, 165, 321, 309, 3, 3
1758417835742, 1, 7, 393, 164, 321, 308, 2, 2
1758417835742, 1, 5, 398, 161, 320, 310, 2, 1
1758417835742, 1, 5, 396, 164, 325, 305, 1, 2
1758417835742, 4, 5, 398, 167, 319, 304, 2, 2
1758417835742, 7, 5, 397, 163, 325, 307, 3, 3
1758417835742, 5, 6, 398, 167, 319, 304, 1, 1
1758417835742, 2, 8, 396, 173, 321, 304, 2, 3
1758417835742, 5, 14, 396, 165, 321, 305, 6, 3
1758417835742, 4, 14, 396, 164, 325, 309, 2, 2
1758417835742, 5, 14, 400, 162, 320, 304, 0, 3
1758417835742, 8, 10, 397, 161, 326, 301, 1, 4
1758417835742, 0, 9, 397, 163, 322, 304, 1, 3
1758417835742, 0, 6, 398, 161, 321, 303, 2, 2
1758417835742, 0, 1, 394, 164, 320, 304, 2, 3
1758417835742, 3, 0, 396, 162, 322, 304, 2, 3
1758417835742, 2, 0, 398, 172, 320, 307, 2, 1
1758417835742, 4, 0, 399, 164, 323, 307, 1, 3
1758417835742, 2, 15, 403, 165, 323, 304, 1, 4
1758417835742, 2, 5, 393, 162, 320, 307, 3, 3
1758417835742, 0, 5, 395, 163, 327, 305, 2, 3
1758417835742, 8, 4, 391, 162, 319, 304, 1, 11
1758417835742, 0, 5, 392, 162, 324, 305, 3, 1
1758417835742, 1, 5, 392, 162, 325, 304, 3, 1
1758417835742, 4, 5, 391, 164, 324, 307, 0, 4
1758417835742, 6, 5, 392, 165, 321, 309, 1, 3
1758417835742, 4, 6, 395, 167, 331, 304, 7, 2
1758417835742, 8, 8, 395, 163, 324, 303, 2, 3
1758417835742, 7, 13, 403, 164, 320, 306, 2, 3
1758417835742, 10, 14, 392, 163, 320, 304, 2, 3
1758417835742, 8, 13, 394, 165, 324, 303, 1, 2
1758417835742, 13, 11, 395, 161, 324, 303, 3, 2
1758417835742, 2, 23, 392, 160, 325, 308, 1, 2
1758417835742, 0, 8, 394, 162, 326, 305, 0, 3
1758417835742, 4, 1, 392, 165, 323, 307, 1, 2
1758417835742, 6, 0, 396, 164, 321, 307, 1, 2
1758417835742, 0, 16, 394, 163, 324, 307, 1, 5
1758417835742, 2, 1, 399, 164, 321, 307, 2, 2
1758417835742, 1, 0, 394, 164, 320, 307, 2, 11
1758417835742, 4, 3, 390, 164, 320, 306, 2, 3
1758417835742, 6, 4, 389, 163, 324, 307, 2, 3
1758417835742, 4, 19, 396, 162, 321, 307, 11, 5
1758417835742, 1, 7, 395, 165, 319, 308, 3, 5
1758417835742, 5, 5, 395, 164, 329, 309, 2, 3
1758417835742, 6, 20, 395, 163, 325, 306, 3, 3
1758417835742, 4, 7, 392, 166, 322, 310, 2, 2
1758417835742, 2, 7, 392, 169, 323, 314, 1, 2
1758417835742, 2, 8, 403, 164, 322, 304, 2, 3
1758417835742, 5, 13, 393, 165, 324, 305, 4, 3
1758417835742, 5, 14, 396, 168, 321, 307, 0, 3
1758417835742, 9, 14, 393, 166, 320, 307, 1, 3
1758417835742, 7, 11, 394, 167, 321, 306, 0, 2
1758417835742, 0, 8, 398, 164, 323, 301, 2, 3
1758417835742, 0, 9, 397, 165, 323, 304, 0, 2
