unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758417847648, R, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758417847715, 4, 19, 476, 145, 304, 273, 7, 11
1758417847715, 6, 7, 483, 153, 303, 270, 3, 9
1758417847715, 0, 5, 479, 146, 311, 271, 1, 2
1758417847715, 4, 6, 483, 150, 307, 268, 3, 2
1758417847715, 0, 7, 475, 145, 301, 270, 0, 3
1758417847715, 2, 12, 475, 153, 304, 268, 2, 1
1758417847715, 9, 14, 476, 144, 304, 280, 2, 2
1758417847715, 3, 13, 483, 144, 307, 270, 3, 3
1758417847715, 3, 11, 479, 145, 305, 273, 2, 3
1758417847715, 7, 9, 477, 145, 306, 282, 1, 4
1758417847715, 6, 7, 483, 155, 306, 271, 2, 3
1758417847715, 7, 18, 475, 142, 304, 270, 2, 2
1758417847715, 7, 1, 481, 142, 303, 275, 4, 6
1758417847715, 2, 14, 479, 152, 304, 269, 1, 4
1758417847715, 6, 19, 483, 145, 304, 274, 3, 11
1758417847715, 3, 15, 482, 143, 304, 273, 1, 3
1758417847715, 5, 4, 483, 142, 304, 269, 8, 4
1758417847715, 1, 4, 479, 143, 304, 274, 1, 2
1758417847715, 3, 4, 483, 145, 306, 272, 0, 2
1758417847715, 0, 4, 479, 144, 306, 271, 3, 2
1758417847715, 4, 5, 483, 143, 307, 274, 3, 1
1758417847715, 9, 6, 477, 144, 315, 271, 1, 3
1758417847715, 2, 5, 480, 152, 303, 275, 7, 3
1758417847715, 0, 5, 480, 145, 304, 272, 3, 2
1758417847715, 6, 9, 482, 144, 307, 272, 2, 3
1758417847715, 4, 10, 476, 143, 302, 272, 5, 3
1758417847715, 0, 13, 477, 145, 304, 275, 1, 3
1758417847715, 7, 13, 483, 148, 307, 273, 1, 1
1758417847715, 11, 11, 479, 143, 305, 272, 1, 4
1758417847715, 7, 16, 480, 143, 304, 272, 1, 3
1758417847715, 6, 8, 478, 144, 309, 271, 0, 3
1758417847715, 5, 5, 491, 142, 304, 273, 2, 3
