unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758418065999, R, 4, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758418066136, 3, 6, 655, 165, 373, 324, 0, 2
1758418066136, 1, 6, 659, 166, 384, 325, 6, 3
1758418066136, 1, 12, 655, 166, 375, 332, 2, 10
1758418066136, 5, 29, 651, 165, 375, 324, 1, 4
1758418066136, 0, 14, 653, 164, 374, 328, 3, 4
1758418066136, 10, 12, 659, 164, 371, 328, 1, 10
1758418066136, 5, 9, 654, 163, 371, 327, 2, 5
1758418066136, 8, 7, 647, 164, 377, 329, 2, 3
1758418066136, 0, 4, 655, 164, 370, 325, 5, 3
1758418066136, 0, 15, 647, 165, 372, 329, 2, 3
1758418066136, 8, 3, 660, 164, 368, 325, 0, 2
1758418066136, 4, 1, 648, 164, 370, 325, 3, 3
1758418066136, 4, 2, 652, 164, 373, 326, 3, 11
1758418066136, 0, 3, 656, 167, 371, 327, 2, 4
1758418066136, 2, 3, 646, 164, 370, 326, 1, 5
1758418066136, 0, 4, 651, 163, 374, 323, 1, 2
1758418066136, 0, 4, 653, 164, 372, 323, 3, 2
1758418066136, 1, 4, 647, 174, 368, 325, 1, 2
1758418066136, 3, 6, 648, 166, 370, 326, 3, 3
1758418066136, 2, 5, 648, 165, 372, 327, 2, 11
1758418066136, 5, 5, 643, 166, 374, 326, 1, 3
1758418066136, 4, 7, 643, 167, 374, 326, 2, 3
1758418066136, 5, 12, 641, 166, 372, 334, 4, 3
1758418066136, 12, 12, 643, 165, 372, 329, 4, 3
1758418066136, 6, 29, 647, 163, 375, 328, 2, 2
1758418066136, 8, 13, 644, 166, 375, 327, 1, 8
1758418066136, 4, 9, 641, 165, 375, 327, 2, 2
1758418066136, 11, 7, 641, 163, 375, 327, 0, 3
1758418066136, 10, 2, 647, 163, 375, 322, 0, 3
1758418066136, 7, 15, 646, 166, 372, 325, 1, 3
1758418066136, 5, 18, 646, 167, 372, 327, 3, 2
1758418066136, 4, 4, 643, 165, 372, 329, 1, 3
1758418066136, 2, 0, 643, 164, 373, 329, 5, 1
1758418066136, 2, 2, 643, 162, 371, 327, 2, 11
1758418066136, 6, 3, 643, 165, 371, 331, 1, 3
1758418066136, 4, 3, 647, 167, 378, 323, 1, 3
1758418066136, 7, 5, 655, 162, 383, 329, 1, 3
1758418066136, 1, 5, 643, 164, 369, 329, 2, 2
1758418066136, 3, 4, 646, 163, 375, 329, 1, 2
1758418066136, 7, 4, 651, 163, 376, 325, 1, 9
1758418066136, 3, 4, 643, 165, 372, 327, 3, 1
1758418066136, 10, 22, 649, 165, 375, 325, 2, 2
1758418066136, 3, 13, 641, 167, 371, 325, 2, 2
1758418066136, 9, 13, 648, 165, 375, 327, 2, 2
1758418066136, 1, 28, 648, 165, 372, 325, 3, 4
1758418066136, 4, 13, 641, 165, 375, 326, 2, 3
1758418066136, 4, 10, 651, 164, 372, 327, 0, 4
1758418066136, 4, 7, 650, 166, 373, 327, 6, 3
1758418066136, 2, 3, 647, 165, 371, 328, 3, 4
1758418066136, 5, 4, 643, 166, 371, 327, 2, 3
1758418066136, 1, 2, 651, 167, 372, 327, 1, 3
1758418066136, 2, 1, 641, 167, 379, 326, 2, 3
1758418066136, 11, 13, 646, 164, 375, 330, 1, 3
1758418066136, 1, 9, 646, 167, 373, 322, 2, 3
1758418066136, 2, 4, 639, 165, 372, 324, 3, 3
1758418066136, 1, 4, 647, 166, 371, 324, 0, 2
1758418066136, 6, 5, 641, 164, 372, 327, 3, 2
1758418066136, 5, 4, 647, 171, 376, 327, 9, 4
1758418066136, 4, 5, 643, 164, 371, 327, 3, 11
1758418066136, 5, 6, 643, 166, 372, 328, 7, 4
1758418066136, 3, 6, 641, 165, 379, 324, 2, 2
1758418066136, 4, 7, 643, 163, 372, 327, 1, 3
1758418066136, 6, 11, 648, 163, 373, 323, 2, 4
1758418066136, 4, 13, 647, 164, 377, 324, 2, 3
1758418066136, 4, 13, 650, 165, 377, 323, 1, 3
1758418066136, 6, 23, 646, 163, 374, 323, 2, 2
1758418066136, 0, 10, 644, 164, 373, 326, 2, 3
1758418066136, 3, 7, 651, 172, 373, 323, 2, 4
1758418066136, 3, 18, 644, 167, 372, 324, 1, 2
1758418066136, 0, 18, 647, 165, 375, 323, 1, 3
1758418066136, 4, 19, 643, 167, 369, 323, 2, 3
1758418066136, 2, 2, 647, 165, 372, 321, 3, 2
1758418066136, 2, 0, 647, 165, 375, 324, 7, 2
1758418066136, 2, 10, 647, 164, 374, 323, 3, 3
1758418066136, 4, 4, 646, 164, 372, 323, 2, 2
1758418066136, 0, 4, 641, 164, 373, 326, 1, 2
1758418066136, 0, 16, 646, 166, 374, 326, 0, 3
1758418066136, 1, 6, 644, 167, 368, 320, 2, 4
1758418066136, 0, 5, 643, 163, 371, 326, 1, 3
1758418066136, 5, 5, 642, 166, 369, 321, 1, 4
1758418066136, 6, 5, 643, 165, 375, 324, 9, 2
1758418066136, 5, 8, 646, 167, 369, 325, 2, 3
1758418066136, 4, 12, 642, 166, 374, 334, 11, 2
1758418066136, 8, 14, 653, 167, 369, 324, 1, 2
1758418066136, 4, 13, 643, 164, 375, 324, 1, 3
1758418066136, 0, 14, 646, 164, 374, 324, 2, 3
1758418066136, 5, 24, 647, 164, 377, 322, 2, 11
1758418066136, 0, 9, 641, 167, 376, 323, 0, 3
1758418066136, 1, 3, 650, 164, 375, 321, 1, 3
1758418066136, 2, 1, 643, 168, 383, 324, 1, 2
1758418066136, 3, 1, 643, 167, 372, 331, 1, 2
1758418066136, 5, 1, 648, 164, 378, 326, 1, 2
1758418066136, 4, 16, 651, 165, 384, 326, 1, 2
1758418066136, 4, 5, 648, 166, 375, 326, 2, 3
1758418066136, 3, 3, 648, 165, 368, 326, 3, 3
1758418066136, 5, 19, 646, 163, 375, 325, 3, 2
1758418066136, 7, 6, 654, 164, 372, 324, 2, 3
1758418066136, 8, 4, 642, 166, 371, 326, 2, 3
1758418066136, 4, 5, 650, 165, 374, 325, 2, 2
1758418066136, 7, 5, 646, 165, 375, 323, 3, 3
1758418066136, 4, 20, 648, 164, 375, 324, 6, 3
1758418066136, 0, 25, 651, 164, 375, 324, 2, 3
1758418066136, 0, 14, 648, 164, 384, 322, 1, 2
1758418066136, 13, 14, 651, 168, 375, 324, 2, 2
1758418066136, 2, 12, 647, 165, 371, 321, 10, 2
1758418066136, 2, 11, 655, 166, 372, 325, 0, 3
1758418066136, 7, 8, 653, 165, 371, 321, 3, 1
1758418066136, 5, 16, 650, 163, 373, 326, 3, 1
1758418066136, 4, 4, 645, 165, 377, 323, 1, 2
1758418066136, 2, 0, 651, 164, 372, 323, 2, 2
1758418066136, 1, 1, 650, 166, 376, 325, 2, 7
1758418066136, 0, 0, 648, 165, 375, 326, 1, 3
1758418066136, 2, 0, 653, 166, 372, 327, 9, 3
1758418066136, 2, 18, 648, 163, 372, 320, 2, 3
1758418066136, 8, 7, 648, 163, 373, 320, 2, 5
1758418066136, 0, 5, 648, 166, 371, 323, 2, 2
1758418066136, 4, 4, 655, 166, 371, 322, 3, 2
1758418066136, 2, 4, 651, 164, 373, 327, 2, 2
1758418066136, 6, 5, 648, 165, 381, 319, 1, 11
1758418066136, 4, 5, 651, 167, 372, 326, 2, 2
1758418066136, 6, 6, 648, 166, 371, 321, 6, 2
1758418066136, 6, 6, 647, 164, 371, 326, 1, 3
1758418066136, 3, 12, 641, 165, 371, 325, 2, 3
1758418066136, 6, 12, 637, 165, 375, 321, 1, 1
1758418066136, 7, 12, 648, 166, 378, 332, 0, 3
1758418066136, 3, 10, 638, 164, 376, 326, 3, 4
1758418066136, 6, 8, 637, 175, 374, 319, 1, 2
1758418066136, 2, 6, 635, 164, 373, 320, 0, 6
1758418066136, 1, 3, 643, 166, 379, 321, 2, 3
1758418066136, 6, 0, 635, 167, 372, 323, 11, 3
1758418066136, 3, 12, 641, 172, 374, 323, 2, 3
1758418066136, 5, 1, 636, 168, 370, 329, 1, 3
1758418066136, 5, 1, 636, 165, 375, 322, 1, 3
1758418066136, 0, 4, 645, 164, 375, 323, 1, 3
1758418066136, 4, 4, 639, 165, 379, 328, 1, 2
1758418066136, 6, 4, 647, 166, 373, 320, 1, 3
1758418066136, 1, 5, 632, 164, 375, 319, 1, 2
1758418066139, 9, 5, 635, 165, 375, 321, 2, 1
1758418066139, 4, 4, 632, 174, 372, 321, 2, 3
1758418066139, 3, 4, 636, 165, 375, 320, 2, 3
1758418066140, 2, 5, 631, 165, 371, 324, 1, 3
1758418066150, 4, 7, 635, 166, 372, 323, 2, 2
1758418066150, 7, 11, 632, 166, 384, 320, 2, 3
1758418066150, 4, 28, 636, 165, 375, 322, 4, 2
1758418066150, 3, 15, 641, 165, 374, 322, 3, 1
1758418066150, 7, 12, 631, 172, 372, 319, 3, 3
1758418066150, 7, 9, 631, 175, 374, 323, 2, 4
1758418066150, 7, 6, 631, 164, 375, 322, 2, 2
1758418066150, 4, 2, 628, 166, 371, 321, 1, 2
1758418066150, 5, 14, 631, 165, 372, 325, 1, 2
1758418066160, 1, 11, 634, 175, 375, 320, 1, 2
1758418066160, 2, 1, 631, 166, 375, 323, 2, 2
1758418066160, 4, 0, 629, 168, 374, 319, 2, 2
1758418066160, 8, 4, 630, 164, 371, 320, 3, 2
1758418066160, 0, 4, 629, 164, 376, 322, 2, 3
1758418066160, 6, 4, 639, 164, 375, 321, 2, 3
1758418066160, 3, 4, 639, 166, 375, 317, 4, 2
1758418066160, 7, 19, 631, 165, 377, 320, 1, 2
1758418066160, 6, 7, 639, 166, 371, 322, 1, 3
1758418066160, 7, 5, 635, 168, 375, 317, 2, 2
1758418066173, 2, 5, 632, 165, 369, 322, 1, 3
1758418066173, 3, 7, 639, 171, 371, 323, 3, 2
1758418066173, 9, 12, 638, 164, 375, 320, 2, 10
1758418066173, 3, 13, 636, 166, 372, 325, 3, 3
1758418066173, 6, 12, 631, 165, 374, 319, 1, 3
1758418066173, 6, 10, 632, 162, 371, 319, 2, 2
1758418066173, 1, 19, 639, 165, 374, 319, 2, 2
1758418066173, 0, 8, 631, 167, 373, 322, 2, 3
1758418066173, 2, 2, 632, 174, 376, 323, 1, 2
1758418066173, 5, 1, 632, 167, 374, 320, 1, 2
1758418066173, 0, 2, 631, 166, 374, 325, 2, 3
1758418066173, 4, 0, 639, 164, 371, 322, 3, 9
1758418066173, 2, 15, 641, 164, 375, 327, 1, 4
1758418066173, 1, 5, 639, 165, 373, 320, 3, 2
1758418066185, 1, 5, 635, 163, 373, 321, 1, 3
1758418066185, 9, 5, 632, 167, 376, 330, 0, 3
1758418066185, 4, 19, 632, 165, 374, 323, 1, 8
1758418066185, 5, 7, 641, 164, 371, 328, 2, 6
1758418066185, 0, 5, 632, 164, 375, 320, 1, 3
1758418066185, 0, 6, 632, 166, 369, 326, 2, 2
1758418066185, 8, 14, 639, 165, 374, 324, 3, 2
1758418066185, 4, 24, 632, 164, 372, 321, 2, 9
1758418066185, 4, 15, 635, 165, 370, 320, 2, 2
1758418066185, 6, 13, 631, 166, 368, 320, 1, 2
1758418066185, 10, 14, 636, 164, 372, 324, 1, 2
1758418066185, 1, 10, 629, 167, 374, 335, 0, 3
1758418066196, 2, 8, 637, 166, 371, 320, 1, 3
1758418066196, 7, 22, 631, 166, 373, 323, 0, 2
1758418066196, 6, 5, 632, 174, 378, 319, 1, 3
1758418066196, 6, 0, 635, 165, 377, 320, 3, 12
