unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419001770, S, 3, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419001861, 0, 12, 427, 139, 357, 249, 2, 3
1758419001861, 4, 8, 422, 140, 359, 250, 3, 4
1758419001861, 4, 12, 424, 140, 367, 249, 1, 3
1758419001861, 1, 1, 429, 140, 371, 252, 8, 2
1758419001861, 1, 0, 424, 141, 360, 250, 2, 3
1758419001861, 0, 0, 431, 141, 365, 249, 3, 3
1758419001861, 5, 1, 427, 145, 359, 256, 2, 3
1758419001861, 4, 10, 427, 140, 362, 251, 3, 2
1758419001861, 7, 6, 425, 139, 362, 251, 3, 3
1758419001861, 9, 6, 427, 141, 363, 248, 2, 3
1758419001861, 8, 6, 428, 142, 358, 250, 2, 3
1758419001861, 5, 6, 424, 144, 363, 253, 1, 10
1758419001861, 11, 5, 422, 142, 362, 249, 2, 3
1758419001861, 4, 21, 424, 141, 360, 248, 3, 1
1758419001861, 3, 7, 421, 139, 365, 261, 1, 0
1758419001861, 11, 5, 425, 140, 363, 251, 3, 4
1758419001861, 2, 7, 424, 140, 368, 251, 2, 7
1758419001861, 5, 12, 431, 142, 365, 250, 3, 2
1758419001861, 3, 17, 427, 140, 364, 248, 3, 4
1758419001861, 7, 15, 421, 138, 360, 246, 1, 3
1758419001861, 2, 12, 421, 145, 361, 250, 4, 5
1758419001861, 5, 22, 427, 141, 363, 248, 1, 6
1758419001861, 1, 8, 424, 140, 371, 252, 1, 1
1758419001861, 4, 1, 426, 138, 358, 249, 4, 3
1758419001861, 3, 0, 427, 141, 363, 251, 1, 3
1758419001861, 2, 0, 428, 141, 362, 250, 1, 3
1758419001861, 3, 1, 424, 140, 359, 249, 3, 4
1758419001861, 3, 0, 426, 140, 373, 249, 11, 3
1758419001861, 3, 3, 424, 139, 366, 255, 2, 1
1758419001861, 3, 5, 427, 142, 361, 254, 1, 1
1758419001861, 3, 6, 426, 141, 359, 253, 0, 1
1758419001861, 4, 20, 426, 142, 359, 259, 0, 3
1758419001861, 5, 7, 429, 143, 363, 248, 0, 7
1758419001861, 3, 6, 429, 140, 359, 249, 1, 3
1758419001861, 3, 21, 427, 140, 362, 252, 1, 3
1758419001861, 5, 20, 424, 140, 363, 255, 2, 3
1758419001861, 4, 9, 425, 141, 371, 249, 3, 3
1758419001861, 3, 12, 426, 140, 363, 251, 1, 4
1758419001861, 2, 16, 424, 141, 360, 248, 1, 8
1758419001861, 1, 15, 423, 142, 364, 255, 3, 4
1758419001861, 16, 12, 421, 138, 361, 251, 2, 2
1758419001861, 0, 17, 423, 141, 360, 252, 0, 2
1758419001861, 8, 7, 424, 145, 358, 253, 3, 3
1758419001861, 5, 0, 426, 139, 360, 249, 1, 4
1758419001861, 3, 0, 425, 146, 360, 251, 2, 2
1758419001861, 5, 10, 423, 142, 360, 253, 2, 4
1758419001861, 3, 3, 424, 140, 360, 253, 1, 3
1758419001861, 4, 0, 423, 141, 360, 252, 3, 2
1758419001861, 2, 3, 429, 140, 363, 253, 2, 2
1758419001861, 4, 5, 426, 142, 363, 251, 1, 4
1758419001861, 0, 6, 423, 147, 362, 250, 1, 5
1758419001861, 13, 5, 427, 140, 359, 251, 0, 5
1758419001861, 3, 6, 423, 140, 363, 251, 3, 1
1758419001861, 0, 5, 423, 151, 360, 255, 3, 3
1758419001861, 4, 6, 426, 142, 362, 258, 0, 3
1758419001861, 3, 6, 424, 141, 359, 250, 2, 4
1758419001861, 6, 6, 422, 140, 360, 249, 2, 2
1758419001861, 5, 13, 427, 141, 363, 253, 0, 3
1758419001861, 6, 31, 423, 140, 362, 251, 1, 1
