unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419013774, S, 4, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419013838, 3, 8, 391, 154, 390, 295, 1, 1
1758419013838, 0, 6, 394, 156, 387, 297, 1, 3
1758419013838, 3, 1, 387, 155, 395, 307, 1, 3
1758419013838, 5, 0, 392, 154, 389, 296, 3, 2
1758419013838, 5, 0, 394, 155, 387, 297, 0, 1
1758419013838, 2, 0, 390, 156, 388, 303, 4, 9
1758419013838, 1, 0, 387, 159, 389, 296, 1, 3
1758419013838, 1, 1, 387, 156, 386, 297, 3, 2
1758419013838, 5, 21, 393, 153, 392, 294, 2, 3
1758419013838, 5, 23, 396, 155, 389, 296, 1, 4
1758419013838, 2, 8, 395, 155, 383, 295, 2, 9
1758419013838, 5, 7, 389, 155, 385, 296, 2, 4
1758419013838, 2, 21, 396, 156, 387, 294, 1, 3
1758419013838, 3, 22, 394, 155, 384, 296, 1, 2
1758419013838, 5, 8, 399, 156, 384, 296, 2, 1
1758419013838, 14, 8, 398, 156, 391, 296, 3, 11
1758419013838, 4, 11, 392, 164, 388, 296, 3, 2
1758419013838, 4, 33, 392, 155, 383, 301, 7, 3
1758419013838, 1, 19, 392, 153, 391, 297, 5, 6
1758419013838, 9, 14, 393, 157, 383, 298, 3, 1
1758419013838, 0, 8, 397, 156, 383, 298, 12, 3
1758419013838, 8, 6, 393, 153, 384, 299, 3, 7
1758419013838, 11, 2, 395, 155, 393, 296, 4, 3
1758419013838, 8, 0, 397, 155, 383, 298, 4, 2
1758419013838, 6, 0, 397, 154, 390, 296, 9, 4
1758419013838, 5, 0, 397, 156, 383, 296, 1, 2
1758419013838, 1, 0, 406, 154, 386, 298, 2, 2
1758419013838, 3, 6, 395, 163, 383, 295, 2, 2
1758419013838, 0, 5, 398, 155, 381, 304, 4, 4
1758419013838, 3, 6, 399, 156, 387, 299, 2, 7
1758419013838, 3, 6, 393, 156, 386, 295, 2, 2
1758419013838, 2, 6, 397, 157, 384, 296, 2, 2
1758419013838, 4, 5, 396, 155, 384, 300, 0, 2
1758419013838, 2, 20, 398, 154, 386, 297, 0, 2
1758419013838, 2, 8, 395, 154, 383, 299, 2, 2
1758419013838, 3, 7, 393, 155, 390, 297, 2, 3
1758419013838, 4, 12, 392, 157, 384, 299, 3, 8
1758419013838, 9, 17, 396, 155, 385, 299, 3, 3
1758419013838, 8, 17, 396, 162, 387, 296, 5, 6
1758419013838, 17, 14, 399, 155, 389, 297, 2, 4
1758419013838, 6, 8, 399, 155, 390, 293, 2, 2
1758419013838, 7, 6, 399, 156, 389, 296, 2, 2
1758419013838, 4, 2, 393, 157, 385, 299, 2, 4
1758419013838, 0, 11, 397, 158, 388, 298, 3, 2
1758419013838, 9, 0, 405, 154, 388, 295, 1, 3
1758419013838, 2, 0, 399, 154, 385, 295, 3, 12
1758419013838, 1, 4, 399, 155, 389, 296, 7, 3
1758419013838, 7, 1, 399, 163, 384, 299, 3, 2
