unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419191983, S, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419192127, 2, 8, 876, 111, 363, 201, 5, 0
1758419192127, 0, 5, 879, 110, 363, 200, 4, 2
1758419192127, 8, 15, 879, 111, 359, 201, 1, 1
1758419192127, 4, 7, 879, 111, 361, 205, 3, 3
1758419192127, 2, 20, 864, 113, 364, 202, 4, 1
1758419192127, 2, 9, 871, 112, 359, 204, 3, 2
1758419192127, 2, 26, 864, 111, 361, 205, 2, 3
1758419192127, 5, 16, 864, 110, 363, 204, 2, 1
1758419192127, 5, 13, 875, 111, 365, 203, 1, 1
1758419192127, 5, 22, 870, 111, 362, 201, 2, 3
1758419192127, 3, 8, 864, 111, 363, 199, 0, 1
1758419192127, 7, 4, 853, 110, 357, 202, 3, 5
1758419192127, 3, 0, 864, 112, 360, 204, 2, 3
1758419192127, 12, 0, 863, 109, 358, 201, 3, 2
1758419192127, 4, 6, 851, 110, 359, 201, 6, 2
1758419192127, 1, 4, 855, 111, 360, 201, 1, 3
1758419192127, 1, 0, 855, 111, 365, 202, 1, 4
1758419192127, 8, 4, 863, 113, 360, 200, 2, 3
1758419192127, 5, 5, 867, 111, 358, 200, 0, 1
1758419192127, 4, 15, 853, 111, 362, 207, 4, 4
1758419192127, 5, 7, 864, 109, 356, 207, 2, 3
1758419192127, 11, 5, 859, 110, 367, 211, 10, 2
1758419192127, 3, 5, 855, 112, 359, 204, 3, 12
1758419192127, 4, 4, 856, 110, 361, 204, 7, 1
1758419192127, 3, 6, 851, 111, 361, 207, 6, 2
1758419192127, 3, 6, 856, 111, 360, 213, 0, 3
1758419192127, 4, 14, 849, 109, 357, 211, 0, 7
1758419192127, 4, 14, 856, 110, 363, 208, 1, 4
1758419192127, 2, 12, 860, 112, 362, 210, 2, 12
1758419192127, 6, 8, 863, 110, 363, 212, 12, 4
1758419192127, 5, 7, 860, 109, 361, 207, 2, 2
1758419192127, 0, 5, 862, 109, 362, 215, 1, 4
1758419192127, 3, 0, 855, 119, 359, 210, 2, 4
1758419192127, 4, 0, 855, 115, 358, 206, 2, 2
1758419192127, 3, 0, 863, 112, 359, 210, 3, 2
1758419192127, 3, 1, 860, 112, 364, 205, 2, 2
1758419192127, 4, 13, 860, 111, 360, 211, 0, 2
1758419192127, 4, 6, 857, 113, 360, 207, 0, 7
1758419192127, 3, 6, 851, 112, 359, 208, 3, 2
1758419192127, 2, 5, 843, 113, 359, 204, 3, 3
1758419192127, 1, 5, 848, 109, 360, 208, 4, 3
1758419192127, 0, 6, 855, 112, 359, 206, 2, 2
1758419192127, 5, 5, 852, 113, 370, 205, 0, 5
1758419192127, 6, 5, 847, 110, 363, 203, 0, 3
