unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419629282, S, 1, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419629376, 4, 4, 704, 130, 369, 216, 1, 3
1758419629376, 0, 5, 711, 129, 368, 209, 2, 3
1758419629376, 7, 5, 705, 128, 368, 207, 2, 10
1758419629376, 3, 4, 707, 127, 370, 208, 2, 3
1758419629376, 3, 5, 709, 128, 373, 208, 2, 2
1758419629376, 3, 21, 711, 127, 371, 207, 2, 3
1758419629376, 6, 18, 710, 126, 372, 209, 2, 3
1758419629376, 0, 7, 725, 127, 369, 217, 2, 4
1758419629376, 4, 5, 711, 126, 375, 209, 7, 2
1758419629376, 2, 7, 703, 128, 368, 209, 2, 3
1758419629376, 3, 6, 719, 127, 369, 207, 2, 2
1758419629376, 3, 7, 705, 127, 372, 210, 1, 2
1758419629376, 4, 7, 708, 130, 371, 207, 3, 3
1758419629376, 0, 7, 704, 127, 373, 207, 3, 3
1758419629376, 5, 6, 711, 128, 375, 208, 0, 3
1758419629376, 3, 5, 711, 124, 374, 209, 3, 3
1758419629376, 4, 5, 705, 131, 370, 208, 2, 2
1758419629376, 3, 4, 711, 127, 369, 206, 1, 3
1758419629376, 4, 5, 711, 128, 367, 206, 1, 3
1758419629376, 1, 4, 713, 129, 369, 208, 1, 3
1758419629376, 2, 5, 707, 127, 369, 206, 2, 2
1758419629376, 1, 11, 710, 129, 367, 206, 6, 3
1758419629376, 3, 6, 705, 128, 370, 209, 2, 7
1758419629376, 4, 20, 715, 127, 375, 208, 2, 3
1758419629376, 6, 7, 710, 126, 372, 209, 2, 3
1758419629376, 2, 5, 712, 135, 372, 207, 2, 3
1758419629376, 3, 6, 707, 127, 376, 209, 1, 5
1758419629376, 6, 5, 708, 127, 369, 208, 6, 2
1758419629376, 12, 6, 712, 128, 376, 209, 3, 3
1758419629376, 6, 6, 712, 131, 372, 207, 2, 3
1758419629376, 6, 7, 720, 131, 369, 208, 2, 3
1758419629376, 4, 7, 716, 127, 369, 209, 2, 3
1758419629376, 8, 6, 720, 129, 371, 207, 2, 4
1758419629376, 12, 5, 717, 126, 374, 208, 2, 3
1758419629376, 5, 6, 712, 139, 377, 209, 2, 3
1758419629376, 3, 5, 716, 128, 373, 206, 7, 3
1758419629376, 3, 4, 710, 133, 368, 207, 1, 3
1758419629376, 7, 4, 707, 128, 367, 210, 2, 6
1758419629376, 4, 20, 714, 131, 370, 208, 3, 3
1758419629376, 5, 6, 715, 126, 369, 209, 1, 3
1758419629376, 5, 21, 712, 128, 373, 208, 1, 3
1758419629376, 5, 7, 712, 128, 371, 208, 2, 1
1758419629376, 3, 21, 707, 128, 370, 206, 2, 3
1758419629376, 3, 23, 707, 125, 371, 205, 1, 12
1758419629376, 4, 22, 711, 127, 374, 208, 1, 10
1758419629376, 3, 7, 715, 128, 374, 206, 4, 3
1758419629376, 3, 6, 719, 127, 373, 206, 2, 3
1758419629376, 3, 9, 707, 128, 369, 208, 2, 12
1758419629376, 4, 6, 711, 128, 372, 207, 2, 3
1758419629376, 4, 7, 705, 137, 371, 208, 2, 3
1758419629376, 5, 7, 711, 128, 371, 206, 1, 2
1758419629376, 1, 7, 710, 129, 383, 208, 2, 2
1758419629376, 5, 21, 705, 130, 369, 209, 1, 3
1758419629376, 6, 8, 710, 129, 375, 208, 2, 2
1758419629376, 6, 6, 710, 130, 370, 209, 2, 3
1758419629376, 0, 5, 709, 128, 370, 206, 2, 3
1758419629376, 0, 5, 704, 130, 371, 205, 6, 11
1758419629376, 4, 4, 703, 130, 377, 208, 2, 3
1758419629376, 4, 5, 701, 128, 374, 206, 2, 3
1758419629376, 5, 3, 703, 129, 369, 209, 2, 3
1758419629376, 6, 5, 700, 127, 373, 208, 2, 4
1758419629376, 5, 5, 706, 128, 375, 208, 2, 3
1758419629376, 9, 4, 703, 125, 373, 212, 2, 3
1758419629376, 13, 6, 697, 129, 373, 208, 1, 4
1758419629376, 6, 4, 703, 129, 373, 206, 2, 3
1758419629376, 11, 5, 703, 127, 372, 209, 2, 3
1758419629376, 3, 4, 696, 128, 369, 213, 2, 2
1758419629376, 2, 5, 693, 127, 379, 209, 2, 2
1758419629376, 1, 5, 701, 137, 372, 208, 2, 5
1758419629376, 6, 7, 703, 129, 373, 207, 1, 4
1758419629376, 6, 6, 703, 129, 369, 206, 1, 2
1758419629376, 4, 23, 696, 130, 369, 207, 2, 3
1758419629376, 1, 9, 695, 135, 369, 215, 2, 3
1758419629376, 4, 7, 695, 126, 369, 207, 2, 3
1758419629376, 2, 6, 696, 127, 369, 206, 1, 8
1758419629376, 5, 4, 696, 129, 370, 207, 2, 2
1758419629376, 1, 5, 696, 128, 372, 210, 1, 3
1758419629376, 3, 4, 699, 138, 373, 207, 2, 10
1758419629376, 3, 4, 698, 134, 372, 217, 2, 3
1758419629376, 4, 18, 699, 128, 373, 208, 9, 3
1758419629376, 3, 6, 701, 126, 374, 207, 1, 3
1758419629376, 2, 5, 701, 127, 373, 206, 1, 3
1758419629376, 3, 20, 692, 127, 371, 215, 10, 2
1758419629376, 2, 6, 708, 138, 370, 208, 3, 7
1758419629376, 3, 5, 698, 130, 374, 208, 2, 2
1758419629376, 6, 21, 695, 131, 375, 210, 2, 3
1758419629376, 5, 7, 691, 128, 372, 210, 1, 3
1758419629376, 3, 6, 691, 128, 373, 208, 2, 3
1758419629376, 13, 5, 696, 129, 373, 209, 1, 7
1758419629376, 3, 6, 696, 128, 370, 217, 1, 2
1758419629376, 6, 7, 699, 128, 376, 205, 1, 3
1758419629376, 8, 23, 691, 128, 374, 209, 1, 2
1758419629376, 1, 9, 695, 131, 369, 209, 2, 4
1758419629377, 2, 16, 699, 129, 369, 206, 1, 3
1758419629378, 5, 7, 688, 126, 377, 208, 2, 3
1758419629382, 3, 5, 697, 128, 373, 208, 3, 3
1758419629382, 8, 4, 692, 125, 382, 214, 3, 3
1758419629382, 3, 3, 692, 128, 379, 207, 1, 3
1758419629382, 4, 4, 695, 128, 372, 206, 2, 3
1758419629395, 5, 4, 687, 127, 375, 206, 2, 12
1758419629395, 1, 5, 695, 128, 373, 208, 1, 12
1758419629395, 3, 5, 688, 127, 375, 208, 3, 2
1758419629395, 3, 5, 699, 129, 369, 206, 9, 11
1758419629395, 14, 5, 695, 130, 371, 209, 2, 1
1758419629395, 4, 20, 695, 129, 380, 211, 1, 4
1758419629395, 5, 7, 689, 128, 369, 206, 2, 2
1758419629395, 5, 6, 687, 127, 369, 209, 2, 3
1758419629395, 5, 6, 695, 127, 375, 208, 8, 3
1758419629395, 7, 18, 694, 130, 373, 209, 2, 3
1758419629395, 3, 7, 695, 129, 375, 207, 2, 3
1758419629395, 3, 8, 687, 129, 373, 209, 2, 2
1758419629395, 3, 7, 698, 128, 373, 211, 2, 3
1758419629408, 7, 6, 687, 128, 369, 216, 1, 6
1758419629408, 5, 6, 701, 126, 373, 206, 2, 3
1758419629408, 3, 6, 697, 127, 377, 206, 1, 2
1758419629408, 4, 4, 691, 133, 369, 208, 2, 3
1758419629408, 12, 13, 696, 131, 373, 206, 1, 3
1758419629408, 2, 6, 691, 126, 373, 207, 1, 7
1758419629408, 4, 5, 696, 128, 369, 209, 2, 2
1758419629408, 8, 4, 693, 127, 373, 206, 2, 3
1758419629408, 2, 5, 695, 137, 373, 206, 2, 3
1758419629408, 4, 5, 701, 126, 371, 207, 1, 5
1758419629408, 3, 5, 699, 128, 374, 206, 1, 3
1758419629408, 3, 4, 703, 132, 372, 210, 1, 2
1758419629408, 2, 5, 698, 126, 374, 215, 2, 2
1758419629421, 1, 5, 696, 130, 369, 208, 2, 2
1758419629421, 4, 13, 698, 128, 373, 207, 1, 2
1758419629421, 2, 7, 698, 138, 369, 206, 2, 3
1758419629421, 6, 5, 700, 129, 372, 206, 3, 3
1758419629421, 4, 7, 699, 128, 369, 205, 2, 3
1758419629421, 11, 7, 695, 128, 373, 209, 2, 1
1758419629421, 12, 7, 700, 127, 371, 206, 1, 4
1758419629421, 6, 7, 699, 127, 372, 206, 2, 3
1758419629421, 3, 5, 693, 127, 370, 206, 11, 3
1758419629421, 1, 6, 696, 127, 374, 208, 10, 3
1758419629421, 3, 4, 701, 129, 373, 207, 3, 3
1758419629421, 1, 5, 691, 128, 373, 206, 4, 2
1758419629421, 4, 4, 701, 127, 371, 206, 1, 2
1758419629434, 5, 5, 700, 127, 372, 208, 2, 3
1758419629434, 5, 4, 698, 135, 369, 208, 1, 2
1758419629434, 6, 4, 705, 128, 372, 208, 3, 7
1758419629434, 4, 20, 698, 128, 370, 208, 3, 2
1758419629434, 4, 23, 696, 126, 375, 206, 6, 3
1758419629434, 1, 8, 699, 127, 372, 211, 2, 3
1758419629434, 6, 21, 694, 128, 372, 206, 1, 3
1758419629434, 4, 7, 691, 128, 368, 208, 2, 2
1758419629434, 4, 5, 697, 127, 373, 206, 2, 2
1758419629434, 4, 6, 701, 129, 373, 207, 2, 3
1758419629434, 4, 18, 691, 133, 368, 213, 2, 3
1758419629434, 5, 9, 694, 129, 372, 208, 5, 2
1758419629447, 3, 7, 695, 128, 370, 209, 2, 2
1758419629447, 2, 7, 694, 127, 370, 208, 1, 10
1758419629447, 1, 7, 695, 127, 374, 210, 7, 4
1758419629447, 4, 6, 695, 130, 373, 208, 1, 4
1758419629447, 0, 21, 692, 128, 379, 207, 2, 2
1758419629447, 5, 22, 696, 130, 369, 209, 2, 3
1758419629447, 0, 8, 702, 128, 373, 208, 2, 2
1758419629447, 4, 5, 699, 126, 372, 208, 2, 2
1758419629447, 3, 4, 695, 128, 370, 208, 2, 2
1758419629447, 3, 4, 699, 127, 372, 209, 3, 3
1758419629447, 5, 5, 691, 127, 373, 207, 2, 2
1758419629447, 4, 5, 695, 126, 371, 207, 2, 2
1758419629447, 2, 19, 691, 132, 372, 218, 1, 3
1758419629447, 3, 7, 691, 128, 370, 209, 2, 2
1758419629460, 3, 5, 699, 128, 371, 208, 2, 3
1758419629460, 4, 20, 698, 126, 369, 207, 3, 3
1758419629460, 0, 7, 693, 128, 377, 208, 1, 3
1758419629460, 2, 6, 693, 128, 373, 209, 2, 2
1758419629460, 5, 5, 698, 128, 379, 211, 2, 3
