unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419641292, S, 2, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419641377, 4, 7, 643, 108, 347, 217, 1, 1
1758419641377, 0, 6, 635, 112, 347, 219, 1, 3
1758419641377, 2, 5, 635, 109, 344, 217, 1, 3
1758419641377, 6, 4, 640, 109, 348, 217, 2, 3
1758419641377, 6, 6, 637, 108, 347, 216, 2, 3
1758419641377, 3, 6, 639, 107, 346, 215, 1, 2
1758419641377, 5, 7, 637, 107, 342, 214, 2, 3
1758419641377, 3, 22, 635, 108, 342, 216, 11, 1
1758419641377, 0, 9, 645, 106, 346, 217, 2, 3
1758419641377, 3, 7, 637, 109, 345, 214, 2, 3
1758419641377, 3, 5, 639, 107, 345, 214, 3, 3
1758419641377, 1, 20, 636, 106, 347, 216, 1, 3
1758419641377, 1, 6, 635, 114, 346, 216, 2, 3
1758419641377, 2, 20, 635, 106, 343, 216, 2, 3
1758419641377, 1, 7, 646, 106, 344, 215, 2, 3
1758419641377, 2, 3, 637, 105, 344, 213, 1, 2
1758419641377, 5, 4, 651, 105, 343, 214, 1, 3
1758419641377, 5, 20, 642, 107, 348, 213, 1, 3
1758419641377, 2, 7, 639, 106, 343, 217, 2, 3
1758419641377, 2, 6, 637, 107, 347, 214, 2, 3
1758419641377, 3, 4, 643, 108, 348, 212, 11, 4
1758419641377, 2, 4, 651, 107, 345, 215, 2, 2
1758419641377, 3, 20, 639, 108, 352, 214, 1, 3
1758419641377, 3, 22, 638, 108, 345, 214, 1, 3
1758419641377, 2, 8, 636, 106, 348, 227, 1, 3
1758419641377, 3, 6, 641, 108, 347, 214, 1, 3
1758419641377, 3, 7, 641, 106, 344, 216, 3, 3
1758419641377, 3, 22, 633, 108, 344, 214, 3, 3
1758419641377, 3, 8, 631, 111, 348, 217, 5, 3
1758419641377, 1, 7, 641, 108, 343, 225, 2, 3
1758419641377, 5, 6, 633, 110, 344, 213, 2, 1
1758419641377, 5, 5, 633, 107, 351, 215, 2, 2
1758419641377, 2, 4, 643, 108, 349, 223, 1, 3
1758419641377, 5, 4, 639, 108, 344, 219, 2, 3
1758419641377, 5, 7, 636, 109, 347, 216, 1, 3
1758419641377, 5, 5, 636, 107, 343, 217, 2, 3
