unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419677304, S, 5, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419677399, 2, 4, 588, 140, 403, 227, 1, 2
1758419677399, 4, 6, 590, 143, 405, 225, 2, 2
1758419677399, 1, 5, 588, 141, 400, 221, 2, 3
1758419677399, 4, 6, 585, 146, 403, 223, 5, 3
1758419677399, 3, 6, 591, 141, 400, 225, 2, 3
1758419677399, 4, 7, 590, 140, 403, 221, 1, 3
1758419677399, 6, 7, 591, 143, 405, 224, 3, 6
1758419677399, 2, 6, 583, 143, 403, 222, 1, 3
1758419677399, 6, 5, 591, 142, 400, 221, 2, 3
1758419677399, 6, 6, 583, 141, 400, 221, 1, 3
1758419677399, 4, 6, 591, 143, 404, 225, 1, 2
1758419677399, 4, 6, 588, 142, 403, 223, 2, 3
1758419677399, 4, 4, 591, 142, 400, 223, 0, 7
1758419677399, 3, 5, 590, 141, 402, 224, 1, 10
1758419677399, 6, 3, 589, 140, 400, 225, 2, 6
1758419677399, 4, 4, 588, 141, 399, 223, 1, 3
1758419677399, 6, 4, 586, 141, 400, 221, 1, 3
1758419677399, 11, 3, 583, 143, 404, 222, 1, 3
1758419677399, 4, 6, 589, 143, 405, 223, 1, 2
1758419677399, 0, 6, 584, 150, 411, 221, 11, 2
1758419677399, 4, 5, 594, 143, 403, 221, 2, 2
1758419677399, 7, 4, 589, 141, 403, 221, 2, 2
1758419677399, 4, 5, 584, 140, 402, 231, 2, 3
1758419677399, 2, 5, 591, 142, 402, 222, 1, 2
1758419677399, 5, 6, 589, 141, 400, 223, 2, 3
1758419677399, 5, 8, 588, 143, 400, 223, 1, 3
1758419677399, 3, 7, 589, 147, 402, 220, 2, 7
1758419677399, 6, 7, 583, 142, 407, 222, 4, 3
1758419677399, 9, 5, 588, 142, 400, 223, 2, 3
1758419677399, 0, 6, 583, 140, 403, 222, 7, 2
1758419677399, 2, 5, 590, 140, 400, 229, 1, 3
1758419677399, 0, 5, 584, 143, 400, 231, 1, 3
1758419677399, 3, 20, 589, 142, 403, 222, 2, 3
1758419677399, 4, 7, 588, 142, 403, 222, 3, 4
1758419677399, 4, 8, 590, 150, 402, 223, 1, 3
1758419677399, 2, 6, 581, 142, 403, 225, 8, 6
1758419677399, 7, 5, 591, 148, 400, 222, 2, 3
1758419677399, 3, 12, 589, 144, 403, 222, 3, 2
1758419677399, 4, 6, 591, 141, 400, 223, 11, 2
1758419677399, 3, 6, 583, 143, 403, 222, 1, 2
1758419677399, 4, 5, 589, 145, 402, 223, 2, 4
1758419677399, 3, 5, 595, 151, 405, 221, 2, 2
1758419677399, 1, 5, 589, 142, 405, 223, 1, 2
1758419677399, 5, 6, 584, 140, 401, 225, 2, 3
1758419677399, 1, 6, 584, 144, 400, 232, 2, 3
1758419677399, 3, 6, 589, 140, 403, 223, 1, 3
1758419677399, 3, 7, 584, 141, 403, 231, 2, 3
1758419677399, 5, 7, 581, 143, 400, 223, 2, 2
1758419677399, 8, 21, 587, 143, 397, 225, 2, 3
1758419677399, 6, 8, 591, 150, 400, 225, 1, 12
1758419677399, 5, 6, 586, 142, 400, 231, 4, 2
1758419677399, 4, 4, 591, 152, 402, 222, 2, 3
1758419677399, 5, 4, 591, 147, 403, 223, 1, 3
1758419677399, 4, 5, 587, 152, 400, 223, 2, 3
1758419677399, 3, 3, 580, 141, 402, 222, 2, 3
1758419677399, 6, 5, 584, 142, 400, 224, 2, 3
1758419677399, 3, 4, 584, 143, 403, 222, 2, 2
