unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419689306, S, -1, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419689382, 3, 6, 575, 161, 427, 234, 2, 4
1758419689382, 3, 20, 573, 160, 419, 233, 2, 3
1758419689382, 5, 8, 575, 160, 425, 232, 2, 3
1758419689382, 3, 20, 567, 160, 423, 232, 5, 11
1758419689382, 3, 6, 568, 163, 425, 233, 1, 3
1758419689382, 5, 5, 567, 160, 424, 233, 2, 2
1758419689382, 4, 5, 577, 162, 420, 232, 1, 3
1758419689382, 5, 19, 570, 164, 426, 232, 11, 3
1758419689382, 5, 7, 571, 163, 421, 236, 2, 3
1758419689382, 3, 20, 568, 164, 424, 231, 1, 3
1758419689382, 3, 6, 571, 163, 424, 231, 2, 11
1758419689382, 3, 6, 565, 162, 425, 232, 1, 4
1758419689382, 4, 20, 576, 163, 419, 235, 2, 2
1758419689382, 4, 23, 568, 162, 420, 231, 10, 9
1758419689382, 5, 8, 568, 159, 427, 235, 2, 2
1758419689382, 5, 7, 568, 163, 421, 235, 1, 4
1758419689382, 8, 6, 563, 162, 421, 235, 2, 2
1758419689382, 5, 6, 570, 160, 427, 234, 2, 3
1758419689382, 5, 8, 567, 160, 421, 235, 2, 3
1758419689382, 9, 7, 575, 159, 424, 235, 2, 4
1758419689382, 6, 5, 568, 160, 427, 232, 2, 3
1758419689382, 5, 7, 568, 162, 424, 235, 1, 6
1758419689382, 1, 5, 568, 159, 434, 233, 3, 2
1758419689382, 3, 5, 571, 158, 427, 233, 1, 3
1758419689382, 8, 4, 567, 159, 429, 232, 1, 2
1758419689382, 3, 5, 563, 159, 427, 230, 1, 3
1758419689382, 3, 4, 567, 159, 424, 238, 2, 2
1758419689382, 0, 5, 564, 161, 426, 230, 1, 3
1758419689382, 3, 5, 579, 161, 425, 232, 6, 3
1758419689382, 5, 5, 568, 160, 424, 231, 2, 2
1758419689382, 0, 20, 566, 158, 424, 229, 1, 2
1758419689382, 5, 7, 568, 157, 425, 232, 3, 3
1758419689382, 2, 21, 570, 157, 427, 229, 2, 2
1758419689382, 2, 7, 578, 159, 421, 232, 3, 2
1758419689382, 2, 5, 563, 161, 422, 229, 2, 3
1758419689382, 4, 5, 568, 170, 422, 228, 1, 3
1758419689382, 4, 6, 567, 161, 421, 231, 2, 2
1758419689382, 5, 8, 571, 158, 424, 230, 2, 4
1758419689382, 1, 7, 568, 161, 421, 228, 2, 3
1758419689382, 5, 7, 566, 162, 423, 233, 2, 5
1758419689382, 6, 6, 573, 162, 427, 231, 2, 3
1758419689382, 0, 5, 563, 162, 431, 232, 2, 4
1758419689382, 5, 5, 563, 162, 421, 234, 3, 2
1758419689382, 4, 5, 573, 162, 429, 231, 1, 3
1758419689382, 2, 7, 572, 159, 425, 232, 2, 2
1758419689382, 4, 19, 570, 158, 426, 229, 2, 3
1758419689382, 5, 6, 571, 158, 424, 235, 1, 3
1758419689382, 8, 6, 574, 165, 424, 241, 1, 3
1758419689382, 3, 5, 565, 157, 426, 230, 2, 3
1758419689382, 5, 5, 568, 165, 423, 231, 2, 3
1758419689382, 5, 20, 571, 162, 427, 232, 2, 3
1758419689382, 1, 8, 565, 163, 424, 227, 2, 3
1758419689382, 3, 6, 567, 160, 428, 233, 2, 3
1758419689382, 2, 5, 567, 159, 423, 234, 8, 2
1758419689382, 3, 5, 576, 161, 422, 233, 2, 3
1758419689382, 11, 20, 573, 158, 425, 230, 3, 3
1758419689382, 3, 23, 576, 159, 421, 232, 2, 3
1758419689382, 5, 9, 570, 160, 423, 230, 4, 3
1758419689382, 4, 8, 571, 160, 435, 232, 4, 3
1758419689382, 3, 8, 571, 160, 426, 232, 2, 3
1758419689382, 0, 15, 571, 158, 427, 231, 2, 3
1758419689382, 3, 7, 571, 158, 426, 231, 1, 3
1758419689382, 1, 5, 563, 159, 424, 229, 6, 3
1758419689382, 2, 5, 565, 158, 426, 227, 1, 3
1758419689382, 3, 4, 577, 158, 424, 229, 2, 2
1758419689382, 5, 20, 567, 159, 424, 230, 2, 3
1758419689382, 3, 5, 568, 156, 425, 227, 5, 2
1758419689382, 5, 5, 565, 159, 427, 233, 1, 2
1758419689382, 8, 5, 569, 160, 427, 229, 1, 11
1758419689382, 3, 5, 568, 162, 427, 231, 1, 3
1758419689382, 10, 4, 573, 158, 427, 229, 1, 3
1758419689382, 5, 5, 570, 157, 426, 231, 2, 6
1758419689382, 3, 5, 566, 159, 424, 237, 1, 3
1758419689382, 10, 4, 567, 156, 427, 238, 2, 2
1758419689382, 3, 5, 567, 157, 431, 230, 2, 3
1758419689382, 3, 20, 567, 158, 423, 229, 1, 3
1758419689382, 4, 8, 564, 158, 427, 231, 2, 3
1758419689383, 6, 7, 571, 160, 423, 231, 10, 3
1758419689385, 8, 7, 569, 159, 427, 230, 2, 2
1758419689386, 4, 7, 570, 157, 421, 228, 2, 3
1758419689388, 5, 21, 566, 160, 425, 231, 2, 5
1758419689388, 3, 8, 563, 161, 424, 230, 2, 4
1758419689398, 8, 5, 565, 160, 421, 228, 1, 3
1758419689398, 6, 5, 560, 159, 426, 229, 1, 3
1758419689398, 4, 4, 571, 159, 425, 233, 2, 3
1758419689398, 5, 4, 565, 158, 422, 228, 4, 3
1758419689398, 3, 4, 562, 160, 427, 226, 1, 3
1758419689398, 4, 20, 565, 159, 427, 226, 2, 4
1758419689398, 4, 22, 560, 159, 426, 229, 2, 2
1758419689398, 3, 23, 564, 157, 427, 226, 2, 2
1758419689398, 1, 8, 567, 156, 421, 227, 4, 2
1758419689398, 11, 5, 560, 159, 426, 227, 1, 3
1758419689398, 4, 6, 564, 158, 425, 229, 1, 2
1758419689411, 2, 13, 563, 159, 426, 229, 1, 3
1758419689411, 2, 5, 567, 159, 424, 226, 1, 10
1758419689411, 2, 20, 566, 158, 433, 226, 1, 3
1758419689411, 5, 8, 567, 159, 423, 227, 2, 5
1758419689411, 4, 8, 576, 159, 424, 225, 6, 3
1758419689411, 4, 7, 559, 156, 431, 226, 1, 12
1758419689411, 5, 6, 565, 160, 421, 231, 2, 4
1758419689411, 3, 7, 561, 155, 425, 233, 1, 3
1758419689411, 1, 6, 560, 162, 424, 228, 2, 1
1758419689411, 4, 5, 559, 161, 424, 226, 2, 3
1758419689411, 3, 5, 561, 158, 435, 225, 2, 3
1758419689411, 3, 19, 561, 161, 423, 227, 2, 10
1758419689424, 3, 7, 561, 162, 426, 225, 2, 3
1758419689424, 0, 4, 561, 159, 426, 226, 2, 3
1758419689424, 5, 5, 567, 159, 423, 225, 1, 2
1758419689424, 4, 5, 566, 161, 429, 224, 2, 2
1758419689424, 14, 6, 574, 161, 424, 224, 1, 2
1758419689424, 12, 6, 564, 159, 423, 227, 11, 2
1758419689424, 3, 3, 564, 165, 426, 224, 1, 3
1758419689424, 4, 5, 571, 158, 423, 227, 2, 3
1758419689424, 5, 6, 561, 166, 423, 224, 1, 8
1758419689424, 2, 5, 561, 161, 425, 226, 2, 3
1758419689424, 15, 16, 564, 160, 431, 226, 2, 2
1758419689424, 6, 23, 566, 160, 426, 224, 1, 2
1758419689424, 0, 9, 564, 163, 427, 231, 1, 3
1758419689424, 4, 7, 567, 159, 425, 233, 2, 3
1758419689436, 6, 7, 567, 159, 428, 224, 1, 3
1758419689437, 0, 6, 567, 160, 423, 225, 2, 3
1758419689437, 3, 5, 561, 163, 425, 226, 1, 7
1758419689437, 6, 4, 559, 166, 427, 224, 1, 3
1758419689437, 2, 4, 567, 161, 427, 224, 1, 2
1758419689437, 11, 4, 571, 162, 428, 229, 2, 3
1758419689437, 3, 4, 564, 160, 427, 224, 2, 2
1758419689437, 8, 3, 566, 161, 427, 223, 2, 9
1758419689437, 6, 11, 563, 171, 431, 224, 2, 2
1758419689437, 9, 5, 561, 164, 424, 224, 7, 3
1758419689437, 3, 5, 563, 163, 430, 224, 2, 3
1758419689437, 9, 8, 562, 163, 422, 227, 8, 3
1758419689449, 4, 5, 567, 161, 426, 224, 2, 3
1758419689449, 5, 5, 566, 162, 424, 229, 2, 3
1758419689449, 3, 5, 567, 159, 424, 226, 2, 3
1758419689449, 1, 10, 561, 166, 423, 225, 1, 2
1758419689449, 2, 6, 560, 163, 427, 224, 1, 3
1758419689449, 4, 4, 560, 158, 424, 224, 2, 3
1758419689449, 3, 7, 559, 163, 422, 226, 1, 10
1758419689449, 7, 7, 560, 162, 426, 224, 3, 8
1758419689449, 7, 5, 560, 161, 431, 224, 2, 2
1758419689449, 3, 22, 560, 170, 424, 226, 1, 3
1758419689449, 0, 8, 565, 160, 421, 230, 2, 2
1758419689449, 4, 6, 571, 160, 425, 227, 1, 3
1758419689449, 2, 4, 565, 160, 424, 228, 2, 3
1758419689462, 1, 19, 562, 160, 424, 225, 2, 4
1758419689462, 5, 22, 560, 160, 424, 225, 1, 3
1758419689462, 0, 7, 561, 160, 421, 235, 2, 3
1758419689462, 5, 20, 564, 160, 422, 229, 2, 3
1758419689462, 4, 7, 573, 161, 421, 227, 2, 3
1758419689462, 0, 7, 566, 160, 421, 224, 2, 3
1758419689462, 3, 20, 564, 162, 427, 225, 2, 3
1758419689462, 0, 6, 563, 162, 421, 227, 1, 3
1758419689462, 7, 5, 569, 162, 420, 231, 1, 3
1758419689462, 3, 4, 569, 163, 427, 225, 2, 3
1758419689462, 8, 5, 563, 165, 421, 228, 2, 3
1758419689462, 1, 6, 563, 165, 428, 225, 2, 2
1758419689476, 3, 6, 563, 162, 427, 224, 2, 3
1758419689476, 1, 6, 567, 166, 429, 227, 2, 3
1758419689476, 4, 7, 563, 164, 426, 227, 2, 2
1758419689476, 4, 7, 569, 158, 427, 225, 2, 2
1758419689476, 4, 7, 569, 159, 421, 227, 6, 4
1758419689476, 2, 6, 563, 162, 424, 227, 2, 7
1758419689476, 4, 5, 564, 160, 427, 226, 1, 3
1758419689476, 6, 4, 563, 161, 427, 225, 1, 3
1758419689476, 2, 3, 571, 171, 427, 227, 2, 3
1758419689476, 7, 5, 576, 167, 426, 225, 1, 2
1758419689476, 3, 3, 564, 162, 424, 227, 2, 6
1758419689476, 7, 4, 577, 161, 427, 229, 2, 2
1758419689476, 6, 4, 567, 172, 424, 228, 1, 2
1758419689476, 3, 6, 571, 159, 423, 229, 3, 3
1758419689489, 2, 5, 563, 161, 429, 227, 1, 3
1758419689489, 7, 5, 571, 165, 424, 230, 1, 2
1758419689489, 6, 5, 569, 163, 424, 226, 2, 3
1758419689489, 4, 5, 563, 161, 424, 227, 2, 3
