unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419701316, S, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419701469, 3, 5, 385, 150, 435, 203, 1, 2
1758419701469, 5, 5, 381, 152, 432, 204, 2, 7
1758419701469, 1, 4, 387, 150, 437, 203, 2, 3
1758419701469, 2, 5, 385, 147, 436, 204, 5, 4
1758419701469, 9, 5, 384, 149, 434, 207, 2, 3
1758419701469, 4, 20, 384, 151, 433, 205, 1, 2
1758419701469, 2, 8, 383, 152, 432, 206, 1, 3
1758419701469, 6, 5, 383, 162, 436, 206, 1, 3
1758419701469, 5, 5, 383, 150, 435, 205, 1, 3
1758419701469, 3, 6, 383, 152, 435, 213, 1, 3
1758419701469, 5, 6, 384, 151, 436, 207, 1, 3
1758419701469, 3, 21, 383, 150, 437, 204, 1, 2
1758419701469, 3, 7, 382, 150, 435, 204, 2, 2
1758419701469, 6, 6, 386, 152, 432, 208, 1, 3
1758419701469, 6, 5, 387, 151, 435, 205, 2, 3
1758419701469, 3, 5, 384, 152, 432, 206, 1, 3
1758419701469, 4, 4, 384, 154, 435, 205, 1, 4
1758419701469, 1, 4, 385, 152, 433, 206, 1, 3
1758419701469, 6, 4, 389, 151, 433, 204, 2, 3
1758419701469, 5, 4, 386, 152, 431, 206, 1, 3
1758419701469, 2, 19, 389, 151, 435, 204, 2, 3
1758419701469, 3, 7, 386, 162, 434, 208, 3, 2
1758419701469, 2, 5, 387, 151, 439, 205, 1, 3
1758419701469, 1, 4, 389, 159, 430, 204, 3, 3
1758419701469, 5, 5, 388, 152, 434, 206, 2, 2
1758419701469, 7, 6, 387, 153, 437, 203, 1, 3
1758419701469, 13, 6, 387, 156, 432, 203, 1, 3
1758419701469, 3, 5, 387, 150, 436, 203, 10, 3
1758419701469, 5, 6, 391, 153, 437, 203, 1, 9
1758419701469, 2, 6, 384, 156, 438, 205, 2, 4
1758419701469, 2, 7, 392, 153, 437, 204, 1, 5
1758419701469, 3, 7, 384, 153, 431, 205, 2, 5
1758419701469, 4, 7, 383, 152, 432, 207, 2, 3
1758419701469, 5, 6, 387, 152, 435, 204, 2, 3
1758419701469, 2, 6, 382, 149, 432, 206, 2, 2
1758419701469, 12, 4, 385, 151, 434, 206, 1, 3
1758419701469, 6, 21, 381, 152, 434, 204, 2, 3
1758419701469, 4, 6, 387, 152, 432, 207, 1, 3
1758419701469, 6, 20, 386, 153, 433, 204, 2, 3
1758419701469, 4, 6, 383, 153, 430, 207, 1, 2
1758419701469, 4, 5, 383, 151, 430, 204, 3, 3
1758419701469, 3, 5, 386, 153, 429, 204, 2, 8
1758419701469, 5, 4, 379, 154, 434, 203, 1, 4
1758419701469, 6, 4, 385, 154, 429, 206, 2, 3
1758419701469, 6, 4, 386, 154, 429, 205, 1, 11
1758419701469, 3, 4, 381, 152, 430, 205, 1, 3
1758419701469, 11, 20, 385, 153, 432, 207, 2, 3
1758419701469, 6, 7, 379, 154, 435, 206, 1, 4
1758419701469, 5, 5, 385, 153, 432, 215, 2, 9
1758419701469, 4, 7, 383, 155, 430, 203, 1, 2
1758419701469, 5, 8, 384, 154, 433, 203, 4, 12
1758419701469, 4, 22, 383, 153, 435, 206, 2, 3
1758419701469, 5, 9, 381, 156, 443, 206, 10, 3
1758419701469, 6, 5, 382, 155, 432, 207, 2, 3
1758419701469, 4, 6, 383, 152, 433, 203, 5, 3
1758419701469, 3, 13, 380, 151, 435, 211, 2, 2
1758419701469, 2, 4, 383, 152, 439, 202, 2, 3
1758419701469, 7, 4, 381, 153, 438, 202, 1, 8
1758419701469, 3, 4, 385, 154, 434, 204, 1, 3
1758419701469, 2, 3, 382, 153, 432, 204, 2, 3
1758419701469, 3, 4, 382, 152, 435, 203, 2, 2
1758419701469, 3, 3, 386, 157, 432, 205, 1, 3
1758419701469, 1, 5, 385, 153, 432, 204, 2, 2
1758419701469, 6, 5, 381, 155, 432, 202, 2, 2
1758419701469, 4, 6, 383, 156, 435, 204, 1, 3
