unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419808237, S, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419808370, 2, 16, 304, 141, 420, 235, 1, 3
1758419808370, 3, 22, 308, 143, 419, 231, 8, 3
1758419808370, 3, 7, 302, 143, 423, 234, 7, 5
1758419808370, 3, 5, 304, 142, 423, 231, 1, 5
1758419808370, 6, 21, 305, 141, 429, 235, 1, 3
1758419808370, 4, 8, 304, 143, 419, 231, 2, 3
1758419808370, 3, 6, 304, 142, 430, 232, 2, 3
1758419808370, 3, 5, 304, 142, 425, 231, 2, 3
1758419808370, 5, 6, 303, 143, 419, 231, 2, 3
1758419808370, 6, 4, 304, 142, 421, 232, 1, 2
1758419808370, 3, 5, 306, 143, 419, 232, 2, 4
1758419808370, 3, 3, 309, 143, 420, 232, 2, 3
1758419808370, 7, 4, 303, 142, 423, 234, 1, 12
1758419808370, 4, 4, 307, 143, 421, 232, 2, 3
1758419808370, 3, 4, 307, 143, 427, 234, 2, 3
1758419808370, 5, 5, 304, 142, 420, 236, 1, 3
1758419808370, 3, 10, 316, 145, 424, 235, 1, 3
1758419808370, 2, 5, 303, 143, 432, 235, 2, 3
1758419808370, 4, 5, 307, 141, 424, 232, 1, 3
1758419808370, 2, 5, 303, 143, 420, 235, 1, 3
1758419808370, 7, 5, 308, 142, 419, 234, 2, 2
1758419808370, 2, 11, 304, 142, 432, 231, 2, 3
1758419808370, 4, 6, 306, 142, 423, 234, 1, 3
1758419808370, 3, 5, 302, 143, 419, 235, 1, 3
1758419808370, 3, 5, 301, 143, 419, 235, 2, 3
1758419808370, 4, 5, 304, 142, 431, 233, 2, 3
1758419808370, 2, 6, 303, 142, 423, 232, 1, 3
1758419808370, 9, 6, 302, 144, 424, 231, 2, 6
1758419808370, 3, 5, 307, 143, 419, 234, 1, 2
1758419808370, 6, 5, 306, 148, 422, 232, 2, 3
1758419808370, 4, 5, 304, 151, 423, 232, 1, 3
1758419808370, 6, 4, 306, 142, 422, 234, 1, 3
1758419808370, 8, 4, 305, 142, 423, 232, 1, 3
1758419808370, 4, 20, 302, 142, 420, 234, 4, 3
1758419808370, 5, 7, 301, 142, 419, 235, 9, 3
1758419808370, 7, 5, 301, 142, 419, 235, 1, 2
1758419808370, 12, 6, 301, 143, 420, 235, 2, 7
1758419808370, 5, 5, 304, 144, 423, 232, 2, 3
1758419808370, 4, 5, 304, 142, 419, 234, 2, 7
1758419808370, 8, 6, 302, 143, 420, 234, 2, 2
1758419808370, 4, 6, 305, 143, 419, 235, 2, 2
1758419808370, 4, 6, 302, 142, 420, 231, 1, 3
1758419808370, 3, 5, 303, 141, 430, 232, 2, 4
1758419808370, 5, 9, 302, 142, 427, 232, 2, 2
1758419808370, 3, 6, 302, 143, 419, 233, 2, 3
1758419808370, 2, 6, 304, 143, 423, 234, 2, 3
1758419808370, 3, 6, 311, 141, 423, 232, 2, 3
1758419808370, 1, 6, 302, 142, 419, 232, 2, 3
1758419808370, 3, 5, 305, 149, 420, 232, 2, 2
1758419808370, 3, 16, 305, 147, 423, 231, 1, 3
1758419808370, 3, 6, 302, 142, 423, 233, 1, 3
1758419808370, 8, 5, 304, 142, 419, 234, 1, 4
1758419808370, 5, 4, 311, 141, 423, 231, 2, 8
1758419808370, 4, 5, 303, 143, 423, 232, 4, 3
