unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419832253, S, 0, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419832331, 6, 7, 525, 112, 339, 229, 2, 3
1758419832331, 5, 6, 521, 112, 336, 231, 2, 2
1758419832331, 5, 7, 527, 111, 344, 229, 2, 3
1758419832331, 4, 7, 527, 110, 338, 232, 2, 6
1758419832331, 8, 7, 526, 109, 341, 229, 1, 3
1758419832331, 8, 7, 531, 110, 334, 229, 1, 2
1758419832331, 1, 5, 530, 110, 340, 238, 2, 3
1758419832331, 8, 8, 529, 108, 334, 233, 1, 8
1758419832331, 0, 5, 533, 112, 337, 230, 2, 3
1758419832331, 1, 5, 531, 110, 340, 229, 1, 6
1758419832331, 1, 20, 528, 110, 336, 238, 2, 2
1758419832331, 5, 6, 533, 109, 336, 239, 1, 5
1758419832331, 4, 5, 535, 118, 341, 230, 2, 4
1758419832331, 4, 6, 531, 110, 338, 229, 1, 2
1758419832331, 4, 5, 535, 110, 338, 231, 1, 3
1758419832331, 4, 21, 529, 111, 339, 232, 10, 3
1758419832331, 5, 8, 525, 110, 336, 231, 1, 2
1758419832331, 11, 5, 525, 111, 336, 231, 2, 3
1758419832331, 3, 19, 531, 110, 339, 229, 10, 2
1758419832331, 5, 7, 531, 112, 339, 229, 1, 6
1758419832331, 2, 6, 531, 112, 338, 229, 1, 3
1758419832331, 3, 4, 530, 112, 337, 227, 1, 6
1758419832331, 4, 7, 533, 112, 334, 231, 1, 6
1758419832331, 4, 7, 527, 113, 336, 231, 2, 2
1758419832331, 6, 7, 537, 111, 333, 231, 1, 2
1758419832331, 8, 7, 532, 110, 334, 230, 1, 3
1758419832331, 2, 6, 533, 112, 343, 232, 2, 2
1758419832331, 1, 18, 529, 111, 336, 229, 1, 1
1758419832331, 5, 7, 525, 111, 333, 232, 2, 9
1758419832331, 5, 4, 528, 109, 338, 231, 2, 3
1758419832331, 6, 5, 533, 110, 334, 231, 1, 3
1758419832331, 13, 4, 526, 110, 337, 230, 1, 2
1758419832331, 3, 4, 535, 109, 339, 229, 2, 3
1758419832331, 4, 5, 535, 110, 334, 228, 2, 3
1758419832331, 5, 20, 530, 110, 334, 230, 2, 2
1758419832331, 0, 19, 534, 112, 337, 229, 4, 3
1758419832331, 3, 7, 528, 111, 338, 231, 3, 3
1758419832331, 4, 5, 528, 110, 335, 229, 1, 3
1758419832331, 3, 5, 528, 111, 336, 231, 1, 2
1758419832331, 3, 5, 528, 112, 336, 229, 1, 3
1758419832331, 3, 5, 528, 111, 335, 230, 2, 3
1758419832331, 4, 5, 528, 110, 338, 230, 2, 2
1758419832331, 5, 7, 534, 112, 334, 230, 10, 3
1758419832331, 4, 13, 535, 111, 338, 229, 1, 3
1758419832331, 0, 8, 534, 109, 335, 233, 2, 2
1758419832331, 0, 7, 535, 107, 341, 231, 3, 4
1758419832331, 4, 6, 531, 109, 337, 231, 7, 3
1758419832331, 0, 5, 535, 108, 338, 231, 2, 2
1758419832331, 3, 5, 528, 108, 341, 230, 6, 12
1758419832331, 5, 15, 529, 109, 335, 234, 2, 3
1758419832331, 4, 6, 531, 111, 339, 229, 2, 3
1758419832331, 3, 4, 535, 109, 338, 231, 2, 3
1758419832331, 5, 3, 535, 110, 339, 228, 2, 3
1758419832331, 7, 4, 535, 114, 338, 230, 1, 2
1758419832331, 6, 4, 548, 113, 337, 228, 1, 3
1758419832331, 6, 20, 542, 112, 335, 228, 2, 2
1758419832331, 2, 22, 541, 113, 335, 230, 8, 3
1758419832331, 6, 7, 547, 113, 335, 228, 1, 1
1758419832331, 6, 5, 548, 113, 336, 229, 2, 3
1758419832331, 8, 6, 552, 114, 337, 229, 10, 3
1758419832331, 2, 19, 552, 115, 336, 231, 1, 3
1758419832331, 6, 11, 544, 113, 339, 229, 2, 2
1758419832331, 4, 9, 548, 114, 339, 229, 2, 3
1758419832331, 2, 8, 551, 114, 336, 231, 3, 5
1758419832331, 5, 6, 551, 114, 337, 228, 7, 4
1758419832331, 5, 7, 547, 115, 337, 231, 3, 3
1758419832331, 5, 6, 554, 114, 341, 229, 2, 2
1758419832331, 7, 5, 551, 112, 341, 228, 9, 3
1758419832331, 0, 4, 547, 115, 342, 228, 2, 2
1758419832331, 3, 3, 549, 115, 342, 228, 3, 3
1758419832331, 10, 4, 551, 114, 337, 228, 1, 4
1758419832331, 5, 3, 551, 113, 341, 229, 2, 3
1758419832331, 8, 20, 554, 113, 337, 234, 2, 11
1758419832331, 1, 7, 551, 113, 337, 229, 2, 3
1758419832331, 3, 6, 559, 111, 336, 228, 2, 3
1758419832331, 8, 5, 555, 112, 342, 231, 1, 2
1758419832333, 5, 21, 552, 112, 339, 233, 1, 3
1758419832333, 0, 7, 555, 110, 337, 233, 2, 3
1758419832333, 5, 19, 554, 112, 342, 229, 3, 3
1758419832334, 4, 7, 557, 111, 340, 231, 1, 3
1758419832335, 6, 6, 551, 109, 336, 231, 1, 2
1758419832347, 4, 5, 547, 110, 349, 230, 11, 3
1758419832347, 4, 8, 560, 111, 336, 229, 1, 3
1758419832347, 4, 7, 552, 110, 337, 229, 2, 3
1758419832347, 2, 7, 550, 111, 336, 230, 1, 3
1758419832347, 2, 5, 565, 112, 342, 236, 2, 3
1758419832347, 0, 5, 551, 115, 335, 235, 1, 3
1758419832347, 4, 6, 552, 110, 340, 230, 2, 2
1758419832347, 6, 5, 560, 110, 349, 230, 1, 4
1758419832347, 1, 4, 556, 108, 345, 229, 1, 3
1758419832347, 3, 4, 561, 109, 346, 229, 2, 3
1758419832347, 6, 3, 554, 111, 344, 233, 1, 2
1758419832347, 5, 4, 555, 109, 337, 241, 2, 2
1758419832360, 6, 5, 552, 115, 341, 230, 3, 2
1758419832360, 4, 20, 551, 110, 337, 233, 1, 4
1758419832360, 9, 22, 560, 112, 339, 232, 1, 3
1758419832360, 9, 18, 551, 108, 342, 234, 2, 3
