unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356608256, E, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356608350, 3, 4, 583, 77, 415, 243, 2, 4
1758356608350, 5, 17, 583, 79, 411, 237, 2, 2
1758356608350, 4, 23, 582, 76, 416, 235, 1, 4
1758356608350, 3, 24, 577, 76, 423, 239, 2, 6
1758356608350, 6, 9, 577, 78, 413, 235, 3, 2
1758356608350, 3, 8, 577, 78, 416, 237, 3, 3
1758356608350, 3, 8, 575, 82, 412, 239, 1, 7
1758356608350, 5, 9, 583, 79, 419, 238, 1, 3
1758356608350, 1, 25, 583, 78, 414, 237, 1, 3
1758356608350, 5, 12, 585, 79, 409, 239, 2, 13
1758356608350, 4, 10, 576, 78, 414, 236, 2, 4
1758356608350, 3, 7, 582, 80, 418, 236, 2, 2
1758356608350, 3, 7, 583, 80, 415, 239, 2, 3
1758356608350, 5, 6, 576, 79, 416, 245, 1, 12
1758356608350, 5, 4, 584, 78, 415, 239, 4, 3
1758356608350, 4, 4, 583, 79, 416, 249, 2, 2
1758356608350, 3, 18, 582, 76, 410, 240, 2, 11
1758356608350, 5, 20, 581, 80, 413, 241, 2, 3
1758356608350, 2, 7, 587, 79, 413, 241, 2, 4
1758356608350, 4, 5, 587, 78, 414, 242, 2, 3
1758356608350, 3, 5, 579, 80, 411, 240, 2, 2
1758356608350, 3, 5, 579, 78, 411, 242, 2, 7
1758356608350, 4, 8, 586, 77, 415, 240, 2, 3
1758356608350, 3, 7, 584, 77, 416, 240, 2, 3
1758356608350, 5, 6, 583, 76, 414, 243, 2, 3
1758356608350, 1, 20, 579, 79, 417, 241, 2, 4
1758356608350, 11, 9, 579, 80, 420, 243, 1, 3
1758356608350, 3, 8, 585, 78, 407, 247, 8, 3
1758356608350, 5, 10, 580, 78, 416, 240, 6, 4
1758356608350, 4, 10, 587, 78, 412, 243, 2, 3
1758356608350, 5, 16, 584, 78, 414, 240, 2, 3
1758356608350, 4, 9, 587, 78, 411, 242, 2, 3
1758356608350, 6, 6, 589, 78, 416, 245, 2, 3
1758356608350, 4, 4, 591, 77, 415, 242, 2, 3
1758356608350, 1, 19, 581, 80, 411, 245, 2, 3
1758356608350, 4, 6, 589, 79, 413, 243, 2, 4
1758356608350, 4, 19, 584, 75, 412, 242, 2, 3
1758356608350, 4, 6, 581, 76, 410, 243, 2, 3
1758356608350, 2, 4, 588, 73, 415, 241, 9, 4
1758356608350, 2, 4, 587, 78, 416, 243, 2, 8
1758356608351, 4, 4, 600, 76, 411, 245, 3, 3
1758356608351, 5, 4, 587, 78, 411, 240, 1, 2
1758356608351, 5, 6, 587, 76, 414, 239, 2, 2
1758356608351, 3, 21, 589, 78, 413, 242, 0, 3
1758356608351, 4, 9, 592, 76, 414, 241, 2, 2
1758356608351, 7, 7, 588, 76, 415, 240, 2, 5
1758356608351, 3, 9, 589, 74, 413, 240, 1, 4
1758356608351, 3, 8, 591, 79, 413, 240, 2, 4
1758356608351, 4, 9, 586, 76, 415, 239, 2, 1
1758356608351, 5, 10, 583, 76, 413, 247, 2, 3
1758356608351, 2, 16, 583, 77, 413, 243, 2, 7
1758356608351, 6, 8, 589, 76, 416, 240, 1, 3
1758356608351, 3, 8, 590, 73, 415, 239, 2, 3
1758356608351, 5, 5, 583, 76, 409, 239, 1, 3
1758356608351, 11, 4, 589, 76, 413, 242, 1, 5
1758356608351, 2, 4, 591, 73, 416, 244, 1, 4
1758356608351, 5, 5, 584, 76, 414, 243, 1, 3
1758356608351, 3, 7, 585, 80, 416, 250, 2, 2
1758356608351, 11, 5, 590, 77, 413, 241, 3, 4
1758356608351, 4, 17, 583, 72, 423, 240, 1, 4
1758356608351, 3, 6, 589, 73, 415, 241, 1, 3
1758356608351, 7, 4, 591, 72, 413, 243, 1, 3
1758356608351, 6, 5, 591, 74, 413, 245, 1, 4
1758356608351, 4, 6, 586, 73, 418, 241, 3, 3
1758356608351, 3, 7, 591, 74, 414, 244, 2, 4
1758356608351, 2, 22, 588, 74, 421, 241, 6, 3
1758356608351, 3, 10, 591, 77, 414, 247, 1, 3
1758356608351, 2, 8, 580, 75, 413, 242, 2, 10
1758356608351, 3, 15, 590, 72, 413, 243, 2, 4
1758356608351, 3, 9, 590, 72, 419, 241, 2, 3
1758356608351, 11, 9, 590, 73, 418, 241, 2, 2
1758356608351, 3, 22, 584, 75, 427, 242, 2, 9
1758356608351, 7, 9, 584, 71, 415, 241, 2, 3
1758356608351, 5, 5, 581, 73, 416, 243, 2, 4
1758356608351, 3, 14, 585, 73, 419, 241, 3, 3
1758356608351, 8, 5, 583, 70, 416, 245, 2, 3
1758356608351, 3, 3, 592, 72, 422, 241, 2, 4
1758356608351, 5, 3, 579, 76, 416, 245, 2, 3
1758356608351, 2, 19, 586, 72, 418, 243, 2, 5
1758356608351, 10, 6, 591, 73, 414, 241, 7, 3
1758356608351, 2, 5, 584, 72, 415, 241, 4, 5
1758356608351, 1, 5, 583, 75, 416, 244, 3, 4
1758356608351, 2, 4, 586, 72, 416, 242, 3, 1
1758356608351, 6, 5, 587, 79, 414, 240, 2, 2
1758356608351, 4, 7, 589, 71, 413, 243, 2, 2
1758356608351, 3, 7, 587, 72, 412, 240, 5, 2
1758356608351, 3, 8, 592, 73, 413, 241, 8, 3
1758356608351, 5, 8, 595, 73, 413, 240, 2, 3
1758356608351, 4, 10, 587, 72, 413, 241, 1, 4
1758356608351, 5, 25, 588, 74, 416, 245, 2, 8
1758356608351, 1, 11, 591, 74, 416, 242, 1, 3
1758356608351, 5, 8, 587, 69, 416, 240, 2, 3
1758356608351, 5, 8, 585, 70, 424, 240, 3, 5
1758356608351, 2, 6, 591, 72, 416, 253, 1, 3
1758356608351, 4, 3, 591, 71, 412, 243, 2, 1
1758356608351, 3, 3, 591, 71, 415, 240, 1, 3
1758356608351, 3, 2, 591, 71, 418, 240, 1, 6
1758356608351, 3, 3, 586, 71, 415, 242, 2, 3
1758356608351, 0, 4, 587, 73, 413, 243, 2, 2
1758356608351, 2, 3, 592, 72, 414, 242, 1, 4
1758356608351, 0, 4, 599, 74, 415, 240, 2, 3
1758356608351, 5, 21, 598, 70, 419, 240, 1, 3
1758356608351, 2, 8, 592, 73, 416, 244, 2, 3
1758356608351, 3, 6, 595, 71, 416, 242, 1, 3
1758356608351, 2, 6, 600, 71, 416, 243, 2, 1
1758356608351, 4, 6, 592, 72, 419, 240, 4, 3
1758356608351, 5, 24, 592, 72, 412, 240, 1, 5
1758356608351, 4, 11, 599, 74, 421, 242, 2, 6
1758356608351, 3, 10, 596, 72, 416, 243, 2, 3
1758356608351, 3, 9, 590, 78, 416, 244, 3, 5
1758356608351, 3, 8, 590, 73, 419, 244, 2, 4
1758356608351, 11, 7, 592, 72, 416, 243, 2, 3
1758356608351, 3, 6, 589, 73, 416, 243, 2, 3
1758356608351, 4, 5, 594, 79, 418, 241, 1, 12
1758356608351, 7, 5, 600, 77, 419, 240, 1, 3
1758356608351, 7, 3, 596, 72, 416, 248, 1, 6
1758356608351, 6, 3, 599, 73, 418, 240, 2, 6
1758356608351, 4, 3, 599, 74, 419, 240, 10, 3
1758356608351, 3, 3, 599, 72, 419, 243, 2, 1
1758356608351, 1, 4, 599, 72, 416, 243, 1, 5
1758356608351, 4, 9, 598, 71, 418, 243, 2, 4
1758356608351, 2, 6, 592, 73, 416, 246, 3, 3
1758356608351, 6, 19, 588, 72, 416, 249, 3, 3
1758356608351, 5, 23, 591, 74, 416, 243, 1, 4
1758356608351, 3, 9, 595, 76, 417, 243, 2, 3
1758356608351, 5, 13, 591, 72, 420, 243, 1, 4
1758356608351, 2, 14, 591, 76, 422, 241, 2, 2
1758356608351, 3, 8, 599, 73, 421, 243, 2, 3
1758356608351, 2, 9, 595, 73, 421, 244, 1, 3
1758356608351, 2, 9, 593, 72, 418, 245, 2, 3
1758356608351, 2, 8, 596, 73, 419, 240, 2, 3
1758356608351, 3, 7, 596, 71, 416, 243, 1, 3
1758356608351, 12, 7, 590, 73, 418, 240, 2, 3
1758356608351, 3, 5, 593, 82, 421, 241, 2, 3
1758356608351, 4, 4, 606, 74, 419, 243, 1, 3
1758356608351, 3, 16, 593, 75, 419, 240, 3, 2
1758356608351, 8, 5, 593, 72, 416, 243, 9, 4
1758356608351, 3, 5, 603, 75, 417, 242, 2, 3
1758356608351, 4, 4, 596, 74, 419, 241, 1, 8
1758356608351, 3, 4, 591, 76, 421, 241, 2, 3
1758356608351, 4, 4, 597, 73, 429, 242, 2, 2
1758356608351, 5, 5, 599, 70, 419, 243, 5, 3
