unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356632267, E, 0, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356632392, 5, 10, 446, 100, 398, 326, 1, 3
1758356632392, 2, 5, 455, 103, 396, 331, 2, 7
1758356632392, 4, 6, 444, 102, 394, 335, 2, 3
1758356632392, 4, 5, 444, 101, 393, 330, 2, 3
1758356632392, 4, 7, 443, 102, 394, 328, 2, 3
1758356632392, 3, 7, 445, 100, 393, 329, 1, 3
1758356632392, 4, 7, 447, 100, 396, 329, 2, 7
1758356632392, 7, 23, 443, 102, 393, 331, 2, 3
1758356632392, 6, 11, 449, 100, 396, 339, 2, 3
1758356632392, 5, 24, 445, 100, 397, 333, 2, 3
1758356632392, 3, 11, 457, 102, 398, 326, 6, 4
1758356632392, 3, 7, 443, 99, 398, 327, 3, 4
1758356632392, 6, 7, 442, 102, 397, 327, 2, 4
1758356632392, 3, 5, 447, 99, 391, 327, 1, 4
1758356632392, 3, 4, 444, 110, 397, 329, 2, 7
1758356632392, 4, 4, 447, 100, 396, 327, 4, 2
1758356632392, 4, 18, 448, 99, 393, 330, 2, 3
1758356632392, 2, 22, 447, 104, 396, 328, 3, 2
1758356632392, 8, 22, 446, 98, 394, 327, 9, 1
1758356632392, 4, 7, 446, 98, 398, 336, 3, 5
1758356632392, 4, 21, 450, 99, 397, 327, 1, 1
1758356632392, 2, 22, 446, 99, 398, 340, 2, 2
1758356632392, 6, 8, 450, 99, 398, 327, 2, 9
1758356632392, 5, 6, 453, 99, 406, 328, 0, 3
1758356632392, 4, 8, 450, 98, 396, 331, 3, 3
1758356632392, 4, 8, 446, 98, 393, 330, 1, 3
1758356632392, 3, 7, 445, 98, 398, 335, 2, 3
1758356632392, 6, 9, 459, 99, 400, 329, 3, 4
1758356632392, 5, 24, 445, 98, 393, 327, 2, 4
1758356632392, 5, 11, 453, 96, 393, 328, 2, 2
1758356632392, 4, 8, 448, 100, 399, 330, 9, 4
1758356632392, 4, 7, 447, 97, 397, 328, 1, 4
1758356632392, 1, 7, 443, 96, 393, 328, 2, 3
1758356632392, 3, 5, 455, 100, 393, 333, 1, 4
1758356632392, 3, 4, 446, 105, 405, 329, 2, 1
1758356632392, 3, 19, 447, 98, 397, 328, 5, 4
1758356632392, 3, 5, 458, 96, 398, 331, 1, 4
1758356632392, 4, 19, 445, 107, 396, 330, 2, 2
1758356632392, 3, 21, 451, 97, 397, 330, 2, 3
1758356632392, 12, 7, 445, 99, 393, 330, 2, 2
1758356632392, 3, 5, 448, 98, 397, 327, 1, 3
1758356632392, 4, 4, 451, 97, 400, 330, 1, 3
1758356632392, 4, 6, 446, 101, 399, 330, 1, 2
1758356632392, 3, 6, 448, 98, 399, 330, 2, 2
1758356632392, 3, 6, 448, 99, 396, 331, 2, 2
1758356632392, 6, 17, 451, 101, 396, 331, 2, 4
1758356632392, 3, 9, 448, 102, 393, 331, 3, 3
1758356632392, 4, 8, 451, 99, 393, 327, 2, 3
1758356632392, 6, 9, 447, 100, 393, 331, 2, 6
1758356632392, 12, 9, 451, 100, 397, 334, 2, 2
1758356632392, 4, 9, 456, 99, 397, 327, 2, 4
1758356632392, 4, 7, 448, 107, 397, 332, 2, 4
1758356632392, 6, 6, 452, 102, 397, 327, 2, 3
1758356632392, 3, 5, 454, 99, 396, 328, 2, 5
1758356632392, 1, 5, 455, 99, 397, 327, 2, 3
1758356632392, 3, 4, 448, 96, 397, 327, 1, 3
1758356632392, 2, 4, 451, 97, 397, 328, 1, 3
1758356632392, 4, 4, 453, 99, 397, 327, 1, 3
1758356632392, 3, 4, 454, 100, 396, 327, 2, 3
1758356632392, 3, 20, 449, 98, 391, 331, 1, 13
1758356632392, 2, 22, 449, 98, 397, 333, 1, 6
1758356632392, 2, 21, 451, 99, 396, 328, 2, 3
1758356632392, 7, 21, 451, 98, 405, 328, 1, 8
1758356632392, 6, 8, 448, 99, 396, 328, 2, 9
1758356632392, 2, 7, 448, 100, 397, 328, 2, 4
1758356632392, 6, 7, 451, 100, 397, 327, 10, 5
1758356632392, 4, 7, 451, 97, 396, 333, 2, 4
1758356632392, 4, 9, 448, 100, 396, 327, 3, 5
1758356632392, 5, 22, 451, 101, 397, 330, 1, 3
1758356632392, 3, 22, 451, 101, 391, 331, 1, 3
1758356632392, 4, 10, 443, 103, 396, 328, 1, 4
1758356632392, 5, 8, 454, 103, 396, 331, 2, 4
1758356632392, 3, 7, 450, 101, 396, 328, 1, 3
1758356632392, 1, 4, 452, 103, 393, 331, 1, 3
1758356632392, 1, 4, 456, 99, 399, 327, 1, 3
1758356632392, 2, 18, 449, 101, 396, 335, 1, 3
1758356632392, 2, 16, 448, 105, 396, 327, 2, 1
1758356632392, 2, 5, 451, 100, 391, 330, 1, 3
1758356632392, 4, 5, 448, 102, 397, 331, 2, 1
1758356632392, 3, 3, 455, 103, 396, 335, 1, 3
1758356632392, 4, 4, 453, 104, 396, 331, 1, 4
1758356632392, 3, 5, 453, 100, 392, 331, 2, 3
1758356632392, 3, 5, 450, 105, 397, 327, 2, 3
1758356632393, 6, 5, 449, 102, 397, 330, 2, 3
1758356632393, 13, 6, 451, 104, 396, 332, 2, 4
1758356632393, 5, 8, 448, 104, 393, 335, 1, 5
1758356632393, 6, 8, 455, 103, 402, 328, 2, 3
1758356632393, 4, 9, 452, 103, 396, 334, 2, 3
1758356632393, 9, 9, 448, 102, 392, 327, 2, 3
1758356632393, 3, 9, 453, 103, 399, 329, 2, 3
1758356632393, 5, 8, 448, 103, 396, 332, 2, 6
1758356632393, 7, 8, 448, 102, 392, 330, 1, 3
1758356632393, 4, 7, 459, 104, 393, 339, 1, 3
1758356632393, 4, 5, 452, 104, 392, 327, 2, 3
1758356632393, 4, 5, 455, 101, 398, 330, 1, 3
1758356632393, 4, 5, 448, 103, 393, 328, 2, 3
1758356632393, 3, 4, 448, 102, 401, 328, 2, 3
1758356632393, 3, 15, 452, 102, 397, 329, 3, 4
1758356632393, 1, 20, 452, 104, 394, 330, 1, 2
1758356632393, 4, 22, 451, 101, 403, 327, 8, 1
1758356632393, 5, 7, 457, 105, 393, 334, 6, 4
1758356632393, 3, 21, 450, 108, 391, 329, 2, 3
1758356632393, 1, 7, 453, 102, 402, 327, 2, 2
1758356632393, 4, 6, 453, 107, 396, 329, 6, 3
1758356632393, 3, 6, 453, 102, 391, 333, 3, 3
1758356632393, 3, 7, 449, 104, 393, 328, 1, 4
1758356632393, 4, 8, 448, 102, 391, 330, 2, 4
1758356632393, 4, 24, 451, 104, 395, 330, 1, 3
1758356632393, 4, 11, 447, 102, 396, 328, 2, 3
1758356632393, 2, 9, 448, 102, 396, 332, 2, 7
1758356632393, 3, 22, 447, 102, 392, 331, 1, 6
1758356632393, 8, 10, 453, 104, 393, 330, 0, 4
1758356632393, 4, 23, 448, 103, 406, 335, 0, 4
1758356632393, 4, 7, 448, 102, 396, 332, 2, 3
1758356632393, 4, 6, 453, 107, 399, 326, 2, 3
1758356632393, 3, 4, 448, 102, 392, 339, 2, 3
1758356632393, 5, 4, 448, 103, 393, 334, 2, 3
1758356632393, 2, 4, 451, 101, 396, 334, 2, 2
1758356632393, 3, 4, 448, 104, 403, 327, 2, 4
1758356632393, 3, 3, 448, 104, 396, 328, 2, 3
1758356632393, 4, 4, 449, 107, 397, 331, 2, 3
1758356632393, 1, 18, 448, 104, 396, 331, 1, 3
1758356632393, 3, 21, 450, 107, 396, 327, 2, 3
1758356632393, 6, 8, 447, 104, 396, 329, 2, 3
1758356632393, 4, 7, 447, 103, 396, 329, 2, 3
1758356632393, 12, 23, 446, 103, 396, 335, 2, 2
1758356632395, 3, 14, 447, 102, 393, 333, 3, 3
1758356632395, 4, 10, 446, 112, 391, 328, 2, 2
1758356632396, 5, 9, 451, 106, 395, 329, 1, 3
1758356632396, 3, 9, 445, 101, 393, 335, 0, 5
1758356632398, 4, 8, 450, 104, 398, 335, 2, 2
1758356632399, 9, 8, 447, 104, 391, 332, 1, 3
1758356632413, 3, 7, 445, 104, 396, 327, 1, 3
1758356632413, 6, 6, 455, 104, 392, 328, 2, 2
1758356632413, 7, 4, 455, 103, 396, 330, 3, 3
1758356632413, 3, 18, 445, 107, 393, 330, 1, 2
1758356632413, 3, 5, 446, 104, 391, 339, 2, 3
