unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356644272, E, 1, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356644382, 4, 8, 487, 102, 374, 318, 1, 4
1758356644382, 3, 7, 496, 104, 368, 319, 2, 1
1758356644382, 4, 9, 492, 107, 369, 320, 2, 4
1758356644382, 3, 8, 493, 102, 371, 318, 1, 5
1758356644382, 6, 8, 503, 104, 372, 321, 3, 4
1758356644382, 4, 8, 487, 101, 374, 318, 2, 2
1758356644382, 4, 8, 485, 102, 367, 321, 2, 1
1758356644382, 8, 6, 490, 101, 369, 329, 2, 3
1758356644382, 1, 6, 485, 102, 372, 319, 4, 3
1758356644382, 1, 5, 487, 104, 369, 327, 1, 3
1758356644382, 2, 4, 491, 101, 375, 318, 2, 8
1758356644382, 3, 3, 495, 101, 373, 318, 2, 3
1758356644382, 1, 5, 487, 101, 371, 319, 1, 3
1758356644382, 2, 5, 498, 103, 376, 327, 1, 5
1758356644382, 4, 17, 496, 103, 369, 317, 2, 2
1758356644382, 0, 6, 492, 100, 366, 319, 2, 3
1758356644382, 4, 6, 487, 103, 369, 317, 3, 2
1758356644382, 2, 6, 495, 100, 369, 318, 1, 2
1758356644382, 5, 5, 504, 113, 369, 319, 1, 3
1758356644382, 3, 23, 492, 105, 369, 325, 2, 2
1758356644382, 3, 10, 491, 106, 373, 322, 1, 3
1758356644382, 3, 21, 498, 104, 373, 319, 3, 3
1758356644382, 5, 11, 491, 102, 373, 320, 2, 4
1758356644382, 3, 9, 491, 104, 372, 319, 4, 4
1758356644382, 12, 24, 491, 104, 369, 319, 2, 4
1758356644382, 2, 10, 495, 102, 367, 322, 6, 3
1758356644382, 6, 8, 496, 102, 370, 319, 1, 3
1758356644382, 5, 17, 498, 104, 372, 318, 1, 2
1758356644382, 2, 6, 507, 103, 369, 324, 2, 11
1758356644382, 6, 5, 491, 106, 369, 318, 1, 4
1758356644382, 5, 4, 495, 105, 368, 323, 1, 3
1758356644382, 4, 20, 491, 105, 373, 321, 2, 2
1758356644382, 9, 6, 498, 107, 372, 323, 1, 2
1758356644382, 3, 4, 495, 105, 377, 318, 1, 3
1758356644382, 6, 19, 490, 109, 379, 319, 1, 4
1758356644382, 5, 21, 491, 108, 368, 319, 2, 6
1758356644382, 0, 8, 497, 108, 377, 319, 2, 2
1758356644382, 4, 7, 499, 108, 373, 321, 2, 2
1758356644382, 12, 6, 501, 105, 370, 325, 2, 3
1758356644382, 1, 7, 494, 105, 368, 318, 2, 3
1758356644382, 4, 8, 494, 106, 372, 322, 2, 2
1758356644382, 3, 8, 501, 107, 369, 320, 2, 5
1758356644382, 3, 8, 503, 106, 372, 320, 2, 4
1758356644382, 5, 9, 497, 109, 369, 315, 1, 3
1758356644382, 1, 8, 499, 105, 375, 319, 2, 8
1758356644382, 3, 8, 500, 102, 373, 330, 3, 3
1758356644382, 4, 23, 496, 116, 373, 318, 2, 6
1758356644382, 9, 9, 495, 109, 374, 319, 2, 3
1758356644382, 13, 6, 498, 104, 381, 319, 4, 3
1758356644382, 4, 19, 503, 103, 377, 318, 2, 3
1758356644382, 3, 6, 500, 104, 368, 317, 1, 4
1758356644382, 3, 5, 499, 103, 369, 327, 2, 10
1758356644382, 6, 4, 500, 104, 376, 323, 1, 3
1758356644382, 4, 5, 503, 103, 372, 318, 1, 4
1758356644382, 6, 4, 497, 106, 372, 318, 2, 13
1758356644382, 3, 4, 497, 102, 369, 318, 1, 4
1758356644382, 2, 4, 499, 103, 373, 317, 2, 3
1758356644382, 4, 6, 497, 102, 373, 322, 1, 2
1758356644382, 3, 6, 500, 104, 381, 316, 1, 3
1758356644382, 3, 18, 502, 102, 371, 319, 2, 2
1758356644382, 4, 9, 495, 103, 371, 324, 1, 3
1758356644382, 4, 8, 499, 104, 369, 320, 3, 4
1758356644382, 4, 21, 496, 105, 373, 321, 2, 3
1758356644382, 4, 11, 493, 106, 376, 322, 3, 3
1758356644382, 1, 9, 503, 104, 374, 317, 2, 3
1758356644382, 3, 8, 499, 110, 369, 318, 1, 4
1758356644382, 2, 21, 496, 110, 376, 327, 2, 6
1758356644382, 6, 7, 503, 104, 373, 317, 2, 3
1758356644382, 2, 6, 496, 109, 373, 319, 1, 2
1758356644382, 4, 4, 504, 105, 374, 319, 2, 12
1758356644382, 3, 4, 496, 103, 373, 322, 9, 6
1758356644382, 3, 19, 502, 103, 374, 317, 3, 6
1758356644382, 2, 6, 500, 104, 375, 318, 1, 4
1758356644382, 9, 5, 494, 107, 375, 319, 2, 3
1758356644382, 3, 4, 501, 104, 371, 317, 1, 3
1758356644382, 3, 20, 495, 103, 372, 323, 1, 2
1758356644382, 1, 7, 499, 102, 373, 319, 1, 3
1758356644382, 7, 6, 502, 104, 373, 317, 1, 3
1758356644382, 4, 7, 496, 102, 370, 317, 1, 3
1758356644382, 9, 7, 499, 104, 374, 318, 1, 3
1758356644382, 4, 22, 496, 105, 370, 323, 2, 3
1758356644382, 2, 10, 496, 108, 371, 319, 1, 4
1758356644382, 5, 9, 500, 104, 375, 318, 2, 3
1758356644382, 5, 9, 502, 104, 372, 317, 2, 3
1758356644382, 4, 8, 508, 101, 373, 316, 3, 4
1758356644382, 0, 7, 503, 105, 372, 316, 1, 3
1758356644382, 2, 7, 507, 103, 368, 329, 6, 11
1758356644382, 3, 5, 496, 105, 372, 317, 3, 3
1758356644382, 5, 5, 501, 103, 371, 317, 2, 3
1758356644382, 1, 19, 498, 104, 377, 318, 10, 3
1758356644382, 6, 6, 501, 103, 372, 324, 2, 3
1758356644382, 2, 19, 498, 103, 374, 319, 2, 3
1758356644382, 2, 6, 498, 103, 375, 317, 2, 4
1758356644382, 5, 5, 498, 105, 369, 319, 2, 3
1758356644382, 4, 4, 495, 104, 373, 317, 2, 4
1758356644382, 4, 5, 503, 103, 373, 317, 1, 10
