unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356668281, E, 3, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356668353, 5, 5, 491, 92, 416, 344, 3, 3
1758356668353, 4, 4, 491, 92, 418, 341, 2, 3
1758356668353, 4, 5, 492, 92, 416, 341, 1, 2
1758356668353, 8, 6, 494, 93, 421, 348, 2, 2
1758356668353, 4, 9, 494, 92, 416, 345, 2, 2
1758356668353, 8, 22, 491, 93, 415, 343, 2, 3
1758356668353, 3, 10, 504, 94, 416, 345, 1, 4
1758356668353, 6, 7, 493, 92, 422, 344, 1, 11
1758356668353, 4, 8, 491, 93, 416, 344, 2, 3
1758356668353, 4, 9, 500, 96, 416, 349, 2, 3
1758356668353, 2, 8, 495, 94, 415, 344, 2, 6
1758356668353, 5, 23, 494, 93, 421, 344, 1, 8
1758356668353, 1, 10, 495, 97, 416, 344, 2, 3
1758356668353, 3, 6, 495, 90, 419, 344, 2, 4
1758356668353, 12, 5, 498, 93, 419, 344, 1, 3
1758356668353, 4, 17, 490, 92, 416, 346, 2, 4
1758356668353, 4, 6, 492, 92, 422, 341, 2, 6
1758356668353, 5, 5, 495, 90, 416, 342, 2, 8
1758356668353, 3, 4, 491, 95, 419, 342, 2, 3
1758356668353, 5, 20, 495, 92, 419, 344, 2, 3
1758356668353, 9, 7, 491, 95, 416, 346, 6, 3
1758356668353, 8, 6, 491, 94, 420, 347, 1, 3
1758356668353, 3, 5, 495, 94, 418, 343, 2, 3
1758356668353, 3, 5, 495, 94, 418, 345, 2, 7
1758356668353, 3, 6, 489, 90, 427, 349, 3, 6
1758356668353, 2, 7, 493, 92, 416, 346, 2, 2
1758356668353, 2, 7, 500, 92, 416, 345, 2, 2
1758356668353, 3, 8, 490, 91, 419, 345, 1, 3
1758356668353, 4, 21, 503, 91, 418, 343, 2, 4
1758356668353, 5, 11, 493, 90, 427, 347, 1, 4
1758356668353, 5, 8, 503, 91, 417, 341, 2, 5
1758356668353, 4, 8, 493, 93, 416, 342, 2, 3
1758356668353, 4, 8, 495, 88, 421, 346, 2, 2
1758356668353, 2, 16, 495, 95, 415, 343, 1, 3
1758356668353, 1, 7, 492, 92, 415, 345, 1, 3
1758356668353, 4, 5, 496, 92, 421, 345, 1, 4
1758356668353, 4, 4, 500, 100, 421, 347, 2, 3
1758356668353, 4, 4, 496, 91, 415, 341, 1, 5
1758356668353, 3, 5, 491, 93, 428, 352, 2, 3
1758356668353, 3, 19, 493, 91, 416, 341, 2, 1
1758356668353, 3, 22, 493, 93, 426, 351, 0, 3
1758356668353, 6, 7, 502, 93, 415, 345, 2, 4
1758356668353, 5, 4, 488, 92, 417, 344, 2, 3
1758356668353, 3, 6, 496, 92, 416, 342, 2, 2
1758356668353, 6, 6, 496, 92, 416, 338, 2, 4
1758356668353, 3, 6, 493, 93, 416, 348, 3, 4
1758356668353, 5, 7, 506, 91, 416, 344, 1, 3
1758356668353, 4, 9, 491, 93, 416, 347, 1, 3
1758356668353, 4, 9, 499, 93, 415, 345, 1, 2
1758356668353, 4, 9, 506, 94, 416, 342, 1, 3
1758356668353, 4, 23, 498, 89, 417, 345, 2, 3
1758356668353, 5, 10, 499, 95, 418, 341, 1, 3
1758356668353, 3, 8, 491, 92, 417, 342, 1, 3
1758356668353, 3, 20, 490, 90, 418, 343, 2, 3
1758356668353, 1, 7, 499, 91, 425, 344, 1, 3
1758356668353, 3, 6, 502, 91, 419, 341, 2, 12
1758356668353, 9, 4, 496, 94, 415, 350, 1, 3
1758356668353, 3, 4, 491, 94, 416, 344, 1, 4
1758356668353, 5, 4, 498, 91, 416, 352, 2, 3
1758356668353, 1, 4, 491, 91, 416, 342, 2, 3
1758356668353, 2, 5, 495, 93, 425, 344, 10, 3
1758356668353, 3, 8, 499, 92, 419, 344, 2, 3
1758356668353, 5, 5, 493, 91, 416, 341, 7, 4
1758356668353, 5, 6, 493, 91, 416, 344, 3, 3
1758356668353, 6, 6, 499, 95, 416, 341, 1, 3
1758356668353, 0, 22, 491, 93, 421, 346, 2, 4
1758356668353, 5, 10, 499, 98, 421, 341, 2, 2
1758356668353, 1, 9, 503, 94, 417, 341, 2, 11
1758356668353, 5, 9, 496, 92, 416, 352, 2, 7
1758356668353, 5, 9, 503, 95, 416, 346, 2, 2
1758356668353, 3, 8, 495, 92, 423, 342, 1, 3
1758356668355, 8, 23, 496, 92, 416, 350, 2, 3
1758356668355, 5, 10, 506, 95, 418, 344, 1, 4
1758356668355, 2, 6, 494, 93, 417, 340, 1, 4
1758356668356, 8, 5, 499, 90, 415, 351, 2, 3
1758356668358, 1, 5, 499, 91, 416, 344, 1, 2
1758356668365, 4, 3, 496, 92, 416, 348, 2, 3
1758356668365, 5, 5, 494, 95, 418, 340, 2, 3
1758356668365, 10, 4, 499, 91, 419, 344, 1, 3
1758356668365, 6, 4, 498, 93, 419, 340, 2, 3
1758356668365, 3, 4, 493, 91, 416, 342, 2, 7
1758356668365, 6, 4, 497, 92, 419, 347, 2, 4
1758356668365, 3, 5, 495, 92, 413, 345, 1, 3
1758356668373, 1, 6, 491, 92, 419, 344, 10, 3
1758356668373, 3, 6, 500, 91, 423, 341, 2, 2
1758356668373, 3, 6, 496, 93, 419, 344, 2, 3
1758356668373, 12, 8, 492, 93, 420, 345, 3, 3
1758356668373, 5, 9, 493, 94, 416, 343, 2, 3
1758356668373, 7, 8, 498, 93, 416, 344, 2, 2
1758356668373, 12, 9, 499, 94, 416, 345, 2, 3
1758356668373, 6, 8, 492, 94, 427, 344, 2, 2
1758356668373, 2, 6, 496, 94, 419, 346, 2, 2
1758356668384, 2, 7, 495, 94, 421, 348, 2, 3
1758356668384, 4, 6, 498, 103, 416, 345, 2, 3
1758356668384, 7, 5, 492, 91, 419, 345, 2, 3
1758356668384, 2, 4, 495, 93, 417, 343, 3, 2
1758356668384, 5, 20, 493, 91, 419, 341, 2, 3
1758356668384, 3, 7, 495, 92, 416, 342, 2, 2
1758356668384, 2, 4, 493, 91, 416, 352, 3, 2
1758356668384, 1, 5, 497, 95, 417, 341, 3, 8
1758356668384, 3, 4, 499, 93, 423, 344, 2, 4
1758356668384, 3, 6, 491, 93, 420, 345, 2, 7
1758356668397, 5, 20, 492, 94, 419, 342, 1, 3
1758356668397, 5, 21, 493, 93, 421, 344, 2, 3
1758356668397, 12, 9, 496, 90, 421, 342, 5, 3
1758356668397, 4, 16, 493, 92, 416, 344, 2, 3
