unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356692300, E, 5, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356692406, 3, 8, 525, 105, 375, 333, 2, 4
1758356692406, 3, 7, 522, 104, 378, 335, 3, 4
1758356692406, 3, 7, 515, 102, 378, 336, 0, 8
1758356692406, 4, 5, 515, 105, 378, 333, 3, 3
1758356692406, 4, 19, 522, 105, 382, 334, 2, 3
1758356692406, 3, 6, 523, 106, 376, 333, 2, 3
1758356692406, 2, 4, 520, 103, 379, 343, 1, 3
1758356692406, 5, 4, 527, 106, 376, 334, 3, 2
1758356692406, 8, 5, 523, 106, 373, 333, 2, 4
1758356692406, 2, 5, 523, 104, 376, 333, 1, 3
1758356692406, 4, 5, 520, 114, 379, 333, 3, 3
1758356692406, 4, 5, 517, 107, 376, 333, 1, 3
1758356692406, 2, 14, 519, 109, 377, 338, 2, 4
1758356692406, 5, 7, 520, 115, 377, 341, 2, 3
1758356692406, 4, 6, 520, 107, 376, 333, 5, 4
1758356692406, 4, 7, 525, 106, 377, 337, 3, 4
1758356692406, 4, 7, 519, 106, 376, 333, 11, 4
1758356692406, 0, 9, 527, 107, 379, 337, 2, 3
1758356692406, 9, 9, 525, 107, 383, 334, 2, 3
1758356692406, 2, 8, 527, 104, 376, 336, 1, 7
1758356692406, 3, 7, 520, 104, 375, 337, 1, 3
1758356692406, 11, 8, 519, 106, 377, 334, 2, 3
1758356692406, 9, 21, 519, 105, 377, 339, 4, 3
1758356692406, 0, 8, 522, 105, 385, 333, 1, 3
1758356692406, 5, 5, 521, 103, 379, 333, 2, 2
1758356692406, 3, 4, 523, 102, 387, 337, 1, 3
1758356692406, 4, 5, 519, 105, 375, 335, 1, 4
1758356692406, 4, 20, 520, 103, 384, 337, 2, 3
1758356692406, 6, 6, 528, 103, 381, 338, 2, 2
1758356692406, 3, 6, 522, 103, 382, 339, 4, 3
1758356692406, 5, 3, 520, 103, 375, 334, 2, 3
1758356692406, 5, 5, 523, 103, 379, 338, 2, 5
1758356692406, 4, 5, 527, 103, 390, 336, 11, 2
1758356692406, 9, 6, 520, 107, 376, 336, 3, 4
1758356692406, 4, 6, 519, 105, 380, 335, 1, 3
1758356692406, 6, 7, 520, 107, 378, 333, 2, 5
1758356692406, 3, 6, 520, 103, 378, 337, 2, 4
1758356692406, 6, 8, 527, 106, 382, 340, 2, 2
1758356692406, 5, 9, 524, 106, 375, 338, 2, 3
1758356692406, 14, 9, 519, 104, 378, 337, 2, 3
1758356692406, 3, 7, 519, 107, 377, 333, 4, 4
1758356692406, 6, 7, 519, 107, 377, 333, 11, 5
1758356692406, 2, 6, 519, 105, 380, 336, 1, 3
1758356692406, 1, 20, 519, 104, 379, 336, 4, 6
1758356692406, 4, 23, 524, 104, 376, 333, 2, 6
1758356692406, 6, 6, 524, 102, 376, 339, 3, 3
1758356692406, 4, 4, 524, 101, 376, 333, 2, 2
1758356692406, 4, 19, 528, 105, 381, 337, 1, 4
1758356692406, 3, 7, 524, 100, 382, 337, 2, 3
1758356692406, 8, 4, 527, 104, 376, 336, 1, 3
1758356692406, 2, 5, 521, 103, 374, 337, 2, 2
1758356692406, 1, 5, 527, 105, 379, 337, 1, 4
1758356692406, 4, 5, 527, 105, 379, 336, 1, 3
1758356692406, 4, 6, 524, 108, 375, 338, 2, 2
1758356692406, 4, 21, 526, 103, 376, 336, 1, 4
1758356692406, 6, 9, 527, 104, 374, 336, 2, 3
1758356692406, 3, 7, 524, 102, 374, 334, 2, 3
1758356692406, 5, 18, 523, 106, 377, 333, 2, 3
1758356692406, 8, 11, 521, 103, 379, 333, 1, 3
1758356692406, 9, 9, 523, 105, 375, 336, 2, 2
1758356692406, 11, 9, 527, 102, 378, 336, 10, 3
1758356692406, 6, 8, 527, 100, 374, 336, 2, 3
1758356692406, 3, 7, 523, 104, 376, 333, 0, 13
1758356692406, 9, 5, 526, 99, 381, 335, 2, 3
1758356692406, 5, 5, 527, 103, 379, 334, 1, 3
1758356692406, 5, 4, 530, 98, 376, 336, 4, 3
1758356692406, 4, 4, 523, 102, 376, 334, 1, 4
1758356692406, 5, 5, 535, 101, 379, 336, 6, 3
1758356692406, 3, 4, 531, 104, 376, 337, 2, 3
1758356692406, 2, 4, 527, 102, 387, 335, 1, 3
1758356692406, 4, 5, 531, 101, 378, 346, 2, 4
1758356692406, 3, 5, 525, 103, 378, 336, 2, 3
1758356692406, 4, 6, 528, 104, 376, 335, 2, 4
1758356692406, 4, 6, 531, 104, 379, 336, 1, 4
1758356692406, 11, 7, 528, 105, 378, 337, 1, 3
1758356692406, 11, 8, 531, 104, 379, 335, 2, 4
1758356692406, 12, 7, 530, 104, 375, 337, 2, 3
1758356692406, 5, 8, 533, 102, 376, 337, 1, 3
1758356692406, 4, 20, 531, 103, 379, 332, 1, 5
1758356692406, 4, 18, 528, 105, 376, 334, 1, 3
1758356692406, 8, 10, 528, 104, 374, 337, 1, 5
1758356692406, 8, 21, 528, 101, 376, 338, 1, 2
1758356692406, 4, 8, 531, 103, 380, 334, 2, 2
1758356692406, 9, 5, 533, 100, 379, 343, 3, 4
1758356692406, 6, 5, 533, 101, 384, 338, 2, 3
1758356692406, 4, 20, 525, 101, 379, 334, 1, 3
1758356692406, 3, 9, 527, 101, 376, 336, 2, 3
1758356692406, 2, 5, 524, 104, 374, 336, 2, 3
1758356692406, 5, 4, 523, 103, 379, 333, 1, 4
1758356692406, 2, 4, 533, 99, 376, 334, 2, 4
1758356692406, 4, 5, 531, 101, 379, 333, 2, 3
1758356692406, 5, 5, 528, 104, 376, 336, 1, 5
1758356692406, 4, 13, 528, 103, 387, 339, 1, 4
1758356692406, 6, 20, 530, 102, 376, 343, 2, 3
1758356692406, 10, 7, 527, 103, 379, 334, 1, 3
