unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356849928, E, -2, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356850003, 3, 10, 337, 62, 372, 357, 2, 4
1758356850003, 4, 9, 330, 61, 369, 358, 2, 3
1758356850003, 9, 8, 335, 64, 369, 357, 2, 3
1758356850003, 8, 7, 337, 65, 368, 361, 2, 2
1758356850003, 3, 6, 336, 67, 377, 357, 2, 3
1758356850003, 3, 5, 335, 64, 372, 359, 2, 4
1758356850003, 5, 4, 333, 62, 373, 357, 2, 3
1758356850003, 5, 4, 335, 63, 368, 357, 2, 3
1758356850003, 5, 4, 339, 63, 371, 360, 2, 3
1758356850003, 6, 4, 343, 64, 368, 358, 1, 3
1758356850003, 4, 4, 344, 66, 369, 369, 2, 3
1758356850003, 6, 5, 346, 62, 368, 357, 2, 11
1758356850003, 7, 6, 339, 63, 372, 365, 2, 3
1758356850003, 6, 20, 340, 64, 373, 361, 2, 3
1758356850003, 3, 9, 339, 65, 372, 359, 5, 6
1758356850003, 7, 6, 347, 64, 369, 359, 2, 2
1758356850003, 7, 22, 345, 64, 372, 360, 1, 3
1758356850003, 4, 10, 341, 62, 372, 362, 2, 3
1758356850003, 2, 8, 346, 63, 369, 358, 2, 3
1758356850003, 2, 8, 343, 63, 371, 363, 2, 3
1758356850003, 3, 8, 359, 61, 371, 362, 1, 4
1758356850003, 3, 23, 351, 62, 368, 359, 1, 4
1758356850003, 1, 10, 355, 62, 367, 369, 3, 4
1758356850003, 6, 22, 368, 64, 372, 362, 1, 4
1758356850003, 0, 8, 365, 64, 373, 360, 1, 4
1758356850003, 7, 19, 370, 64, 375, 360, 2, 3
1758356850003, 11, 6, 371, 62, 371, 358, 2, 2
1758356850003, 3, 5, 379, 67, 367, 361, 2, 4
1758356850003, 3, 12, 373, 65, 372, 357, 1, 3
1758356850003, 8, 6, 375, 63, 369, 357, 1, 4
1758356850003, 2, 4, 375, 64, 379, 359, 1, 3
1758356850003, 6, 6, 373, 69, 368, 361, 2, 3
1758356850003, 4, 5, 378, 65, 376, 361, 2, 3
1758356850003, 4, 6, 380, 69, 373, 361, 2, 10
1758356850003, 6, 6, 382, 65, 382, 364, 2, 3
1758356850003, 6, 6, 379, 66, 368, 357, 2, 4
1758356850003, 8, 5, 387, 63, 372, 357, 2, 3
1758356850003, 4, 23, 384, 74, 372, 360, 2, 3
1758356850003, 2, 9, 384, 63, 373, 357, 2, 2
1758356850003, 2, 10, 389, 63, 376, 361, 2, 2
1758356850003, 12, 8, 388, 62, 368, 357, 2, 10
1758356850003, 5, 9, 389, 62, 372, 359, 10, 2
1758356850003, 6, 7, 389, 64, 371, 361, 3, 4
1758356850003, 6, 7, 384, 68, 372, 362, 2, 3
1758356850003, 6, 16, 389, 62, 372, 357, 3, 2
1758356850003, 3, 6, 393, 64, 369, 360, 3, 3
1758356850003, 5, 5, 397, 63, 372, 356, 2, 2
1758356850003, 5, 3, 395, 63, 375, 359, 2, 4
1758356850003, 4, 5, 405, 61, 372, 355, 1, 2
1758356850003, 4, 5, 405, 62, 371, 359, 1, 3
1758356850003, 7, 4, 407, 60, 372, 365, 1, 10
1758356850003, 14, 6, 405, 63, 372, 357, 2, 4
1758356850003, 6, 16, 406, 59, 372, 361, 1, 7
1758356850003, 2, 21, 410, 63, 369, 362, 2, 3
1758356850003, 4, 8, 407, 63, 372, 360, 1, 3
1758356850003, 4, 7, 417, 65, 383, 358, 3, 4
1758356850003, 5, 6, 415, 64, 372, 361, 2, 3
1758356850003, 5, 9, 416, 65, 371, 361, 2, 3
1758356850003, 6, 8, 420, 66, 371, 357, 2, 4
1758356850003, 13, 23, 419, 61, 371, 361, 3, 4
1758356850003, 6, 11, 431, 63, 371, 357, 3, 3
1758356850003, 4, 9, 424, 63, 372, 361, 1, 5
1758356850003, 4, 7, 421, 61, 375, 357, 2, 5
1758356850003, 7, 7, 427, 63, 373, 361, 1, 3
1758356850003, 2, 6, 427, 63, 372, 359, 2, 3
1758356850003, 3, 4, 429, 61, 374, 360, 2, 3
1758356850003, 6, 5, 427, 61, 377, 360, 1, 3
1758356850003, 3, 4, 429, 61, 379, 361, 2, 3
1758356850003, 3, 3, 427, 65, 375, 360, 4, 2
1758356850003, 7, 5, 426, 60, 374, 363, 10, 2
1758356850003, 6, 4, 433, 65, 377, 360, 11, 2
1758356850003, 4, 5, 429, 62, 371, 362, 1, 7
1758356850003, 3, 5, 431, 64, 379, 360, 1, 1
1758356850003, 4, 6, 427, 63, 375, 363, 1, 3
1758356850003, 3, 6, 429, 63, 373, 363, 1, 3
1758356850004, 3, 17, 431, 67, 371, 361, 2, 4
1758356850006, 5, 9, 429, 66, 379, 362, 3, 5
1758356850006, 10, 7, 434, 66, 376, 369, 2, 4
