unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356885931, E, 2, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356886060, 0, 4, 426, 107, 395, 307, 7, 2
1758356886060, 2, 4, 427, 106, 399, 308, 2, 4
1758356886060, 4, 5, 428, 104, 399, 307, 2, 3
1758356886060, 3, 4, 427, 105, 397, 308, 1, 3
1758356886060, 3, 20, 423, 105, 393, 307, 2, 4
1758356886060, 4, 17, 429, 105, 397, 314, 2, 1
1758356886060, 2, 7, 425, 102, 397, 310, 1, 4
1758356886060, 3, 20, 426, 106, 393, 310, 2, 4
1758356886060, 6, 7, 426, 106, 398, 309, 1, 4
1758356886060, 4, 6, 424, 102, 397, 307, 2, 3
1758356886060, 4, 8, 435, 101, 401, 311, 5, 3
1758356886060, 4, 8, 427, 102, 397, 308, 2, 4
1758356886060, 2, 8, 427, 102, 399, 309, 2, 3
1758356886060, 3, 8, 424, 102, 400, 311, 1, 4
1758356886060, 13, 9, 422, 108, 395, 307, 1, 10
1758356886060, 14, 7, 429, 105, 398, 312, 2, 3
1758356886060, 6, 8, 427, 100, 408, 307, 2, 3
1758356886060, 4, 6, 428, 102, 396, 310, 2, 3
1758356886060, 6, 5, 426, 109, 395, 308, 2, 4
1758356886060, 2, 4, 425, 101, 407, 311, 1, 2
1758356886060, 2, 4, 425, 101, 394, 311, 1, 3
1758356886060, 3, 19, 429, 102, 394, 307, 2, 3
1758356886060, 3, 22, 425, 103, 399, 311, 2, 3
1758356886060, 6, 22, 428, 104, 395, 307, 2, 4
1758356886060, 4, 11, 435, 103, 405, 311, 2, 2
1758356886060, 4, 7, 429, 103, 396, 307, 2, 3
1758356886060, 4, 6, 429, 102, 396, 308, 1, 4
1758356886060, 5, 7, 424, 104, 398, 310, 2, 2
1758356886060, 2, 6, 427, 100, 399, 307, 2, 3
1758356886060, 1, 7, 429, 101, 396, 309, 6, 3
1758356886060, 3, 8, 427, 103, 395, 309, 2, 3
1758356886060, 3, 7, 423, 99, 398, 314, 2, 3
1758356886060, 4, 16, 428, 100, 406, 309, 2, 3
1758356886060, 13, 11, 430, 103, 396, 314, 1, 3
1758356886060, 11, 8, 424, 103, 397, 308, 2, 3
1758356886060, 4, 8, 431, 102, 394, 310, 2, 4
1758356886060, 3, 7, 429, 101, 397, 308, 1, 4
1758356886060, 3, 6, 425, 100, 394, 311, 2, 3
1758356886060, 2, 5, 429, 104, 396, 306, 2, 3
1758356886060, 3, 4, 438, 101, 399, 309, 1, 2
1758356886060, 4, 4, 422, 104, 399, 309, 2, 3
1758356886060, 1, 14, 426, 102, 398, 309, 6, 3
1758356886060, 4, 6, 425, 103, 399, 310, 2, 3
1758356886060, 2, 5, 426, 103, 397, 313, 2, 4
1758356886060, 4, 13, 429, 101, 396, 308, 2, 3
1758356886060, 3, 21, 428, 106, 396, 309, 2, 3
1758356886060, 4, 12, 428, 107, 393, 307, 1, 3
1758356886060, 5, 6, 424, 102, 396, 311, 1, 4
1758356886060, 5, 7, 427, 105, 397, 309, 2, 2
1758356886060, 4, 7, 422, 103, 395, 309, 1, 3
1758356886060, 5, 8, 426, 113, 405, 312, 1, 3
1758356886060, 4, 9, 426, 102, 398, 317, 4, 3
1758356886060, 5, 10, 431, 104, 393, 314, 3, 3
1758356886060, 5, 8, 424, 108, 396, 317, 1, 2
1758356886060, 3, 8, 427, 102, 393, 312, 3, 3
1758356886060, 3, 8, 428, 103, 391, 312, 2, 2
1758356886060, 2, 7, 425, 107, 396, 314, 3, 7
1758356886060, 5, 6, 420, 103, 403, 312, 1, 4
1758356886060, 5, 5, 427, 103, 397, 309, 1, 3
1758356886060, 3, 4, 425, 104, 392, 309, 2, 3
1758356886060, 4, 20, 428, 107, 393, 317, 2, 3
1758356886060, 4, 7, 420, 102, 393, 309, 2, 2
1758356886060, 4, 5, 429, 103, 394, 307, 2, 3
1758356886060, 3, 5, 418, 102, 396, 310, 2, 3
1758356886060, 5, 20, 422, 104, 399, 315, 2, 3
1758356886060, 13, 8, 419, 101, 391, 307, 1, 3
1758356886060, 3, 6, 423, 104, 391, 310, 1, 4
1758356886060, 2, 17, 422, 104, 394, 307, 2, 3
1758356886060, 5, 7, 422, 104, 396, 310, 2, 4
1758356886060, 4, 22, 420, 101, 392, 310, 1, 3
1758356886060, 4, 10, 420, 102, 396, 306, 2, 3
1758356886060, 5, 7, 421, 104, 403, 313, 2, 3
1758356886060, 4, 9, 418, 104, 397, 307, 2, 2
1758356886060, 10, 9, 416, 104, 392, 310, 2, 3
1758356886060, 3, 17, 416, 105, 399, 307, 2, 6
1758356886060, 11, 9, 416, 105, 394, 307, 3, 3
1758356886060, 5, 8, 416, 111, 395, 315, 2, 2
1758356886060, 2, 6, 415, 106, 390, 308, 2, 3
1758356886060, 4, 5, 413, 104, 391, 308, 2, 4
1758356886060, 2, 4, 416, 105, 391, 307, 3, 2
1758356886060, 2, 4, 415, 109, 391, 313, 2, 4
1758356886060, 1, 10, 419, 105, 392, 309, 1, 3
1758356886060, 3, 6, 416, 106, 395, 308, 2, 2
1758356886060, 4, 5, 413, 105, 394, 310, 10, 3
1758356886060, 4, 16, 414, 111, 397, 311, 1, 2
1758356886060, 3, 7, 416, 109, 396, 308, 2, 4
1758356886060, 3, 5, 423, 108, 392, 317, 1, 10
1758356886060, 5, 5, 421, 106, 395, 305, 1, 3
1758356886060, 5, 22, 419, 116, 391, 306, 3, 7
1758356886060, 3, 9, 416, 108, 394, 309, 4, 3
1758356886060, 0, 8, 417, 108, 392, 308, 2, 4
1758356886060, 3, 8, 419, 108, 395, 307, 1, 5
1758356886060, 11, 8, 421, 113, 395, 306, 3, 2
1758356886060, 5, 9, 416, 106, 392, 307, 2, 3
1758356886060, 1, 9, 419, 107, 394, 307, 1, 4
1758356886060, 3, 8, 416, 107, 392, 310, 2, 4
1758356886060, 4, 8, 425, 107, 392, 305, 1, 2
1758356886060, 2, 6, 416, 106, 395, 306, 2, 3
1758356886060, 5, 4, 419, 106, 393, 310, 7, 3
1758356886060, 2, 4, 417, 106, 393, 315, 1, 9
1758356886060, 0, 19, 420, 109, 395, 307, 2, 2
1758356886060, 3, 7, 423, 110, 394, 307, 3, 13
1758356886060, 4, 20, 420, 108, 396, 310, 2, 3
1758356886060, 6, 7, 423, 107, 393, 310, 2, 3
1758356886060, 4, 7, 421, 109, 391, 309, 2, 3
1758356886060, 2, 6, 417, 109, 393, 307, 1, 3
1758356886060, 4, 5, 416, 109, 395, 311, 2, 2
1758356886060, 5, 6, 419, 107, 396, 309, 1, 3
1758356886060, 1, 22, 414, 109, 393, 307, 2, 7
1758356886060, 3, 9, 417, 113, 397, 311, 1, 3
1758356886060, 5, 13, 417, 112, 394, 309, 1, 4
1758356886060, 5, 8, 425, 112, 403, 310, 3, 3
1758356886060, 2, 8, 423, 111, 395, 311, 2, 10
1758356886060, 5, 9, 418, 111, 396, 309, 1, 3
1758356886060, 12, 9, 423, 113, 403, 305, 2, 11
1758356886060, 5, 23, 421, 108, 399, 311, 1, 3
1758356886060, 3, 9, 424, 111, 392, 307, 2, 3
1758356886060, 3, 6, 422, 108, 398, 311, 1, 2
1758356886060, 5, 21, 423, 111, 397, 308, 2, 3
1758356886060, 11, 6, 422, 112, 398, 316, 2, 2
1758356886060, 3, 5, 419, 110, 405, 312, 2, 3
1758356886060, 4, 4, 423, 110, 399, 307, 1, 3
1758356886060, 3, 5, 427, 111, 394, 309, 1, 3
1758356886060, 3, 20, 423, 108, 399, 307, 2, 2
1758356886060, 4, 22, 418, 109, 395, 308, 2, 3
1758356886060, 0, 8, 423, 109, 394, 309, 2, 3
1758356886060, 3, 6, 419, 111, 398, 307, 1, 4
1758356886060, 6, 5, 423, 110, 395, 311, 1, 4
1758356886062, 7, 22, 423, 109, 396, 311, 1, 5
1758356886062, 3, 8, 419, 112, 399, 313, 2, 4
1758356886063, 4, 8, 429, 116, 396, 311, 2, 3
1758356886065, 5, 18, 423, 112, 399, 308, 1, 3
1758356886066, 3, 25, 421, 116, 396, 311, 2, 4
1758356886079, 4, 11, 425, 110, 393, 311, 2, 3
1758356886079, 4, 10, 423, 112, 398, 312, 2, 3
1758356886079, 3, 10, 420, 112, 396, 307, 3, 3
1758356886079, 6, 7, 423, 112, 398, 310, 1, 9
1758356886079, 5, 6, 419, 111, 394, 313, 2, 1
1758356886079, 4, 18, 423, 111, 398, 308, 1, 2
1758356886079, 3, 21, 420, 110, 398, 307, 1, 4
1758356886079, 4, 22, 419, 114, 398, 307, 2, 3
1758356886079, 4, 8, 419, 111, 396, 311, 2, 3
1758356886079, 5, 7, 423, 110, 399, 309, 2, 3
1758356886079, 4, 5, 419, 112, 398, 311, 2, 3
1758356886079, 3, 5, 423, 110, 399, 309, 2, 3
1758356886079, 2, 5, 417, 111, 395, 310, 3, 3
1758356886079, 3, 4, 420, 118, 396, 311, 2, 12
1758356886090, 1, 6, 418, 111, 398, 309, 1, 4
1758356886090, 4, 17, 423, 110, 394, 310, 3, 3
1758356886090, 1, 8, 423, 110, 403, 311, 6, 3
1758356886090, 2, 23, 421, 110, 397, 309, 2, 3
1758356886090, 4, 11, 417, 111, 399, 310, 1, 3
1758356886090, 5, 22, 420, 110, 399, 311, 2, 4
1758356886090, 5, 10, 417, 110, 399, 310, 3, 4
1758356886090, 4, 9, 421, 111, 399, 308, 2, 4
