unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758356933963, E, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758356934077, 7, 4, 526, 79, 358, 337, 9, 9
1758356934077, 3, 20, 522, 82, 360, 349, 2, 3
1758356934077, 8, 7, 527, 84, 362, 340, 1, 9
1758356934077, 3, 10, 527, 80, 359, 337, 2, 3
1758356934077, 3, 6, 530, 84, 360, 337, 2, 8
1758356934077, 6, 6, 524, 81, 359, 337, 10, 2
1758356934077, 12, 5, 527, 83, 359, 337, 2, 3
1758356934077, 6, 8, 524, 80, 360, 340, 2, 2
1758356934077, 4, 8, 521, 80, 360, 340, 2, 3
1758356934077, 12, 8, 527, 83, 359, 337, 2, 3
1758356934077, 9, 24, 524, 79, 360, 339, 2, 4
1758356934077, 11, 11, 521, 80, 359, 341, 2, 4
1758356934077, 5, 9, 533, 81, 360, 338, 1, 2
1758356934077, 6, 7, 535, 82, 359, 338, 1, 3
1758356934077, 5, 5, 523, 80, 361, 336, 9, 10
1758356934077, 3, 8, 523, 82, 360, 341, 2, 3
1758356934077, 4, 5, 526, 81, 360, 341, 2, 3
1758356934077, 4, 4, 521, 79, 360, 337, 2, 3
1758356934077, 2, 4, 526, 80, 362, 336, 2, 3
1758356934077, 4, 6, 532, 81, 363, 343, 1, 3
1758356934077, 4, 4, 521, 80, 359, 337, 2, 2
1758356934077, 2, 5, 524, 82, 360, 338, 2, 3
1758356934077, 1, 6, 527, 79, 364, 335, 11, 3
1758356934077, 3, 5, 527, 79, 363, 341, 2, 3
1758356934077, 5, 6, 523, 79, 363, 336, 5, 4
1758356934077, 3, 6, 527, 81, 363, 338, 2, 2
1758356934077, 3, 7, 525, 80, 359, 337, 2, 3
1758356934077, 11, 8, 527, 82, 364, 339, 2, 3
1758356934077, 2, 23, 527, 82, 360, 338, 2, 2
1758356934077, 3, 10, 524, 81, 362, 341, 2, 3
1758356934077, 5, 8, 528, 85, 371, 338, 1, 2
1758356934077, 4, 8, 526, 79, 359, 339, 2, 4
1758356934077, 4, 9, 524, 82, 360, 336, 3, 8
1758356934077, 3, 7, 521, 80, 365, 338, 2, 4
1758356934077, 2, 6, 521, 80, 363, 337, 0, 4
1758356934077, 3, 4, 525, 81, 362, 336, 1, 3
1758356934077, 4, 5, 527, 78, 363, 338, 2, 3
1758356934077, 4, 15, 524, 81, 361, 339, 2, 3
1758356934077, 2, 5, 524, 78, 360, 337, 2, 3
1758356934077, 4, 5, 519, 79, 359, 339, 2, 4
1758356934077, 5, 5, 523, 80, 360, 339, 1, 3
1758356934077, 5, 20, 527, 80, 363, 336, 2, 1
1758356934077, 4, 7, 523, 79, 360, 341, 2, 3
1758356934077, 4, 6, 527, 86, 359, 343, 1, 3
1758356934077, 4, 22, 519, 84, 358, 340, 3, 3
1758356934077, 2, 9, 524, 77, 363, 341, 1, 4
1758356934077, 3, 7, 521, 80, 360, 337, 2, 3
1758356934077, 8, 8, 532, 82, 362, 335, 2, 3
1758356934077, 5, 21, 523, 80, 363, 337, 2, 4
1758356934077, 5, 11, 520, 78, 363, 341, 5, 4
1758356934077, 3, 9, 526, 79, 356, 338, 5, 4
1758356934077, 4, 9, 524, 87, 357, 340, 2, 5
1758356934077, 2, 7, 524, 83, 358, 346, 1, 2
1758356934077, 3, 8, 519, 81, 357, 341, 1, 12
1758356934077, 2, 5, 524, 75, 361, 337, 1, 5
1758356934077, 2, 5, 519, 76, 358, 335, 2, 3
1758356934077, 1, 5, 522, 77, 361, 338, 1, 5
1758356934077, 11, 4, 519, 77, 356, 339, 1, 3
1758356934077, 5, 4, 525, 76, 361, 338, 10, 3
1758356934077, 4, 5, 524, 77, 360, 336, 2, 3
1758356934077, 3, 5, 520, 76, 362, 339, 2, 3
1758356934077, 4, 3, 520, 75, 359, 340, 3, 3
1758356934077, 3, 4, 525, 78, 363, 338, 6, 4
1758356934077, 3, 4, 520, 77, 361, 336, 4, 3
1758356934077, 3, 4, 532, 79, 357, 336, 2, 3
1758356934077, 4, 13, 524, 76, 359, 340, 2, 4
1758356934077, 1, 8, 533, 77, 364, 339, 3, 4
1758356934077, 4, 8, 520, 85, 364, 341, 2, 3
1758356934077, 3, 8, 520, 78, 360, 335, 1, 4
1758356934077, 2, 14, 519, 78, 359, 339, 2, 7
1758356934077, 3, 10, 521, 75, 359, 339, 10, 3
1758356934077, 9, 23, 526, 77, 359, 336, 2, 3
1758356934077, 6, 9, 521, 78, 367, 336, 9, 3
1758356934077, 4, 23, 524, 78, 359, 336, 1, 2
1758356934077, 5, 8, 521, 76, 358, 336, 2, 3
1758356934077, 2, 6, 526, 77, 364, 336, 2, 3
1758356934077, 3, 18, 523, 75, 359, 336, 1, 3
1758356934077, 3, 6, 524, 77, 360, 336, 2, 3
1758356934077, 5, 4, 519, 79, 359, 335, 1, 10
1758356934077, 3, 17, 520, 85, 358, 336, 2, 1
1758356934077, 3, 6, 521, 83, 365, 342, 2, 2
1758356934077, 3, 20, 519, 78, 361, 337, 2, 3
1758356934077, 2, 7, 524, 76, 357, 340, 2, 3
1758356934077, 2, 6, 527, 80, 362, 338, 2, 3
1758356934077, 2, 6, 524, 78, 367, 335, 4, 3
1758356934077, 6, 6, 521, 76, 362, 338, 1, 4
1758356934077, 5, 7, 519, 77, 365, 335, 2, 3
1758356934077, 5, 8, 527, 77, 359, 339, 3, 3
1758356934077, 4, 9, 521, 76, 363, 337, 2, 7
1758356934077, 7, 9, 524, 88, 365, 339, 1, 3
1758356934077, 5, 9, 522, 78, 361, 342, 2, 3
1758356934077, 5, 8, 527, 78, 364, 341, 2, 3
1758356934077, 6, 8, 522, 79, 360, 336, 4, 3
1758356934077, 3, 7, 524, 78, 360, 336, 3, 3
1758356934077, 4, 6, 519, 78, 363, 338, 1, 3
1758356934077, 3, 5, 527, 78, 363, 335, 1, 3
1758356934077, 4, 4, 523, 79, 357, 336, 5, 4
1758356934077, 4, 3, 526, 78, 362, 341, 1, 3
1758356934077, 5, 4, 521, 81, 362, 341, 1, 3
1758356934077, 4, 5, 521, 81, 360, 339, 2, 3
1758356934077, 3, 5, 527, 78, 362, 335, 6, 3
1758356934077, 0, 5, 521, 81, 363, 341, 2, 5
1758356934077, 3, 20, 527, 77, 359, 337, 2, 2
1758356934077, 1, 8, 527, 81, 371, 343, 1, 4
1758356934077, 5, 6, 526, 81, 359, 343, 3, 3
1758356934077, 5, 7, 527, 79, 365, 340, 1, 3
1758356934077, 12, 7, 524, 80, 367, 335, 2, 4
1758356934077, 4, 8, 524, 82, 360, 338, 2, 4
1758356934077, 9, 21, 523, 80, 360, 338, 2, 3
1758356934077, 6, 11, 527, 79, 360, 340, 2, 4
1758356934077, 6, 23, 534, 81, 359, 334, 2, 2
1758356934077, 3, 11, 523, 84, 358, 337, 2, 3
1758356934077, 4, 7, 526, 81, 357, 342, 2, 2
1758356934078, 4, 7, 530, 80, 361, 338, 3, 3
1758356934078, 3, 5, 524, 80, 358, 336, 9, 2
1758356934079, 3, 17, 524, 80, 363, 341, 1, 2
1758356934081, 3, 6, 532, 80, 360, 339, 2, 4
1758356934094, 4, 4, 529, 82, 357, 337, 2, 3
1758356934094, 2, 4, 527, 80, 363, 335, 2, 3
1758356934094, 4, 5, 527, 79, 360, 335, 1, 3
1758356934094, 5, 17, 527, 83, 367, 336, 2, 3
1758356934094, 6, 8, 527, 83, 358, 339, 1, 2
1758356934094, 4, 5, 527, 80, 360, 337, 2, 3
1758356934094, 5, 20, 527, 88, 360, 337, 2, 3
1758356934094, 2, 8, 529, 80, 363, 343, 1, 6
1758356934094, 13, 7, 523, 83, 361, 339, 4, 4
1758356934094, 5, 7, 523, 80, 361, 337, 2, 13
1758356934094, 4, 8, 526, 81, 357, 340, 2, 3
1758356934094, 2, 8, 526, 80, 357, 341, 2, 3
1758356934094, 4, 9, 530, 81, 361, 343, 1, 13
1758356934110, 3, 24, 526, 82, 357, 343, 2, 3
1758356934110, 7, 10, 521, 81, 363, 349, 3, 3
1758356934110, 3, 7, 523, 80, 361, 339, 2, 5
1758356934110, 4, 20, 526, 79, 361, 341, 1, 4
1758356934110, 3, 8, 531, 81, 358, 338, 1, 3
1758356934110, 4, 4, 524, 81, 367, 338, 2, 4
1758356934110, 5, 4, 527, 80, 359, 338, 2, 2
1758356934110, 2, 19, 522, 80, 357, 339, 1, 4
1758356934110, 4, 7, 523, 83, 362, 335, 2, 10
1758356934110, 3, 20, 526, 88, 362, 339, 2, 3
1758356934110, 3, 6, 524, 81, 357, 336, 2, 3
1758356934110, 1, 5, 527, 81, 361, 339, 1, 6
1758356934110, 5, 6, 526, 81, 357, 341, 2, 2
1758356934110, 6, 6, 523, 81, 370, 336, 2, 3
1758356934110, 6, 21, 534, 80, 367, 339, 1, 2
1758356934110, 4, 24, 521, 79, 363, 339, 1, 3
1758356934110, 4, 10, 537, 80, 358, 337, 6, 4
1758356934123, 3, 8, 532, 80, 360, 336, 2, 2
1758356934123, 1, 24, 523, 83, 359, 336, 2, 6
1758356934123, 4, 11, 523, 81, 360, 336, 1, 7
1758356934123, 1, 9, 521, 78, 361, 338, 2, 3
1758356934123, 8, 8, 533, 79, 363, 341, 2, 3
1758356934123, 4, 8, 533, 80, 359, 339, 2, 6
1758356934123, 5, 8, 531, 79, 362, 335, 0, 3
1758356934123, 5, 6, 527, 78, 374, 339, 2, 3
1758356934123, 5, 6, 527, 79, 362, 334, 6, 3
1758356934123, 3, 5, 523, 88, 359, 347, 2, 2
1758356934123, 3, 18, 522, 77, 363, 338, 2, 3
1758356934123, 3, 5, 527, 79, 363, 336, 2, 4
1758356934135, 5, 5, 524, 81, 359, 339, 1, 4
1758356934135, 2, 5, 519, 79, 358, 337, 2, 3
1758356934135, 2, 4, 527, 78, 360, 336, 3, 2
1758356934135, 2, 4, 521, 79, 360, 340, 7, 3
