unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758357312311, E, 4, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758357312447, 6, 23, 282, 123, 402, 329, 3, 3
1758357312447, 5, 25, 281, 114, 403, 327, 1, 4
1758357312447, 4, 10, 281, 113, 407, 324, 3, 2
1758357312447, 13, 7, 283, 115, 413, 327, 1, 1
1758357312447, 3, 6, 281, 113, 406, 326, 2, 3
1758357312447, 2, 3, 281, 115, 401, 326, 1, 4
1758357312447, 4, 4, 283, 113, 407, 326, 2, 3
1758357312447, 3, 5, 281, 114, 408, 323, 2, 2
1758357312447, 2, 19, 281, 124, 403, 327, 3, 4
1758357312447, 3, 9, 281, 111, 403, 327, 3, 3
1758357312447, 3, 19, 284, 113, 403, 327, 2, 3
1758357312447, 4, 7, 283, 117, 405, 327, 1, 4
1758357312447, 5, 5, 287, 111, 404, 324, 2, 4
1758357312447, 3, 6, 283, 117, 404, 323, 2, 3
1758357312447, 2, 22, 284, 117, 403, 323, 2, 6
1758357312447, 6, 9, 284, 115, 407, 326, 4, 3
1758357312447, 5, 8, 283, 115, 404, 327, 2, 4
1758357312447, 7, 11, 284, 116, 420, 323, 1, 4
1758357312447, 7, 9, 282, 120, 409, 327, 3, 5
1758357312447, 5, 10, 282, 118, 407, 324, 3, 3
1758357312447, 4, 9, 287, 116, 408, 326, 2, 4
1758357312447, 3, 8, 285, 117, 407, 323, 1, 3
1758357312447, 12, 21, 283, 118, 411, 332, 2, 3
1758357312447, 3, 16, 285, 116, 404, 326, 8, 12
1758357312447, 3, 6, 284, 116, 406, 325, 1, 4
1758357312447, 2, 4, 291, 116, 412, 323, 1, 4
1758357312447, 3, 3, 287, 115, 405, 327, 3, 3
1758357312447, 4, 4, 284, 124, 406, 323, 1, 2
1758357312447, 3, 5, 282, 116, 407, 324, 2, 6
1758357312447, 3, 4, 295, 117, 404, 325, 3, 2
1758357312447, 1, 5, 283, 118, 407, 327, 2, 3
1758357312447, 4, 5, 287, 118, 407, 327, 1, 8
1758357312447, 11, 5, 283, 117, 407, 326, 1, 3
1758357312447, 4, 7, 284, 115, 416, 328, 2, 3
1758357312447, 6, 6, 286, 118, 403, 326, 2, 3
1758357312447, 4, 7, 284, 118, 407, 327, 1, 3
1758357312447, 4, 8, 286, 116, 405, 323, 2, 4
1758357312447, 6, 9, 287, 117, 407, 327, 2, 4
1758357312447, 3, 15, 284, 119, 407, 323, 3, 2
1758357312447, 4, 10, 295, 116, 407, 326, 2, 4
1758357312447, 6, 9, 283, 114, 403, 323, 2, 4
1758357312447, 2, 21, 283, 122, 404, 326, 3, 3
1758357312447, 5, 23, 287, 116, 403, 326, 1, 4
1758357312447, 3, 8, 287, 116, 404, 324, 7, 8
1758357312447, 8, 5, 287, 116, 410, 323, 2, 3
1758357312447, 3, 5, 286, 121, 407, 323, 1, 3
1758357312447, 3, 3, 287, 115, 407, 327, 2, 3
1758357312447, 2, 4, 286, 114, 402, 333, 2, 3
1758357312447, 4, 5, 286, 118, 404, 324, 2, 2
1758357312447, 8, 6, 284, 114, 402, 329, 2, 2
1758357312447, 5, 6, 284, 114, 406, 328, 2, 4
1758357312447, 3, 18, 283, 126, 404, 323, 2, 3
1758357312447, 4, 7, 283, 116, 406, 323, 2, 10
1758357312447, 2, 6, 287, 115, 403, 327, 2, 11
1758357312447, 3, 7, 287, 116, 403, 328, 1, 4
1758357312447, 8, 8, 284, 114, 407, 325, 3, 3
1758357312447, 2, 8, 284, 116, 407, 327, 2, 4
1758357312447, 4, 8, 282, 115, 407, 323, 12, 3
1758357312447, 5, 10, 287, 116, 407, 327, 1, 3
1758357312447, 12, 10, 287, 116, 404, 327, 2, 2
1758357312447, 3, 9, 284, 117, 407, 323, 2, 2
1758357312447, 4, 9, 284, 115, 405, 327, 2, 4
1758357312447, 4, 7, 285, 115, 403, 324, 3, 4
1758357312447, 4, 21, 283, 115, 409, 327, 2, 12
1758357312447, 3, 7, 286, 115, 409, 327, 1, 3
1758357312447, 2, 3, 284, 116, 404, 329, 1, 5
1758357312447, 4, 18, 284, 117, 404, 335, 1, 1
1758357312447, 4, 7, 286, 115, 406, 326, 2, 4
1758357312447, 1, 5, 283, 121, 407, 325, 2, 3
1758357312447, 4, 4, 283, 115, 406, 329, 2, 5
1758357312447, 2, 4, 284, 115, 407, 323, 0, 4
1758357312447, 3, 4, 284, 115, 408, 331, 3, 3
1758357312447, 3, 5, 291, 115, 405, 323, 2, 3
1758357312447, 3, 20, 284, 115, 406, 324, 2, 2
1758357312447, 4, 9, 287, 116, 409, 324, 2, 2
1758357312447, 4, 8, 283, 114, 404, 328, 1, 3
