unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758357348333, E, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758357348498, 2, 19, 387, 122, 395, 331, 2, 2
1758357348498, 4, 6, 383, 135, 395, 329, 2, 4
1758357348498, 3, 19, 384, 122, 399, 334, 10, 3
1758357348498, 2, 5, 384, 125, 397, 329, 2, 3
1758357348498, 4, 4, 386, 126, 398, 327, 1, 6
1758357348498, 1, 4, 383, 124, 399, 338, 2, 4
1758357348498, 3, 4, 384, 122, 399, 330, 2, 1
1758357348498, 11, 14, 386, 124, 401, 330, 1, 3
1758357348498, 4, 12, 384, 123, 399, 331, 2, 5
1758357348498, 4, 8, 386, 122, 395, 332, 1, 2
1758357348498, 2, 6, 385, 124, 400, 329, 1, 3
1758357348498, 6, 7, 384, 124, 397, 329, 2, 4
1758357348498, 5, 22, 391, 124, 396, 327, 1, 4
1758357348498, 5, 20, 384, 125, 399, 331, 0, 3
1758357348498, 12, 11, 386, 127, 399, 328, 8, 6
1758357348498, 5, 11, 386, 124, 399, 331, 2, 3
1758357348498, 2, 10, 395, 123, 403, 331, 1, 1
1758357348498, 11, 8, 387, 121, 401, 330, 11, 3
1758357348498, 6, 23, 387, 124, 397, 328, 1, 5
1758357348498, 6, 9, 387, 124, 402, 331, 1, 3
1758357348498, 2, 5, 386, 124, 399, 327, 2, 1
1758357348498, 0, 5, 386, 125, 398, 329, 10, 1
1758357348498, 2, 4, 387, 126, 397, 328, 10, 4
1758357348498, 8, 3, 386, 124, 397, 332, 0, 4
1758357348498, 4, 5, 386, 122, 403, 329, 2, 5
1758357348498, 0, 4, 386, 123, 398, 333, 2, 3
1758357348498, 3, 5, 387, 123, 395, 332, 2, 6
1758357348498, 4, 5, 384, 124, 395, 327, 2, 5
1758357348498, 3, 5, 391, 121, 400, 330, 1, 1
1758357348498, 2, 20, 389, 124, 398, 329, 2, 4
1758357348498, 7, 15, 385, 126, 397, 328, 1, 3
1758357348498, 2, 7, 385, 122, 397, 327, 2, 3
1758357348498, 4, 8, 387, 123, 396, 328, 4, 3
1758357348498, 9, 8, 387, 123, 397, 329, 8, 1
1758357348498, 5, 9, 386, 124, 400, 333, 2, 3
1758357348498, 6, 10, 383, 124, 407, 339, 1, 3
1758357348498, 2, 9, 384, 135, 399, 331, 2, 2
1758357348498, 5, 9, 386, 121, 401, 331, 2, 1
1758357348498, 5, 9, 386, 123, 407, 332, 3, 6
1758357348498, 6, 7, 383, 123, 400, 330, 1, 3
1758357348498, 3, 5, 384, 124, 397, 333, 1, 9
1758357348498, 6, 5, 387, 124, 397, 334, 1, 3
1758357348498, 4, 4, 389, 122, 401, 332, 1, 4
1758357348498, 3, 18, 385, 127, 407, 329, 2, 3
1758357348498, 2, 7, 383, 124, 397, 333, 2, 3
1758357348498, 10, 4, 387, 129, 399, 329, 2, 4
1758357348498, 5, 5, 384, 123, 397, 332, 1, 5
1758357348498, 3, 4, 384, 121, 398, 329, 9, 3
1758357348498, 6, 5, 383, 122, 395, 332, 3, 6
1758357348498, 0, 5, 387, 124, 395, 329, 3, 3
1758357348498, 5, 22, 384, 124, 400, 334, 10, 3
1758357348498, 3, 9, 390, 123, 397, 330, 3, 5
1758357348498, 1, 8, 384, 120, 397, 333, 1, 3
1758357348498, 6, 7, 386, 123, 397, 329, 2, 5
1758357348498, 3, 10, 383, 125, 397, 329, 2, 2
1758357348498, 5, 10, 387, 124, 398, 331, 2, 3
1758357348498, 2, 9, 384, 121, 401, 329, 8, 3
1758357348498, 2, 21, 389, 124, 396, 329, 3, 4
1758357348498, 6, 21, 387, 134, 396, 333, 3, 8
1758357348498, 3, 15, 387, 122, 399, 328, 1, 4
1758357348498, 2, 7, 382, 123, 399, 328, 3, 2
1758357348498, 4, 5, 395, 124, 397, 331, 2, 3
1758357348498, 3, 4, 388, 125, 410, 331, 2, 3
1758357348498, 5, 3, 387, 124, 399, 332, 4, 5
1758357348498, 4, 19, 385, 122, 397, 336, 3, 4
1758357348498, 2, 22, 387, 123, 404, 339, 2, 1
1758357348498, 4, 6, 384, 123, 397, 333, 3, 7
1758357348498, 3, 6, 390, 123, 401, 329, 1, 4
1758357348498, 2, 4, 387, 132, 399, 332, 2, 2
1758357348498, 5, 5, 386, 122, 401, 328, 2, 3
1758357348498, 3, 6, 384, 124, 400, 331, 1, 4
1758357348498, 2, 6, 385, 124, 400, 332, 2, 13
1758357348498, 4, 8, 384, 126, 396, 332, 3, 2
1758357348498, 4, 9, 388, 124, 403, 331, 11, 3
1758357348498, 3, 9, 386, 124, 400, 331, 2, 3
1758357348498, 6, 10, 388, 122, 403, 330, 3, 4
1758357348498, 8, 9, 389, 122, 399, 333, 2, 4
1758357348498, 3, 15, 387, 121, 403, 335, 1, 3
1758357348498, 4, 9, 389, 124, 399, 330, 2, 2
1758357348498, 4, 8, 391, 126, 397, 334, 2, 4
1758357348498, 3, 6, 384, 121, 401, 329, 2, 2
1758357348498, 4, 5, 383, 122, 407, 329, 2, 2
1758357348498, 3, 3, 387, 124, 400, 335, 2, 2
1758357348498, 1, 3, 387, 124, 399, 334, 2, 2
1758357348498, 4, 5, 384, 124, 400, 334, 2, 8
1758357348498, 1, 6, 387, 123, 404, 334, 1, 3
1758357348498, 6, 4, 385, 123, 398, 331, 3, 3
1758357348498, 6, 5, 384, 124, 397, 335, 2, 4
1758357348498, 2, 5, 391, 131, 398, 329, 3, 5
1758357348498, 4, 5, 385, 123, 401, 331, 1, 2
1758357348498, 5, 7, 391, 123, 397, 329, 3, 4
1758357348498, 3, 7, 389, 122, 401, 333, 1, 9
1758357348498, 4, 8, 386, 123, 397, 330, 1, 10
