unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268893168, I, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268893274, 3, 6, 991, 12, 247, 270, 2, 4
1758268893274, 3, 19, 988, 14, 245, 262, 1, 3
1758268893274, 12, 8, 989, 16, 247, 256, 2, 6
1758268893274, 5, 7, 979, 13, 249, 260, 3, 3
1758268893274, 6, 7, 989, 13, 245, 259, 2, 2
1758268893274, 4, 21, 991, 15, 246, 258, 2, 3
1758268893274, 5, 9, 983, 15, 249, 257, 2, 3
1758268893274, 1, 7, 984, 12, 245, 259, 2, 2
1758268893274, 6, 6, 991, 13, 247, 259, 2, 3
1758268893274, 3, 5, 987, 13, 251, 257, 1, 3
1758268893274, 5, 5, 983, 14, 247, 258, 1, 10
1758268893274, 6, 4, 984, 13, 248, 256, 1, 4
1758268893274, 4, 4, 991, 13, 254, 258, 2, 3
1758268893274, 4, 5, 984, 17, 246, 257, 2, 3
1758268893274, 5, 17, 988, 12, 255, 254, 1, 10
1758268893274, 8, 22, 984, 12, 249, 263, 2, 3
1758268893274, 1, 9, 984, 10, 247, 252, 8, 3
1758268893274, 6, 6, 983, 14, 248, 252, 1, 4
1758268893274, 3, 4, 992, 10, 248, 252, 7, 4
1758268893274, 5, 5, 983, 11, 249, 250, 4, 2
1758268893274, 1, 20, 984, 11, 250, 248, 4, 3
1758268893274, 4, 8, 984, 20, 251, 251, 2, 3
1758268893274, 4, 6, 979, 15, 247, 249, 2, 3
1758268893274, 4, 6, 989, 14, 248, 245, 2, 3
1758268893274, 3, 7, 991, 13, 249, 249, 2, 7
1758268893274, 3, 6, 991, 12, 248, 249, 1, 3
1758268893274, 4, 7, 991, 13, 247, 249, 2, 2
1758268893274, 1, 7, 999, 15, 247, 248, 1, 4
1758268893274, 5, 7, 984, 16, 254, 246, 8, 4
1758268893274, 4, 6, 979, 15, 251, 245, 2, 3
1758268893274, 3, 4, 978, 15, 247, 246, 2, 3
1758268893274, 4, 4, 993, 13, 258, 247, 3, 4
1758268893274, 4, 6, 984, 13, 248, 256, 3, 3
1758268893274, 4, 19, 974, 12, 251, 247, 1, 3
1758268893274, 2, 8, 984, 14, 249, 247, 3, 3
1758268893274, 5, 16, 988, 10, 248, 253, 2, 4
1758268893274, 5, 7, 979, 12, 250, 249, 1, 4
1758268893274, 3, 6, 992, 13, 248, 250, 7, 3
1758268893274, 4, 6, 996, 17, 249, 252, 1, 3
1758268893274, 4, 6, 989, 14, 251, 254, 2, 3
1758268893274, 7, 6, 977, 13, 252, 252, 1, 3
1758268893274, 4, 6, 987, 12, 247, 253, 1, 3
1758268893274, 3, 5, 989, 12, 250, 253, 2, 3
1758268893274, 5, 8, 979, 12, 251, 251, 2, 3
1758268893274, 3, 20, 987, 11, 251, 251, 2, 3
1758268893274, 2, 9, 987, 13, 252, 251, 2, 5
1758268893274, 6, 7, 990, 12, 253, 252, 1, 3
1758268893274, 5, 7, 995, 12, 250, 255, 3, 3
1758268893274, 4, 7, 988, 14, 253, 261, 2, 3
1758268893274, 3, 6, 983, 12, 255, 256, 1, 2
1758268893274, 2, 4, 985, 16, 250, 256, 1, 2
1758268893274, 4, 5, 987, 12, 249, 259, 2, 6
1758268893274, 1, 9, 990, 23, 251, 259, 3, 4
1758268893274, 4, 19, 984, 13, 251, 256, 2, 3
1758268893274, 5, 8, 995, 12, 250, 254, 2, 3
1758268893274, 3, 6, 999, 14, 250, 251, 2, 3
1758268893274, 5, 6, 992, 12, 249, 253, 2, 4
1758268893274, 7, 5, 992, 10, 253, 253, 1, 2
1758268893274, 3, 4, 999, 13, 249, 253, 2, 3
1758268893274, 4, 6, 997, 13, 253, 252, 3, 4
1758268893274, 0, 6, 999, 14, 251, 251, 1, 4
1758268893274, 3, 5, 996, 14, 250, 252, 3, 4
1758268893274, 5, 5, 996, 10, 252, 254, 1, 6
1758268893274, 0, 7, 999, 12, 249, 250, 1, 4
1758268893274, 5, 8, 999, 9, 259, 248, 1, 3
1758268893274, 3, 7, 998, 10, 253, 248, 1, 3
1758268893274, 0, 7, 999, 10, 251, 248, 2, 4
1758268893274, 3, 17, 999, 8, 259, 245, 3, 10
1758268893274, 4, 8, 992, 8, 249, 253, 2, 4
1758268893274, 6, 5, 998, 9, 249, 246, 1, 3
1758268893274, 3, 10, 996, 10, 250, 249, 2, 2
1758268893274, 8, 5, 987, 10, 249, 251, 11, 3
1758268893274, 3, 5, 992, 9, 253, 251, 1, 3
1758268893274, 4, 4, 986, 13, 253, 249, 2, 3
1758268893274, 1, 7, 995, 11, 250, 250, 3, 4
1758268893274, 5, 6, 995, 10, 253, 248, 2, 4
1758268893274, 5, 13, 991, 9, 250, 248, 2, 2
1758268893274, 0, 8, 994, 9, 251, 250, 2, 3
1758268893274, 6, 5, 988, 11, 252, 250, 1, 4
1758268893274, 4, 5, 999, 11, 252, 253, 2, 3
1758268893274, 6, 6, 992, 10, 254, 252, 6, 3
1758268893274, 3, 6, 996, 9, 251, 254, 2, 4
1758268893274, 3, 5, 999, 10, 252, 256, 2, 3
1758268893274, 5, 22, 995, 12, 252, 254, 1, 2
1758268893274, 3, 10, 992, 14, 254, 252, 3, 3
1758268893274, 4, 8, 999, 13, 252, 254, 1, 7
1758268893274, 5, 7, 992, 15, 254, 255, 2, 2
1758268893274, 3, 6, 989, 15, 253, 255, 1, 3
1758268893274, 5, 6, 990, 13, 261, 254, 2, 3
1758268893274, 3, 5, 987, 14, 253, 253, 2, 3
1758268893274, 1, 4, 988, 14, 252, 255, 2, 3
1758268893274, 3, 6, 985, 14, 252, 263, 1, 6
1758268893274, 6, 5, 985, 10, 251, 253, 2, 2
1758268893274, 5, 3, 991, 14, 258, 254, 3, 3
1758268893274, 4, 5, 1004, 11, 252, 253, 2, 3
1758268893274, 2, 4, 987, 16, 251, 255, 3, 3
1758268893274, 4, 5, 999, 13, 251, 251, 2, 2
1758268893274, 5, 21, 988, 11, 254, 252, 2, 3
1758268893274, 8, 7, 1004, 10, 260, 250, 1, 3
1758268893274, 5, 21, 992, 9, 252, 249, 2, 8
1758268893274, 5, 8, 999, 11, 255, 249, 2, 3
1758268893274, 3, 7, 994, 9, 254, 250, 2, 3
1758268893274, 7, 5, 992, 11, 252, 253, 2, 3
1758268893274, 6, 11, 992, 12, 252, 252, 2, 3
1758268893274, 3, 22, 999, 13, 253, 246, 3, 4
1758268893275, 6, 24, 987, 11, 256, 245, 3, 4
1758268893275, 4, 10, 983, 12, 255, 246, 1, 3
1758268893275, 8, 23, 988, 6, 253, 247, 1, 3
1758268893276, 5, 21, 987, 12, 254, 248, 2, 4
1758268893276, 4, 8, 992, 11, 253, 252, 2, 3
1758268893280, 6, 5, 999, 11, 251, 252, 1, 4
1758268893280, 13, 5, 987, 14, 249, 256, 2, 5
1758268893283, 3, 5, 990, 21, 251, 254, 1, 3
1758268893283, 8, 3, 990, 12, 255, 252, 2, 5
1758268893283, 5, 6, 983, 11, 251, 252, 2, 3
1758268893283, 5, 6, 983, 13, 251, 252, 1, 4
1758268893293, 6, 5, 988, 12, 250, 249, 1, 3
1758268893293, 2, 7, 988, 12, 248, 250, 1, 10
1758268893293, 4, 6, 987, 11, 252, 252, 9, 3
1758268893293, 6, 6, 995, 14, 251, 251, 2, 3
1758268893293, 3, 5, 985, 13, 251, 251, 2, 3
1758268893293, 7, 5, 991, 12, 247, 251, 2, 4
1758268893293, 2, 5, 991, 11, 253, 248, 2, 2
1758268893293, 2, 7, 997, 12, 250, 248, 2, 3
1758268893293, 5, 7, 988, 14, 249, 252, 1, 5
1758268893293, 2, 7, 987, 11, 249, 250, 2, 5
1758268893293, 2, 7, 996, 13, 251, 253, 2, 3
1758268893307, 0, 7, 992, 16, 259, 250, 2, 3
1758268893307, 7, 6, 996, 13, 250, 249, 2, 3
1758268893307, 2, 6, 983, 11, 251, 252, 1, 3
1758268893307, 1, 9, 992, 10, 252, 251, 1, 4
1758268893307, 3, 13, 988, 10, 249, 249, 2, 3
