unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268929193, I, 2, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268929318, 2, 6, 759, 61, 329, 204, 3, 3
1758268929318, 15, 6, 773, 59, 331, 202, 2, 3
1758268929318, 6, 6, 768, 60, 331, 205, 2, 12
1758268929318, 4, 6, 769, 61, 328, 205, 10, 10
1758268929318, 2, 8, 766, 59, 330, 203, 4, 3
1758268929318, 5, 21, 764, 61, 330, 204, 2, 4
1758268929318, 3, 8, 768, 60, 328, 202, 2, 4
1758268929318, 7, 13, 764, 64, 329, 209, 2, 3
1758268929318, 4, 8, 764, 65, 329, 202, 2, 4
1758268929318, 6, 6, 767, 60, 339, 204, 1, 3
1758268929318, 6, 5, 759, 61, 331, 204, 0, 3
1758268929318, 4, 4, 766, 69, 331, 202, 1, 3
1758268929318, 2, 20, 759, 60, 331, 203, 2, 5
1758268929318, 0, 6, 768, 59, 331, 204, 1, 3
1758268929318, 4, 6, 767, 60, 335, 204, 2, 3
1758268929318, 0, 5, 764, 62, 328, 205, 2, 3
1758268929318, 5, 5, 769, 63, 331, 205, 2, 3
1758268929318, 2, 5, 766, 61, 331, 201, 2, 3
1758268929318, 5, 5, 764, 60, 328, 206, 2, 4
1758268929318, 3, 5, 763, 61, 330, 204, 1, 4
1758268929318, 10, 5, 764, 59, 329, 203, 2, 3
1758268929318, 9, 5, 771, 60, 329, 206, 1, 3
1758268929318, 1, 8, 768, 61, 327, 203, 2, 3
1758268929318, 3, 6, 768, 61, 333, 206, 1, 3
1758268929318, 4, 7, 771, 60, 335, 208, 10, 3
1758268929318, 3, 8, 763, 59, 331, 203, 2, 4
1758268929318, 1, 7, 763, 60, 328, 205, 3, 3
1758268929318, 7, 6, 763, 60, 331, 206, 2, 3
1758268929318, 8, 6, 765, 61, 327, 205, 1, 3
1758268929318, 1, 6, 764, 60, 328, 207, 2, 3
1758268929318, 1, 5, 771, 60, 329, 204, 2, 2
1758268929318, 5, 5, 761, 59, 329, 204, 2, 4
1758268929318, 1, 5, 768, 60, 331, 203, 6, 10
1758268929318, 0, 8, 764, 59, 330, 205, 2, 3
1758268929318, 6, 5, 760, 58, 328, 205, 11, 4
1758268929318, 4, 5, 759, 59, 329, 203, 2, 2
1758268929318, 3, 4, 768, 61, 328, 209, 2, 6
1758268929318, 5, 6, 767, 59, 328, 206, 2, 3
1758268929318, 5, 5, 759, 63, 327, 204, 3, 3
1758268929318, 11, 19, 764, 60, 331, 215, 2, 2
1758268929318, 3, 7, 768, 59, 328, 207, 0, 3
1758268929318, 5, 21, 761, 62, 331, 207, 2, 3
1758268929318, 5, 9, 764, 61, 329, 203, 2, 4
1758268929318, 7, 6, 761, 60, 329, 203, 1, 3
1758268929318, 2, 22, 766, 61, 333, 207, 2, 3
1758268929318, 4, 10, 763, 58, 329, 204, 4, 4
1758268929318, 2, 7, 768, 61, 330, 205, 2, 4
1758268929318, 3, 7, 769, 61, 328, 207, 11, 3
1758268929318, 2, 6, 759, 62, 328, 215, 1, 4
1758268929318, 2, 6, 763, 60, 330, 207, 2, 3
1758268929318, 3, 5, 761, 60, 328, 204, 2, 3
1758268929318, 3, 4, 759, 59, 329, 207, 1, 3
1758268929318, 2, 5, 764, 65, 331, 214, 2, 3
1758268929318, 2, 18, 763, 60, 331, 206, 2, 3
1758268929318, 7, 21, 763, 63, 331, 204, 2, 4
1758268929318, 8, 8, 767, 59, 331, 204, 2, 3
1758268929318, 4, 6, 767, 59, 334, 205, 1, 4
1758268929318, 0, 6, 761, 59, 333, 205, 1, 4
1758268929318, 3, 5, 761, 61, 328, 205, 1, 3
1758268929318, 8, 5, 764, 61, 329, 206, 2, 3
1758268929318, 2, 5, 761, 59, 331, 207, 2, 3
1758268929318, 3, 5, 767, 59, 331, 205, 2, 4
