unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268965209, I, 5, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268965362, 6, 6, 941, 49, 305, 240, 1, 3
1758268965362, 0, 6, 930, 50, 304, 247, 1, 2
1758268965362, 6, 5, 935, 49, 302, 240, 2, 2
1758268965362, 4, 7, 929, 54, 305, 243, 1, 4
1758268965362, 3, 7, 938, 50, 301, 244, 2, 4
1758268965362, 4, 7, 931, 52, 311, 243, 1, 3
1758268965362, 3, 7, 931, 49, 303, 241, 1, 3
1758268965362, 4, 11, 935, 54, 302, 242, 8, 3
1758268965362, 0, 22, 943, 51, 303, 241, 4, 3
1758268965362, 4, 24, 931, 48, 305, 243, 2, 4
1758268965362, 6, 21, 931, 49, 305, 245, 2, 3
1758268965362, 2, 6, 940, 50, 304, 243, 2, 9
1758268965362, 2, 5, 940, 57, 304, 244, 2, 3
1758268965362, 3, 20, 935, 50, 303, 242, 1, 3
1758268965362, 8, 6, 931, 48, 314, 243, 2, 3
1758268965362, 6, 5, 940, 48, 304, 244, 3, 3
1758268965362, 2, 4, 942, 48, 302, 242, 2, 3
1758268965362, 6, 5, 943, 50, 303, 242, 2, 3
1758268965362, 4, 5, 944, 50, 302, 244, 4, 3
1758268965362, 7, 5, 940, 49, 305, 243, 6, 3
1758268965362, 6, 5, 936, 48, 302, 244, 10, 3
1758268965362, 4, 12, 944, 48, 303, 241, 2, 3
1758268965362, 7, 6, 942, 49, 304, 245, 2, 10
1758268965362, 2, 6, 951, 48, 309, 252, 2, 3
1758268965362, 3, 21, 943, 48, 303, 244, 2, 5
1758268965362, 4, 9, 943, 47, 306, 243, 11, 4
1758268965362, 5, 9, 942, 48, 305, 243, 1, 3
1758268965362, 0, 7, 943, 51, 306, 243, 1, 2
1758268965362, 8, 6, 936, 48, 307, 242, 2, 7
1758268965362, 3, 5, 942, 52, 304, 243, 1, 5
1758268965362, 4, 6, 943, 47, 303, 241, 4, 3
1758268965362, 5, 5, 942, 48, 306, 245, 2, 3
1758268965362, 5, 5, 936, 48, 316, 245, 2, 3
1758268965362, 5, 5, 934, 50, 305, 242, 1, 5
1758268965362, 4, 4, 943, 49, 306, 244, 2, 3
1758268965362, 1, 5, 943, 48, 304, 246, 2, 3
1758268965362, 2, 6, 940, 49, 301, 242, 1, 11
1758268965362, 2, 4, 943, 46, 303, 247, 2, 3
1758268965362, 3, 5, 943, 47, 301, 244, 1, 3
1758268965362, 4, 5, 956, 55, 304, 245, 1, 3
1758268965362, 7, 4, 942, 48, 304, 240, 1, 2
1758268965362, 1, 5, 935, 49, 302, 245, 1, 3
1758268965362, 1, 5, 943, 48, 303, 244, 3, 7
1758268965362, 14, 6, 935, 49, 305, 244, 2, 3
1758268965362, 2, 21, 956, 51, 309, 242, 2, 7
1758268965362, 1, 9, 947, 49, 303, 243, 1, 3
1758268965362, 4, 23, 947, 49, 309, 246, 3, 3
1758268965362, 4, 10, 950, 47, 303, 246, 2, 3
1758268965362, 4, 22, 946, 50, 302, 245, 2, 3
1758268965362, 8, 9, 949, 46, 304, 246, 1, 4
1758268965362, 5, 6, 943, 50, 304, 246, 2, 4
1758268965362, 2, 20, 951, 49, 305, 246, 2, 3
1758268965362, 3, 6, 951, 49, 302, 244, 2, 3
1758268965362, 11, 5, 951, 50, 312, 245, 1, 3
1758268965362, 4, 16, 944, 49, 304, 247, 2, 4
1758268965362, 6, 6, 959, 54, 302, 244, 2, 3
1758268965362, 1, 5, 944, 59, 307, 246, 3, 3
1758268965362, 7, 5, 944, 48, 307, 243, 1, 4
1758268965362, 5, 6, 945, 48, 306, 246, 2, 2
1758268965362, 2, 5, 959, 49, 307, 242, 11, 2
1758268965362, 4, 5, 943, 49, 307, 246, 2, 4
1758268965362, 6, 20, 958, 48, 304, 244, 1, 3
1758268965362, 5, 8, 942, 49, 304, 252, 2, 7
1758268965362, 3, 6, 959, 48, 303, 242, 7, 6
1758268965362, 9, 7, 955, 50, 303, 244, 2, 3
1758268965362, 4, 7, 950, 55, 307, 243, 2, 1
1758268965362, 1, 8, 952, 48, 304, 245, 2, 3
1758268965362, 4, 7, 943, 50, 303, 242, 3, 5
1758268965362, 7, 6, 952, 49, 303, 242, 8, 4
1758268965362, 3, 7, 947, 54, 302, 244, 2, 4
1758268965362, 5, 6, 952, 45, 304, 248, 2, 3
1758268965362, 6, 5, 947, 45, 305, 243, 4, 3
1758268965362, 0, 5, 954, 58, 301, 246, 2, 2
1758268965362, 3, 5, 947, 47, 304, 243, 2, 2
