unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758268977210, I, -1, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758268977343, 2, 14, 927, 58, 334, 263, 1, 3
1758268977343, 4, 7, 923, 60, 331, 255, 1, 3
1758268977343, 2, 5, 919, 58, 326, 256, 1, 9
1758268977343, 2, 5, 928, 61, 325, 259, 2, 4
1758268977343, 5, 6, 924, 56, 326, 259, 2, 3
1758268977343, 8, 6, 924, 59, 326, 257, 2, 3
1758268977343, 4, 6, 928, 59, 324, 256, 2, 3
1758268977343, 2, 7, 919, 58, 324, 260, 2, 3
1758268977343, 6, 7, 931, 57, 327, 257, 1, 3
1758268977343, 7, 7, 923, 61, 323, 257, 8, 3
1758268977343, 4, 7, 931, 58, 325, 268, 2, 12
1758268977343, 7, 6, 928, 58, 325, 254, 3, 4
1758268977343, 3, 6, 923, 59, 331, 256, 8, 3
1758268977343, 3, 22, 923, 57, 323, 260, 1, 3
1758268977343, 4, 7, 935, 59, 326, 257, 2, 3
1758268977343, 5, 5, 927, 55, 327, 256, 2, 2
1758268977343, 0, 16, 927, 60, 327, 257, 2, 3
1758268977343, 3, 6, 933, 57, 326, 259, 1, 4
1758268977343, 3, 5, 925, 60, 327, 256, 2, 7
1758268977343, 4, 5, 924, 59, 326, 258, 1, 5
1758268977343, 4, 21, 926, 59, 328, 261, 1, 3
1758268977343, 4, 8, 923, 60, 325, 259, 3, 2
1758268977343, 6, 6, 928, 58, 330, 257, 2, 5
1758268977343, 5, 6, 926, 58, 325, 259, 2, 2
1758268977343, 2, 5, 933, 56, 324, 259, 1, 5
1758268977343, 5, 6, 936, 60, 333, 257, 1, 3
1758268977343, 5, 7, 923, 58, 326, 258, 2, 6
1758268977343, 3, 6, 928, 58, 332, 259, 2, 3
1758268977343, 6, 17, 927, 60, 323, 260, 2, 3
1758268977343, 3, 8, 932, 60, 329, 258, 2, 3
1758268977343, 4, 7, 923, 59, 324, 256, 3, 3
1758268977343, 2, 22, 932, 61, 338, 267, 2, 4
1758268977343, 3, 8, 930, 60, 321, 259, 2, 3
1758268977343, 4, 6, 935, 57, 328, 259, 2, 3
1758268977343, 3, 19, 932, 60, 327, 258, 1, 3
1758268977343, 2, 21, 930, 60, 334, 258, 1, 3
1758268977343, 4, 11, 928, 56, 329, 259, 1, 3
1758268977343, 3, 5, 928, 58, 324, 259, 2, 3
1758268977343, 3, 4, 936, 57, 325, 266, 3, 3
1758268977343, 5, 5, 927, 58, 329, 258, 3, 4
1758268977343, 2, 19, 925, 60, 329, 256, 2, 3
1758268977343, 1, 8, 940, 57, 323, 256, 2, 4
1758268977343, 4, 5, 929, 60, 328, 256, 2, 3
1758268977343, 6, 5, 938, 59, 328, 255, 2, 3
1758268977343, 3, 6, 939, 58, 325, 258, 2, 3
1758268977343, 4, 10, 929, 59, 325, 255, 1, 2
1758268977343, 3, 20, 939, 57, 326, 259, 1, 6
1758268977343, 6, 23, 936, 60, 324, 257, 7, 3
1758268977343, 4, 10, 943, 59, 325, 256, 2, 11
1758268977343, 3, 23, 939, 60, 325, 255, 2, 2
