unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269211847, I, 4, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269211884, 4, 6, 1136, 58, 327, 277, 3, 3
1758269211884, 5, 20, 1136, 61, 328, 263, 1, 4
1758269211884, 3, 7, 1143, 61, 325, 263, 11, 3
1758269211884, 0, 6, 1127, 61, 323, 267, 2, 10
1758269211884, 4, 6, 1143, 61, 325, 266, 2, 3
1758269211884, 11, 6, 1129, 65, 327, 265, 3, 2
1758269211884, 3, 5, 1139, 59, 324, 261, 2, 3
1758269211884, 3, 5, 1142, 60, 326, 262, 2, 3
1758269211884, 1, 7, 1143, 62, 324, 261, 2, 3
1758269211884, 4, 7, 1136, 64, 327, 258, 1, 4
1758269211884, 4, 7, 1142, 60, 331, 261, 9, 3
1758269211884, 3, 8, 1151, 59, 324, 267, 2, 4
1758269211884, 6, 7, 1146, 58, 323, 265, 2, 2
1758269211884, 7, 6, 1137, 61, 325, 272, 2, 12
1758269211884, 4, 7, 1135, 59, 325, 265, 3, 2
1758269211884, 7, 4, 1151, 62, 334, 265, 8, 3
1758269211884, 1, 4, 1143, 60, 325, 270, 1, 3
1758269211884, 4, 20, 1137, 60, 325, 265, 2, 2
1758269211884, 2, 9, 1135, 62, 323, 266, 7, 6
1758269211884, 7, 6, 1135, 60, 327, 269, 1, 3
1758269211884, 5, 5, 1147, 59, 325, 272, 1, 4
1758269211884, 3, 20, 1144, 68, 325, 268, 3, 4
1758269211884, 4, 7, 1147, 57, 325, 269, 2, 3
1758269211884, 1, 6, 1148, 59, 326, 270, 1, 3
1758269211884, 4, 5, 1136, 58, 327, 267, 1, 3
1758269211884, 4, 5, 1134, 58, 326, 267, 1, 3
1758269211884, 3, 6, 1151, 59, 327, 268, 2, 3
1758269211884, 3, 5, 1144, 59, 326, 270, 1, 3
1758269211884, 3, 6, 1137, 59, 325, 267, 2, 3
1758269211884, 7, 7, 1139, 58, 329, 269, 2, 3
1758269211884, 12, 7, 1135, 58, 324, 267, 2, 3
1758269211884, 3, 7, 1136, 60, 325, 267, 2, 3
1758269211884, 2, 7, 1148, 60, 326, 268, 2, 2
1758269211884, 2, 6, 1147, 64, 327, 272, 3, 3
1758269211884, 1, 14, 1149, 58, 329, 269, 3, 3
1758269211884, 10, 6, 1147, 59, 326, 268, 1, 4
1758269211886, 3, 4, 1151, 58, 328, 269, 2, 3
1758269211886, 4, 5, 1147, 60, 335, 272, 2, 3
1758269211887, 2, 6, 1151, 59, 325, 268, 1, 3
1758269211887, 3, 4, 1144, 62, 326, 267, 2, 3
1758269211900, 6, 5, 1135, 63, 328, 262, 2, 3
1758269211900, 2, 5, 1144, 55, 326, 271, 1, 12
1758269211900, 6, 5, 1139, 58, 326, 265, 1, 2
1758269211900, 4, 5, 1139, 55, 332, 264, 2, 3
1758269211900, 4, 5, 1151, 55, 325, 269, 3, 3
1758269211900, 3, 5, 1144, 57, 328, 266, 2, 3
1758269211900, 3, 17, 1144, 64, 327, 266, 2, 3
1758269211900, 5, 7, 1146, 59, 329, 268, 2, 4
1758269211900, 4, 7, 1147, 56, 329, 266, 2, 3
1758269211900, 5, 16, 1146, 57, 326, 270, 2, 3
1758269211900, 3, 9, 1137, 57, 329, 269, 2, 4
1758269211913, 4, 10, 1144, 58, 325, 278, 1, 3
1758269211913, 5, 7, 1149, 56, 329, 272, 1, 3
1758269211913, 2, 22, 1148, 57, 332, 268, 1, 2
1758269211913, 0, 8, 1144, 56, 328, 274, 2, 3
1758269211913, 3, 4, 1139, 55, 326, 273, 2, 3
1758269211913, 3, 5, 1144, 58, 325, 272, 2, 3
1758269211913, 2, 5, 1153, 57, 326, 273, 2, 3
1758269211913, 14, 7, 1148, 57, 329, 271, 2, 3
1758269211913, 6, 4, 1144, 65, 329, 275, 8, 3
1758269211913, 2, 4, 1152, 57, 335, 273, 1, 4
1758269211913, 2, 5, 1150, 57, 329, 270, 1, 3
1758269211913, 2, 4, 1148, 56, 329, 271, 2, 2
1758269211913, 2, 5, 1144, 57, 329, 275, 2, 3
1758269211913, 7, 5, 1153, 58, 326, 272, 2, 12
1758269211925, 7, 20, 1152, 54, 338, 272, 2, 3
1758269211925, 2, 7, 1152, 56, 331, 272, 2, 6
1758269211925, 2, 12, 1164, 60, 327, 270, 2, 3
1758269211925, 4, 7, 1152, 56, 329, 272, 1, 3
1758269211925, 6, 7, 1144, 57, 327, 272, 1, 5
1758269211925, 4, 8, 1152, 56, 327, 272, 2, 2
1758269211925, 2, 7, 1151, 57, 329, 273, 4, 3
1758269211925, 5, 19, 1144, 56, 325, 272, 3, 3
1758269211925, 2, 8, 1148, 55, 331, 274, 1, 3
1758269211925, 4, 21, 1150, 55, 331, 272, 5, 3
1758269211925, 5, 22, 1143, 54, 326, 274, 1, 3
1758269211925, 4, 22, 1148, 57, 327, 272, 2, 3
1758269211925, 2, 7, 1151, 56, 325, 272, 1, 3
1758269211939, 4, 4, 1148, 56, 327, 275, 1, 4
1758269211939, 12, 5, 1155, 56, 324, 275, 2, 3
1758269211939, 4, 6, 1148, 54, 327, 274, 2, 3
1758269211939, 2, 5, 1151, 56, 330, 273, 1, 2
1758269211939, 4, 5, 1143, 58, 330, 274, 2, 3
1758269211939, 6, 6, 1148, 64, 329, 275, 2, 3
1758269211939, 5, 6, 1163, 56, 328, 273, 3, 3
1758269211939, 4, 7, 1144, 56, 327, 273, 3, 3
1758269211939, 4, 6, 1153, 55, 334, 276, 1, 3
1758269211939, 14, 5, 1155, 57, 327, 275, 8, 3
1758269211939, 7, 6, 1139, 55, 329, 271, 2, 4
1758269211939, 6, 7, 1153, 57, 327, 275, 2, 3
1758269211952, 4, 7, 1144, 58, 326, 273, 2, 2
1758269211952, 1, 22, 1138, 57, 329, 272, 2, 3
1758269211952, 4, 18, 1150, 53, 327, 272, 2, 4
1758269211952, 7, 8, 1139, 60, 328, 272, 2, 3
1758269211952, 4, 20, 1148, 59, 328, 272, 1, 3
1758269211952, 3, 6, 1148, 56, 326, 276, 2, 4
1758269211952, 12, 5, 1144, 64, 329, 275, 2, 3
1758269211952, 3, 10, 1144, 56, 332, 283, 1, 3
1758269211952, 3, 5, 1148, 55, 325, 272, 1, 3
1758269211952, 3, 3, 1140, 57, 324, 284, 2, 1
1758269211952, 1, 4, 1151, 55, 329, 273, 2, 2
1758269211952, 2, 11, 1150, 55, 329, 274, 8, 3
1758269211952, 3, 5, 1144, 56, 333, 277, 2, 3
1758269211952, 5, 5, 1143, 56, 327, 278, 2, 3
1758269211952, 5, 5, 1155, 54, 325, 279, 1, 3
