unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269464975, I, -1, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269465082, 4, 7, 298, 91, 427, 324, 2, 12
1758269465082, 3, 7, 298, 92, 425, 325, 2, 3
1758269465082, 7, 6, 299, 91, 426, 322, 2, 3
1758269465082, 1, 6, 299, 92, 424, 322, 3, 3
1758269465082, 1, 19, 297, 91, 423, 325, 2, 3
1758269465082, 0, 22, 300, 92, 423, 324, 1, 3
1758269465082, 0, 8, 300, 91, 422, 322, 1, 3
1758269465082, 3, 13, 299, 91, 423, 327, 1, 3
1758269465082, 4, 6, 295, 90, 429, 321, 2, 6
1758269465082, 3, 15, 297, 90, 426, 321, 2, 3
1758269465082, 4, 5, 295, 91, 425, 327, 2, 9
1758269465082, 3, 4, 296, 90, 429, 321, 2, 3
1758269465082, 3, 4, 295, 92, 424, 325, 1, 3
1758269465082, 3, 4, 297, 92, 426, 320, 4, 3
1758269465082, 4, 6, 297, 90, 426, 321, 2, 2
1758269465082, 1, 6, 299, 91, 424, 324, 1, 3
1758269465082, 0, 7, 299, 96, 425, 326, 2, 7
1758269465082, 9, 6, 301, 97, 424, 321, 2, 3
1758269465082, 8, 21, 303, 91, 428, 322, 2, 3
1758269465082, 2, 8, 296, 91, 427, 325, 2, 3
1758269465082, 0, 22, 299, 91, 428, 322, 2, 3
1758269465082, 6, 9, 297, 92, 428, 326, 1, 3
1758269465082, 5, 7, 296, 91, 427, 323, 2, 3
1758269465082, 7, 10, 299, 91, 429, 329, 2, 3
1758269465082, 7, 6, 296, 91, 430, 323, 2, 3
1758269465082, 5, 6, 297, 91, 428, 323, 2, 11
1758269465082, 9, 5, 298, 92, 426, 323, 2, 3
1758269465082, 4, 4, 307, 92, 427, 326, 2, 3
1758269465082, 9, 5, 299, 92, 423, 327, 2, 3
1758269465082, 3, 14, 298, 91, 427, 327, 2, 3
1758269465082, 3, 5, 297, 91, 423, 327, 2, 3
1758269465082, 3, 19, 299, 90, 431, 323, 2, 8
1758269465082, 3, 7, 297, 90, 425, 324, 1, 3
1758269465082, 4, 7, 299, 90, 423, 325, 2, 3
1758269465082, 5, 5, 295, 90, 424, 322, 1, 3
1758269465082, 5, 6, 295, 92, 430, 324, 2, 3
1758269465082, 3, 11, 298, 92, 428, 333, 2, 2
1758269465082, 1, 6, 296, 92, 423, 323, 2, 3
1758269465082, 3, 5, 299, 91, 427, 325, 2, 12
1758269465082, 15, 5, 296, 91, 423, 325, 2, 3
1758269465082, 3, 7, 296, 89, 426, 325, 1, 3
1758269465082, 10, 7, 295, 91, 423, 327, 2, 7
1758269465082, 1, 22, 297, 96, 428, 325, 1, 4
1758269465082, 4, 9, 296, 91, 428, 321, 3, 4
1758269465082, 6, 5, 296, 91, 428, 325, 2, 3
1758269465082, 0, 6, 296, 100, 423, 322, 1, 3
1758269465082, 1, 7, 300, 91, 424, 331, 2, 3
