unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269488989, I, 0, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269489134, 5, 6, 1050, 49, 265, 252, 2, 3
1758269489134, 7, 8, 1041, 48, 262, 253, 2, 4
1758269489134, 3, 6, 1051, 47, 265, 252, 2, 3
1758269489134, 4, 7, 1052, 48, 265, 254, 1, 3
1758269489134, 1, 6, 1048, 47, 261, 253, 2, 4
1758269489134, 5, 20, 1050, 47, 262, 253, 1, 3
1758269489134, 3, 7, 1041, 48, 262, 254, 2, 2
1758269489134, 5, 6, 1041, 47, 262, 253, 2, 3
1758269489134, 6, 5, 1041, 46, 262, 254, 1, 3
1758269489134, 2, 4, 1043, 48, 263, 254, 2, 3
1758269489134, 4, 6, 1041, 56, 261, 253, 2, 3
1758269489134, 5, 5, 1041, 49, 264, 251, 2, 4
1758269489134, 3, 6, 1055, 45, 265, 252, 2, 3
1758269489134, 4, 17, 1054, 48, 267, 252, 2, 3
1758269489134, 4, 23, 1057, 51, 262, 255, 2, 7
1758269489134, 1, 21, 1041, 46, 261, 255, 2, 3
1758269489134, 1, 13, 1043, 48, 264, 252, 1, 2
1758269489134, 3, 7, 1051, 49, 262, 254, 2, 1
1758269489134, 3, 21, 1050, 47, 265, 251, 4, 2
1758269489134, 4, 9, 1051, 47, 268, 255, 1, 3
1758269489134, 4, 8, 1048, 48, 268, 254, 2, 4
1758269489134, 3, 7, 1050, 48, 261, 254, 2, 3
1758269489134, 4, 12, 1048, 49, 265, 251, 1, 3
1758269489134, 4, 22, 1048, 48, 263, 255, 1, 3
1758269489134, 12, 8, 1043, 47, 263, 254, 1, 2
1758269489134, 9, 6, 1054, 48, 265, 251, 1, 3
1758269489134, 5, 5, 1056, 48, 264, 252, 3, 3
1758269489134, 3, 5, 1048, 47, 262, 251, 1, 4
1758269489134, 3, 5, 1048, 48, 263, 254, 4, 3
1758269489134, 3, 4, 1051, 48, 265, 251, 7, 3
1758269489134, 1, 20, 1050, 48, 264, 259, 1, 2
1758269489134, 7, 8, 1048, 55, 261, 255, 0, 3
1758269489134, 3, 5, 1048, 51, 262, 253, 1, 2
1758269489134, 3, 5, 1051, 48, 265, 254, 2, 3
1758269489134, 3, 5, 1051, 49, 263, 253, 5, 2
1758269489134, 5, 6, 1047, 49, 264, 256, 1, 3
1758269489134, 4, 6, 1041, 50, 263, 255, 9, 3
1758269489134, 6, 6, 1041, 48, 265, 255, 1, 4
1758269489134, 3, 6, 1051, 48, 265, 254, 2, 3
1758269489134, 7, 20, 1051, 48, 265, 254, 2, 6
1758269489134, 2, 9, 1055, 48, 266, 255, 2, 3
1758269489134, 3, 7, 1051, 46, 265, 254, 2, 3
1758269489134, 2, 6, 1051, 48, 265, 257, 2, 6
1758269489134, 3, 6, 1056, 49, 262, 260, 6, 3
1758269489134, 4, 6, 1048, 48, 264, 255, 2, 8
1758269489134, 3, 5, 1041, 45, 265, 254, 2, 8
1758269489134, 2, 5, 1051, 47, 267, 254, 2, 2
