unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269500998, I, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269501121, 2, 4, 1100, 51, 296, 301, 12, 3
1758269501121, 4, 5, 1096, 52, 293, 305, 10, 2
1758269501121, 3, 5, 1105, 52, 292, 303, 2, 3
1758269501121, 7, 6, 1102, 51, 293, 301, 2, 2
1758269501121, 4, 4, 1111, 50, 291, 303, 2, 4
1758269501121, 1, 6, 1095, 49, 294, 303, 1, 3
1758269501121, 3, 6, 1103, 51, 292, 303, 1, 3
1758269501121, 2, 5, 1100, 51, 294, 301, 2, 3
1758269501121, 6, 5, 1103, 51, 293, 302, 2, 2
1758269501121, 4, 6, 1111, 53, 293, 299, 1, 3
1758269501121, 9, 6, 1100, 51, 299, 301, 2, 3
1758269501121, 5, 22, 1097, 51, 294, 299, 2, 2
1758269501121, 4, 10, 1103, 51, 294, 307, 1, 4
1758269501121, 5, 8, 1103, 53, 291, 308, 8, 3
1758269501121, 5, 7, 1102, 59, 292, 303, 2, 11
1758269501121, 4, 7, 1103, 52, 296, 300, 1, 2
1758269501121, 5, 6, 1103, 50, 302, 299, 1, 3
1758269501121, 3, 5, 1111, 51, 291, 307, 1, 4
1758269501121, 2, 4, 1103, 50, 294, 300, 2, 4
1758269501121, 5, 20, 1103, 51, 299, 300, 2, 4
1758269501121, 3, 7, 1096, 51, 292, 299, 2, 4
1758269501121, 2, 5, 1103, 52, 293, 299, 2, 4
1758269501121, 3, 5, 1103, 52, 290, 300, 2, 3
1758269501121, 4, 5, 1103, 51, 294, 299, 2, 3
1758269501121, 2, 5, 1100, 51, 291, 300, 1, 3
1758269501121, 3, 5, 1091, 53, 291, 300, 2, 4
1758269501121, 3, 4, 1095, 52, 291, 301, 2, 3
1758269501121, 4, 6, 1095, 51, 290, 308, 2, 2
1758269501121, 5, 21, 1091, 53, 293, 301, 1, 4
1758269501121, 2, 8, 1096, 51, 291, 300, 1, 4
1758269501121, 4, 7, 1096, 52, 291, 299, 2, 3
1758269501121, 3, 23, 1087, 51, 296, 303, 2, 3
1758269501121, 8, 9, 1103, 53, 303, 300, 2, 3
1758269501121, 3, 7, 1102, 50, 299, 305, 6, 6
1758269501121, 3, 6, 1103, 49, 297, 303, 1, 3
1758269501121, 3, 7, 1095, 51, 301, 301, 4, 4
1758269501121, 8, 8, 1100, 60, 295, 305, 4, 4
1758269501121, 4, 5, 1103, 51, 301, 304, 1, 11
1758269501121, 2, 4, 1093, 51, 303, 302, 2, 2
1758269501121, 6, 5, 1095, 51, 295, 303, 2, 4
1758269501121, 5, 19, 1090, 61, 291, 307, 2, 3
1758269501121, 3, 6, 1095, 52, 291, 305, 2, 3
1758269501121, 3, 6, 1095, 51, 293, 299, 2, 3
1758269501121, 2, 5, 1096, 52, 295, 302, 2, 2
1758269501121, 1, 5, 1103, 52, 292, 306, 1, 4
1758269501121, 6, 20, 1100, 52, 292, 307, 2, 6
1758269501121, 0, 7, 1095, 49, 302, 303, 1, 4
1758269501121, 3, 6, 1090, 50, 294, 302, 2, 3
1758269501121, 4, 5, 1102, 50, 291, 311, 2, 3
1758269501121, 1, 22, 1096, 51, 303, 307, 2, 3
1758269501121, 2, 8, 1100, 53, 291, 304, 2, 4
1758269501121, 8, 7, 1095, 52, 294, 304, 2, 3
1758269501121, 5, 8, 1091, 51, 290, 306, 2, 4
1758269501121, 9, 6, 1096, 59, 293, 304, 1, 0
1758269501121, 5, 21, 1103, 51, 293, 303, 3, 3
1758269501121, 5, 8, 1096, 56, 293, 304, 2, 4
1758269501121, 4, 7, 1103, 53, 291, 307, 1, 4
1758269501121, 6, 6, 1104, 50, 293, 301, 3, 3
1758269501121, 5, 4, 1116, 52, 295, 303, 1, 8
1758269501121, 2, 4, 1103, 53, 303, 301, 2, 4
1758269501121, 4, 5, 1091, 50, 291, 303, 2, 6
1758269501121, 13, 4, 1100, 51, 296, 303, 2, 4
1758269501121, 2, 4, 1103, 52, 291, 306, 2, 3
1758269501121, 4, 4, 1103, 52, 291, 307, 2, 6
1758269501121, 5, 5, 1102, 51, 294, 304, 2, 3
1758269501121, 1, 6, 1103, 55, 294, 304, 4, 3
1758269501121, 7, 6, 1091, 51, 292, 306, 1, 3
1758269501121, 5, 5, 1096, 51, 292, 306, 2, 3
1758269501121, 6, 6, 1100, 51, 291, 309, 2, 3
1758269501121, 3, 5, 1100, 52, 295, 304, 2, 3
1758269501121, 4, 6, 1103, 51, 303, 304, 2, 2
1758269501121, 3, 7, 1103, 52, 294, 303, 2, 2
1758269501121, 6, 7, 1100, 51, 294, 307, 2, 3
1758269501121, 4, 8, 1091, 49, 293, 305, 2, 3
1758269501121, 1, 7, 1096, 51, 295, 302, 2, 2
1758269501121, 3, 6, 1096, 50, 294, 301, 2, 4
1758269501121, 4, 6, 1104, 53, 302, 306, 1, 2
1758269501121, 3, 14, 1099, 54, 297, 304, 2, 4
1758269501121, 4, 9, 1103, 51, 291, 307, 1, 3
1758269501121, 3, 5, 1100, 53, 291, 305, 1, 3
1758269501121, 3, 5, 1103, 51, 292, 307, 2, 3
1758269501121, 2, 4, 1089, 51, 293, 305, 3, 3
1758269501121, 5, 5, 1098, 52, 292, 303, 2, 3
1758269501121, 3, 21, 1102, 50, 294, 305, 2, 4
1758269501121, 2, 15, 1099, 51, 295, 300, 2, 12
1758269501121, 5, 7, 1103, 50, 295, 305, 3, 3
1758269501121, 5, 21, 1104, 53, 292, 315, 2, 3
1758269501121, 6, 8, 1089, 53, 292, 307, 2, 4
1758269501121, 5, 6, 1103, 51, 293, 307, 2, 2
1758269501121, 6, 6, 1099, 51, 291, 306, 2, 3
1758269501121, 3, 15, 1096, 51, 294, 307, 2, 3
1758269501121, 3, 23, 1091, 49, 295, 304, 3, 3
1758269501121, 6, 10, 1089, 52, 294, 305, 1, 4
1758269501121, 6, 7, 1103, 51, 295, 307, 2, 2
1758269501121, 5, 7, 1091, 50, 295, 304, 9, 3
1758269501121, 13, 6, 1096, 51, 292, 307, 10, 4
1758269501121, 5, 7, 1087, 51, 294, 303, 1, 4
1758269501121, 12, 8, 1112, 61, 293, 309, 2, 2
1758269501121, 3, 5, 1088, 56, 296, 306, 2, 3
1758269501121, 4, 5, 1095, 52, 292, 305, 1, 4
1758269501121, 4, 4, 1088, 52, 294, 311, 2, 3
1758269501121, 6, 5, 1088, 52, 291, 306, 2, 3
1758269501121, 3, 5, 1082, 50, 293, 317, 2, 3
1758269501121, 2, 16, 1095, 52, 291, 310, 2, 3
1758269501121, 7, 7, 1087, 53, 290, 304, 2, 5
1758269501121, 1, 20, 1089, 54, 294, 304, 3, 4
1758269501121, 2, 7, 1095, 50, 292, 307, 2, 4
1758269501121, 6, 19, 1095, 52, 291, 309, 1, 3
1758269501121, 3, 7, 1095, 52, 295, 306, 3, 3
1758269501121, 1, 7, 1087, 51, 292, 304, 2, 4
1758269501121, 4, 7, 1082, 50, 291, 307, 2, 2
1758269501121, 3, 22, 1088, 52, 295, 305, 2, 7
1758269501121, 2, 9, 1088, 49, 295, 303, 2, 3
1758269501121, 4, 7, 1102, 51, 294, 304, 2, 11
1758269501121, 3, 21, 1083, 51, 294, 304, 3, 3
1758269501121, 6, 8, 1088, 51, 294, 304, 1, 3
1758269501121, 2, 6, 1087, 51, 292, 307, 2, 2
1758269501121, 4, 5, 1099, 51, 295, 306, 2, 4
1758269501121, 10, 19, 1095, 50, 293, 309, 1, 3
1758269501121, 6, 7, 1088, 52, 292, 305, 2, 3
1758269501121, 4, 5, 1085, 51, 293, 307, 2, 2
1758269501121, 3, 20, 1096, 60, 293, 304, 1, 3
1758269501121, 3, 7, 1099, 51, 295, 307, 9, 3
1758269501124, 4, 18, 1099, 52, 294, 307, 3, 2
1758269501124, 4, 7, 1102, 51, 293, 304, 2, 2
1758269501127, 3, 6, 1088, 53, 291, 309, 2, 2
1758269501127, 3, 5, 1098, 50, 295, 304, 1, 12
1758269501127, 2, 10, 1106, 50, 294, 303, 1, 8
1758269501127, 3, 21, 1088, 49, 295, 305, 2, 3
1758269501127, 4, 8, 1104, 51, 295, 304, 2, 3
1758269501129, 3, 7, 1095, 52, 295, 306, 1, 3
1758269501141, 4, 7, 1088, 52, 294, 305, 3, 4
1758269501141, 2, 8, 1088, 51, 293, 307, 1, 2
1758269501141, 10, 7, 1097, 59, 292, 309, 2, 6
1758269501141, 0, 6, 1092, 51, 291, 307, 3, 2
1758269501141, 4, 7, 1088, 50, 292, 307, 2, 6
1758269501141, 6, 6, 1092, 52, 292, 307, 2, 4
1758269501141, 5, 16, 1089, 51, 294, 304, 1, 4
1758269501141, 3, 5, 1088, 52, 291, 309, 3, 3
1758269501141, 4, 6, 1088, 51, 292, 305, 8, 2
1758269501141, 10, 19, 1103, 52, 294, 305, 2, 9
1758269501141, 5, 17, 1103, 55, 292, 309, 1, 3
1758269501155, 4, 7, 1091, 51, 295, 305, 1, 4
1758269501155, 3, 5, 1099, 52, 295, 308, 2, 1
1758269501155, 5, 6, 1103, 55, 292, 306, 1, 4
1758269501155, 4, 6, 1099, 57, 292, 307, 3, 12
1758269501155, 2, 6, 1095, 52, 291, 309, 2, 3
1758269501155, 3, 5, 1103, 62, 295, 305, 2, 3
1758269501155, 3, 5, 1103, 51, 293, 306, 2, 3
1758269501155, 2, 6, 1096, 51, 301, 306, 2, 4
1758269501155, 3, 21, 1099, 51, 295, 305, 1, 3
1758269501155, 4, 21, 1096, 57, 291, 307, 1, 4
1758269501155, 3, 19, 1096, 51, 294, 305, 1, 3
1758269501155, 3, 8, 1102, 52, 291, 306, 2, 4
1758269501155, 3, 15, 1096, 52, 295, 305, 1, 3
1758269501155, 4, 7, 1100, 49, 294, 305, 2, 3
1758269501169, 8, 6, 1096, 52, 291, 314, 2, 4
1758269501169, 7, 4, 1099, 54, 291, 308, 2, 2
1758269501169, 8, 4, 1103, 51, 294, 308, 1, 7
1758269501169, 6, 5, 1095, 50, 291, 310, 1, 3
1758269501169, 4, 3, 1099, 53, 292, 307, 1, 3
1758269501169, 7, 18, 1099, 51, 295, 305, 2, 3
1758269501169, 2, 7, 1091, 61, 294, 305, 1, 3
1758269501169, 3, 5, 1096, 52, 294, 307, 2, 1
1758269501169, 6, 4, 1096, 53, 292, 306, 2, 4
1758269501169, 5, 5, 1089, 57, 294, 307, 2, 8
1758269501169, 5, 6, 1095, 52, 290, 308, 3, 3
1758269501169, 9, 6, 1104, 52, 291, 308, 2, 3
1758269501169, 1, 5, 1101, 51, 291, 308, 2, 3
1758269501169, 4, 6, 1099, 52, 295, 306, 2, 11
1758269501169, 11, 7, 1104, 53, 295, 306, 2, 3
1758269501182, 5, 7, 1091, 51, 292, 312, 2, 3
1758269501182, 5, 7, 1091, 52, 295, 307, 3, 10
1758269501182, 1, 7, 1100, 54, 294, 305, 2, 4
1758269501182, 1, 6, 1096, 53, 295, 304, 10, 4
1758269501182, 5, 6, 1091, 52, 294, 306, 2, 3
1758269501182, 5, 6, 1103, 50, 297, 305, 1, 2
1758269501182, 5, 6, 1095, 51, 299, 305, 1, 5
1758269501182, 3, 4, 1103, 51, 291, 310, 1, 3
1758269501182, 8, 6, 1095, 50, 303, 312, 3, 3
1758269501182, 1, 4, 1104, 51, 300, 312, 4, 3
1758269501182, 5, 5, 1103, 52, 297, 308, 2, 3
1758269501182, 2, 5, 1096, 53, 292, 307, 3, 3
1758269501182, 4, 5, 1101, 50, 295, 316, 4, 3
1758269501182, 4, 6, 1091, 52, 291, 310, 2, 2
1758269501196, 8, 6, 1100, 51, 294, 311, 0, 4
1758269501196, 4, 20, 1089, 61, 294, 309, 1, 7
1758269501196, 4, 8, 1087, 51, 293, 308, 2, 2
1758269501196, 3, 21, 1100, 54, 300, 314, 2, 2
1758269501196, 13, 8, 1099, 53, 301, 310, 2, 3
1758269501196, 4, 7, 1091, 53, 292, 307, 3, 11
1758269501196, 7, 7, 1099, 52, 295, 310, 2, 9
1758269501196, 5, 8, 1100, 52, 298, 304, 2, 3
1758269501196, 3, 7, 1096, 60, 292, 304, 3, 2
1758269501196, 5, 7, 1103, 52, 291, 316, 3, 3
1758269501196, 1, 7, 1091, 55, 291, 305, 1, 2
1758269501196, 6, 6, 1103, 52, 291, 305, 2, 3
1758269501196, 4, 5, 1087, 56, 291, 305, 3, 3
1758269501210, 2, 5, 1096, 52, 294, 305, 2, 2
1758269501210, 7, 4, 1100, 51, 291, 306, 3, 9
1758269501210, 4, 19, 1103, 52, 295, 307, 3, 2
1758269501210, 3, 21, 1100, 53, 295, 311, 2, 7
1758269501210, 4, 8, 1102, 51, 295, 305, 3, 4
1758269501210, 14, 21, 1096, 54, 291, 314, 0, 5
1758269501210, 5, 7, 1103, 52, 295, 312, 1, 2
1758269501210, 7, 20, 1091, 53, 291, 308, 2, 3
1758269501210, 3, 7, 1091, 54, 292, 308, 0, 4
1758269501210, 2, 5, 1100, 51, 294, 307, 2, 3
1758269501210, 0, 18, 1103, 52, 303, 313, 2, 4
1758269501210, 2, 7, 1102, 52, 294, 311, 2, 3
1758269501210, 7, 22, 1093, 52, 294, 307, 2, 2
1758269501210, 5, 25, 1091, 52, 294, 307, 2, 3
1758269501224, 12, 10, 1103, 52, 291, 306, 2, 3
1758269501224, 2, 8, 1093, 54, 294, 306, 2, 4
1758269501224, 6, 6, 1100, 53, 294, 307, 3, 3
1758269501224, 3, 5, 1096, 60, 294, 308, 2, 2
1758269501224, 3, 5, 1103, 50, 293, 308, 1, 3
1758269501224, 7, 4, 1103, 52, 291, 305, 2, 3
1758269501224, 3, 4, 1103, 52, 291, 305, 2, 2
1758269501224, 5, 5, 1102, 51, 295, 318, 2, 4
1758269501224, 5, 5, 1096, 58, 295, 309, 1, 4
1758269501224, 1, 5, 1103, 54, 295, 306, 2, 3
1758269501224, 1, 6, 1101, 50, 299, 305, 3, 3
1758269501224, 5, 5, 1103, 52, 291, 311, 2, 2
1758269501224, 5, 6, 1100, 53, 291, 307, 2, 12
1758269501224, 3, 6, 1102, 52, 295, 305, 1, 4
1758269501237, 3, 6, 1091, 54, 294, 310, 1, 3
1758269501237, 2, 4, 1091, 51, 295, 308, 1, 3
1758269501237, 7, 21, 1103, 50, 303, 305, 2, 3
1758269501237, 3, 7, 1099, 52, 296, 305, 2, 9
1758269501237, 6, 6, 1091, 52, 291, 305, 2, 12
1758269501237, 4, 8, 1100, 51, 295, 311, 2, 5
1758269501237, 7, 6, 1102, 51, 296, 307, 3, 1
1758269501237, 7, 7, 1100, 54, 303, 309, 3, 2
1758269501237, 4, 6, 1103, 52, 293, 304, 2, 4
1758269501237, 2, 6, 1096, 54, 293, 303, 4, 4
1758269501237, 11, 6, 1096, 50, 293, 307, 2, 4
1758269501237, 10, 12, 1103, 52, 291, 305, 2, 5
1758269501237, 3, 4, 1102, 53, 291, 304, 3, 3
1758269501251, 2, 5, 1104, 52, 292, 307, 2, 3
1758269501251, 6, 4, 1096, 56, 291, 303, 2, 3
1758269501251, 6, 3, 1100, 52, 295, 305, 2, 2
1758269501251, 1, 7, 1104, 52, 293, 308, 1, 3
1758269501251, 8, 12, 1091, 53, 293, 312, 2, 4
1758269501251, 5, 11, 1096, 54, 298, 311, 2, 3
1758269501251, 2, 17, 1101, 53, 299, 306, 1, 3
1758269501251, 4, 8, 1096, 52, 295, 310, 0, 3
1758269501251, 1, 6, 1091, 53, 295, 304, 2, 3
1758269501251, 0, 5, 1098, 56, 295, 306, 2, 3
1758269501251, 3, 22, 1102, 52, 298, 311, 10, 3
1758269501251, 5, 9, 1101, 51, 294, 305, 2, 3
1758269501251, 5, 7, 1096, 54, 294, 309, 2, 4
1758269501251, 12, 7, 1099, 53, 294, 308, 1, 5
