unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758269814251, I, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758269814290, 3, 7, 1340, 42, 280, 217, 2, 3
1758269814290, 3, 20, 1340, 53, 283, 218, 2, 3
1758269814290, 2, 21, 1364, 51, 280, 219, 2, 1
1758269814290, 4, 23, 1339, 46, 280, 215, 1, 3
1758269814290, 2, 22, 1351, 46, 282, 214, 2, 3
1758269814290, 9, 7, 1351, 47, 279, 217, 2, 3
1758269814290, 3, 5, 1343, 47, 277, 213, 2, 3
1758269814290, 6, 5, 1351, 45, 277, 212, 2, 3
1758269814290, 1, 5, 1344, 46, 280, 211, 1, 2
1758269814290, 5, 5, 1350, 44, 276, 214, 2, 3
1758269814290, 4, 6, 1351, 43, 277, 214, 2, 2
1758269814290, 2, 6, 1342, 53, 281, 213, 1, 3
1758269814290, 11, 5, 1348, 49, 279, 212, 3, 2
1758269814290, 6, 6, 1351, 44, 279, 213, 5, 4
1758269814290, 3, 5, 1351, 45, 277, 215, 1, 3
1758269814290, 5, 8, 1344, 45, 278, 225, 2, 5
1758269814290, 4, 7, 1344, 44, 281, 216, 3, 2
1758269814290, 1, 7, 1344, 44, 277, 217, 6, 4
1758269814290, 4, 12, 1364, 45, 278, 215, 1, 3
1758269814290, 6, 7, 1344, 44, 282, 216, 3, 3
1758269814290, 11, 7, 1351, 45, 279, 217, 1, 4
1758269814290, 5, 5, 1355, 41, 281, 218, 5, 2
1758269814290, 11, 17, 1350, 43, 283, 218, 1, 4
1758269814290, 5, 21, 1359, 44, 280, 215, 2, 10
1758269814290, 3, 8, 1343, 49, 282, 216, 4, 3
1758269814290, 2, 5, 1355, 44, 280, 215, 1, 11
1758269814290, 4, 6, 1339, 46, 279, 225, 3, 3
1758269814290, 2, 6, 1348, 46, 283, 216, 2, 4
1758269814290, 2, 5, 1344, 54, 279, 221, 10, 2
1758269814290, 1, 5, 1355, 45, 285, 217, 1, 4
1758269814290, 2, 19, 1348, 48, 280, 220, 2, 3
1758269814290, 3, 7, 1360, 48, 284, 221, 2, 4
1758269814290, 2, 5, 1344, 48, 280, 218, 2, 4
1758269814290, 2, 6, 1339, 48, 280, 220, 2, 3
1758269814290, 1, 6, 1351, 47, 280, 221, 1, 3
1758269814290, 3, 6, 1348, 47, 281, 216, 2, 2
1758269814290, 3, 22, 1344, 46, 281, 217, 3, 8
1758269814290, 3, 9, 1360, 46, 281, 221, 1, 3
1758269814291, 6, 21, 1343, 56, 284, 217, 2, 1
1758269814291, 11, 8, 1344, 44, 286, 222, 9, 3
1758269814292, 12, 6, 1344, 47, 281, 219, 2, 2
1758269814303, 1, 7, 1344, 45, 284, 217, 0, 4
1758269814303, 1, 5, 1360, 46, 293, 218, 11, 4
1758269814303, 1, 6, 1344, 50, 285, 221, 2, 3
1758269814303, 5, 20, 1351, 48, 279, 220, 2, 3
1758269814303, 3, 6, 1351, 48, 284, 222, 3, 3
1758269814303, 2, 6, 1351, 47, 282, 222, 3, 2
1758269814303, 3, 4, 1340, 47, 279, 220, 1, 8
1758269814303, 6, 5, 1351, 48, 279, 219, 2, 5
1758269814303, 4, 5, 1342, 48, 282, 220, 1, 4
1758269814303, 1, 6, 1334, 49, 286, 221, 3, 1
1758269814303, 3, 5, 1343, 46, 282, 223, 1, 4
1758269814316, 12, 22, 1356, 49, 281, 223, 2, 6
1758269814316, 11, 22, 1339, 46, 284, 224, 2, 4
1758269814316, 1, 23, 1335, 47, 283, 220, 6, 3
1758269814316, 4, 21, 1340, 46, 280, 217, 1, 6
1758269814316, 2, 9, 1336, 45, 283, 221, 9, 3
1758269814316, 3, 8, 1335, 46, 279, 225, 2, 4
1758269814316, 2, 7, 1342, 45, 279, 226, 3, 3
1758269814316, 7, 21, 1352, 51, 285, 224, 2, 2
1758269814316, 4, 23, 1342, 50, 283, 222, 2, 1
1758269814316, 1, 21, 1335, 48, 294, 223, 2, 4
1758269814316, 6, 7, 1347, 48, 288, 226, 2, 2
1758269814316, 2, 6, 1335, 46, 283, 229, 3, 3
1758269814316, 8, 5, 1336, 48, 288, 224, 1, 3
1758269814328, 5, 5, 1343, 46, 281, 223, 2, 4
1758269814328, 1, 5, 1335, 48, 282, 228, 2, 3
1758269814328, 2, 4, 1331, 46, 286, 226, 10, 2
1758269814328, 7, 5, 1347, 50, 283, 231, 1, 3
1758269814328, 3, 5, 1344, 47, 284, 227, 2, 4
1758269814328, 6, 5, 1331, 50, 282, 227, 2, 3
1758269814328, 3, 20, 1340, 48, 283, 228, 3, 3
1758269814328, 8, 7, 1336, 47, 281, 230, 0, 4
1758269814328, 3, 5, 1336, 48, 281, 229, 2, 3
1758269814328, 13, 6, 1333, 46, 282, 238, 1, 3
