unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354195086, K, 2, 1, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354195179, 5, 22, 659, 178, 371, 265, 2, 3
1758354195179, 5, 10, 664, 181, 371, 269, 2, 4
1758354195179, 3, 9, 664, 183, 381, 268, 1, 4
1758354195179, 0, 7, 665, 180, 375, 266, 2, 3
1758354195179, 12, 7, 664, 180, 374, 268, 2, 2
1758354195179, 4, 6, 659, 179, 375, 270, 1, 2
1758354195179, 1, 20, 659, 181, 375, 264, 1, 2
1758354195179, 6, 6, 665, 180, 374, 270, 1, 3
1758354195179, 4, 4, 664, 179, 371, 273, 2, 3
1758354195179, 1, 4, 663, 179, 374, 266, 1, 4
1758354195179, 5, 4, 667, 178, 374, 266, 1, 3
1758354195179, 5, 13, 664, 180, 375, 266, 1, 3
1758354195179, 2, 20, 659, 179, 375, 268, 2, 3
1758354195179, 3, 14, 664, 179, 375, 266, 4, 2
1758354195179, 6, 6, 664, 183, 375, 279, 1, 3
1758354195179, 4, 6, 661, 187, 375, 265, 2, 3
1758354195179, 3, 6, 660, 179, 371, 275, 3, 2
1758354195179, 8, 6, 672, 187, 375, 265, 2, 3
1758354195179, 6, 23, 664, 177, 371, 265, 2, 3
1758354195179, 3, 9, 659, 180, 374, 269, 1, 3
1758354195179, 3, 9, 660, 179, 373, 269, 2, 2
1758354195179, 9, 8, 672, 179, 374, 266, 1, 3
1758354195179, 2, 8, 659, 189, 372, 269, 2, 3
1758354195179, 3, 6, 661, 181, 375, 264, 1, 3
1758354195179, 5, 16, 664, 178, 371, 269, 2, 3
1758354195179, 3, 6, 663, 181, 375, 265, 2, 3
1758354195179, 5, 5, 667, 179, 371, 268, 2, 3
1758354195179, 2, 4, 659, 179, 372, 276, 2, 4
1758354195179, 4, 3, 655, 183, 371, 267, 2, 3
1758354195179, 10, 4, 657, 182, 374, 265, 3, 3
1758354195179, 4, 4, 657, 180, 371, 266, 1, 3
1758354195179, 5, 4, 662, 180, 379, 267, 2, 2
1758354195179, 1, 5, 663, 182, 374, 266, 2, 3
1758354195179, 6, 9, 664, 179, 375, 268, 1, 3
1758354195179, 5, 21, 662, 178, 372, 267, 2, 3
1758354195179, 6, 7, 663, 179, 379, 269, 2, 4
1758354195179, 1, 7, 659, 181, 371, 265, 1, 3
1758354195179, 8, 8, 664, 180, 372, 267, 2, 9
1758354195179, 9, 7, 662, 179, 375, 270, 1, 5
1758354195179, 6, 8, 659, 181, 375, 268, 4, 6
1758354195179, 2, 9, 657, 181, 372, 265, 2, 3
1758354195179, 5, 9, 659, 181, 375, 268, 8, 2
1758354195179, 3, 9, 664, 180, 372, 271, 1, 2
1758354195179, 11, 9, 666, 181, 375, 268, 1, 7
1758354195179, 3, 7, 659, 180, 371, 269, 2, 2
1758354195179, 4, 6, 659, 181, 372, 269, 2, 12
1758354195179, 2, 4, 659, 181, 371, 270, 2, 3
1758354195179, 5, 4, 660, 183, 375, 268, 2, 3
1758354195179, 4, 5, 660, 178, 371, 270, 1, 3
1758354195179, 3, 3, 660, 180, 375, 268, 2, 3
1758354195179, 1, 4, 657, 178, 371, 271, 2, 3
1758354195179, 5, 19, 661, 178, 371, 270, 1, 2
1758354195179, 4, 17, 660, 181, 375, 268, 1, 3
1758354195179, 3, 6, 667, 181, 377, 267, 7, 5
1758354195179, 2, 20, 660, 183, 371, 270, 2, 3
1758354195179, 4, 7, 662, 182, 375, 267, 3, 3
1758354195179, 2, 6, 660, 178, 375, 267, 2, 4
1758354195179, 7, 5, 657, 182, 375, 266, 2, 5
1758354195179, 5, 7, 662, 179, 374, 267, 3, 4
1758354195179, 4, 8, 659, 182, 371, 270, 2, 3
1758354195179, 3, 7, 665, 180, 372, 267, 2, 3
1758354195179, 6, 8, 668, 179, 374, 271, 3, 4
1758354195179, 4, 8, 671, 182, 372, 266, 2, 2
1758354195179, 3, 7, 665, 179, 372, 266, 3, 7
1758354195179, 3, 6, 659, 179, 375, 268, 2, 3
1758354195179, 2, 5, 665, 181, 373, 268, 2, 3
1758354195179, 3, 4, 667, 183, 382, 267, 2, 3
1758354195179, 2, 4, 665, 187, 375, 268, 2, 3
1758354195179, 6, 4, 659, 180, 371, 270, 2, 3
1758354195179, 2, 17, 660, 180, 374, 271, 2, 3
1758354195179, 4, 7, 672, 179, 375, 269, 2, 4
1758354195179, 6, 4, 667, 180, 374, 265, 1, 3
1758354195179, 7, 4, 661, 179, 369, 270, 2, 3
1758354195179, 9, 20, 679, 179, 374, 266, 1, 1
1758354195179, 0, 7, 659, 179, 371, 271, 11, 11
1758354195179, 1, 8, 664, 178, 372, 267, 8, 3
1758354195179, 4, 6, 661, 182, 375, 269, 2, 2
1758354195179, 6, 17, 675, 181, 371, 268, 2, 3
1758354195179, 4, 24, 664, 180, 375, 267, 2, 3
1758354195179, 5, 10, 666, 181, 371, 269, 1, 4
1758354195179, 4, 23, 668, 178, 376, 268, 5, 3
1758354195179, 3, 10, 673, 181, 382, 267, 6, 3
1758354195179, 2, 16, 659, 192, 371, 271, 2, 3
1758354195179, 4, 23, 659, 179, 375, 268, 2, 5
1758354195179, 5, 9, 669, 181, 374, 265, 1, 3
1758354195179, 6, 6, 667, 180, 370, 268, 2, 4
1758354195179, 5, 14, 664, 180, 370, 269, 2, 3
1758354195179, 2, 15, 666, 179, 373, 269, 2, 3
1758354195179, 6, 18, 667, 180, 373, 266, 2, 3
1758354195179, 6, 5, 659, 179, 374, 264, 4, 4
1758354195179, 1, 4, 663, 181, 370, 269, 2, 3
1758354195179, 5, 3, 663, 181, 374, 267, 2, 3
1758354195195, 6, 3, 672, 178, 374, 267, 1, 3
1758354195195, 7, 5, 673, 178, 375, 268, 2, 2
1758354195195, 5, 4, 669, 181, 374, 267, 1, 11
1758354195195, 1, 6, 667, 179, 375, 269, 2, 3
1758354195195, 4, 21, 670, 177, 371, 272, 6, 2
1758354195195, 2, 9, 669, 179, 374, 269, 2, 3
1758354195195, 4, 8, 661, 178, 370, 269, 1, 4
1758354195195, 3, 22, 668, 183, 374, 266, 2, 3
1758354195195, 4, 11, 668, 183, 371, 267, 2, 3
1758354195195, 6, 9, 669, 181, 375, 268, 3, 3
1758354195195, 3, 8, 662, 182, 375, 271, 3, 3
1758354195195, 3, 22, 664, 180, 375, 268, 2, 3
1758354195195, 5, 8, 667, 179, 375, 268, 2, 3
1758354195195, 1, 8, 664, 180, 382, 270, 2, 3
1758354195195, 5, 5, 662, 182, 375, 275, 2, 2
1758354195195, 1, 3, 664, 180, 375, 270, 1, 3
1758354195210, 2, 3, 664, 179, 375, 267, 1, 3
1758354195210, 5, 4, 664, 181, 375, 267, 2, 4
1758354195210, 9, 4, 661, 183, 371, 267, 3, 4
1758354195210, 5, 4, 667, 182, 375, 270, 2, 3
1758354195210, 0, 5, 672, 181, 371, 267, 2, 7
1758354195210, 5, 4, 662, 177, 371, 269, 1, 3
1758354195210, 4, 12, 669, 192, 373, 267, 1, 9
1758354195210, 4, 7, 667, 180, 375, 269, 1, 4
1758354195210, 1, 7, 666, 182, 374, 267, 1, 3
1758354195210, 5, 6, 665, 179, 375, 268, 2, 2
1758354195210, 7, 23, 664, 180, 375, 269, 2, 3
1758354195210, 4, 9, 669, 182, 373, 267, 2, 9
1758354195210, 4, 9, 669, 180, 374, 267, 1, 4
1758354195210, 6, 9, 663, 184, 372, 269, 1, 4
1758354195225, 4, 7, 663, 180, 375, 268, 2, 3
1758354195225, 4, 7, 663, 179, 375, 270, 2, 2
1758354195225, 9, 7, 671, 180, 376, 266, 1, 3
1758354195225, 13, 20, 667, 185, 371, 270, 6, 3
1758354195225, 5, 7, 663, 179, 371, 267, 6, 3
1758354195225, 1, 20, 664, 176, 374, 266, 7, 4
1758354195225, 3, 6, 659, 176, 374, 265, 1, 3
1758354195225, 4, 3, 669, 180, 375, 266, 10, 3
1758354195225, 5, 4, 667, 179, 375, 268, 6, 3
1758354195225, 1, 4, 669, 184, 371, 267, 11, 3
1758354195225, 2, 4, 663, 182, 370, 267, 1, 4
1758354195225, 3, 5, 663, 184, 371, 270, 2, 2
1758354195225, 3, 5, 664, 179, 375, 272, 2, 2
1758354195225, 4, 5, 665, 182, 374, 270, 1, 3
1758354195225, 2, 5, 668, 182, 375, 270, 2, 3
1758354195241, 5, 7, 663, 183, 371, 270, 1, 3
1758354195241, 9, 7, 671, 181, 371, 268, 3, 3
1758354195241, 6, 8, 664, 182, 377, 267, 2, 3
1758354195241, 5, 9, 671, 182, 372, 268, 2, 4
1758354195241, 6, 18, 668, 181, 374, 269, 3, 3
1758354195241, 6, 8, 663, 183, 372, 267, 2, 3
1758354195241, 1, 7, 668, 181, 374, 266, 1, 3
1758354195241, 1, 6, 671, 184, 371, 267, 3, 4
1758354195241, 5, 5, 671, 181, 383, 267, 7, 3
1758354195241, 14, 5, 668, 182, 372, 267, 2, 3
1758354195241, 3, 4, 668, 183, 375, 268, 2, 2
1758354195241, 3, 3, 671, 182, 371, 267, 1, 3
1758354195241, 3, 3, 671, 184, 371, 268, 2, 6
1758354195241, 0, 4, 670, 181, 375, 271, 1, 4
1758354195241, 4, 19, 670, 180, 375, 271, 2, 3
1758354195241, 3, 7, 663, 185, 374, 269, 1, 2
1758354195241, 5, 5, 671, 184, 371, 268, 4, 2
1758354195254, 5, 5, 668, 181, 375, 268, 1, 3
1758354195254, 11, 11, 671, 182, 371, 269, 1, 12
1758354195254, 2, 6, 671, 183, 370, 266, 3, 3
1758354195254, 3, 7, 670, 181, 381, 270, 2, 8
1758354195254, 3, 7, 663, 185, 373, 268, 2, 4
1758354195254, 3, 21, 667, 184, 372, 268, 2, 3
1758354195254, 4, 10, 671, 181, 375, 268, 2, 3
1758354195254, 3, 8, 667, 181, 374, 270, 2, 3
1758354195254, 4, 7, 671, 183, 372, 265, 2, 3
1758354195254, 13, 7, 671, 185, 369, 265, 1, 3
1758354195254, 0, 22, 663, 185, 373, 266, 2, 4
1758354195254, 3, 22, 665, 181, 372, 266, 2, 3
1758354195254, 5, 7, 665, 181, 373, 268, 7, 3
1758354195269, 2, 13, 675, 184, 373, 267, 2, 3
1758354195269, 2, 4, 673, 182, 370, 266, 2, 2
1758354195269, 4, 2, 676, 178, 374, 267, 1, 6
1758354195269, 3, 4, 665, 186, 372, 267, 2, 2
1758354195269, 3, 2, 670, 180, 379, 270, 2, 10
1758354195269, 1, 3, 667, 183, 371, 268, 5, 3
1758354195269, 7, 19, 671, 181, 368, 265, 2, 3
1758354195269, 6, 6, 675, 181, 375, 265, 4, 4
1758354195269, 6, 15, 671, 182, 383, 269, 1, 2
1758354195269, 4, 6, 671, 182, 383, 269, 2, 3
1758354195269, 3, 7, 671, 181, 377, 265, 7, 3
1758354195269, 3, 7, 670, 190, 375, 268, 2, 2
1758354195269, 5, 23, 668, 183, 382, 269, 1, 9
1758354195269, 3, 10, 671, 180, 377, 268, 2, 4
1758354195284, 6, 9, 665, 183, 382, 270, 2, 4
1758354195284, 8, 8, 667, 185, 380, 269, 2, 3
1758354195284, 0, 6, 667, 183, 374, 266, 1, 8
1758354195284, 6, 22, 665, 184, 382, 269, 2, 3
1758354195284, 1, 7, 667, 183, 382, 265, 2, 4
1758354195284, 4, 4, 671, 184, 374, 278, 2, 3
1758354195284, 6, 4, 667, 181, 371, 267, 1, 4
1758354195284, 1, 3, 663, 182, 384, 269, 2, 4
1758354195284, 2, 3, 671, 180, 374, 273, 1, 3
1758354195284, 3, 3, 667, 185, 371, 271, 2, 3
1758354195284, 0, 4, 663, 182, 370, 265, 1, 4
1758354195284, 1, 3, 670, 181, 371, 267, 1, 3
1758354195284, 6, 5, 670, 179, 377, 268, 1, 4
1758354195284, 2, 4, 671, 181, 371, 271, 1, 3
1758354195284, 4, 6, 663, 187, 373, 268, 2, 4
1758354195298, 4, 7, 668, 183, 371, 268, 1, 3
1758354195298, 2, 6, 669, 178, 372, 269, 2, 4
1758354195298, 1, 22, 670, 182, 371, 269, 3, 4
1758354195298, 6, 9, 671, 182, 374, 267, 2, 2
1758354195298, 3, 9, 671, 181, 374, 268, 2, 3
1758354195298, 5, 10, 679, 182, 381, 267, 1, 4
1758354195298, 4, 7, 675, 183, 377, 267, 1, 2
1758354195298, 4, 8, 668, 192, 372, 270, 1, 4
1758354195298, 8, 6, 675, 184, 371, 269, 9, 3
1758354195298, 4, 20, 666, 182, 371, 268, 2, 4
1758354195298, 0, 9, 675, 184, 375, 271, 2, 3
1758354195298, 3, 4, 665, 183, 371, 273, 2, 3
1758354195298, 10, 3, 673, 183, 375, 269, 2, 3
