unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354400683, K, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354400800, 8, 15, 281, 103, 342, 247, 2, 4
1758354400800, 5, 16, 284, 102, 336, 252, 1, 4
1758354400800, 4, 17, 284, 103, 333, 249, 2, 7
1758354400800, 5, 14, 284, 103, 335, 249, 1, 4
1758354400800, 0, 11, 285, 103, 338, 250, 2, 4
1758354400800, 5, 9, 293, 99, 336, 250, 3, 4
1758354400800, 6, 4, 289, 101, 333, 246, 1, 4
1758354400800, 0, 0, 290, 101, 332, 248, 3, 5
1758354400800, 7, 0, 289, 101, 333, 246, 2, 1
1758354400800, 7, 0, 289, 101, 334, 247, 1, 3
1758354400800, 5, 0, 291, 101, 327, 251, 2, 3
1758354400800, 3, 9, 294, 109, 337, 248, 4, 3
1758354400800, 3, 1, 293, 104, 329, 254, 3, 9
1758354400800, 3, 1, 296, 100, 335, 247, 4, 1
1758354400800, 9, 15, 293, 100, 333, 246, 8, 8
1758354400800, 0, 7, 294, 101, 333, 244, 1, 3
1758354400800, 7, 16, 293, 109, 332, 244, 2, 4
1758354400800, 15, 11, 293, 102, 335, 245, 0, 2
1758354400800, 7, 25, 294, 103, 333, 243, 3, 3
1758354400800, 6, 17, 293, 103, 327, 243, 2, 3
1758354400800, 5, 16, 295, 101, 330, 241, 6, 3
1758354400800, 8, 19, 297, 102, 325, 245, 1, 3
1758354400800, 9, 17, 303, 102, 330, 243, 12, 4
1758354400800, 7, 14, 303, 101, 330, 243, 4, 3
1758354400800, 0, 11, 297, 103, 331, 243, 3, 4
1758354400800, 3, 7, 296, 104, 328, 252, 1, 10
1758354400800, 0, 4, 302, 103, 329, 241, 3, 2
1758354400800, 23, 0, 296, 104, 326, 244, 1, 1
1758354400800, 6, 0, 297, 102, 324, 244, 9, 4
1758354400800, 11, 0, 299, 112, 324, 243, 1, 3
1758354400800, 5, 0, 293, 105, 337, 243, 2, 3
1758354400800, 1, 0, 294, 107, 325, 246, 2, 4
1758354400800, 0, 8, 293, 107, 328, 244, 2, 3
1758354400800, 4, 18, 291, 109, 325, 243, 2, 1
1758354400800, 10, 5, 296, 106, 323, 257, 3, 3
1758354400800, 7, 5, 297, 108, 321, 248, 3, 11
1758354400800, 5, 17, 296, 107, 328, 245, 1, 2
1758354400800, 6, 11, 293, 109, 319, 246, 2, 3
1758354400800, 0, 25, 295, 105, 325, 247, 1, 3
1758354400800, 3, 16, 296, 108, 321, 243, 1, 4
1758354400800, 0, 16, 295, 104, 321, 254, 2, 4
1758354400800, 4, 32, 296, 104, 324, 247, 2, 5
1758354400800, 6, 18, 299, 101, 329, 245, 2, 3
1758354400800, 0, 16, 295, 107, 322, 246, 2, 2
1758354400800, 6, 10, 300, 102, 327, 247, 2, 7
1758354400800, 0, 8, 297, 100, 326, 243, 3, 2
1758354400800, 3, 4, 297, 104, 323, 243, 1, 5
1758354400800, 0, 0, 298, 103, 327, 244, 1, 4
1758354400800, 4, 3, 297, 102, 322, 244, 3, 4
1758354400800, 4, 0, 301, 102, 327, 245, 1, 3
1758354400800, 3, 0, 299, 105, 326, 244, 1, 2
1758354400800, 5, 0, 300, 105, 325, 242, 1, 1
1758354400800, 4, 8, 304, 107, 323, 244, 1, 4
1758354400800, 0, 3, 301, 102, 325, 243, 0, 4
1758354400800, 12, 4, 306, 105, 327, 244, 0, 3
1758354400800, 5, 6, 301, 99, 326, 244, 2, 3
1758354400800, 2, 7, 303, 102, 326, 245, 2, 4
1758354400800, 5, 21, 301, 98, 323, 245, 1, 4
1758354400800, 2, 12, 302, 100, 325, 248, 2, 3
1758354400800, 6, 15, 305, 101, 329, 246, 1, 2
1758354400800, 3, 15, 301, 99, 323, 247, 2, 4
1758354400800, 8, 17, 301, 99, 327, 244, 1, 4
1758354400800, 6, 17, 304, 99, 331, 248, 3, 4
1758354400800, 6, 14, 300, 99, 329, 248, 2, 0
1758354400800, 0, 10, 302, 103, 323, 245, 4, 5
