unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354699945, K, 4, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354700007, 3, 4, 715, 94, 385, 336, 2, 228
1758354700007, 8, 4, 713, 94, 388, 336, 2, 228
1758354700007, 3, 2, 720, 95, 401, 332, 1, 227
1758354700007, 3, 3, 719, 94, 387, 335, 2, 235
1758354700007, 4, 4, 712, 92, 391, 339, 2, 228
1758354700007, 6, 4, 715, 93, 387, 335, 2, 227
1758354700007, 2, 19, 715, 92, 384, 333, 5, 231
1758354700007, 3, 6, 724, 95, 385, 342, 3, 230
1758354700007, 2, 4, 715, 91, 385, 335, 3, 230
1758354700007, 8, 6, 719, 92, 396, 343, 2, 235
1758354700007, 8, 6, 715, 94, 387, 335, 2, 227
1758354700007, 4, 6, 715, 94, 386, 335, 1, 228
1758354700007, 0, 9, 720, 95, 385, 338, 9, 230
1758354700007, 7, 7, 716, 93, 389, 333, 1, 227
1758354700007, 6, 22, 720, 94, 385, 336, 2, 228
1758354700007, 6, 12, 722, 92, 393, 337, 1, 235
1758354700007, 3, 8, 727, 91, 391, 338, 1, 227
1758354700007, 6, 7, 727, 91, 391, 335, 2, 228
1758354700007, 4, 7, 725, 97, 384, 335, 1, 227
1758354700007, 4, 5, 720, 104, 385, 336, 2, 227
1758354700007, 8, 5, 721, 91, 388, 333, 1, 225
1758354700007, 1, 20, 719, 94, 389, 336, 1, 228
1758354700007, 1, 5, 724, 91, 388, 336, 2, 228
1758354700007, 4, 4, 721, 95, 391, 336, 1, 226
1758354700007, 3, 3, 719, 93, 394, 336, 2, 225
1758354700007, 4, 4, 719, 91, 387, 336, 5, 227
1758354700007, 0, 4, 720, 94, 389, 336, 1, 228
1758354700007, 2, 10, 720, 94, 385, 339, 2, 228
1758354700007, 2, 5, 720, 93, 385, 336, 3, 228
1758354700007, 7, 4, 721, 94, 388, 339, 2, 229
1758354700007, 2, 6, 727, 94, 385, 335, 3, 228
1758354700007, 2, 6, 720, 94, 385, 337, 2, 229
1758354700007, 9, 21, 719, 94, 385, 332, 1, 228
1758354700007, 3, 10, 719, 102, 385, 336, 3, 227
1758354700007, 2, 24, 736, 94, 396, 334, 3, 227
1758354700007, 5, 12, 719, 97, 385, 337, 2, 233
1758354700007, 1, 9, 731, 93, 386, 339, 1, 232
1758354700007, 6, 7, 727, 91, 388, 337, 2, 227
1758354700007, 7, 7, 719, 101, 391, 336, 2, 226
1758354700007, 3, 6, 727, 90, 386, 336, 2, 229
1758354700007, 3, 4, 718, 90, 390, 336, 2, 227
1758354700007, 5, 18, 719, 94, 393, 337, 2, 230
1758354700007, 2, 6, 727, 93, 390, 336, 1, 228
1758354700007, 4, 3, 729, 91, 387, 343, 3, 227
1758354700007, 4, 4, 719, 96, 391, 345, 2, 226
1758354700007, 6, 5, 726, 89, 389, 340, 2, 227
1758354700007, 8, 19, 726, 91, 390, 335, 2, 225
1758354700007, 4, 7, 727, 91, 389, 332, 2, 225
1758354700007, 3, 5, 721, 97, 391, 337, 3, 222
1758354700007, 3, 5, 729, 93, 384, 333, 2, 223
1758354700007, 0, 21, 723, 92, 385, 333, 1, 226
1758354700007, 3, 9, 727, 99, 385, 335, 2, 222
1758354700007, 4, 9, 723, 95, 387, 335, 2, 224
1758354700007, 1, 8, 723, 99, 385, 335, 1, 223
1758354700007, 4, 10, 729, 95, 385, 334, 2, 224
1758354700007, 4, 10, 723, 94, 396, 337, 3, 222
1758354700007, 6, 23, 729, 91, 391, 333, 2, 224
1758354700007, 0, 9, 723, 93, 388, 339, 3, 229
1758354700007, 9, 8, 728, 92, 391, 334, 2, 221
1758354700007, 1, 20, 723, 94, 390, 336, 6, 222
1758354700007, 1, 7, 723, 93, 390, 340, 2, 224
1758354700007, 4, 4, 728, 98, 386, 339, 10, 228
1758354700008, 4, 4, 719, 93, 390, 334, 1, 224
1758354700009, 2, 4, 727, 91, 387, 338, 2, 223
1758354700013, 1, 3, 727, 92, 392, 343, 2, 221
1758354700013, 3, 19, 723, 93, 398, 335, 3, 220
1758354700013, 5, 6, 718, 91, 388, 335, 1, 224
1758354700013, 3, 5, 723, 94, 385, 338, 2, 219
1758354700027, 1, 4, 723, 102, 383, 336, 11, 221
1758354700027, 14, 4, 723, 94, 389, 338, 0, 220
1758354700027, 4, 6, 723, 95, 387, 337, 2, 221
1758354700027, 2, 5, 726, 91, 391, 339, 2, 217
1758354700027, 2, 8, 727, 94, 388, 336, 3, 219
1758354700027, 5, 8, 727, 92, 388, 336, 2, 224
1758354700027, 4, 10, 724, 94, 384, 336, 3, 217
1758354700027, 3, 9, 727, 91, 389, 339, 2, 219
1758354700027, 7, 9, 726, 97, 388, 336, 2, 223
1758354700027, 5, 7, 719, 92, 385, 338, 3, 217
1758354700027, 4, 20, 719, 95, 386, 339, 1, 216
1758354700027, 2, 8, 721, 95, 396, 339, 3, 228
1758354700027, 2, 6, 729, 99, 385, 336, 1, 219
1758354700027, 12, 5, 726, 93, 386, 336, 2, 217
1758354700042, 3, 2, 727, 97, 387, 339, 1, 220
1758354700042, 2, 4, 723, 93, 384, 339, 9, 219
1758354700042, 2, 3, 719, 99, 387, 338, 3, 218
1758354700042, 7, 4, 724, 93, 387, 336, 2, 218
1758354700042, 0, 4, 719, 95, 387, 338, 1, 217
1758354700042, 4, 16, 719, 94, 385, 343, 3, 217
1758354700042, 9, 7, 719, 95, 383, 338, 3, 219
1758354700042, 2, 6, 727, 87, 386, 334, 1, 219
1758354700042, 1, 21, 727, 90, 384, 334, 2, 219
1758354700042, 3, 7, 720, 87, 388, 336, 2, 220
1758354700042, 8, 8, 728, 86, 391, 336, 2, 227
1758354700042, 9, 9, 718, 87, 385, 337, 2, 220
1758354700042, 9, 9, 726, 88, 385, 336, 2, 218
1758354700042, 3, 9, 727, 87, 387, 338, 2, 219
1758354700042, 4, 8, 725, 87, 383, 338, 0, 218
1758354700056, 2, 8, 720, 91, 383, 346, 3, 220
1758354700056, 10, 7, 721, 93, 389, 333, 2, 222
1758354700056, 4, 6, 727, 90, 389, 338, 3, 222
1758354700056, 5, 5, 719, 94, 390, 335, 1, 220
1758354700056, 5, 4, 726, 91, 394, 335, 2, 220
1758354700056, 1, 3, 727, 91, 384, 335, 2, 220
1758354700056, 4, 4, 727, 98, 393, 334, 4, 220
1758354700056, 4, 4, 732, 91, 385, 335, 1, 221
1758354700056, 2, 4, 720, 91, 393, 333, 2, 221
1758354700056, 3, 3, 719, 91, 387, 335, 2, 218
1758354700056, 2, 4, 720, 92, 385, 339, 1, 221
1758354700056, 1, 5, 727, 92, 384, 333, 2, 222
1758354700056, 3, 4, 724, 97, 386, 339, 2, 219
1758354700056, 6, 6, 724, 89, 389, 337, 3, 223
1758354700069, 4, 6, 719, 92, 383, 336, 2, 219
1758354700069, 6, 6, 727, 91, 384, 336, 1, 221
1758354700069, 4, 22, 729, 87, 384, 336, 2, 225
1758354700069, 6, 26, 720, 87, 382, 338, 1, 221
1758354700069, 6, 11, 727, 90, 386, 336, 4, 221
1758354700069, 6, 9, 717, 88, 388, 335, 6, 222
1758354700069, 7, 7, 715, 88, 386, 338, 1, 219
1758354700069, 4, 23, 723, 91, 387, 336, 2, 220
1758354700069, 3, 7, 718, 87, 388, 333, 2, 221
1758354700069, 0, 19, 723, 89, 389, 335, 1, 222
1758354700069, 12, 5, 719, 88, 386, 333, 1, 225
1758354700069, 2, 3, 725, 86, 384, 337, 1, 223
1758354700069, 10, 3, 720, 91, 387, 337, 2, 223
1758354700082, 2, 3, 714, 89, 388, 336, 2, 219
1758354700082, 5, 4, 716, 90, 395, 333, 1, 221
1758354700082, 1, 4, 716, 92, 385, 336, 2, 222
1758354700082, 1, 4, 715, 88, 386, 337, 3, 229
1758354700082, 2, 4, 720, 87, 383, 345, 0, 219
1758354700082, 4, 6, 723, 85, 386, 333, 7, 218
