unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354711957, K, 5, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354711990, 1, 9, 651, 91, 376, 349, 2, 158
1758354711990, 2, 9, 649, 92, 377, 349, 2, 157
1758354711990, 4, 9, 652, 96, 375, 359, 2, 156
1758354711990, 0, 9, 647, 90, 373, 351, 2, 158
1758354711990, 0, 6, 653, 88, 376, 351, 2, 158
1758354711990, 6, 6, 655, 91, 376, 346, 2, 158
1758354711990, 0, 5, 654, 89, 373, 351, 1, 159
1758354711990, 4, 18, 647, 88, 377, 353, 2, 158
1758354711990, 3, 5, 654, 89, 373, 350, 2, 156
1758354711990, 3, 2, 647, 91, 375, 349, 1, 159
1758354711990, 3, 3, 652, 89, 373, 354, 2, 158
1758354711990, 8, 4, 647, 90, 375, 351, 2, 158
1758354711990, 5, 4, 658, 89, 375, 348, 0, 158
1758354711990, 3, 4, 650, 88, 373, 351, 1, 160
1758354711990, 1, 5, 653, 89, 375, 350, 8, 159
1758354711990, 6, 6, 648, 91, 377, 349, 3, 157
1758354711990, 3, 5, 655, 90, 377, 350, 4, 158
1758354711990, 4, 22, 646, 90, 374, 349, 2, 158
1758354711990, 4, 24, 648, 90, 372, 351, 2, 159
1758354711990, 4, 26, 646, 89, 375, 350, 6, 159
1758354711990, 7, 11, 655, 90, 379, 351, 1, 157
1758354711990, 2, 9, 643, 89, 373, 348, 3, 155
1758354711990, 8, 9, 647, 92, 374, 348, 5, 158
1758354711990, 4, 7, 653, 89, 376, 352, 2, 159
1758354711990, 4, 22, 653, 92, 373, 349, 1, 160
1758354711990, 0, 8, 647, 88, 375, 351, 2, 159
1758354711990, 0, 5, 644, 92, 377, 351, 1, 160
1758354711990, 2, 4, 646, 92, 376, 348, 2, 158
1758354711990, 2, 18, 645, 89, 379, 351, 3, 159
1758354711990, 2, 20, 659, 90, 383, 350, 2, 158
1758354711990, 3, 5, 644, 89, 380, 353, 2, 159
1758354711990, 2, 19, 647, 92, 373, 349, 4, 162
1758354711993, 4, 6, 659, 92, 373, 350, 2, 159
1758354711993, 4, 5, 651, 91, 373, 347, 2, 157
1758354712004, 10, 21, 655, 89, 379, 350, 9, 159
1758354712004, 5, 7, 653, 87, 377, 349, 2, 160
1758354712004, 6, 5, 648, 90, 372, 349, 2, 158
1758354712004, 2, 7, 652, 89, 380, 351, 8, 158
1758354712004, 5, 21, 653, 93, 384, 351, 1, 161
1758354712004, 6, 10, 645, 89, 373, 353, 2, 160
1758354712004, 6, 15, 652, 91, 376, 356, 2, 160
1758354712004, 6, 10, 644, 88, 375, 350, 2, 159
1758354712004, 1, 8, 645, 87, 379, 357, 7, 163
1758354712004, 4, 18, 648, 93, 379, 348, 10, 158
1758354712004, 4, 9, 644, 89, 374, 359, 2, 160
1758354712004, 4, 6, 651, 90, 375, 351, 3, 161
1758354712004, 4, 20, 650, 90, 379, 351, 1, 168
1758354712017, 0, 6, 651, 88, 376, 349, 1, 158
1758354712017, 4, 3, 651, 88, 373, 351, 2, 163
1758354712017, 4, 8, 655, 88, 373, 355, 2, 159
1758354712017, 1, 5, 652, 88, 372, 352, 1, 160
1758354712017, 4, 5, 651, 101, 375, 354, 8, 160
1758354712017, 0, 10, 646, 89, 375, 354, 2, 160
1758354712017, 3, 5, 646, 89, 374, 354, 1, 163
1758354712017, 2, 15, 651, 91, 373, 350, 2, 159
1758354712017, 14, 6, 655, 90, 373, 349, 2, 158
1758354712017, 2, 6, 647, 96, 373, 349, 2, 159
1758354712017, 4, 7, 648, 90, 373, 355, 1, 156
1758354712017, 3, 8, 648, 87, 373, 357, 1, 159
1758354712017, 3, 7, 644, 88, 375, 349, 2, 157
1758354712032, 3, 19, 643, 89, 376, 350, 3, 166
1758354712032, 2, 10, 653, 90, 377, 350, 5, 157
1758354712032, 5, 9, 647, 89, 373, 352, 0, 156
1758354712032, 3, 7, 647, 92, 377, 352, 6, 156
1758354712032, 3, 7, 647, 89, 377, 349, 2, 158
1758354712032, 3, 5, 646, 91, 375, 352, 2, 155
1758354712032, 4, 4, 647, 92, 387, 355, 3, 154
1758354712032, 4, 4, 647, 89, 376, 352, 2, 155
1758354712032, 4, 4, 646, 87, 383, 354, 0, 156
1758354712032, 6, 2, 655, 95, 373, 352, 1, 156
1758354712032, 5, 3, 651, 90, 376, 354, 3, 156
1758354712032, 4, 4, 645, 88, 374, 354, 2, 155
1758354712032, 5, 4, 651, 91, 373, 352, 4, 157
1758354712032, 4, 3, 648, 89, 373, 351, 2, 159
1758354712032, 8, 4, 645, 95, 377, 351, 1, 157
1758354712047, 5, 6, 645, 90, 377, 357, 2, 156
1758354712047, 3, 6, 645, 88, 381, 355, 2, 158
1758354712047, 4, 6, 648, 90, 376, 352, 3, 156
1758354712047, 4, 8, 647, 89, 376, 349, 2, 158
1758354712047, 12, 8, 651, 91, 377, 358, 2, 157
1758354712047, 5, 10, 653, 90, 378, 352, 7, 158
1758354712047, 1, 10, 651, 89, 376, 349, 2, 157
1758354712047, 3, 9, 648, 96, 371, 359, 10, 159
1758354712047, 3, 7, 651, 90, 374, 349, 2, 155
1758354712047, 6, 7, 651, 88, 376, 349, 2, 157
1758354712047, 2, 6, 646, 91, 377, 350, 1, 155
1758354712047, 4, 19, 652, 88, 373, 349, 3, 153
1758354712047, 2, 6, 648, 89, 375, 349, 1, 156
1758354712047, 5, 4, 652, 89, 374, 349, 2, 154
1758354712047, 5, 4, 640, 90, 373, 359, 1, 156
1758354712062, 4, 4, 648, 90, 379, 351, 2, 161
