unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354735963, K, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354736047, 8, 10, 616, 99, 402, 334, 1, 483
1758354736047, 3, 7, 615, 99, 402, 333, 1, 481
1758354736047, 2, 5, 616, 109, 403, 338, 1, 478
1758354736047, 3, 4, 619, 101, 400, 335, 2, 483
1758354736047, 3, 3, 614, 99, 400, 334, 2, 484
1758354736047, 3, 2, 617, 100, 399, 335, 1, 485
1758354736047, 3, 4, 617, 101, 411, 335, 2, 481
1758354736047, 4, 4, 612, 101, 403, 334, 1, 485
1758354736047, 6, 3, 617, 103, 399, 334, 1, 483
1758354736047, 5, 4, 612, 102, 405, 334, 2, 481
1758354736047, 6, 20, 616, 102, 403, 332, 2, 480
1758354736047, 3, 21, 611, 111, 399, 337, 3, 480
1758354736047, 3, 22, 611, 100, 399, 334, 2, 483
1758354736047, 4, 24, 609, 103, 403, 334, 1, 485
1758354736047, 4, 10, 615, 103, 411, 332, 3, 480
1758354736047, 9, 17, 611, 102, 400, 333, 2, 484
1758354736047, 4, 10, 611, 104, 400, 335, 4, 485
1758354736047, 3, 9, 611, 103, 400, 334, 1, 479
1758354736047, 7, 10, 619, 105, 403, 336, 1, 479
1758354736047, 3, 8, 621, 102, 400, 335, 3, 485
1758354736047, 4, 7, 613, 103, 403, 333, 2, 483
1758354736047, 5, 11, 611, 102, 405, 332, 2, 483
1758354736047, 3, 6, 614, 102, 403, 331, 2, 490
1758354736047, 2, 4, 614, 103, 400, 340, 2, 481
1758354736047, 2, 19, 615, 101, 400, 337, 1, 488
1758354736047, 6, 4, 611, 106, 400, 335, 11, 480
1758354736047, 3, 4, 611, 106, 403, 334, 4, 495
1758354736047, 1, 19, 611, 102, 400, 334, 2, 484
1758354736047, 10, 5, 615, 103, 402, 333, 4, 487
1758354736047, 3, 17, 616, 102, 402, 336, 2, 483
1758354736047, 2, 10, 616, 103, 399, 335, 2, 484
1758354736047, 6, 5, 609, 103, 403, 333, 1, 480
1758354736047, 3, 17, 622, 103, 402, 339, 2, 483
1758354736047, 4, 23, 614, 107, 402, 333, 2, 479
1758354736047, 5, 9, 616, 103, 402, 343, 1, 488
1758354736047, 3, 7, 611, 105, 400, 337, 2, 487
1758354736047, 7, 8, 615, 105, 399, 333, 1, 484
1758354736047, 5, 8, 611, 103, 400, 345, 2, 481
1758354736047, 9, 24, 611, 105, 400, 333, 1, 486
1758354736047, 5, 11, 623, 103, 401, 335, 1, 488
1758354736047, 4, 8, 615, 103, 398, 333, 3, 479
1758354736047, 5, 7, 615, 102, 397, 337, 2, 481
1758354736047, 5, 5, 611, 104, 400, 335, 2, 485
1758354736047, 3, 4, 611, 102, 397, 332, 1, 484
1758354736047, 3, 7, 615, 103, 402, 336, 1, 481
1758354736047, 4, 1, 615, 102, 401, 334, 1, 481
1758354736047, 4, 4, 614, 102, 396, 333, 2, 484
1758354736047, 5, 14, 611, 104, 400, 336, 3, 483
1758354736047, 3, 5, 609, 106, 400, 332, 2, 484
1758354736047, 4, 4, 615, 106, 397, 335, 3, 486
1758354736047, 4, 5, 612, 104, 396, 333, 2, 481
1758354736047, 4, 4, 619, 102, 398, 343, 5, 481
1758354736047, 7, 6, 610, 104, 400, 333, 3, 483
1758354736047, 1, 6, 619, 106, 397, 335, 11, 483
1758354736047, 6, 6, 610, 103, 405, 339, 2, 485
1758354736047, 4, 8, 617, 104, 402, 333, 1, 492
1758354736047, 1, 9, 615, 105, 400, 337, 1, 483
1758354736047, 2, 9, 608, 106, 403, 333, 3, 489
1758354736047, 8, 25, 614, 104, 404, 341, 1, 487
1758354736047, 2, 11, 611, 105, 398, 335, 2, 483
1758354736047, 2, 8, 615, 100, 408, 331, 3, 495
1758354736047, 8, 7, 619, 102, 401, 332, 2, 491
1758354736047, 6, 16, 611, 103, 400, 333, 2, 490
1758354736047, 3, 18, 616, 105, 403, 335, 2, 491
1758354736047, 5, 21, 611, 109, 399, 335, 1, 487
1758354736047, 2, 5, 611, 105, 400, 332, 1, 490
1758354736047, 4, 4, 623, 104, 405, 334, 2, 489
1758354736047, 4, 19, 615, 105, 402, 335, 2, 489
1758354736047, 6, 20, 619, 106, 407, 335, 1, 492
1758354736047, 4, 7, 611, 104, 402, 335, 2, 491
1758354736047, 3, 4, 619, 104, 403, 333, 2, 496
1758354736047, 3, 3, 619, 106, 399, 335, 1, 492
1758354736047, 2, 15, 616, 104, 398, 334, 4, 492
1758354736047, 0, 8, 611, 104, 400, 336, 2, 494
1758354736047, 0, 22, 614, 103, 401, 335, 2, 494
1758354736047, 3, 10, 611, 113, 399, 332, 5, 494
1758354736047, 2, 9, 616, 111, 403, 332, 1, 489
1758354736047, 5, 9, 611, 103, 398, 333, 2, 492
1758354736047, 3, 9, 611, 106, 398, 331, 1, 487
1758354736047, 0, 8, 619, 101, 399, 331, 2, 487
1758354736047, 3, 7, 614, 101, 399, 335, 2, 487
1758354736047, 1, 7, 616, 103, 400, 335, 2, 492
1758354736047, 0, 6, 610, 102, 400, 333, 4, 495
1758354736047, 3, 4, 616, 104, 400, 334, 1, 489
1758354736048, 2, 13, 611, 99, 403, 334, 2, 492
1758354736049, 4, 5, 616, 100, 400, 335, 2, 494
1758354736065, 3, 13, 613, 98, 397, 333, 2, 488
1758354736065, 4, 5, 618, 95, 399, 331, 1, 495
1758354736065, 1, 5, 616, 97, 400, 347, 1, 495
1758354736065, 3, 3, 619, 98, 398, 333, 1, 494
1758354736065, 2, 4, 611, 96, 398, 332, 1, 503
1758354736065, 2, 7, 612, 98, 400, 333, 5, 490
1758354736065, 1, 5, 611, 98, 398, 334, 2, 496
1758354736065, 3, 6, 611, 93, 398, 335, 1, 499
1758354736065, 5, 20, 611, 94, 400, 331, 2, 493
1758354736065, 4, 19, 611, 98, 403, 331, 2, 498
1758354736065, 7, 9, 611, 96, 403, 332, 2, 495
1758354736065, 8, 10, 607, 96, 399, 335, 5, 500
1758354736065, 4, 9, 612, 97, 401, 331, 3, 498
1758354736065, 5, 14, 617, 95, 403, 333, 1, 507
1758354736065, 1, 8, 612, 94, 399, 333, 2, 511
1758354736065, 10, 7, 608, 103, 402, 335, 1, 500
1758354736078, 3, 5, 608, 95, 403, 335, 1, 501
1758354736078, 13, 4, 608, 94, 402, 343, 2, 507
1758354736078, 8, 3, 608, 96, 408, 331, 1, 507
1758354736078, 5, 18, 607, 95, 409, 334, 1, 505
1758354736078, 0, 6, 610, 94, 398, 331, 2, 505
1758354736078, 3, 4, 611, 97, 399, 331, 1, 506
1758354736078, 6, 4, 614, 96, 400, 341, 2, 515
