unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354849996, K, -2, 4, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354850029, 7, 9, 1140, 89, 451, 231, 3, 9
1758354850029, 7, 3, 1135, 88, 448, 233, 4, 3
1758354850029, 3, 0, 1136, 88, 453, 233, 8, 1
1758354850029, 4, 0, 1136, 92, 448, 235, 3, 3
1758354850029, 4, 0, 1143, 88, 448, 233, 3, 3
1758354850029, 3, 0, 1143, 89, 448, 236, 0, 3
1758354850029, 1, 0, 1147, 85, 453, 239, 1, 3
1758354850029, 10, 0, 1136, 88, 448, 235, 8, 3
1758354850029, 9, 10, 1142, 89, 447, 238, 0, 3
1758354850029, 1, 4, 1144, 88, 445, 236, 2, 4
1758354850029, 8, 6, 1147, 91, 450, 245, 0, 10
1758354850029, 4, 7, 1147, 86, 453, 241, 0, 3
1758354850029, 7, 13, 1137, 90, 453, 239, 4, 4
1758354850029, 5, 15, 1139, 99, 448, 239, 7, 4
1758354850029, 7, 21, 1144, 89, 447, 240, 3, 3
1758354850029, 4, 25, 1155, 91, 453, 238, 2, 6
1758354850029, 5, 25, 1144, 87, 451, 235, 0, 3
1758354850029, 3, 25, 1152, 89, 450, 239, 12, 3
1758354850029, 5, 23, 1153, 86, 448, 237, 6, 7
1758354850029, 7, 15, 1152, 88, 448, 237, 4, 3
1758354850029, 11, 9, 1141, 90, 448, 237, 3, 0
1758354850029, 0, 3, 1148, 94, 453, 239, 2, 3
1758354850029, 2, 0, 1139, 88, 448, 241, 1, 5
1758354850029, 0, 0, 1155, 88, 448, 236, 3, 5
1758354850029, 14, 3, 1144, 88, 451, 237, 0, 3
1758354850029, 8, 2, 1135, 88, 453, 237, 2, 4
1758354850029, 4, 0, 1143, 89, 452, 239, 0, 3
1758354850029, 8, 0, 1148, 89, 449, 240, 3, 3
1758354850029, 0, 15, 1148, 91, 453, 239, 0, 1
