unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758354874013, K, 1, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758354874055, 3, 36, 732, 138, 504, 286, 146, 3
1758354874055, 3, 24, 732, 144, 503, 285, 145, 12
1758354874055, 3, 23, 729, 138, 501, 281, 142, 3
1758354874055, 1, 35, 732, 139, 503, 283, 150, 4
1758354874055, 4, 19, 732, 139, 505, 281, 149, 2
1758354874055, 9, 21, 735, 137, 503, 279, 144, 3
1758354874055, 5, 9, 735, 139, 505, 280, 148, 3
1758354874055, 2, 15, 727, 140, 504, 281, 146, 4
1758354874055, 5, 0, 727, 139, 501, 278, 148, 4
1758354874055, 8, 0, 727, 142, 501, 281, 146, 4
1758354874055, 3, 0, 729, 141, 507, 277, 143, 3
1758354874055, 0, 0, 727, 140, 504, 282, 144, 4
1758354874055, 9, 0, 727, 140, 509, 277, 145, 4
1758354874055, 6, 0, 735, 140, 501, 282, 144, 3
1758354874055, 2, 9, 727, 140, 499, 276, 147, 2
1758354874055, 3, 5, 734, 138, 511, 280, 148, 3
1758354874055, 4, 6, 732, 139, 507, 280, 146, 2
1758354874055, 4, 10, 740, 139, 503, 281, 151, 3
1758354874055, 7, 13, 727, 142, 510, 288, 143, 3
1758354874055, 14, 30, 727, 139, 504, 280, 143, 4
1758354874055, 15, 24, 729, 139, 502, 279, 148, 3
1758354874055, 2, 20, 735, 140, 515, 287, 144, 4
1758354874055, 7, 24, 731, 141, 511, 278, 146, 11
1758354874055, 8, 23, 731, 138, 503, 278, 147, 4
1758354874055, 4, 33, 732, 137, 507, 275, 147, 1
1758354874055, 4, 14, 731, 141, 507, 281, 144, 1
1758354874055, 0, 23, 732, 140, 507, 282, 146, 2
1758354874055, 4, 0, 732, 139, 501, 278, 142, 4
1758354874055, 0, 0, 731, 142, 500, 274, 143, 4
1758354874055, 6, 0, 737, 140, 503, 283, 145, 2
1758354874055, 4, 0, 734, 139, 503, 285, 142, 3
1758354874055, 2, 0, 744, 139, 502, 285, 144, 3
1758354874055, 5, 13, 734, 142, 511, 279, 147, 4
1758354874055, 6, 1, 732, 140, 507, 277, 145, 3
1758354874055, 0, 17, 734, 142, 507, 278, 147, 2
1758354874055, 8, 6, 735, 140, 515, 275, 147, 3
1758354874055, 8, 7, 727, 138, 507, 279, 142, 3
1758354874055, 5, 11, 730, 140, 504, 276, 147, 7
1758354874055, 2, 13, 735, 140, 503, 279, 148, 1
1758354874055, 4, 16, 735, 141, 507, 280, 147, 3
1758354874055, 7, 21, 729, 141, 504, 281, 146, 5
1758354874055, 3, 19, 731, 141, 507, 280, 150, 7
1758354874057, 9, 24, 727, 141, 504, 280, 147, 3
1758354874058, 5, 24, 735, 139, 501, 280, 147, 6
1758354874063, 2, 21, 727, 140, 506, 285, 145, 4
1758354874063, 3, 10, 729, 149, 509, 281, 146, 3
1758354874063, 4, 7, 739, 142, 503, 278, 144, 5
1758354874063, 9, 0, 726, 141, 504, 283, 145, 2
1758354874063, 3, 0, 729, 138, 502, 279, 148, 4
1758354874063, 9, 0, 732, 139, 504, 280, 144, 5
1758354874075, 0, 0, 735, 139, 503, 286, 144, 2
